"","x"
"COA8",8.1012
"KDM1A",25.0266
"SRRM1P3",0.0557
"TCAF2P1",0.0411
"ANKRD62P1",0
"TMEM253",0.0127
"S100A10",493.2837
"MIR548Q",0
"OR1P1",0
"SNORA22B",0.7208
"SPZ1",0.0384
"TVP23B",6.7575
"BTF3P9",0.1757
"LINC00467",0.7938
"IL3",0
"PRTN3",0.0217
"PLEKHM1P1",0.8397
"RNU2-72P",0.1526
"RNU6-237P",0
"TPRG1-AS2",0.0519
"ATP5MFP3",0.0964
"PMS2P9",0
"TRAV20",0.0612
"NTRK3",0.0967
"RPL22P24",1.3227
"AOAH",1.4311
"LINC01193",0
"LINC02285",0.1582
"UCP1",0.034
"DNLZ",0.1503
"KIF21A",2.3062
"MIR7154",0
"FXNP2",0.0909
"LINC02364",0
"ACKR4",0.0328
"IGKV2OR2-7D",0
"RN7SL708P",0
"TGFB3",40.8267
"RASL10B",0.3479
"NEUROD2",0.0239
"PRAP1",0.1178
"MYL12BP1",1.1281
"LINC01708",0
"ZDHHC21",0.8706
"TAS2R8",0
"RNU6-1141P",1.162
"TMSB4X",616.8043
"RPL23AP56",0
"COL5A1-AS1",0
"RNU12-2P",0
"EDF1",86.4109
"CWF19L2",9.4855
"SNORD14B",0
"YBX1P2",4.9036
"CLN8",2.1062
"MIR410",0
"MICD",0
"RNF216P1",4.6258
"OR10R2",0.0247
"MIR6826",0
"ZNF44",2.3221
"DUPD1",0
"CD82",9.5197
"GFRA1",0
"TCERG1",3.7982
"ASTN1",0.0189
"MARCKSL1",52.4112
"OR4B2P",0
"LINC02326",0
"PKP4",6.8399
"MMP16",6.7118
"LAMC1-AS1",0.2596
"LINC01992",0
"FNBP1P1",0.6984
"OR7E149P",0
"H4C4",0.1594
"CEP152",0.8281
"SNORA17B",0
"RNA5SP151",0
"RPL12P30",0.0498
"OR4K5",0
"MIR514A3",0
"TAB3-AS1",0
"ARPIN-AP3S2",0.307
"MTCYBP45",0
"PRORSD1P",0.7672
"SDAD1P4",0
"KRT18P49",0
"OSR1",0.0749
"PAFAH2",5.3688
"RNA5SP423",0
"RPL7L1P7",0
"CCNB1IP1P1",0.0889
"HCG9",0.1066
"SVBP",8.8103
"PRTG",0.4285
"FLRT3",1.7967
"PTTG1IP",70.4303
"MAPK6P6",0
"UBE2V1P8",0.0938
"USP6NL",1.5461
"UGT2B17",0.012
"CEP135",2.3427
"SGCG",5.451
"ETDB",0
"LINC02085",0
"DLG2",0.459
"STXBP5-AS1",0.0703
"PPIP5K2",2.2865
"MIR608",0
"ZNF25",2.2382
"MIR5192",0
"HTT-AS",0.1449
"NUBP2",10.6243
"UNC13B",7.7668
"RPL23AP17",0.0997
"TPD52L3",0.0072
"GDAP1",1.8042
"NOP2",12.5101
"TRAV23DV6",0.1216
"GMDS-DT",0.4265
"SEMA3B",7.6307
"MIR4308",0
"HIGD2B",0.0223
"ZPBP",0
"MTCO1P14",0
"SHLD2",3.3179
"LINC02342",0
"PRELID1P2",0
"CYP4A43P",0
"VHLL",0.1104
"MIR1255B2",0
"IGKV1OR2-2",0
"RN7SL803P",0
"SNORD65",0
"LIMD2",5.1462
"MZT2A",7.7947
"RNA5SP175",0
"CCT6A",50.6062
"MIR3183",0.5921
"TRBV21OR9-2",0
"ARL6IP4",0.8852
"PLS3-AS1",0.1079
"MIR181A1",0
"SNORA60",0.3711
"LINC00294",4.6559
"AP3B2",0.0196
"TMEM169",0.3838
"MCF2L",0.4501
"RNU7-21P",0
"OPRPN",0
"MIR6798",0
"RNU6-140P",0.4605
"VAT1",31.2801
"MOS",0.0239
"EEF1B2P8",0.0371
"USP1",23.3323
"HRK",0
"PPP6R3",7.9255
"IDH1-AS1",1.063
"MIR4484",0
"APBB1",4.1871
"FBP2",0.0572
"MIR3156-1",0
"BCYRN1",2.4334
"TRAV14DV4",0
"FAM27E3",0.1873
"MIR548H1",0
"LINC00866",0
"RPL21P28",1.1841
"DSCR4",0.46
"AIRE",0.0425
"COL5A3",15.2551
"MIR526A1",0
"MTND4P24",2.9439
"RNU6-198P",0.2391
"PRELID3BP11",0.0519
"RN7SL306P",0.084
"DAPK2",1.6185
"FBXO4",4.0922
"CCDC144NL",0.0579
"RPL9",107.9657
"SHOC2",3.7505
"METTL26",17.9364
"IER3",9.6275
"GBA2",8.9463
"SNORD17",3.0427
"MIR3149",0.444
"GAPLINC",0.6388
"C1QL1",0.8065
"GOLGA6L4",0.0164
"UTP14A",4.259
"LINC00552",0.1061
"BICC1",10.0049
"TPRXL",0.1778
"LINC00337",0.1771
"MAP1LC3BP1",0
"CDY14P",0
"LUNAR1",0.0099
"NPTN",17.071
"CHD6",3.2126
"SNORD63B",2.4866
