"","x"
"OR5H5P",0
"ASNSP6",0.0212
"OR4C49P",0
"CRTC2",13.3444
"PIFO",0.3104
"GRM6",0.8852
"IL5RA",0.0182
"GALC",3.1788
"C17orf99",0.0124
"EBAG9",8.1571
"GOT1",11.1682
"PACRG-AS2",0
"RNU6-231P",0
"TMEM74",0.6986
"RNU6-1238P",1.0104
"RPL35AP19",0.3655
"OTP",0.027
"RGPD8",0.1996
"CT75",1.6595
"H3C14",0.0415
"SYT14P1",0.0356
"YWHAQP9",0
"ZNF787",6.3357
"CAPRIN1",30.8453
"CORT",2.9339
"RNU6-1267P",0
"HNRNPA3P9",0.2632
"RIF1",4.9794
"OR4C1P",0
"DERL3",3.4029
"RN7SL217P",0
"DYNC1I1",3.7529
"RPS3P1",0.1789
"MIR4510",0
"PPP2R2D",6.1747
"CD209",1.4169
"RNU4ATAC12P",0.152
"TERF1P3",0.07
"RNU6-57P",0
"BPIFB6",0.0717
"LINC02164",0
"CLASRP",6.577
"ERBB4",0.0158
"PRR36",0.3739
"GPATCH11",2.5341
"MAP1LC3B2",0.7583
"NCKAP5L",7.5865
"HIGD1AP1",1.8114
"NBPF25P",0.8214
"BAX",13.5587
"CYCSP6",0
"RAB11FIP4",2.0837
"FBXO3",2.6361
"RPS7P13",0
"MIR7156",0
"RHOT1P3",0.1038
"CFAP44",0.9761
"RPS3AP52",0
"POMK",5.6374
"TDGF1P4",0.2312
"ELOCP7",0
"SMG1P3",0.2489
"DYSF",6.8149
"DSN1",13.8975
"MLIP",0.9822
"GIT2",1.9991
"MIRLET7I",0.1591
"MICOS10P3",5.8387
"TCF7",5.3224
"RNU2-24P",0.1201
"LINC02094",0.3303
"MTCO2P2",21.3001
"IGHD3-16",0
"LGALS7B",0.2134
"HERC2P9",1.1162
"SLC25A1",26.0367
"FOXF2",6.1971
"DMKN",0.45
"LINC00852",0.6209
"TGM6",0.0075
"RNU2-55P",0
"SNX5",10.1341
"PEMT",15.1402
"NDUFAF1",5.2396
"RN7SL644P",0.4643
"RNA5SP34",0
"NEU4",0.2418
"ZDHHC17",3.1759
"WDFY4",0.3188
"DPH6",0.1783
"APOD",0.7428
"LINC01508",0.0215
"RDH8",0.0343
"ACSL5",1.1841
"PTTG1",11.5967
"HTR2C",0.0035
"LCE1D",0
"RECQL",10.6848
"LINC02117",0
"OCLN",0.0305
"NPAP1",0.0708
"DMC1",0.2486
"OTX2P1",0.0485
"MXI1",12.7703
"RABEP1",6.0362
"OR4A41P",0
"TRAPPC2P5",0
"CHMP1AP1",0.0259
"RN7SKP241",0.059
"USP17L29",0
"NTRK1",0.1853
"BUD31",10.23
"CBLB",2.8058
"VPS9D1",2.6007
"RNU6-1228P",0
"HSPD1P7",0.1324
"PFN1P4",0.47
"HERC1",3.864
"LUADT1",0.0758
"LYSMD1",7.26
"MIR4748",0.8379
"MTR",7.9529
"MIR8054",0.3995
"MTATP6P24",0
"GPR21",0.0294
"ZNF705CP",0
"RNU6-751P",0
"TUT7",4.19
"DCAKD",13.7044
"SS18L2P2",0
"BTF3P1",0
"AKR1B10P1",0
"KRT19",0.0956
"LINC00316",0.0755
"LINC00692",0
"KLF2P1",0.0989
"RAB3GAP1",13.7415
"PPIAP51",0.4493
"EIF5A2P1",0.4108
"SERINC3",47.2665
"SMIM1",0.072
"RNU6-20P",0.3211
"OR2A42",0.0368
"SLC25A36P1",0.3325
"LINC00173",0.0582
"CTDSPL2",3.2062
"SF3A1",24.7389
"STX11",0.2676
"NUTM2F",0.0939
