"","x"
"DHRS4-AS1",4.7491
"MIR3202-1",0
"ABO",0.0618
"RN7SL798P",0
"RNA5SP526",0
"ZNF208",0.0104
"ETFRF1",5.9062
"CDKL4",0
"CDKL5",1.2118
"PMM2P1",0.1467
"RALGDS",5.6188
"H3P5",0
"CLUHP5",0
"RNA5SP467",0
"MIR124-2",0
"SMPD3",0.4732
"PI3",0.1856
"LRRC43",0.0515
"KDSR",18.2814
"RPL3P4",15.9501
"ZC3HC1",1.5768
"RNU6-1201P",1.0009
"TGIF2P1",0.1563
"OR4A18P",0
"DPF2",2.6513
"IGLV3-4",0
"ECEL1P3",0.0969
"CWC25",8.3307
"BAMBI",12.3107
"MIR6851",0
"HMGB1P12",0
"ETV3L",0.0903
"KCNE1B",0.0098
"CORO2A",0.0562
"RTF2",9.5417
"ASIC4",0.0068
"MIR6770-2",0
"ITPKB-AS1",0
"SNORD65",0
"CHST11",10.1562
"SNORA56",0
"TMCO5B",0
"NUDCD3",4.2994
"FKBP4P1",0
"OR51AB1P",0
"ZNF32",16.0093
"OGFRP1",0.1968
"GCGR",0.011
"TMEM251P1",0.1123
"APOLD1",10.0888
"LINC02741",0
"TAF13",24.6825
"RPL31P35",0
"PYHIN1",0.0103
"TRPV5",0.0097
"INTS6",0.5276
"ETS1-AS1",0
"CCT7P2",0.0491
"IL1B",0.3228
"RN7SKP204",0
"HNRNPCL3",0.0933
"CCDC9",10.2368
"REXO1L8P",0
"MIR4438",0
"GCNT1",4.949
"DEFB115",0
"TCL1A",0
"RNU6-806P",0
"HS6ST2-AS1",0
"LINC00326",0
"VEZF1P1",0.1622
"ARL4AP3",0
"MSTO1",3.826
"OOSP1P2",0
"CDRT8",0
"APBA2",0.0156
"KLHL3",0.262
"BACE2-IT1",0
"RNU6-1169P",0.3466
"MPHOSPH9",1.7392
"TPH2",0.0052
"LRRC37A14P",0.2318
"FMNL2",12.5619
"ENTPD4",4.0125
"MRPL42P4",0
"NF1P6",0.0216
"TMPRSS9",0.0766
"HERC2P5",0
"PPM1AP1",0.1573
"RNU6-529P",2.0595
"TMEM78",0.0164
"ALPI",0
"SNF8",7.1802
"KCNK3",0.0803
"ATP6V0CP3",0.4586
"AMOT",6.5669
"MAST1",0.0437
"RNA5SP75",0
"ANKRD30BP2",0
"MOCS1",0.3381
"CTBP2P4",0.3104
"SELENOO",4.3055
"PRM1",0
"ABHD17A",5.0764
"RN7SKP137",0
"YWHAEP1",0.4679
"RNU6-1219P",0
"PPP1CB",76.5458
