"","x"
"TMEM249",0.1342
"SDR42E1",0.6039
"KRR1",7.0592
"KCNK12",0.1503
"PPIAP5",0
"MTCO1P44",0
"MYOZ3",1.2674
"API5P1",0.1751
"DDX59-AS1",1.2695
"RN7SL274P",0.0648
"HNRNPA1P34",0.1856
"COPS5",15.529
"OR4C14P",0
"SNORA77",1.2694
"RPEP6",0
"RPL12",166.7145
"OR4C12",0
"DDX3P2",0.1588
"ACTRT3",0
"RPL37A",146.7628
"IGHV4-59",0
"FANCE",11.7625
"PPFIBP1",5.6238
"MRPL50",7.7938
"SNORA41B",0
"EEF1A1P33",0.233
"NDUFS2",39.7612
"SLC44A5",6.1183
"FEN1P1",0.0154
"SNORD28B",0
"MTCO3P5",0
"SNORA1B",0.1326
"RNU6-1235P",0
"MIR606",0
"FAM86LP",0.0207
"CDY3P",0
"MIR3166",0
"UBR5-AS1",2.9121
"CHID1",9.2657
"SMIM19",7.1763
"CHD1",7.554
"GATD1",12.2865
"LINC01349",0.1419
"LRRC8E",0.057
"CCDC88A",17.6275
"RPL12P14",0.5037
"MIR6788",0
"DNM1P50",0.0347
"PHF10",22.0931
"MIR5694",0
"CHD3",21.097
"WBP2NL",0.3908
"TRAJ46",0
"ADAMTS14",0.2811
"PEX3",8.1643
"IGKV2D-24",0
"CARS-AS1",0.046
"SNORD84",0
"KDM5C",22.7126
"PSMC1P3",0.107
"C10orf71",0.4236
"SLC12A1",0.0071
"RNU6-639P",0.3295
"SELENOI",8.1821
"DDX41",28.2133
"DPP4-DT",0.2479
"FRY-AS1",0.0791
"RCBTB2",8.151
"MIR3121",0
"CHCHD4P3",0
"IFT122",2.856
"TRBJ2-6",0
"RHOU",4.2825
"RPL30P5",0.2099
"SUPT16HP1",0.8272
"CD59",18.9462
"IL21",0
"RNA5SP521",0
"RPL17P20",0.0635
"BCAR1",7.8872
"NCAPGP2",0.0234
"CNPY2",6.471
"FAM41AY1",0
"NDUFA5P12",0.1542
"TTC14",4.4737
"OR5H2",0.0187
"LINC02123",0
"SNHG28",0.4159
"GALR1",0.0017
"IL1RL1",0.1688
"CITED2",28.3052
"FSHB",0.0181
"ZNF607",2.4474
"GOLGA8B",1.1516
"MT-TM",4.926
"ZNF969P",0.0602
"RPS2P28",0.1903
"SCUBE1",4.4195
"CDKN3",6.9809
"SFTPC",0.0166
"LMOD2",3.6215
"RPL35AP23",0.1603
"CBLB",7.3289
"NUDT7",2.1957
"RN7SL309P",0.1849
"SMIM22",0.1001
"LTK",2.1772
"ATP10B",0.0109
"C19orf18",0.9248
"EEPD1",7.0563
"ZNF526",3.7976
"RBBP4P3",0.0824
"LINC02121",0
"RN7SKP99",0
"DDIT4",59.0404
"LINC01124",0.0833
"ODAPH",0.0601
"GLYAT",0.017
"TLE4",6.7767
"ZNF330",32.7293
"EBAG9P1",0.1299
"HCP5",1.4944
"XK",0.7179
"SCGB1D5P",0
"CDK7P1",0.1781
"OSBP2",3.5865
"SIGLEC16",0.2599
"PLK1",11.2668
"NACAP2",0.0848
"ZNF282",13.4064
"LINC01473",0.3648
"PAPOLA",20.4996
"HLA-A",64.8923
"IGLV3-25",0
"ARMS2",0.1293
"MIF4GD",6.3245
"YPEL5",11.8374
"TXNDC12",18.4847
"PMS2CL",2.8588
"RBMY1KP",0
"RPL21P127",0.1478
"LINC02576",0.1867
"MYO1A",0.0079
"MIR548AV",0
"SNORD11B",0.9794
"ONECUT2",3.2992
"OR56A5",0.3727
"FABP12",0.2588
"LCE2B",0
"HNRNPA1P60",0.0371
"ADAMTSL2",1.1912
"FDPSP4",0.0336
"ARHGAP29-AS1",0
"LINC02017",0
"BRWD1",2.9062
"RPL23AP48",0.3251
"MAP2K2",21.667
"CYCS",80.2185
"NR4A1AS",0.2119
"GGT6",0.0056
"ZNF286B",2.5618
"SWAP70",4.0899
"CAMKK1",0.9523
"RPL7P36",0.2848
"RPL5P17",0.9046
"GDF11",8.0563
"EIF3F",23.4279
"LINC02621",0.025
"RNU6-1019P",0.1648
"RRP1",9.2608
"COX16",11.5167
"ATP6V0E1P3",0
"ANKRD54P1",0
"RNY4P36",0
"DUX4L3",0
"RPSAP26",0
"IATPR",0.0639
"C1QL1",13.4368
"ZSWIM5",2.0966
"C8orf76",6.353
"DCXR-DT",0.1492
"OR6C72P",0.0198
"UBE2A",8.8016
"NDST2",0.2803
"SNORA6",0
"FAM9C",0.0241
"RGPD8",0.4173
"HNF1A-AS1",0.0411
"TMEM14EP",0
"PRDM11",3.3026
"COL5A1-AS1",1.2068
"NXF4",0.1316
"CCDC144A",0.0748
"SYNE1-AS1",0.1913
"FLCN",4.448
"RPL18",166.3969
"MICAL2",1.162
"RN7SKP116",0
"LINC01239",0.206
"VN1R74P",0.035
"HEPH",2.8305
"DDX28",5.7384
"MIR3648-1",0
"BPIFB5P",0.0321
"PGBD2",1.1058
"LIMS4",0
"FAM131A",2.5121
"MFSD14B",36.3861
"ADGRE3",0.0621
"HMX3",0.7214
"RPL21P135",0.2897
"BMP10",0.0223
"FAM219B",2.0084
"TMEM108-AS1",0.0321
"DFFA",46.4309
"TMPRSS2",0.0202
"TUBAP",0
"INE2",0
"PALLD",23.8929
"PFKFB2",3.7466
"SNX5P1",0.3218
"SCFD2",11.0374
"ABCC12",0.0426
"TRIM50",0.0283
"RPS15AP28",0
"PSEN1",5.5316
"TMEM154",0.1385
"FGFBP3",2.8471
"LINC01241",0.0485
"SLC25A34-AS1",0.0276
"LINC02564",0
"LINC01985",0.1213
"PPP1R1A",2.745
"ZFP64",8.0175
"LINC01513",0.292
"SGMS2",2.6947
"SEMA6A-AS1",0.4051
"TMEM231",1.6384
"MIR5585",0.8964
"RN7SL525P",0.1259
"MIR483",0.787
"DRD2",0.2452
"SENP6",8.8288
"BDP1P",0.0266
"GNAQP1",0.4626
"PCED1CP",0
"RPL23AP78",0.2251
"LINC01011",1.0537
"HMGB1P17",0.0281
"PRXL2A",12.614
"MTATP6P20",0.0314
"CYCSP46",0.1728
"OR14J1",0
"JUN",38.1333
"SAMD12",0.4573
"FTH1P14",0
