"","x"
"CAHM",2.0768
"NOS3",1.5913
"XKRY",0
"PTPRQ",0.0109
"ZNF559",4.492
"GAPDHP26",0.0667
"ADAMTS13",0.9187
"RPL22P20",0.2692
"OR2L3",0
"AGO4",7.0208
"PSME3IP1",7.3317
"KRT75",0
"CATSPERB",0.054
"LTB",0.5069
"SNF8",7.9607
"C2orf16",0.3111
"APH1A",61.4314
"RNA5SP512",0.2819
"TNFRSF8",0.0272
"VPS33A",2.0725
"AURKC",0.3126
"PLD1",1.7839
"POLR2J3",1.6275
"CSN1S2AP",0
"SNORD113-6",0
"MIR655",0
"SUMO2P15",0
"CLEC12A",0.0521
"RNU6-483P",0
"TLCD2",5.6322
"TBRG4",5.5737
"RPLP0P7",0.0507
"RNU6-44P",0
"RN7SL647P",0
"EPCAM-DT",0.0953
"LACRT",0
"MAN2A1",3.5823
"RNU7-187P",0.4975
"NDST1-AS1",0
"TNFAIP8L1",12.1387
"ZNF284",1.3452
"RNA5SP185",0
"C4BPAP1",0.0179
"BMP1",19.731
"SLC13A5",5.7217
"COX5BP2",0
"CLASRP",5.3038
"SKP2",8.7647
"FAM92A1P1",0.1521
"EVA1C",0.7617
"USP17L21",0
"RAB1B",49.3757
"LYPLA2",18.6883
"MTND5P17",0
"CCR1",21.11
"HAND2-AS1",0.0034
"HLA-DRA",171.9936
"RNU6-968P",0
"CACNA1C-IT2",0
"ZNF593",3.0443
"EML2",2.2339
"CECR2",0.0346
"NACC2",2.2612
"SAC3D1",14.969
"HSP90B2P",1.7882
"TRAF4",8.7306
"HMGN2P4",3.8184
"IL6",0.0818
"OOEP-AS1",0.0731
"RNY3P15",0
"C17orf100",6.782
"GXYLT2",25.474
"CENPC",2.2194
"LINC00322",0.0484
"LINC00333",0
"AMD1P3",0.1702
"KRTAP9-10P",0
"CTDSPL2",6.4236
"THTPA",4.688
"UBDP1",0
"MIEN1",6.6869
"H1-9",0.3053
"ACPP",0.1533
"RNU6-1115P",0
"RILPL2",3.212
"H4C11",1.542
"MIR3918",0
"TMEM198",1.3124
"CYTOR",4.699
"RN7SL131P",0
"CDY22P",0
"OR11J5P",0
"RAB14",25.815
"RBBP9",4.1536
"METTL15P3",0.0277
"FANK1",0.12
"UFM1",12.5851
"MLLT6",5.5292
"P4HA2",39.3963
"CDH26",0.0942
"SAP25",0.0244
"WBP1LP5",0
"RNU7-156P",0
"BEST4",0.4628
"PMAIP1",14.3507
"IL1RL1",0.0589
"TNFSF10",3.3317
"NOTCH4",6.8131
"CGREF1",43.3573
"MIR3914-1",0
"SLC7A8",14.604
"BOLA2-SMG1P6",0.7349
"RN7SL557P",0
"EMP1",37.0705
"MLIP",1.183
"TMEM45B",0.3688
"USH1G",0.038
"TSHR",5.5847
"TXNP5",0.7518
"MCUR1P2",0
"LHFPL6",29.9365
"CSPG4P13",1.7275
"UGT3A2",0.0754
"SNORD66",0
"CCDC189",0.2855
"LRRC37A9P",0
"SPATA9",0.3009
"SKA2",19.8506
"MIR6090",0
"PGM5-AS1",0
"ADAMTS2",8.1117
"ALDH16A1",4.8312
"RN7SL814P",0.1128
"VMO1",6.4043
"SARDH",2.293
"SMIM35",0
"TNFAIP6",11.8705
"ZNF770",3.0729
"MIR6071",1.3013
"RNU6-1118P",0
"RN7SL397P",0.2271
"TOM1L1",0.4418
"LYPLA2P1",0.4375
"RNA5SP394",0
"RNU6-370P",0.6506
"PPFIA1",3.937
"MRPS30-DT",0.1071
"PROC",0.1085
"SH3BP5-AS1",0.661
"ADH6",0.0308
"SLC9A3R2",14.4767
"CBX1",21.8759
"PTP4A1P2",0
"GRIN1",0.005
"CCNG1P1",0
"LOXL4",10.0675
"MKRN9P",0.0703
"FRMPD1",0.0058
"MIR3926-1",0
"SHD",0.0602
"TECPR2",4.3625
"CLEC20A",0.0595
"RNU6-178P",0.3253
"OR5BN2P",0
"FHL5",0.1109
"GACAT3",0
"COX6B1P4",0.2796
"TARS1",15.9698
"SRP14P1",0.0953
"CEP164P1",0.0388
"PMS2P4",1.7555
"RNU6-565P",0
"MIR548J",0.3021
"ZNF625",0.614
"FGFBP2",0.9203
"SNORD90",0
"GUSBP11",0.0878
"KIAA0040",16.1915
"NAXE",39.679
"MTND5P5",0
"RNF44",4.6087
"TSPAN16",0.0867
"DNAJA1P2",0.0283
"MIR23C",0
"LINC00485",0.1182
"LPP-AS2",1.554
"S100P",0.0529
"DOC2B",0.1941
"LMNB2",23.7554
"IL1RAP",0.404
"HOXB13",0.3806
"SRP54-AS1",1.6328
"RNA5SP215",0
"IL5",0
"AHSG",0
"PCDHA3",0.0726
"ELOBP3",0
"LINC02427",0.5134
"LINC02502",0
"LY75-CD302",0
"RN7SL794P",0
"POM121L2",0
"UCP1",0.0694
"MEN1",8.8049
"PPFIA2",1.4207
"DDX39AP1",0.0573
"KRT19P2",0.4012
"OR13H1",0
"C11orf44",0
"TDRD12",0.0193
"BATF3",0.5238
"CYP1B1-AS1",0.4816
"GPR4",10.5749
"ANO5",53.3533
"LINC01579",0.0249
"RBMY2DP",0
"RNU6-145P",0.6384
"LINC02579",0.0175
"UGP2",9.4962
"RHBDF1P1",0
"EIF2S2",45.6288
"GAS6-DT",0.312
"CPA5",0.0913
"NELFE",23.2937
"AGPAT2",12.1746
"FAM156B",0.3417
"DTWD1",0.8698
"SRGAP3",0.4559
"RNU6-280P",0.3253
"NFATC1",10.0216
"MAGT1",46.7553
"MIR4310",0
"OR5AZ1P",0
"UBE2D3",26.2426
"P2RY2",0.1537
"FAM111B",8.1101
"DUX4L31",0
"GORASP1",4.4455
"RNU1-115P",0
"ALDH1L1-AS2",0
"TMEM266",0.2763
"ATP1A4",0.0162
"OIP5",2.9837
"LCE2D",0
"ZNF885P",0
"MS4A4A",8.3773
"OR4K7P",0
"RN7SL615P",0.2271
"SHISA9",0.0067
"SPATA31D4",0
"CCDC154",0.5709
"MTCYBP10",0
"RNU1-16P",1.0315
"RNU6-922P",0
"GCNT2P1",0.0724
"ARHGAP17",2.6919
"NPM1",117.7263
"SNORD115-48",0
"MIR2278",0
"RN7SL288P",0
"LINC02563",0
"SCAND1",24.9341
"TRO",15.1332
"RPL10AP6",9.2366
"IGHV3-66",0
"MRPL13",8.8421
"KRTAP4-9",0
"LZIC",7.5077
"MIR4443",0
"CDC42EP2",5.796
"MAPK8IP3",3.8554
"IGFL1P1",0.188
"RASA4CP",0.1835
"TMCO2",0
"SLC16A2",2.3336
"LINC02818",0.0958
"TOMM22P3",0
"MIR6827",0
"FTH1P22",0
"CTAGE13P",0.0138
"RN7SL297P",0
"CD300E",0.2164
"RNU6-587P",0
"NWD2",0.0041
"CXCL2",0.7669
"RN7SL239P",0.2256
"FMNL2",5.3041
"RNU6-735P",0
"ZNF830",7.5017
"RPS27P12",0
"LINC00320",1.266
"SNORA44",0
"RHOBTB3",9.0548
"RNU6-549P",1.2648
"RPL7P54",0.0502
"TTC39C-AS1",0.0414
"HELT",0
"TCFL5",6.2625
"EVI5",6.406
"CYP51A1-AS1",0.1602
"TMEM51-AS1",0.081
"VN1R12P",0
"NDUFS5P5",0
"FYTTD1",7.5719
"DUSP4",6.5829
"ZCWPW1",1.3052
"DOT1L",4.2351
"CCDC188",0.741
"ZNF112",1.5387
"RN7SL756P",0.6312
"BORA",1.8142
"USP9X",6.8868
"LZTR1",6.1075
"COX6B2",0.0355
"MRPL58",15.8173
"FAM117A",3.1311
"ZNF264",3.6851
"CHPT1",2.2766
"MARF1",5.3605
"C8orf88",2.3464
"BLOC1S5-TXNDC5",0.6763
"ABCD1P5",0.0897
"NUP42",5.099
"RNA5SP261",0
"RNU6-724P",0
"MT-CO3",5762.8413
"NOMO3",0.368
"HSPA5",298.9222
"UQCRFS1P1",2.3931
"TMEM269",0.0503
