"","x"
"CHD4",39.6391
"ERG",0.683
"IGHVII-22-1",0
"MIR4764",0
"LSM14B",14.0708
"NDUFA3P1",0
"TMED11P",0.0201
"PRAMEF2",0
"MIR3913-1",0
"ADCY8",0.0102
"ATG16L2",1.3247
"SNORD3H",0
"HSD3BP4",0
"SOX21-AS1",0.0046
"RN7SL804P",0
"LINC00920",0.0991
"CHEK2P3",0
"LINC02435",0.1301
"RPS15",303.2373
"RPSAP48",0.0171
"LNCPRESS2",0
"VN1R7P",0.0168
"RNU6-712P",0
"ZNF429",0.6556
"NIPA2P5",0
"RIT2",0
"TMEM37",7.9643
"LINC01534",0.6544
"OTUD5",17.0949
"H2AP",0
"MRPS10",21.1132
"RNU6-364P",0
"MIR4759",0
"RNU6-1010P",1.5625
"SNORA71B",0.0559
"DLSTP1",0.4939
"CAP1P2",0.7983
"MTND3P5",0
"DYM",6.59
"RNA5SP118",0
"CNIH3",0.1642
"RWDD2A",1.8918
"SYCP2L",0.0422
"RNU7-195P",0
"CKAP4",86.4951
"RALYL",0.01
"ACE2",0.0077
"CCNT2",1.2202
"GLTPD2",0.0743
"KLRF1",0.0483
"CAMTA1-AS1",0.0421
"TTC7A",5.1116
"TBC1D3I",0
"MOG",0.0048
"LINC00558",0
"NCMAP-DT",0
"TIMM17BP1",0.0295
"COL10A1",5.9705
"RPS27P12",0
"RGPD2",0.087
"ALDH1B1",5.4679
"POLR3H",6.6084
"ZNF503",5.0997
"G6PD",13.0314
"ZBTB34",2.4596
"SNORA15B-1",0.1126
"NUFIP1P1",0.0514
"FOXE3",0.1304
"FBXW7-AS1",0
"ALDH1L1-AS1",0
"RHOB",25.426
"CBX4",10.7503
"NFIA-AS1",0.0361
"SNORA70J",0
"SPIDR",3.1529
"HDAC1P2",0.0303
"C8orf31",0.5034
"FAM8A4P",0
"EEF1AKNMT",16.3867
"RAD51AP2",0.0082
"FUT9",0
"VPS36",3.7605
"ETV2",0.2684
"IGHV3-76",0
"CHAC2",1.7604
"ACTG1",1468.7559
"RPRM",0.3203
"PSG7",0
"IFNA22P",0
"TRAM1",42.0153
"LINC02742",0
"SALL4P7",0.0097
"SP6",20.0667
"PUS7L",0.8879
"HPSE2",0.0069
"IGKV2-36",0
"SEMA6A",0.659
"TRDV1",0
"PRAMEF34P",0
"LYPD5",0.3105
"TREHP1",0.0654
"TRBV5-5",0
"RPS29P3",10.3995
"RN7SL48P",0
"RN7SL647P",0
"ZC3HC1",5.0832
"RN7SKP168",0
"NAV2-AS2",0.0194
"AK2",29.0184
"RRAGA",36.3384
"ZNF449",0.4306
"RNA5SP361",0
"ATG10-IT1",0
"KARS1P3",0.0303
"PORCN",4.0572
"RPL6P30",0.2469
"RNU6-584P",0
"RSL1D1",18.0532
"FOXO6-AS1",0.8101
"RAB3GAP1",4.8998
"ABHD17AP3",0.147
"HUWE1",10.7837
"MRPL24",53.4797
"ERCC5",2.0463
"QRSL1P1",0.0197
"RNY1P2",0
"KRT16P5",0
"RNU6-654P",0
"PDE3A",0.333
"ZDHHC5",12.0272
"MANSC1",0.2653
"SCARA5",1.6998
"NANOGNBP2",0
"FAM183BP",0.0191
"RPL37P23",55.2134
"PTPN1",24.245
"MIR4692",0
"RNASE11",0
"DES",0.0617
"BRCC3",3.635
"C4orf45",0
"ITGB1-DT",0.2293
"OR1X5P",0
"SNORA21B",0
"LINC02753",0
"GTF2IRD1P1",0
"DCAF12L2",0.0107
"SNORD12B",0.167
"HTR3A",0.0055
"CCDC77",2.843
"RUSC1-AS1",1.4179
"NKPD1",0.0383
"BTF3P7",0.8098
"RNU6-1203P",0
"C1QA",11.4711
"TMEM95",0
"BECN1P2",0
"KIDINS220",14.4298
"TTC39A-AS1",0
"VN1R87P",0
"FBXW5",47.6447
"LINC02298",7.0895
"NUMBL",7.2642
"CCL2",1.2322
"RPL17P17",0.0273
"TRIL",0.4219
"CD2BP2-DT",1.5628
"RNU6-31P",0.1407
"IGLL4P",0
"MRPS36P1",1.4853
"SCN3A",0.0077
"RBMY2OP",0
"THAP10",1.0517
"TUBG2",3.8108
"C11orf68",20.2311
"RPAP3",3.5844
"LINC00700",2.1478
"AGXT",0.0102
"BTG1",25.6639
"UBE2B",16.6402
"RN7SKP118",0
"NR1I3",0.0828
"ZFP3",0.8087
"MAPKAPK2",49.2788
"TARDBP",23.1506
"CICP12",0
"LINC02354",0.0161
"LINC01154",0.0335
"OR7E19P",0
"RNU6-413P",0
"SMC2",4.2745
"IGHV3-63",0
"RPL5P5",1.9744
"SCRT1",0.0402
"NEURL2",1.6122
"DSG2-AS1",0
"PSMB1",89.3492
"PRSS48",0.0307
"ARPC1A",21.3633
"H2BC18",0.1332
"RPL5P11",1.2425
"UNC93A",0.0056
