"","x"
"NTRK2",0.1492
"RN7SKP206",0
"MAGED4",0.2138
"TRBV4-1",0.1514
"HMGN2P18",0.0837
"EXOSC8",4.5907
"MIR187",0
"RPS3AP29",0.0294
"MIR4789",0
"RNU6-540P",0.6712
"RPS15AP34",0
"ASNSP4",0.1264
"LINC02071",0.0328
"SLC25A5P1",1.2329
"RPL11P3",2.0738
"LPAR1",2.5345
"MMP25",0.2218
"CRYGD",0
"LINC02105",0.0361
"PKLR",0.0388
"TGFA-IT1",0
"ZNF839P1",0.1443
"ZNF503-AS1",4.796
"LINC00112",0
"NDUFA1",29.2768
"ENTPD7",5.6442
"TET1P1",0.0245
"ETF1",22.2345
"MIR4502",0.279
"CES2",3.4043
"RNA5SP312",0
"LINC02553",0
"IKBKG",4.1554
"BAHCC1",3.2921
"FERP1",0.4844
"C14orf177",0.016
"LINC01841",0.2891
"OR4E1",0.0239
"LINC01498",0.0072
"CUX2",0.0207
"HNRNPA1P7",1.2201
"SLX1B-SULT1A4",0.0111
"YBX1P2",2.1148
"JDP2",7.0233
"MIR6508",0
"TEX261",30.7691
"STUB1",6.7172
"RN7SL667P",0
"NACAP7",0.0371
"NKAIN2",0.1128
"CATSPERE",0.339
"GRAMD4P7",0.0367
"GALNT9",0.0211
"OPTN",4.7144
"SLC9A1",22.0792
"APOBEC4",0.0213
"C7orf25",0.3687
"LIME1",0.5893
"DNASE1",0.9357
"RNU6-584P",0.8325
"TMEM211",0.0238
"MS4A6A",6.2897
"PITRM1-AS1",0.1344
"SAMD11",16.233
"ADK",19.3169
"MIR3195",0
"RPL21P44",0.6941
"WFDC3",0.0658
"SERBP1P3",0.3072
"RNU6-889P",0
"BAALC-AS1",0.5653
"RNA5SP141",0.0941
"YWHAZP8",0.0155
"B4GALNT1",3.1523
"RNU7-175P",0.5556
"MIR5693",0
"FAM230G",0.0501
"SCAT8",0.0622
"IGHVII-46-1",0
"HNRNPL",35.1934
"CFAP45",0.2066
"UNC5D",0.0125
"PEPD",13.7057
"RNU6ATAC41P",0.0897
"ADGRV1",0.3971
"NOS1AP",1.0831
"SHOX2",12.8183
"GNAT1",0.3651
"RPS26P6",1.1363
"UBA52P5",1.8205
"MAGEB3",0
"TAAR9",0
"TRIP11",6.3732
"SULT1C2P2",0.1153
"NCKAP1L",2.0258
"LINC01756",0.021
"RAD9A",3.6936
"CPLANE2",2.4862
"SHFL",3.9611
"IGF1",0.1299
"GAS1RR",0.1262
"C5orf38",0.5634
"TLCD2",1.525
"PACS1",8.5786
"RN7SL321P",0
"SRM",112.0309
"BIN2",1.8905
