"","x"
"C4orf36",1.9848
"RNU6-400P",9.2223
"CILP",0.5665
"TMSB4X",569.9104
"SCN2B",0.4866
"FAM170B",0.2093
"RN7SKP236",0
"HMGA1P7",0.5842
"TMED9",108.6136
"SPTBN2",7.286
"C15orf62",0.66
"FTH1",97.6118
"SRRM1",16.2768
"GAGE12B",0
"TSR1",10.613
"RNU6ATAC26P",3.8792
"RN7SL411P",0
"QPCTL",7.6296
"HAUS8",1.7491
"DERL2",6.9804
"STARD4",3.6461
"HLA-DPA2",0
"LINC01424",1.043
"EXOC6",4.2146
"ZNF608",3.6436
"LINC01672",1.3255
"PNPLA3",1.6333
"RNU4ATAC16P",5.4309
"C16orf71",0.3989
"RPL29P19",3.4002
"DMXL1",3.4729
"OR5M6P",0.2087
"LINC02244",5.1451
"RN7SKP204",1.5767
"PSTK",2.5406
"HK2P1",0.75
"NCLN",21.7288
"FTH1P10",2.4176
"RNU4-59P",0
"LUARIS",0.4693
"SNORD12",0
"SIGLEC18P",0
"MIR5011",0
"DYNC2H1",5.8651
"DOHH",11.7946
"FSD1L",2.2368
"TMEM167B",11.8615
"OR7E89P",0
"PCDHB10",5.5624
"OSGIN2",7.8314
"CYP4X1",1.4963
"ZSCAN12P1",0.8849
"RABL2A",2.9776
"ZNF140",0.6185
"HIGD1AP11",0
"LINC01184",2.6012
"TSPY13P",0
"HDAC4",7.2835
"PPM1D",5.5429
"RARRES2P5",0
"DEPDC7",0.8817
"FILIP1L",2.749
"PGBD4P8",3.6528
"RN7SKP9",0.9808
"VCP",53.9475
"EIF2A",35.2358
"CORO1C",13.2746
"MRPS17",3.577
"CCL8",0.3101
"ADAM21P1",0.0846
"TSG101",8.8615
"P2RY12",1.6827
"FEM1AP3",0
"UNCX",0.1432
"IGFL3",0
"ARL4C",88.061
"AKAP10",6.3114
"SLC14A2",0.5422
"GPC3",5.9858
"SLC25A38",10.7709
"PLD4",0.3271
"LINC02088",0
"ENHO",2.8008
"UCP3",1.6187
"TOLLIP-AS1",1.6657
"RBMX2P5",2.0177
"NAV2-IT1",0
"ABHD8",11.8104
"ARHGAP15",2.7523
"VPS13D",3.315
"RNY4P24",0
"GUSBP11",0.2089
"MTFR1L",17.4943
"KCNH8",1.2402
"NHP2P2",0.2125
"MIR518B",3.5334
"PUSL1",5.6949
"FTH1P21",0
"VN1R54P",1.2115
"OR2AS1P",0
"RN7SL89P",6.9086
"IGLC5",0
"PNPLA6",6.36
"LINC01208",2.5379
"NANOGNBP1",0.8146
"RPS9",190.883
"MTAPP2",0.94
"NBPF2P",0.5916
"VSIG10L",2.1516
"RNASE2",1.8127
"MIR5580",0
"SHPK",0.3566
"RNU4-63P",0
"TCF3",6.6404
"RNU6-1056P",0
"DMAC2",10.0635
"TTTY2",0
"ACTR3C",1.3771
"RNU7-29P",10.6921
"GAGE1",0.3624
"TRIM44",7.4455
"NOLC1",28.2681
"ZNF71",2.9786
"PPP1R14B",75.4288
"HMGA2-AS1",0.8912
"RYR3",0.8708
"NPNT",4.6984
"SRP14P4",0
"SNORD43",0
"H3C15",0.2361
"MCUR1",22.6758
"OR7E14P",1.213
"GMCL1P2",0.9502
"RN7SKP290",0
"PPIAP31",12.2442
"HNRNPA3P13",0.3485
"RNF20",6.6434
"LINC01143",2.1897
"LINC00623",3.0622
"GRIK5",0.8384
"APPL2",6.6773
"RPL7AP2",2.1136
"ARAFP1",0.1616
"RN7SL545P",0
"BLNK",1.0966
"SULT1E1",6.4916
"HPCAL1",33.6512
"SNORD88B",0
"RNU7-79P",7.8836
"PLEKHM3",2.1416
"OR4C5",0
"SH2D6",0.5574
"EIF4A1P13",1.7001
"GOLGA2P8",2.1333
"LINC02295",0.7841
"DNM2",7.2719
"RNU6-1280P",11.8769
"MYCNOS",1.1749
"RN7SKP157",0
"C16orf78",0
"MIR1298",0
"RPL39P38",1.2779
"USP17L30",0
"SMIM22",0.2219
"CNTN6",1.6441
"MS4A5",1.7437
"TAS2R7",0.2676
"PSD3",3.1294
"LIPE",2.0092
"GBX2",0.7179
"MIR4692",0
"GPALPP1",3.0476
"SNORD96B",2.4748
"MCF2L",1.5668
"MIR140",0.8887
"SLCO4A1",3.4267
"VN1R87P",0
"SV2C",2.4138
"CHMP4C",41.9105
"COX7B2",3.2707
"FOXP2",1.2017
"SETP4",0.2252
"NCOA4P4",0.2626
"CAPZB",70.9774
"ZBTB45P2",0.1916
"OR5AQ1P",2.4021
"RAB14",18.8063
"RSPH4A",1.549
"MTND1P12",0
"RPS27AP9",1.3391
"G2E3-AS1",5.7986
"SIX6",0
"LRMDA",1.0282
"MADCAM1",0.2213
"ZSWIM6",6.7706
"MRPL20",17.742
"ARHGAP27P2",0
"LINC00353",0.8563
"RNU7-164P",0
"FAM157C",0.5005
"WDR61",7.0641
"GRIK1-AS1",1.176
"CNTF",0.5678
"B4GALNT2P1",4.7764
"MIR6763",0
"CT45A1",1.0329
"AVL9",1.5441
"TRAK1",4.9003
"RPL23AP72",0
"MTCO2P9",0.4226
"ABHD2",15.6108
"LINC02318",0.744
"QRICH2",1.0748
"PCAT6",9.6658
"CD81-AS1",0.3804
"GRAMD4",5.7633
"GCOM1",0.7499
"AEBP1",36.9521
"OOSP1P2",0.2785
"OR7E94P",1.1792
"SLC35G6",0
"MIR548Z",0
"IGKV2-38",0
"C3orf33",3.6647
"OR4D11",1.5666
"RNU6-1136P",0.94
"KNOP1P5",1.4188
"LRFN2",0.0598
"PIF1",5.3329
"RNU6-1294P",7.2412
"ELOVL3",0.1426
"RPL13P12",178.1439
"POLR2L",74.644
"RNU6-222P",10.0497
"H3P38",2.3415
"ERMN",0.2003
"TAP2",5.5533
"TPSD1",0.2552
"DEFB114",3.0911
"PBRM1",6.6224
"RPL5P1",12.3562
"MIR624",4.0312
"GDF2",0.05
"MYOF",3.5074
"ORAI3",2.9589
"LINC01413",2.5325
"LINC02396",0.3578
"RNU6-1205P",0
"GABRR2",0.6137
"EDDM3DP",0
"PCDH19",0.2104
"ZNF703",22.4469
"KLK11",0.6281
"NPDC1",93.006
"CXorf38",4.9824
"SLC35E2B",3.8427
"AADACL3",0.6519
"UBE2SP1",19.8727
"IKZF2",1.0782
"SNHG32",108.3949
"TOB1-AS1",0.7733
"LINC01400",0.3097
"ADCY6",4.0218
"RTN4RL2",1.6791
"RALGAPA2",2.8985
"SYTL3",1.1139
"CCDC80",1.8922
"KCNK12",0.4533
"LINC00499",1.6655
"DEFB116",0.9491
"SLCO1C1",0.4425
"ZNF585A",2.617
"C1DP3",0.2311
"KLF17P1",1.7363
"ATP9B",2.1935
"COA6",20.1423
"IGKV1OR2-2",0
"WNK4",2.3051
"EGR3",1.0068
"MMP11",1.5487
"MRGPRG",0.3371
"LINC01579",1.4243
"LINC01485",1.2226
"MLLT10P1",1.8656
"SPCS2P1",2.4475
"CKMT1A",4.2448
"LINC00602",0
"ATP8B5P",0.745
"IGHV1OR15-6",0
"EVL",7.5381
"CELP",0.2449
"AZU1P1",0
"MIR25",8.1464
"RNU12",0
"PGAM1P12",1.3069
"LINC00574",1.2652
"SLC22A25",1.0161
"GJA6P",1.5949
"NORAD",120.3872
"NTMT1",10.5211
"IRX3",58.1635
"STARD7-AS1",2.497
"IGHMBP2",5.005
"AVIL",1.7098
"OR52A4P",0.4421
"TOGARAM2",0.2368
"CHST9",0.6703
"RNU5F-1",0
"SPATA17-AS1",0.4655
"SUFU",3.0046
"CRCP",18.281
"CRYGN",0
"ZNRF3-AS1",0
"MTND4P21",0
"STARD13-IT1",0
"ANO9",0.2835
"NDC80",17.0259
"DUS4L",5.4279
"SNORD115-39",0
"KRT18P51",0
"ZNF418",1.6723
"SRP9P1",32.5854
"ZNF212",12.0429
"SNORD114-26",0
"GOSR1",4.1469
"OR4A42P",0
"CYCSP39",0.3164
"RBMXL1",4.2661
"SAA4",0.4034
"S100A7",3.2829
"CDK4P1",1.0626
"PCAT18",0.5644
"ODF3",0.0314
"AADACL2-AS1",2.0013
"LINC01402",0
"MOGAT1",1.8656
"OR4C15",0.2635
"LINC02862",1.6938
"MIR4330",0
"MKI67P1",0.3348
"RNU4ATAC6P",3.1034
"LINC00239",0.306
"SLC25A51",4.4097
"RPL7A",631.7967
"MTFR2",2.9925
"CDC14B",1.2334
"TACC2",1.7958
"PTPRF",11.1974
"TIAL1",14.7532
"RNU6-1165P",6.3953
"PRAMEF1",0
"ZNF726",3.4041
"SLC27A1",1.505
"LINC01320",1.4583
"MRPL16",8.523
"RPL10P3",1.2533
"FTH1P25",2.5012
"PCOTH",0.4073
"TUFM",76.5348
"WAPL",9.8025
