"","x"
"CT69",0
"NPBWR1",0
"CROCC2",0.0158
"SMAD9",7.541
"ACTR3P3",0
"MIR4744",0
"RN7SL787P",0
"MTCO1P4",0.0447
"STC2",6.3126
"KRT71",0
"SLC30A2",0.3512
"MRPL28",18.0963
"SEC24AP1",0
"MIR655",0
"FGF1",0.6927
"TMED5",11.4633
"LONP2",7.6816
"SPATA31C1",0.0068
"ARMC2-AS1",0.2813
"FAM226B",0
"LINC01006",3.2105
"UCN2",1.021
"ZNF502",3.4553
"TOMM34",14.7883
"ASB5",0.3798
"RAB11B-AS1",1.526
"GAPDHP54",0
"LINC01982",0.1023
"COL6A4P1",0.0069
"MIR1250",0
"RNA5SP261",0
"FTCD-AS1",0
"LINC01602",0.1344
"APOBEC3AP1",0
"RNU6-776P",0
"PTCD1",1.2535
"LINC02215",0.116
"MTND1P30",0
"SNORA70I",0
"ATP6AP1L",0.3683
"RPS24P17",0.2979
"KANK1P1",0.0511
"RPS27AP7",0.9693
"LDHAP3",1.3751
"LINC01523",0
"IGLV3-22",0
"ZNF733P",0
"MIR4305",0.3088
"SLC4A1AP",7.2659
"PRKG1-AS1",0.1974
"CEPT1",3.984
"MIR548O2",0.8514
"PRMT7",2.145
"OCIAD2",20.0833
"IGKV1OR9-2",0
"EPB41L4B",0.5078
"C1orf115",0.4523
"ZNF30",1.6181
"RPL23AP32",1.853
"LINC01525",0
"RNU6-866P",0.2582
"RNA5SP471",1.1887
"DECR2",1.8596
"MON2",3.9933
"IMMP2L",0.6372
"NANOGNBP3",0.446
"MPP5",2.0826
"MIR548AJ1",0
"ADAMTS8",0.0209
"MIR3689A",0
"RPL7L1P9",0.0846
"IGHV7-27",0
"RASD2",0.4801
"LRRCC1",4.6957
"DNAJB9",27.3376
"IL17RD",0.883
"AKAP8",7.3548
"ZNF300P1",2.3473
"RPL7P54",0
"IGKV2-36",0
"KPNA2",71.7412
"MIR548AA2",3.2476
"RPS6KL1",0.2854
"MRPS18BP2",0
"RPSAP63",0.0709
"RNU4-91P",0
"ZNF789",1.2915
"PIGBOS1",10.971
"OR7E86P",0
"SCARNA21B",0
"OR6N1",0
"RPL21P11",0.3913
"EIF5AL1",0.8121
"CXCR2",0.1755
"P2RY1",3.1282
"SNORD67",0.5676
"NDUFB4P9",0
"PCSK4",0.2825
"LINC02012",0.2191
"LINC01637",0.3224
"KIF5A",0.0654
"ANGPTL7",0.0422
"FAM83H",0.6742
"RNFT1P2",0
"SERPINA7",0
"MAGEH1",28.6789
"KRT28",0
"HOXA11-AS",0.7883
"ANKS6",2.4438
"C1QA",101.0674
"MIR6782",0
"OR5M12P",0
"FAM124B",0.8629
"CYP7A1",0
"IMMTP1",0.0284
"OR4C11",0
"DBET",0.0094
"SNORA48B",0
"HNRNPA2B1",125.2834
"LINC00547",0.0285
"SYNJ2BP",6.4249
"JMJD7",0.1119
"RAB8B",7.2575
"OR13H1",0
"GCNA",0.7308
"LINC01363",0.1375
"TNFAIP2",11.9892
"ZFP42",0.0474
"NSA2",9.872
"SETP2",0.1361
"MIR1289-1",0
"CES5AP1",0
"COX6CP8",0
"BEAN1-AS1",0.3038
"UBXN10-AS1",0
"PRDM7",0.0461
"FAM83C-AS1",0.358
"TSBP1",0.1655
"FAIM2",0.0312
"C6orf15",0
"MIR597",0
"ANKRD36BP2",0.1606
"FGD5-AS1",14.6978
"ATP6AP1",53.5345
"COL21A1",4.2592
"GAGE12F",0
"OGDH",19.0883
"CCDC152",0.8998
"EIF4E",2.591
"SEZ6L2",20.3802
"BMP5",0.1355
"LRIG1",0.5376
"DEFA4",0
"CCAR1",21.9143
"CIB2",3.0386
"CYP27B1",0.9249
"TRGV11",0
"MFAP1P1",0.2761
"IL6-AS1",0.0693
"SERP2",1.2751
"MKRN3",0.3298
"METTL7A",8.8957
"OSTCP4",0.421
"LINC00449",0.6141
"RNU6-387P",0.6
"PRUNE1",8.6904
"PROM2",0.0727
"ST6GAL2",2.9017
"SNX18",6.4374
"GGNBP2",4.2352
"RN7SKP256",0
"DQX1",0.4715
"IGKV1OR2-3",0
"RSL24D1P5",0
"HMGB1P40",0.3395
"DPF1",0.4463
"OR2T11",0
"FAM90A2P",0.039
"OR4P4",0
"RNU6-840P",1.4766
"GGTLC4P",0
"RNU6-850P",5.1993
"NDUFB8P1",0.2312
"BSND",0
"ARFGAP3",18.0754
"HOXC4",1.0982
