"","x"
"IGKV1D-13",0
"MRPL55",19.7872
"CCDC177",0.088
"OXA1L",31.5103
"EIF4G1",89.8424
"ATP2A1-AS1",0.9352
"NUP214",8.3624
"RNU6-282P",0
"TUBB8P3",0
"H2AC4",0.1542
"RN7SL441P",0
"AKR1B10P2",0
"MIR129-1",0
"KIF9",0.4349
"OR10X1",0
"CCL7",0
"NET1",4.1356
"RNU6-517P",0
"SHANK3",2.3079
"MRTO4",33.5542
"MIR29B2CHG",0.0039
"VKORC1L1",8.4932
"MIR4486",0
"SLC38A11",0.1309
"PTS",4.8775
"ACTG1P15",0.285
"MCF2",0.0121
"LINC01779",0
"CRX",0.0101
"MTND5P5",0
"IGKV3-20",37.7124
"ZNHIT2",7.7467
"FBXO31",2.1084
"BICD2",14.8745
"RNU5A-4P",0
"PHKBP1",0.0311
"B3GNT6",0.0231
"LIVAR",0
"CDKN2C",8.6546
"TRAJ61",0
"C1orf74",0.595
"LINC02261",0
"CCL28",3.629
"LRPPRC",21.3093
"TMEM261P1",0.1782
"VN1R76P",0
"GDPD2",0.0459
"LINC00353",0
"DENR",18.3644
"CSH2",0.0663
"OR3A2",0
"ATRIP",0.0727
"PTMAP4",11.0309
"PGBD4P2",0
"SNORD13",0
"LIG1",2.8006
"HMGN2P6",0.6657
"CHRM3",0.3833
"LINC02234",0.2192
"RNU6-1052P",0
"TRAJ27",0
"XRCC5",97.0668
"MYOD1",0.0673
"CTBP1",11.8686
"RPSAP7",0.0685
"RN7SL495P",0
"LINC02235",0
"VN1R51P",0
"ELOCP9",0
"RPEP2",0
"MYO10",16.0968
"TTC7B",2.8741
"CALU",80.6516
"C11orf91",0
"SPRYD3",10.7617
"KCNAB3",0.119
"RNA5SP379",0
"CYP20A1",11.2697
"CHTOP",18.4278
"RPL21P13",0.126
"TAF11",23.0442
"CFAP97",8.2788
"INSYN2A",0.2199
"C10orf120",0
"SNORD104",5.1928
"STX18-AS1",0.129
"NECAP2",10.3204
"RNU6-108P",0
"LARP1BP2",0
"LINC01177",0
"SLC52A2",10.7665
"RNU6-224P",0
"CNOT7P2",0.0728
"ALDH1L2",3.9168
"MIR6740",0
"OFD1P11Y",0
"LINC01351",0
"EVI5",4.8094
"BHLHA9",0
"MRPS21P1",0.815
"MICB",0.1299
"RNLS",0.2619
"TUBAP4",0
"CHGA",0
"CYP4F35P",0
"PFKL",31.4381
"RPL17P41",0.224
"LINC02825",0
"RNU6-1232P",0
"USP12-AS2",0
"PDS5B",3.1731
"MIR3180-5",0
"HTATSF1P2",0
"CCND2P1",0.1516
"LINC02768",0
"ARHGEF12",10.8186
"SLC24A5",0
"CCL11",0.0561
"C12orf43",3.4435
"GFRA4",0.0399
"MIR8082",0
"SLC25A35",0.6374
"PRAMEF2",0
"PPIAP62",0
"STPG1",0.6549
"NTNG2",0.0463
"MAP3K5",2.0906
"NRG1-IT1",0.0357
"PTPN1",40.553
"CNBD2",0.0484
"SNORD115-15",0
"LINC00523",0.0183
"SPTLC1",16.4291
"RNA5SP252",0
"JMJD1C-AS1",0.7715
"OPA1-AS1",0.7314
"FCF1",13.5024
"RFKP2",0
"POLR2D",11.4533
"SHARPIN",9.4694
"MT1L",0.2948
"INPP4A",2.7978
"RNU6-1163P",0
"DEFB131D",0
"PROS1",1.9424
"HMGB1P49",0.6388
"MIR510",0
"HOXB2",7.9877
"PPAT",3.4529
"B4GALT3",14.0164
"UBE2Q1",21.1841
"OR7E94P",0
"NPM1P40",1.3224
"RPL7L1P11",0.1681
"A3GALT2",0.2369
"TPT1P3",1.5382
"LINC02425",0
