"","x"
"TNP1",0.0678
"HROB",2.5359
"PTK2",6.575
"RETREG2",20.4758
"CNNM4",2.4338
"PPP2R1A",28.9113
"CYP4F8",0
"PRMT1P1",0.4652
"DNAJB1",27.4333
"PGD",52.4414
"PAXX",10.1392
"PGA3",0
"CT47A3",0
"MED28P5",0.0315
"SUPT3H",1.7903
"PGM2",10.7414
"LARP1BP2",0
"SCHIP1",0.3539
"TECRL",0.0069
"FAM177B",0.1591
"MS4A1",0.1247
"PGAP4",0.362
"SLC6A13",0.0033
"SNORD124",0.9292
"HNRNPA3P11",0.2513
"OR4F3",0
"RASL10B",0.8239
"MIR892A",0
"COX17P1",2.3008
"ALYREF",46.3529
"RPL21P93",1.1575
"NPFFR2",0.0819
"RNU6-1265P",0.134
"C1orf52",7.0478
"FAM160B1",11.5219
"ARSL",4.8975
"LINC02468",0
"AOAH-IT1",0
"RNF25",15.2075
"GPRASP1",1.7485
"IGHV3-63",0.2834
"URB2",2.0359
"NUDT5",9.9627
"IL1RL1",0.0432
"SFPQP1",0.0077
"BARX2",1.8859
"LAMA1",0.9489
"IGSF11-AS1",0.0861
"SEPTIN7",26.5587
"VSTM2A",0.0069
"IGKV1D-22",0
"SNORA7B",1.1918
"TNNI1",0.011
"NRIP2",2.0094
"MOB3C",7.2735
"CUBNP3",1.7721
"HDAC1",28.3241
"SNX6P1",0.1579
"GAPDHP72",1.4898
"MIR381",0
"DOCK11",5.1686
"ENGASE",7.1384
"AIRN",0.0189
"RPS2P55",3.8147
"RNU7-161P",0
"IGLV3-10",1.0372
"OR4K4P",0
"KAZN",4.0539
"CICP6",0
"RNA5SP145",0
"GSTM5",4.8512
"RN7SKP30",0.372
"IL11",0.0258
"TRAV4",0.3145
"CROT",9.1747
"RN7SL526P",0.4328
"LRIF1",5.5472
"TMEM196",0.0034
"GREM2",1.6983
"RPL17P36",5.7081
"LINC01587",0.1423
"SNORD72",0
"NCOA4P3",0.2574
"TIPARP",12.011
"RNU2-27P",2.236
"CEMP1",0
"FBXL5",37.2098
"MTATP6P15",0.0331
"LINC02750",0
"PPY",0
"MIR6835",0
"PBRM1",5.4339
"RNU7-200P",0
"LILRA1",0.185
"ARHGAP42P1",0.021
