"","x"
"ENDOD1",6.1208
"CCDC88B",1.9336
"MIR491",0
"WDR37",3.8616
"RNU1-74P",0
"ZNF423",0.5526
"GPR42",0.0704
"GAGE12F",0
"DOCK9-AS1",0.1004
"CEP250",2.0302
"LINC02205",0
"RPL22P17",0
"MTND6P15",0
"MIR4440",0
"LXN",4.0993
"LIPT1P1",0
"MTND2P8",0.0256
"ARL5B",4.0049
"ZNF322P1",0.0109
"ORMDL3",15.8237
"MTND5P28",0.0411
"KLHL18",4.5236
"LINC01595",0
"BMP3",3.7107
"STK38L",5.4813
"RNA5SP33",0
"EEF1GP1",0.717
"WASF5P",0
"MED26",2.4045
"GZMA",15.7882
"MARCHF4",0.5221
"C1DP2",0
"OGT",7.6685
"RNU4-32P",0
"LINC00158",0.0453
"OSGEP",8.8233
"MIR3174",0.1508
"MIR4636",0
"SIKE1",13.8121
"CFAP77",0.0183
"WASHC2A",14.2263
"SNORA71E",0
"LINC02507",0.0638
"IFIT6P",0.011
"RN7SKP10",0
"SHMT1",5.9418
"RTCA",26.5809
"ATP10A",0.8892
"TOMM34",24.6513
"ZNF648",0.0072
"MTCO3P46",0
"KCNMA1-AS3",0
"APOOP1",0
"RN7SKP109",0
"MTCO3P7",0
"MRPL35P2",0.4877
"RPL7L1P4",0.0186
"PLXNB2",38.9789
"LINC02416",0.0972
"RPLP0P1",0.0363
"GATA1",0.0875
"RNU7-20P",0
"FADS2B",0
"CMC4",0
"CYCSP20",0
"SP110",1.4675
"CXXC1",8.1124
"LINC00383",0
"KRT38",0
"SNORD5",0
"ELOBP2",0.3326
"CRKL",16.6059
"TBRG1",2.2071
"NAA35",3.7649
"RN7SL191P",0
"CASC1",0.0844
"RNA5SP285",0
"H2BC7",4.3726
"RAMP2",23.0702
"RPL19P16",0.4016
"HPGDS",2.293
"OSMR-AS1",0.3779
"HLCS",3.2175
"RNU6-50P",0.1274
"GTF2A2",14.2927
"CFAP206",0.0145
"NEU2",0
"RNA5SP415",0
"C20orf202",0.2535
"FZD10",0.3317
"HS6ST2",0.1166
"RPL7AP15",0
"NF1P9",0
"MIR4290",0
"RN7SL43P",0
"BUD31",31.067
"WDR38",0.0851
"RNU6-450P",0
"LRRC53",0
"ST6GALNAC4",8.6786
"MIR7154",0
