"","x"
"PCGF6",9.1957
"RNA5SP512",0.3109
"ARID4B",8.5452
"VSIG10L",0.6827
"RN7SKP19",0
"HMGN1P14",0
"OSBPL9P3",0.1254
"RPL10AP5",0
"LINC01720",0
"PRAME",0.0198
"H2AZP2",0.7814
"CASP14",0.0107
"TLK1",6.1293
"LATS1",4.7314
"C8orf58",1.8223
"ARMCX3-AS1",0
"LINC01492",0.0084
"OR56A3",0
"TAF5L",2.5662
"CCT6P3",1.8275
"RNU7-169P",0
"RNU6-1157P",4.2239
"EIF2AP4",0.0209
"GJC2",1.1811
"ERAP1",7.1946
"CCDC163",1.9759
"USP50",0.0978
"PPIAP84",0
"RPS18P9",7.9489
"RPL7P34",0
"SLC2A1-AS1",0.5102
"TMEM45A",9.7923
"RNA5SP476",0
"USP4",6.0458
"RNF17",0
"LINC01134",0.0551
"MIR3689C",0
"MTCO2P31",0
"PGK1P2",1.1679
"KRT223P",0
"DDX3Y",1.8857
"CLEC5A",0.3434
"IGKV1OR2-11",0
"SLC34A2",0.0159
"SNHG14",0.1785
"POM121",7.9128
"MRPS15P1",0
"FAM13B",5.6285
"C12orf42",0.0152
"ACADL",0.9279
"RPL10P7",0.8955
"PPIAP59",0.1514
"ZNF526",6.1589
"GAGE12C",0
"IGF2-AS",0
"MIR6832",0
"RASSF8",12.8354
"SNORD115-43",0
"C14orf39",0.1293
"ABCD1P2",0.0233
"USP22",59.2937
"VN1R93P",0
"LINC00353",0
"RNU6-1178P",0
"RN7SL393P",0.1261
"LINC02740",0
"SOX18",6.7857
"LINC02601",0.1341
"SLC13A3",0.0062
"PPP1R2",7.8975
"KCNK6",1.258
"OR5AR1",0
"HNRNPH1P2",0.0925
"MIR544B",0
"OR10J3",0
"RN7SKP27",0
"MSMB",0.3033
"ZNF586",2.6888
"DMRTC2",0
"NAPEPLD",7.0418
"CACNB2",0.1941
"RNU6-225P",0
"OR4B1",0
"KRTAP3-4P",0
"SLC22A4",0.2915
"GAPDHP67",0.0947
"RPSAP57",0
"MAF1",94.2437
"DLEU1",0.3685
"TSPY18P",0
"RNU1-6P",0
"HNRNPCP3",0.9381
"HLA-DOA",3.162
"OR4D5",0
"MPPED1",0
"LINC01389",0.8497
"IL4I1",1.1937
"UNC50",11.1767
"ABITRAM",4.3426
"TOMM5",6.0718
"MIR4703",0
"TUSC8",0
"F10",0
"NAIPP3",0.0695
"OSBPL10",0.6605
"GABPB2",11.1053
"RN7SL451P",0
"ZMAT4",0.0101
"RNA5SP271",0
"SDR42E1P3",0
"RN7SL494P",0
"NFYA",22.332
"RPS27P15",0.5922
"RPS2P35",1.4974
"LINC02119",0.1595
"MIR4779",0
"KRT8P23",0
"LINC00377",0.1136
"MIR6762",0
"HIGD1AP18",1.0737
"C11orf45",0.2885
"ANKRD36P1",0
"TIMP1",250.0416
"RN7SL843P",0.1256
"MAGEF1",31.7466
"CD2BP2",11.3229
"GSDME",1.472
"SLBP",27.4955
"ATP5PBP1",0.0656
"SERPINA9",0.0146
"VDAC2P1",0
"OR13F1",0
"TRIM47",3.0044
"RN7SL828P",0.4926
"NIT2",2.8676
"TYMSP1",0
"CBWD4P",0.2279
"E2F6P4",0
"SORCS3-AS1",0
"TRGJP1",0
"FN1",158.4702
"IGHG1",0.0363
"LINC00174",1.2864
"CDK2",23.2166
"SOX9-AS1",0.2022
"ARPC1B",50.4861
"COL4A2",63.6127
"AKIP1",8.5005
"LRIF1",2.9264
"NDUFA3P3",0
"ANKMY2",8.027
"C3orf35",0.2186
"WNT10B",7.0961
"LINC00466",0
"SNORD58C",0
"RNU6-959P",0
"MIR181A1HG",0.4592
"PLEKHF1",1.0577
"ZBTB7B",12.9458
"LIMS3",0.0222
"RBFOX2",18.76
"GSAP",1.1897
"PPIAP13",0.6245
"ABHD14B",3.7654
"RNU5A-5P",0
"RPS26P41",0.2628
"ZNF529-AS1",1.7977
"KRT87P",0.063
"DNAJB8",0
"ATP6V1E2",2.8674
"RAB6D",0.8291
"CACUL1",5.3805
"RNA5SP402",0
"LINC02135",0
"KRTAP13-5P",0
"MSL3P1",0.2129
"HMGB3P26",0
"DNM3OS",4.8887
"RNU6-898P",0
"RPL34",69.9711
"OR2V2",0
"VN1R81P",0.5015
"SCAI",1.2844
"SNHG1",29.1159
"EEF1A1P16",0.8972
"MIR6071",0.9567
"FXYD3",0.0783
"MIR647",2.332
"GXYLT1P4",0
"EPS8L1",0.1956
"LINC02573",0.0432
"MIR593",1.8656
"DHH",0.2313
"LINC02149",0
"MSTO1",6.5171
"EVI2A",2.9546
"PRM2",0
"RIOK2",3.3161
"ZNF962P",0
"TRAV40",0
"SCN3A",0.4642
"RNVU1-4",0.6825
"BLOC1S2",11.22
"CEP57L1",1.6359
"SNX22",4.1666
"BACH1-IT3",0
"C2orf88",0.7528
"DNAJA3",6.5958
"CST7",0.2808
"HMGB3P16",0
"S100G",0.328
"TNIP1",10.0089
"PCLO",0.0065
"C17orf64",0.2206
"NCKAP5L",6.1063
"PAX9",0
"TBC1D19",1.2495
"AUNIP",4.2301
"GLIS3-AS1",0.1525
"USP17L16P",0
"RNU6-437P",1.571
"LINC00677",0.0639
"RPL17P19",0
"ZNF860",0.0915
"CCDC86",12.0659
"ZNF621",3.4212
"CALN1",0.0186
"OR7E91P",0
"PPM1H",2.6994
"STAU1",25.0261
"RBM15B",8.9444
"GPC6-AS1",0.4276
"TMEM185A",3.2986
"LPGAT1-AS1",0.0275
"FCF1P4",0
"RN7SL107P",0
"LINC02618",0.2676
"ZNF740",6.0971
"ARVCF",1.9449
"BORCS8-MEF2B",0.4058
"PDE4B",0.6863
"PCDHGA6",0.7358
"SLC41A2",11.6693
"MTND1P2",0
"APOC1P1",0.1591
"RPL5P14",0.1275
"PTGFR",0.1187
"EEF1A1P25",2.2086
"MEI4",0
"MIR1294",0
"IFI6",174.0045
"MRPL55",8.9421
"FOXRED2",5.8472
"RNY3P7",0
"HINT1P1",1.0858
"LINC02224",0
"COG2",1.2724
"RN7SL487P",0.2169
"MACROD2-AS1",0
"CRACD",1.9355
"STRN3",7.8981
"ZSCAN29",3.4364
"RN7SL580P",0.13
"FCRL2",0.0295
"MEMO1",1.837
"MIR4277",0
"KAZN-AS1",0
"ZCCHC17",23.2103
"ACSM3",0.0668
"PTH2",0.1626
"HEPN1",0
"XIAP-AS1",0.3096
"HMGN1P5",0
"RPS23",202.7539
"PPP2R2D",5.5178
"CD226",0.041
"BCKDK",8.0634
"FRMPD2B",0
"JAGN1",12.444
"USP16",16.526
"SLCO1C1",0.1382
"BCL2L12",14.2611
"AQP9",0.1269
"PRMT9",1.7453
"LEF1",11.8803
"LINC02261",0.0133
"GPBAR1",0.1386
"RNU6-1145P",0
"RNU6-1308P",0
"MRPL34",9.0069
"RNA5SP453",0
"DDHD2",3.2158
"RPL34P19",0
"ATG9A",10.566
"LEPROT",20.5187
"WFDC11",0
"RPS3AP30",0.044
"BUD31P1",0
"TTLL4",2.5101
"TRAV41",0.111
"BRAP",7.7632
"RNU6-1187P",0
"MRPL50",2.9786
"RN7SKP237",0.124
"RGN",1.1017
"C2orf72",0.3004
"MED27",3.5062
"RBM22P6",0.0861
"STRN",13.3462
"SNORD16",0
"MEAK7",0.9741
"HSPB7",32.0916
"MIR541",0
"ASH2LP1",0
"MIR4737",0.4606
"PLEKHA5",9.977
"MYCN",0.1291
"MRPS6",6.7697
"CDKN2C",39.7515
"POU5F1P6",0.7161
"MCRIP2",2.5645
"GAPVD1",3.5874
"MMP23B",0.055
"NDUFA3P6",0.1492
"ATP6V1G2",0.1738
"HOXD1",0.4156
"ANKRD33B",0.1068
"SOWAHCP2",0
"LINC02032",0
"CTBP2P4",0.4867
"OR5K3",0
"BTF3P7",0.9175
"RNU6-784P",0
"RN7SKP62",0
"PRSS2",0
"LINC00211",0.0575
"THSD7B",0.0938
"KIF2A",7.7843
"APP",125.8578
"MIR501",0
"RN7SL190P",0
"RNU6-936P",0
"HYAL3",2.4923
"HNRNPA1P27",0.2735
"RHBDF1P1",0.0384
"SMG6-IT1",0.0998
"OLR1",0.8544
"OR7E5P",0
"RNU6-867P",0
"ATG7",1.5545
"HSP90B1",606.4682
"ICAM2",5.8446
"TOMM20P1",0.5243
"RNA5SP132",0
"LINC02772",0
"SNORD12",0
"RN7SL455P",0.5292
"RPRM",2.5872
"RNA5SP478",0
"JUP",8.7125
"NAP1L1P2",0.1028
"MEF2C-AS2",0.4029
"TMC3",0.2078
"TRANK1",1.0649
"PRAC2",0
"RN7SL381P",1.7529
"VN1R108P",0.2248
"TSC22D1-AS1",0.2267
"RPL36AP51",0.1173
"MIR1302-4",0
"DPPA2P1",0
"DNASE1",0.7056
"TMCC2",11.0524
"ISCA2P1",0.1666
"FAM25C",0
"HDGFL1",0.0343
"PLIN1",0.1867
"SULT1A3",0.102
"RNU1-61P",0
"LINC00566",0
"ABCA2",4.1673
"CAPS2-AS1",0
"SNX3P1X",0
"MIR4642",0.455
"STAT4",0.1141
"RNU6-1179P",0
"TMEM221",0.2577
"MTCYBP40",0
"RIMS1",0
"SYCP1",0.0172
"RPS6P23",0
"LINC02397",0.0105
"AMBN",3.603
"IQCA1-AS1",0
"RNU2-32P",0
"SRSF10",17.4049
"RN7SL546P",1.6726
"MVP",4.2044
"EIF2B5",9.8789
"GPA33",0.1615
"RPL7AP69",0
"CDC73",5.2704
"CXCL9",2.1515
"SPATS1",0.0238
"HNRNPM",61.6694
"LINC01692",0
"UBA52P6",2.5395
"RAB5CP1",0.3216
"CBX3P6",0
"FBXO9",9.7254
"LINC01513",0
"LINC02234",0
"LINC02462",0
"FBXO41",1.4019
"CCR5AS",0
"LDB1",24.687
"LRRC41",18.1571
"RNA5SP492",0
"MICAL1",1.2268
"RNF181",35.1093
"TMEM109",77.8283
"RNU6-975P",1.066
"SERF1AP1",0
"RAPGEF2",3.5555
"TUBB4BP5",0
"SULT4A1",0.0131
"LINC00484",0.2826
"HSD17B7",0.9952
"SETP20",0.5255
"RHBG",0.011
"OTX2",0.0342
"TAGLN2",180.3456
"C12orf50",0.0133
"VIPAS39",7.3714
"PTCD2P1",0
"STX3",4.9145
"LINC02663",0
"DSTNP2",3.1065
"IGLV2-34",0
"NCKIPSD",5.7745
"ZNF134",4.7783
"WARS1",24.4478
"PIGM",18.254
"EEF1A1P24",2.491
"RNY3P8",0.2961
"RNA5SP216",0
"RPL34P31",2.3131
"MTIF2",15.7694
"MIR4653",1.7981
"KIF17",0.2087
"UBA5",6.9573
"CWC27",4.2898
"RUNX1T1",2.1116
"LINC01053",0.1452
"AK4P1",0.3356
"MRPL45P1",0.0816
"LINC02389",0.0188
"TRAV4",0.0945
"CNGA2",0
"ZFP62",2.5959
"ACTBP11",3.2142
"ST6GALNAC6",3.7825
"CDH20",0.0453
"INSIG2",6.2437
"MIR7845",0
"IFNAR1",11.2331
"POC5",1.7963
"MCFD2P1",0.7462
"P2RY13",0.675
"CDY20P",0
"RNU7-11P",0
"LINC00556",0
"GABRR3",0
"RAB28P1",0
"AP3D1",41.3717
"RNASE9",0
"RN7SL34P",0.691
"CD300LB",0.3704
"WDR20",3.0041
"OR5AL2P",0
"PTP4A2P2",1.5608
"LINC00508",0
"RNU6-358P",0.4975
"LGALSL-DT",0.0516
"PEX13",5.5999
"RN7SKP26",0
"LINC00866",0
"LINC00634",0.1472
"NCOA4P3",0.2187
"MAP3K11",9.7623
"ACADM",15.7109
"C15orf62",0.4408
"RN7SL32P",0
"CTDP1",6.5012
"GDI1",26.656
"LINC02003",0
"RN7SL141P",0
"RPL35AP31",0
"SPTSSB",0
"SLC2A1",8.0954
"C3orf79",0
"KLF14",0.3959
"TM4SF20",0
"MIR6731",0.5182
"SLITRK6",0.0173
"LINC02436",0
"CAAP1",2.9834
"RNA5SP530",0.3162
"OR9L1P",0
"IL1RAPL1",0.0712
"LINC02861",0.1874
"MTLN",2.5287
"SAGE4P",0
"UBE2W",3.2098
"SURF6P1",0
"KLHL26",2.3023
"TM4SF19-AS1",0.9433
"MIR4473",0
"C2CD2L",3.5182
"SPTLC1P4",0
"MTPAP",1.9987
"METTL9",7.5312
"PRKX-AS1",0.3615
"ANKRD13C",10.1175
"MIR518A1",0
"P4HA2",29.1662
"SNORA11D",0
"ZNF8",3.7074
"SLC7A8",8.4762
"MED15P8",0
"NEXN",11.8007
"TAT-AS1",0.0427
"MIR3127",0.3361
"MIR4744",0.455
"AATK",0.5095
"SLC25A23",1.3975
"C1orf220",0.8067
"GK2",0
"PGM5",0.201
"SDR42E1P4",0
"MIR29B2CHG",0.0191
"RNA5SP98",0
"OPN5",0
"ADIPOR1P1",0
"UBAC1",6.4127
"C4B-AS1",0
"NDUFB1",13.6682
"RNU6-72P",0
"TMEM163",0.1426
"RNU6-651P",0
"LGI4",1.4901
"XKR4",0.0113
"SNORA58B",1.0974
"PPIAP30",0.1438
"RNU6-1305P",0
"ANP32B",102.0515
"VPS25P1",0
"ANKH",19.8318
"CHN2-AS1",0.374
"ARAFP3",0
"NRL",0.4195
"MRPL39",8.2153
"H3P39",0
"RNA5SP338",0
"CNR1",0.1761
"MIR4715",0
"ERVH-1",0.0584
"MIR4497",0.8385
"NHP2P1",1.1306
"KISS1",0
"RNU6-246P",0
"MAZ",42.4651
"MIR6515",0
"TNRC6A",4.4129
"CLEC16A",2.2169
"CIB2",6.0505
"RNA5SP447",0
"UBE3B",4.0209
"KRT8",2.1146
"DCUN1D2",3.4513
"CCNB3",0.1104
"ITGB2-AS1",0.2296
"RN7SL429P",0
"KCNJ14",0.5588
"IGHV3-20",0
"FXNP2",0.0682
"MIR4489",0.6018
"ATP11A",5.0806
"NDUFA3P1",0.1481
"ERVV-2",0.0153
"PROX1",0.1128
"COX6CP11",0
"SLC25A20",9.7137
"SRGAP2C",4.6595
"RNA5SP48",0.2961
"OR7E25P",0
"ACTG1P11",0.4643
"BOLA2P3",0.1457
"GLS",5.4294
"LINC02371",0
"SECISBP2L",4.7481
"BRIP1",2.0311
"SLC31A1",13.3104
"DLEU7",0.5511
"ADM2",5.9248
"GPR162",3.0913
"DEK",61.1646
"RSL24D1P8",0.0758
"RN7SKP127",0
"OR2T8",0
"BNIP3P31",0
"GSR",19.9063
"RNU6-1327P",0
"SUB1P3",1.7767
"TENT5B",0.0788
"RNU6-1075P",0
"LINC01448",0
"CBX3P5",0.0716
"RN7SL800P",0
"SP7",304.3922
"MINDY2",7.3762
"PRKRIP1",10.3272
"ARF1P3",0
"OR5AP2",0.0371
"EEF1B2P7",0.3312
"ARMC9",0.6257
"DGUOK-AS1",1.2078
"SRGAP3-AS1",0
"SLC17A9",10.2655
"CLUHP4",0
"OR8S21P",0
"ZNF682",0.0526
"PPIAP36",0.2296
"STK31",0.0543
"RN7SL222P",0
"RN7SL683P",0.1382
"SAP25",0.1882
"KRT128P",0
