"","x"
"MKNK2",15.9334
"IGHD1OR15-1B",0
"LINC01163",0
"LINC01058",0.0498
"PSMB8-AS1",4.3039
"RGS9BP",0.2469
"LARP7P4",0.0509
"FAM8A2P",0
"POLR2CP1",0
"NIPA2P2",0
"TRIM36-IT1",0.0253
"COG1",8.2492
"OR2J2",0
"SLC25A51P3",0
"GAPDHP37",0.0231
"HSPA4L",0.8494
"RPP40",8.3433
"TESPA1",0.0133
"RNU6ATAC33P",0
"MIR6129",0
"OCA2",1.1576
"LINC01725",0
"RP2",6.5594
"LINC02802",0.6654
"PLAAT4",7.8567
"LINC02853",0.0353
"LRRTM1",0.0133
"GREM2",7.5137
"NRBF2P5",0.1984
"ZNF672",12.3452
"PRKAB2",5.5504
"IL1R1",5.5996
"CASC11",0
"CBR4",2.3818
"CRYM-AS1",0.0533
"MIR4474",0
"HIGD1A",22.999
"TRAJ43",0
"RAB11AP2",0
"EXTL3",6.2166
"ARSD",8.7169
"MYO1B",9.5851
"LYSMD2",4.0379
"PLP2",244.7482
"RPL19",439.9705
"RN7SL1",0
"LSM12",14.8247
"PPIAP78",0
"ZNF831",0.0047
"AKIRIN2P1",0
"PPP1R26-AS1",0.8695
"EIF4A1P2",1.3363
"MTND1P2",0.1088
"CAP1P2",0.3804
"TEX28P1",0
"BTBD7P2",0
"IGLV10-54",0
"OR11J2P",0
"FAM27E3",1.4299
"RNU6-323P",0.2087
"LDHB",129.158
"SIK1",1.3803
"PCF11-AS1",0
"HSPA8P11",0.2589
"DDX60L",5.6456
"MIR138-2",0
"RCN1P2",2.8312
"LRRC55",0
"DEFB130C",0
"PTPN20CP",0.0971
"RNA5SP346",0
"HCRTR2",0.216
"PSG9",0
"DEFB131E",0.0327
"RGMB",1.5198
"OR52B2",0
"RNA5SP72",0
"SEPHS1P1",0.0699
"HTATSF1P2",0
"RPL7P26",1.3032
"OR2AM1P",0
"RNU6-309P",0
"MIR3913-1",0
"CD48",1.1596
"RNA5SP293",0
"RNF19A",5.1465
"TNS2",8.2701
"RPL7P56",0.1869
"MIR548A2",0
"PARP4P3",0
"MIR6802",0
"LINC02323",0.2647
"GJA5",0.0068
"BHLHB9",0.7649
"SLC25A39",41.0103
"RSU1P2",0
"PPIHP1",0.2189
"DHCR24-DT",0
"GNG4",0.0372
"PPIAP72",0.0443
"SEL1L2",0.023
"CRPPA",0.3858
"AIG1P1",0
"BIRC5",32.442
"TAF6",9.5484
"CXorf51A",0
"RNA5SP136",0
"VCAN-AS1",0.1019
"RNVU1-15",0.1353
"MTND4LP12",0
"C8orf37",1.3933
"SPACA4",0
"CHAF1A",15.3818
"CHIAP3",0.138
"ATG7",0.9633
"SMN1",2.6464
"SLURP1",0.0832
"SAMD5",4.4877
"SELP",0.0192
"RPL13AP2",0.5478
"TUBB2B",10.9626
"DNHD1",0.5609
"UBE2CP1",0
"LINC01378",0
"TBCCD1",4.5386
"OSBPL9P2",0.0182
"IGLV10-67",0
"CEP170",4.9303
"ACOT4",2.827
"MIXL1",0.033
"FRMD6-AS2",0
"AK8",0.3107
"CLUHP4",0
"PPP2R3A",3.0776
"RNF10",20.4547
"EIF2AK4",6.1448
"P2RX1",0.1181
"EIF3IP1",0.1386
"RPL31P15",0
"OR51I2",0
"CLVS1",0.006
"TARDBPP1",0
"B3GALT2",0.0682
"EIF4EBP1",259.6009
"SFTPA3P",0
"EGLN1",8.4534
"SNRPCP15",0
"GSDMC",0.1218
"IGLV3-7",0
"ZBTB18",1.4122
"ALG1L5P",1.0717
"ZNF440",1.5741
"RPS29P13",0
"TASOR",8.361
"DAP3P1",0.482
"RNU6-882P",1.0841
"PLCB1-IT1",0
"MPRIPP1",0.6562
"ELOB",71.135
"DDX6",20.3185
"PMCHL2",0
"ATP5PB",29.0856
"OAZ3",0.0668
"LINC00563",0
"H3P32",0
"GUCA1C",0
"TMPRSS5",0.4782
"RNU2-57P",0
"SCAMP3",45.0763
"KCNJ14",1.0086
"NAGS",5.5791
"PTPRC",1.6087
"DOK1",14.0777
"DMD-AS3",0
"NAALADL1",2.2476
"SLC25A36P1",0
"MIR302E",0
"LINC00705",0.0256
"HECTD1",11.2791
"NSDHL",8.4362
"GOLGA8G",0
"GAPDHP50",0
"RTN2",1.5311
"GRAMD1B",1.0789
"LINC00308",0
"LINC01229",0.2039
"LINC02117",0.0827
"RNU4-2",2.3758
"LINC01256",0
"OR9G2P",0
"LINC01730",0.5033
"TCEAL3-AS1",0
"RPL21P24",0
"RNU6-919P",0
"PNMA6F",0
"MIR769",0
"RPS23P9",0
"PI15",114.6641
"IGHVIII-67-2",0
"ESYT1",17.2829
"ANKRD36P1",0
"TOMM20",105.4515
"SERPINA5",0.0947
"CHAD",6.4692
"DUX4L52",0
"KRT2",0.5224
"LINC01496",0
"BRSK2",0.1585
"ZNF81",0.9284
"TBL1Y",0.0278
"CROCCP1",0
"PROSER1",4.091
"PMF1-BGLAP",2.9717
"OR2W2P",0
"BRD8",5.011
"RPS12P26",1.0151
"OSMR",18.5097
"LDLRAD4",0.3318
"GRAMD2A",0.6628
"CCR12P",0.0895
"LINC02052",0.0249
"OR9S24P",0
"NRG1",0.0375
"TBC1D26",0.0083
"MTND1P22",0
"MIR4650-1",0
"C3P1",0.029
"CDC27P2",0.0581
"RNA5SP369",0
"RPL23AP84",0
"LINC01460",0.0078
"LINC02290",0
"RNU1-47P",0.9591
"RSRP1",3.1148
"ASXL1",9.7323
"TMTC1",1.1017
"ZNF776",2.3578
"TMIE",0.8326
"KPNA3",15.434
"EXOSC4",35.316
"TXNIP",68.1184
"SSUH2",0.0249
"RNU7-81P",0
"RPS3AP34",0.143
"MAP3K2-DT",1.6189
"CHCHD10",20.2962
"RNY4P29",0
"CCNDBP1",2.4165
"TGFA",0.3015
"PHBP8",0.3388
"NAMPTP2",0
"CTSG",0.0325
"CHMP4C",1.9628
"CASC22",0
"MIR4529",0
"NBR2",2.3867
"RNU7-56P",0
"MCM5",15.1865
"THNSL2",3.0316
"SHC1P1",0
"WBP1LP3",0
"MIR4447",0
"SNORD38B",0
"NPSR1",0
"FAM74A1",0
"RPS10P27",0
"OSBPL5",10.2419
"SNORA11F",1.9192
"RNU6-444P",0
"EIF1P1",0
"C1orf226",0.0894
"ST13P10",0.0413
"DYDC2",0.0362
"PHKA1-AS1",0
"CWF19L1",5.5369
"WNT9B",0
"PTMS",210.3786
"LINC01475",0
"DEFB108E",0
"ST6GALNAC1",0
"C9orf163",0.1823
"RAD1P1",0
"ICA1L",0.6511
"SIGLEC18P",0.1965
"MIR1295A",0
