"","x"
"CAPN13",0
"RNU6-1241P",0
"CTAGE11P",0
"LIX1L",12.0167
"RN7SL18P",0
"RN7SL482P",0.2287
"ITIH6",0
"LINC02153",0
"LINC01255",0
"RPL5P22",3.0833
"OR4B1",0
"MT-TQ",0.4732
"SDSL",9.7782
"TTTY9B",0
"LRRC57",3.8672
"HKDC1",0
"MIR5692A2",0
"SNRNP35",4.05
"RNU6-153P",0
"GXYLT1P3",0
"WFIKKN1",0.0698
"MIR769",0.2887
"TNFRSF10C",0.1038
"CALM2P4",0.3199
"TGFBR3L",0.2472
"RNU1-139P",0.413
"PPP2R2D",5.0648
"FANCA",2.7365
"LGR5",0
"PGM5P2",0.086
"LINC02343",0
"KRT78",0
"RNU6-155P",0
"TFCP2",11.6445
"OR7E129P",0
"KCNMB3P1",0.0402
"RNU6-976P",0
"LINC02625",0
"RNU6-862P",0.9734
"MED10",30.953
"RNU6-699P",0
"RAD9B",0.1179
"NCAPD3",3.7681
"CEP85",2.8088
"ZNF259P1",0.0415
"AMD1",11.2089
"HHLA2",0
"C5orf49",0.0286
"RN7SL460P",0
"CTXN2",0
"UNK",3.7401
"TDRKH",0.7761
"CCNG1P1",0
"LINC02482",2.422
"LOXHD1",0.0378
"COQ2",4.3478
"FANK1",0.0503
"TSSK5P",0.1878
"SETP9",0
"RN7SKP144",0
"RNF185",5.7327
"NPC1L1",0.0259
"BTG1P1",0
"PRAMEF9",0
"MEGF10",0.2156
"FAAP20",6.8384
"RGL4",0.0145
"RPS19P1",15.3865
"KLHL6-AS1",0
"LINC02507",0.0663
"ADGRE5",16.288
"CCNI",89.5147
"TCF20",3.1461
"RN7SL531P",0.3624
"IGLL5",0.0689
"LINC02257",0
"RBL2",2.1876
"LINC01949",0
"ZNF397",1.4043
"SCARNA18B",0
"TIGD3",0.1016
"LINC00303",0
"PAPOLA",20.1549
"PRSS47",0
"RN7SKP77",0
"ZNF675",0.4067
"RNU6-136P",0
"PTHLH",0
"MIR3179-4",0
"FASN",71.3881
"RBM42",101.0828
"RNU6-1092P",0
"SCML2P2",0
"ANKRD53",0.027
"RN7SL654P",0
"LINC02758",0
"IL32",1.2847
"BASP1P1",0.1025
"HTR5A",0
"LINC01040",0
"UNC93B3",0.0496
"MEG3",0.1469
"POGZ",3.8641
"C17orf98",0.2695
"RNU6-282P",0
"NIFKP7",0.0409
"SETMAR",1.2512
"COL9A2",5.1052
"TRIM53BP",0
"METTL24",0.0192
"FAM71BP1",0
"MIR3150BHG",0
"SRSF10P1",0
"PUS10",0.5566
"IMPDH1P8",0.2681
"RNU6-1005P",0
"RPS24",480.1086
"VWA5B2",0.0535
"ABCB5",0.0184
"NRXN2",0.2705
"LINC00602",0
"KAT2B",0.3568
"TGFB3",6.8778
"RETSAT",3.3007
"RNASE12",0
"KANSL1L-AS1",0.1085
"SLC22A6",0.0425
"IPMKP1",0
"TMEM184A",0.0786
"MACROD1",37.1851
"TMEM114",0.1681
"ATP6V0A4",0.0253
"MTND4P3",0
"EIF2S3",74.7441
"CPPED1",1.7392
"RNU6-992P",0
"INTS7",6.1712
"C1QL2",0
"RAD51C",4.2784
"OR1H1P",0
"MROH5",0
"LINC00114",0
"TXNL1P1",0
"MDGA1",0.0576
"KANSL1",2.4413
"TAS2R39",0
"NPRL2",6.2451
"IGBP1P1",0.1013
