"","x"
"RBBP4P4",0.1142
"ASPG",0.0521
"SMCO3",0.0233
"EML4-AS1",0.1296
"ACKR4P1",0
"LINC02648",0
"SMTNL2",2.0168
"FBXO48",0.9831
"MIR526B",0
"GSTA11P",0
"MIR4497",0
"SLC25A36",9.8113
"OR52Z1",0.0274
"RNA5SP195",0.8389
"LINC01805",0
"RNU6-662P",0.236
"TSC22D4",18.7988
"OR9P1P",0
"RBM4",5.7226
"EPS15-AS1",0.1547
"EFCAB6",0.0488
"ZER1",7.9007
"EGR3",2.6687
"PARP1P2",0
"MTND3P24",0
"RNF139-AS1",0.2333
"TUBB8P6",0.0191
"OR1J2",0
"BMS1P8",0.0679
"GK5",1.5057
"MIR450A2",0
"ATP5F1AP7",0
"DEFA9P",0
"CCDC74A",1.8502
"CIT",5.0191
"RMC1",6.091
"PDCD6IP",11.8242
"XAGE2",0
"RN7SL332P",0
"CREBZF",19.892
"MTND5P1",0.1428
"PGPEP1",2.5257
"RAB25",0.13
"C1orf147",0.0585
"IGLV3-7",0
"KIF7",12.2572
"DPYD-AS1",0.0498
"SYTL3",0.9236
"RNU6-8",2.2934
"MIR4789",0
"UPF3AP2",0.6168
"DISC1-IT1",0.0322
"NUP42",2.8608
"SNORD115-6",0
"RNA5SP259",0
"MIRLET7I",0
"PPP2R5C",9.1241
"RNA5SP196",0
"PFKFB3",33.0722
"FTMT",0
"MIR22HG",5.2595
"SNORD116-13",0
"CHRFAM7A",0.5276
"LINC02649",0.0716
"SLC6A1",0.0751
"ORAI2",6.8027
"CEP164P1",0.0451
"SOX14",0.0239
"DYM",6.5304
"RNU6-1327P",0
"BPIFB4",2.7265
"NEIL3",2.8445
"LINC02475",1.243
"DXO",8.005
"RN7SL597P",0
"PRUNE1",18.8908
"RPL35P6",0.5277
"ZNF877P",0.0401
"MCF2",0
"PSG10P",0.0135
"CCNT2",6.5718
"EEF1A1P11",2.385
"TRAV31",0
"OLIG2",0.0146
"SHISA8",0.0524
"ISG20L2",11.8311
"RIOX2",1.5051
"RPS20P20",0.433
"KLF2P2",0.0236
"RNA5SP185",0
"MAP3K5-AS1",0.3887
"MS4A13",0.019
"RN7SL354P",0.1669
"MTRNR2L12",8.936
"GPATCH11",6.3959
"RPL5P18",0.3305
"CACNA2D3",0.0578
"ACTR3BP3",0
"PPARGC1A",0.0406
"LOXHD1",0.0299
"FEM1AP3",0.0141
"MIR4268",0
"CBX1P3",0.0931
"TMEM256P2",0
"RNU6-1176P",0
"SLC4A4",2.4536
"PRRT1",1.3476
"CNN2P12",0
"HMSD",0.2269
"RPL13AP23",0.1675
"PLCL1",0.4655
"MIR591",0
"YWHAB",154.3193
"P2RY6",0.1913
"MARK2P12",0.0419
"OR4B2P",0.0278
"GK-AS1",0.0754
"MAPT",0.1694
"ISCA1P1",0.1902
"INPP4A",7.4973
"ARHGAP27",0.8614
"HMGN2P36",0.12
"H2BC19P",2.2399
"CYP4A27P",0.2583
"RNU6-876P",0
"TTC3P1",1.0169
"C1GALT1P2",0.0667
"ARHGAP19-SLIT1",0
"COG1",8.7088
"PRH2",0.4538
"KRT18P10",0.0191
"FAM81B",0.0688
"RNU6-1119P",0
"MTND4LP2",0
"NF1P3",0.1091
"LINC02515",0.6867
"ACTG1P3",0.1982
"CD200R1",0.1194
"POLDIP3",33.0367
"ARF1P1",0
"PIK3C2B",1.0505
"CRYGS",1.1066
"HAAO",2.3855
"POM121L1P",0
"MIR3683",0
"SOX10",0
"RNA5SP208",0
"LINC01208",0.0472
"POMT1",5.2338
"CT47A10",0
"ATG13",8.4857
"GPAA1P2",0
"LMO7",13.0235
"KERA",2.917
"BCO2",0.1843
"DUSP7",8.1507
"UBE2Q2",15.238
"SLC22A20P",0.037
"DUX4L18",0
"LINC02301",0.014
"FZD3",2.4847
"DCAF12",10.2627
"BPIFA4P",0
"LINC01676",0.0164
"OR7E100P",0
"ZNF346-IT1",0.4611
"RNU6ATAC16P",1.0669
"RN7SL50P",0
"KRT8P41",0.0324
"MTCO3P10",0
"BTN3A2",21.2981
"PRRC1",11.0566
"CLEC18A",0.2358
"OR7E116P",0.0256
"KIR3DL3",0
"IFNA1",0.0213
"SNORA74C-1",0.1221
"RPL29",109.7703
"RNU6-1290P",0
"RPL23AP36",0.0536
"RNU6ATAC39P",0.1647
"MRPS17",3.2165
"RNU7-194P",1.1685
"OR4C1P",0.0791
"MOGAT1",0.0234
"RTKN2",0.7659
"BTF3P10",0.347
"RAP2CP1",0.0335
"ATP23",5.6656
"RNU1-72P",0.9623
"AMD1P4",0.0547
"YDJC",5.9179
"SNRPA",32.8016
"HIGD2A",38.6818
"TRGV11",0
"HMGB1P24",0.2291
"SBSN",0.0247
"RRAS",26.1889
"SMCR2",0.0435
"DEFB125",0
"RNU1-45P",0
"SELENOO",7.695
"RN7SL832P",0.7127
"CPA1",0.0588
"CDC20B",0.1528
"ADGRA3",5.0908
"PWP1",17.2438
