"","x"
"CHAT",0.0223
"RPSAP1",0.0379
"ACOXL",0.029
"NPM1P50",0.0385
"IRF8",0.7238
"OTOG",0.0125
"MYH1",1.1906
"MAP1A",18.47
"RPL23AP52",0
"RNU6-140P",0
"IGHV3-15",3.2061
"ARHGAP42P3",0
"MANBAL",47.192
"RPL7P22",0.2276
"WASF2",35.9744
"RNA5SP387",0
"SBF1",6.869
"MC4R",0.1802
"MIR324",0
"NUGGC",0.0084
"HEBP2",31.8193
"GYS2",0.0426
"SYNJ2BP-COX16",0.095
"GJE1",0
"RNU7-102P",0
"RNU6-929P",0
"TTLL11",0.8399
"MPC2",9.9214
"EEF1B2P6",0.7931
"NPM1P23",0
"CLDN9",0.0814
"RPL23AP35",0.0666
"PLG",0
"CCDC12",9.1151
"UBE2V1P14",0
"MIR28",0
"CENPF",3.4986
"MIR6815",0
"ZNF664",9.7236
"DLGAP1-AS2",0.3051
"CEMIP2",10.6853
"LINC01276",1.4025
"MIR676",0
"ACSBG1",0.1581
"CDHR4",0.0316
"RAP2A",3.9767
"MTCO3P12",65.4983
"SNORA68B",0.5016
"CHCHD2P8",0.0746
"EXTL2",11.0553
"OR52U1P",0
"NDUFAB1P1",0
"DAPK1",9.262
"NR2F2-AS1",0.1816
"GPC6-AS1",0
"CRYBB2P1",3.7947
"RTN4RL2",2.9628
"ACAD11",0.0118
"RN7SL519P",0
"RNU6ATAC9P",0
"LRP12",1.9858
"CHCHD6",3.8635
"RPL23AP81",0
"LINC00472",0.0775
"NPHS2",0
"LINC02069",0
"TEX2",2.9639
"MIR491",0
"CICP7",0
"ZNF626",0.6156
"LINC01455",0
"ESPL1",3.0395
"RNU6-938P",0
"EEA1",0.608
"RN7SL771P",0
"RGCC",11.249
"OR10A3",0.2515
"MIR1233-2",0
"MIR643",0.3439
"CHAD",21.4001
"KIF26B",1.0608
"HSPD1P10",0
"MVB12B",1.7729
"BACH2",2.4169
"EIF3G",56.9829
"STRCP1",0
"LINC01770",1.0584
"RN7SL82P",0
"MRE11",1.5966
"FOXD2",0.2997
"RBM4B",4.489
"GATA5",0
"ATP5F1AP4",0
"NXPE4",0
"BAALC-AS1",0.3442
"VSTM2A",0
"PA2G4",55.361
"PROKR2",0
"GPBP1",5.2162
"FOXL2",0.263
"STARP1",0
"EGLN1P1",0
"RBMY2OP",0
"EEF1E1P1",0.5431
"PEX19",13.1387
"RNU6-92P",0
"MGAT5",4.9622
"ARHGAP22-IT1",0
"C3orf38",4.1435
"TTR",0
"LINC02829",0
"RNU1-73P",0
"LINC01460",0
"SC5D",1.0848
"RNU6-1087P",0
"VASH2",0.727
"HMGB3P3",0
"VPS13B-DT",5.7939
"RNU6-94P",0
"CYP2AC1P",0
"RN7SL12P",0
"MYO15B",1.4068
"THADA",2.6439
"RN7SL753P",0
"RN7SL737P",0
"TMEM242",2.076
"NUBP2",13.6502
"TMX1",7.4148
"TPMTP3",0
"COPA",59.6041
"OR52E7P",0
"CHRDL1",0.0766
"LINC02188",0.0343
"DACH2",0
"CD200R1L",0
"GPC6-AS2",0
"CIAO1",26.3909
"FRMD3",0.0874
"PIGZ",0.6441
"PRSS38",0
"RN7SKP82",0
"HRK",0.0146
"LINC02810",0.0547
"RNU6-271P",0
"FAM138E",0.0274
"FOXD1-AS1",0
"MIR3176",1.112
