"","x"
"SPANXA2-OT1",0
"JAK3",3.0235
"CNN2P9",0.1585
"USP32P2",0.0149
"CECR7",0.0037
"RNU4-20P",0
"CLCN4",4.5501
"PGAM2",0
"ZNF268",1.4603
"IGHVIII-67-3",0
"SNORA40B",0
"WNT9A",0.3386
"ATRX",2.7762
"CDC42EP1",72.3137
"CLIC1P1",1.5917
"PDE3A",0.0191
"SDCBP2",0.5369
"LINC00349",0
"LINC01119",0
"HSFY3P",0
"TRPC1",1.4065
"PDGFRB",53.477
"ARHGEF11",6.2001
"GABRR3",0.0056
"AANAT",0.0146
"BECN2",0
"ABHD13",2.1079
"TEKT2",0.1052
"CAPNS1",134.0029
"RNU6-217P",0
"DDTP1",0
"RPL23AP87",0.4328
"CSTF3",7.9513
"KCTD16",0.0381
"MMP19",0.3768
"RNU6-74P",0
"ENTPD2",0.4863
"SLC26A4",0.0276
"ST3GAL1",9.531
"GJA3",0.0061
"PTX3",2.1698
"TLK1",5.2228
"AMBP",0.6823
"PRPS2",14.9666
"OR7M1P",0
"CAP1P2",1.0905
"NUDT8",4.8071
"OR4B2P",0
"FAM90A20P",0
"PCF11",2.9338
"PMS1",3.0877
"MIR152",0.5874
"ZNF123P",0
"CCDC68",3.7603
"ADRA1A",1.1221
"MUS81",4.8519
"FBXL17",1.3868
"FRG2IP",0
"WBP1L",11.762
"NPM1P34",0.233
"SNX18P12",0
"KIF9-AS1",1.5293
"HLA-B",270.5513
"PRPF19P1",0
"PCMTD1P2",0
"RNU6-718P",0
"CYTH1",5.5773
"LPP-AS2",2.6096
"MRPL40",22.2936
"OR52H1",0
"DUX4L3",0
"BVES-AS1",0.6479
"LIPJ",0.0778
"EIF4HP1",13.7689
"UNC5CL",0.1633
"HNRNPA1P49",0.2479
"RNU6-1129P",0
"MT-ATP6",1620.2149
"RARRES2P5",0
"KLHDC4",1.7184
"MIR3689F",0
"XAGE1A",0
"ALG1L11P",0.0356
"PLA2G4B",0.036
"MAPK4",0.0021
"TAS2R14",2.1931
"CERNA1",0.1145
"ERG28",6.1213
"RPL10P2",0.2628
"MTND5P3",0
"NRADDP",0
"NSMCE2",7.6897
"LINC01887",0
"RN7SKP292",0
"SRRM2",11.2566
"IARS2P1",0.0504
"ERC1",12.6664
"VSTM2B",0
"RPL29P2",0.8526
"THAP5",2.1132
"RNU6-263P",0
"COX20P1",0.4035
"SNORA3C",0
"LUM",152.1048
"SMIM3",6.0398
"EIF3J",27.9181
"IGHV3-53",0
"RTP3",0
"MIR4755",0
"GAS2L1",9.844
"LINC02415",0
"RPL21P88",0
"C12orf74",0.004
"RTL8B",17.0877
"S1PR5",1.4032
"CT55",0
"LARP1BP2",0
"PLSCR5-AS1",0
"ULK1",3.2335
"TMEM161BP1",0
"CYP2S1",0.4065
"LINC00298",0
"CES4A",0.0774
"RNU4-84P",0
"PRRG2",0.4046
"NFAM1",1.0786
"RNU6-220P",0
"MIR619",0
"GOLGA6L6",0
"RN7SL209P",0
"PLCD4",0.4256
"SQOR",6.9765
"PRYP4",0
"C5orf64-AS1",0
"PKMYT1",2.9442
"FRMPD4",0.8099
"RNASEH2A",18.1248
"RPL5P15",0
"IGHVII-53-1",0
"TUBB4BP3",0.0591
"RN7SL280P",0
"GPX1P1",24.6156
"RAB6A",21.7002
"HES5",0.2083
"RNU6-1201P",0
"GTF2H2B",1.251
"LINC02816",0
"CKMT2",0.427
"RNU6-714P",0
"PRDM4",5.3843
"MOCOS",1.7608
"CSAD",4.86
"GOSR2",9.1793
"ZNF880",5.3065
"NHLH2",1.4411
"LARP7P4",0
"ATP6V1B1-AS1",0.1827
"FANCC",5.5934
"GTF2IP3",0
"IGLVIV-59",0
"RP9P",5.4171
"NXT1-AS1",0.0983
"PRMT8",0.0169
"RNU6-1286P",0
"H3P40",0
"HNRNPA1P52",0.6929
"ZNF320",2.9416
"PPAT",7.9277
"UBA2",18.5051
"SUGP1",4.8919
"RNA5SP247",0
"MYO18B",0.6679
"SAR1A",34.7147
"KCNJ14",0.4278
"IGSF3",7.6675
"RNY4P29",0.165
"CDKN2C",20.1491
"PAX9",0.4482
"CD72",1.1723
"RN7SL265P",0
"LXN",8.9286
"PTGES3P3",1.6935
"RNU6-1038P",0
"UBE2V1P13",0.0365
"C5orf60",0.1072
"PANK3",4.6625
"IGLL3P",0
"PRR14",5.6807
"AMH",0.2537
"PRUNEP1",0.0227
"COX6CP18",0
"MEA1",64.7566
"GRIK3",0.3103
"DEFB127",0
"C1orf137",0
"ELDR",0.1415
"TSPY19P",0
"EPB41L4B",2.3788
"LINC00184",0
"RN7SL426P",0
"RNU6-519P",0
"TRAJ16",0
"SNX18P7",0
