"","x"
"BPY2C",0
"HSD11B1L",1.6308
"ITGAD",0
"WDR82",24.0552
"ERP29P1",1.6801
"RNU6-446P",0.2894
"RN7SKP47",0
"SNORD113-3",0.4261
"LINC02393",0
"STIM2",6.792
"RNU6-922P",0
"COL1A1",7658.3074
"EDDM13",0.0969
"LINC02683",0.0299
"SLC26A4-AS1",0
"BTF3L4P4",0
"TPRG1-AS2",0
"HLA-DPB2",0.0383
"EEF1A1P21",0.0076
"RPL19P13",0.0175
"NCOA4",27.2076
"RN7SL28P",0
"CLK3P2",0
"RTN4",76.6589
"FSCN2",0.0304
"NEXN-AS1",0.0446
"ZNF594",0.3444
"OR1M1",0
"TCTE3",0.074
"XPOT",35.4039
"RNU6-395P",0
"NXPE1",0.0024
"KRTAP3-2",0
"MTND2P14",0
"EIF4E",4.8312
"HOXC11",2.1266
"ZNF333",1.3069
"TMEM177",1.2328
"PCTP",2.3251
"RNU1-6P",0
"CAMK2A",0.0582
"OR5W2",0
"COX6A1",107.5678
"SLFNL1-AS1",0.1001
"DDX5",78.3575
"SLC20A1",20.1635
"TDRP",0.651
"SOCS5P5",0.0064
"TEAD3",4.9416
"RNA5SP95",0.1493
"ADAMTSL2",0.2514
"TRMO",2.5765
"TRBV29-1",0
"MIR641",0.1033
"ABL2",5.3956
"RPL6P25",0.1427
"GSTO1",30.7436
"KIR2DS4",0.0127
"IQCH",0.4575
"POTEH-AS1",0
"NDUFS5",387.4946
"YDJC",6.582
"DTNB",2.0849
"LINC01867",0.0169
"KIRREL3-AS2",0
"ZNF224",0.393
"KCNIP1-AS1",0
"MAP3K6",12.6257
"POLG",13.5472
"ZNF501",1.5221
"LINC01218",0
"APEX2",10.8402
"ADGRE2",0.1281
"EDEM1",2.7993
"PAXBP1",4.5613
"SDR42E1P4",0
"RNU1-51P",0
"LINC02654",0
"SEPSECS-AS1",0.493
"RNU7-182P",0
"PRKRA",9.0763
"RNU1-30P",0
"RPL7P60",0.0278
"PATE3",0.0153
"ZNF101P1",0.0119
"CNDP1",0.0071
"DST",1.6165
"HMGN1P10",0
"SNORD114-14",0
"NUP133",4.9783
"LINC00877",0.0713
"RNU4ATAC13P",0
"PNMA6F",0
"MYL3",3.2858
"MIR4725",0
"ZHX1",7.4846
"NOS1",0.0039
"DNAJC9-AS1",0.0376
"FAM47E",0.0129
"FCF1P6",0.0859
"ABHD14B",9.4461
"LINC02426",0.0224
"PSMD7",25.2694
"POTEB3",0
"LINC00265-3P",0
"CACNG6",0
"RNU2-16P",0
"UGT2A1",0
"SKA2",34.6855
"LINC02800",0.0111
"NUDT17",0.6788
"TPRKB",8.8619
"IFT81",1.5751
"MCOLN2",0.0594
"PPP1R9A",0.0028
"EZR-AS1",0.0471
"TRIM17",0.0749
"SHC3",0.1298
"FZD8",5.6939
"MIR526A1",0
"RNU6-37P",2.3892
"ARHGAP12",2.0527
"RDM1P4",0
"PHLPP2",0.4134
"KBTBD8",0.2008
"C1orf87",0.0092
"CDCA7",8.0787
"MAP7D2",0.1753
"SNORD114-12",0
"SERPINB5",0.8878
"PDIA3P1",16.009
"A2ML1-AS1",0
"ITGB1-DT",0.2914
"ADAM33",0.5644
"IZUMO4",0.2843
"KREMEN1",0
"ATP6V1G1P3",0
"RNU6-1225P",0
"HTR1A",0.0112
"CRYGEP",0.0194
"RNU4-72P",0.1773
"LINC01869",0.0109
"CALML6",0.0088
"MIIP",7.8587
"STOML2",32.908
"FASLG",0
"RNA5SP469",0.1876
"KRBOX1",0.0035
"PLEKHA8P1",1.3311
"TMEM123",40.5574
"MIR208A",0
"ZNF75BP",0
"TMX1",25.6563
"LINC01592",0
"CHN2",1.1367
"COX6B1P3",0
"NCOR1P2",0
"TMEM240",1.934
"IGKV3D-31",0
"KCNE1",0.0107
"LZTFL1",1.3732
"MTMR1",3.3493
"INAFM2",10.8627
