"","x"
"OR52M2P",0
"OR2T27",0
"H2BC9",5.6829
"MIR921",0
"LINC01123",0.0813
"LDHBP3",0.0543
"RARA-AS1",1.4091
"HIPK3",6.9141
"LINC00337",0.5166
"HMGN2P6",3.9247
"MUC20P1",0.093
"RNU6-1043P",0
"HMGN1P16",0
"RN7SL452P",0.4602
"SLC39A13",19.6725
"ZDHHC4P1",0.0431
"RN7SKP290",0
"CNMD",0
"ANK3",0.6466
"TRAJ1",0
"KSR2",0.011
"ANKRD20A11P",0
"SLC2A5",0.2735
"C19orf33",0
"ROBO2P1",0
"RNU4-63P",0
"SLC25A5",278.8848
"UTP4",16.7421
"GLIPR1L2",0.1001
"MIR652",0
"RNF10",42.8191
"CRCT1",0
"GIMAP2",5.1839
"RNF34",8.1311
"RHBDF2",2.766
"RPS12P23",0.6185
"TNXA",0
"TSPAN10",0.1129
"PPEF1",6.481
"SLC39A12",0
"DDX55P1",0
"RNU6-931P",0
"RBM11",0.2554
"OR4D6",0.0424
"CCER1",0.0206
"SPAG7",11.4722
"GK5",1.1218
"RPL12P26",0.0458
"APH1B",3.4941
"PAGE2B",0
"IL1B",1.1536
"OR5S1P",0
"RPL10P8",1.5689
"GUSBP16",0
"TAF11L12",0
"ETDA",0
"EVL",8.0451
"C8orf82",14.3033
"FCF1P1",0.0782
"SAP30BP",4.5464
"XPNPEP2",0.1148
"RAD51-AS1",0.8555
"DGAT2",0.2372
"ELAVL2",0.0565
"RAB3IP",0.0372
"SLCO4C1",0.0167
"LCE4A",0
"MIPEPP2",0
"RABEP1",8.2334
"NPHS2",0
"RAMP1",5.8788
"MIR5192",0
"LINC02121",0
"TMSB4XP3",0
"CCT5",38.8361
"GPR63",0.1725
"PTK7",34.6003
"RNU6-965P",0
"C9orf85",4.7489
"H4C14",0.7258
"RNU6-770P",0
"OR10G9",0
"LINC00544",0
"RNU6-1105P",0
"MAPK1IP1L",23.2894
"MRPL58",13.82
"MIR1238",0
"TBC1D12",4.1863
"CDY14P",0
"FAM220BP",0.0821
"RNU7-41P",0.3659
"MRGPRX1",0
"GRXCR2",0
"GPR68",3.4865
"TP53I13",10.1888
"AURKAP2",0.3352
"IMPDH1P4",0.0291
"HLA-DRA",323.8535
"CEBPB",53.3502
"ADAM24P",0
"MIR335",0
"LMNB1",37.9459
"KMT5B",7.5457
"PPM1L",1.9206
"ALG1L3P",0
"MIR6745",0
"BZW2",23.1078
"LXN",9.4095
"PIK3C3",2.5832
"ELOVL1",58.5505
"MIR3657",0
"CZIB",11.8
"DCAF13P2",0.0804
"LINC01836",14.6757
"IL20",0.0427
"DNM1",1.3038
"OR4K3",0
"EXOC1",8.871
"NTSR1",0.2634
"CSF2RA",2.2147
"MIR4283-1",0
"SLC30A6",5.8878
"PPP1R7",12.2204
"LINC02552",0
"UBE2V1P15",0.0498
"PQBP1",34.6728
"PFKFB4",1.9993
"SLC25A15",2.6732
"LILRA2",0.2295
"ZNF589",1.5161
"TEX14",0.6372
"ZNF229",1.8368
"MRPS18CP6",0.3003
"MTND4LP22",0
"TTC39A-AS1",0
"AREL1",9.1021
"SNORD53B",0
"B4GALNT3",7.1736
"FRS2",5.2275
"NEURL3",0.3933
"DR1",7.9427
"GDPD4",0
"RN7SL146P",0.2255
"TLX3",0.0299
"RPL13AP6",5.9451
"MTND6P22",1.371
"USP17L10",0
"FBP2",0.0171
"AP3B1",12.1348
"LINC02484",0.0226
"CCNT2-AS1",0.2208
"NDUFAF8",8.8248
"HMGA1P1",0.1471
"DDX39B-AS1",0.1271
"MYC",65.9678
"CROCCP2",3.4615
"IQCF5",0
"PARP12",6.787
"BCLAF1P1",0.0081
"C2orf27B",0.0337
"MIR30A",0
"OR6S1",0
"YTHDF3-AS1",0.9327
"RPS6P20",0.0201
"OR4A46P",0
"ZNF439",0.7288
"SNAPC1",10.2783
"HMGA1P8",1.3212
"MOB3A",22.6335
"OR13E1P",0
"RNU5E-4P",0
"ERMP1",7.0815
"MIR141",0
"GNL3",23.7544
"LINC02598",0
"MIR3193",0
"AKAP11",2.9995
"EEF1A1P17",1.7682
"LINC01739",0.033
"EIF5AP3",0.2416
"ACAT1",9.8536
"MIR4490",0
"ALOX15B",0.0147
"OR2A1-AS1",0.0862
"LINC02411",0
"RARS2",15.3312
"MMP12",0.5479
"PANDAR",0.2223
"MIR4297",0
"OR10G8",0
"ZMAT4",0.2056
"LINC01233",0
"RN7SKP297",0
"CYP2C59P",0
"MAGEC3",0
"ABHD13",7.5227
"LINC01094",1.5658
"MTIF3",19.6619
