"","x"
"CACNA1H",0.0025
"RNU6-453P",0
"SEC24B-AS1",0.4704
"BMP10",0.0132
"MIR4729",0
"ZNF426",2.1271
"RASAL1",0.0305
"DCAF1",2.0623
"IGLV1-51",0.262
"BUD31P2",0
"DBIP2",0
"IGHD5-24",0
"AGAP4",0.6394
"LRIT3",0.0161
"KRT18P24",0.0181
"MTND5P15",0
"STMP1",7.035
"DNAJC30",4.5876
"RPL7P36",0.1539
"SQSTM1P1",0
"RN7SL8P",0.0788
"LINC00844",0
"HMGB1P22",0.338
"HNRNPA1P64",0
"TUSC2",8.3616
"RN7SL399P",0
"RNU6-1328P",0
"LCTL",0.5063
"P4HA1",55.0365
"TUBBP9",0.0191
"PITHD1",20.1798
"MRPS18AP1",0.0712
"LINC02151",0
"CREB5",0.806
"CST9LP2",0
"SYNJ2BP",4.2026
"RN7SKP99",0
"PRAMEF12",0
"TBX10",0
"CCR1",11.6023
"EEF1DP5",0.1357
"ADAM21",0.0946
"ZNF90P3",0
"PLCZ1",0
"PDIA6",64.8924
"LINC01793",0
"RNU6-987P",0
"ARRDC1",3.7953
"DHRS4L2",9.7951
"KDM4D",0.6333
"CT75",0.0163
"AP2M1",111.3467
"HPDL",15.3988
"RPL21P67",0.0438
"ZNF81",0.3202
"USP17L13",0
"VN2R1P",0
"TNK2",12.1913
"HBZ",0
"DHDDS",3.5913
"CEP164",2.7179
"EEF1A1P17",0.526
"ZNF790",0.9958
"PDZD8",1.947
"GSG1",0
"LINC00471",0.474
"LINC01834",0
"RXRA",4.3971
"DCUN1D3",1.023
"MAPKBP1",2.2399
"RAP1AP",0.3717
"IK",10.6853
"LINC02418",0.0089
"ARHGEF18",0.5915
"IGHD4OR15-4A",0
"BTF3P7",0.2147
"NUP35P2",0.0667
"HMGN1P35",0
"LINC02387",1.859
"GPR148",0.0165
"EFR3B",0.2157
"KATNAL1",0.9929
"OR52Y1P",0
"ATP5PO",16.6783
"ETFRF1",4.0451
"IGLV3-9",0
"MSL3",4.51
"RN7SKP287",0.0788
"HMGN1P31",0
"RNU6-1256P",0
"GABRB1",0.4872
"RNU6-395P",0
"NYAP2",0.3776
"DDAH1",2.7401
"GUSBP5",2.0534
"ZNF799",0.912
"YPEL4",0.1551
"WNT10B",2.5827
"CTBP2P10",0
"MYOM2",2.1633
"CFAP161",0.0106
"DRD3",0.01
"PRMT2",8.0109
"DDA1",15.2795
"RARRES2P5",0
"TMEM74",0.0146
"KRT18P20",0
"KCNK12",1.047
"LRRC3C",0
"TRMT2A",17.8945
"SLC12A7",6.9192
"DUSP26",3.9829
"KBTBD7",3.869
"MTCO1P12",151.2166
"RPL21P119",0.6549
"TIMM17BP1",0.2843
"RN7SL151P",0.2962
"LINC01626",0
"CCNB1IP1",7.124
"YWHAQP9",0
"RNU6-163P",0
"PRICKLE4",0.6969
"ARL4AP2",0.1743
"MYL12BP1",2.3974
"OLR1",0.2879
"CT45A8",0
"LINC00342",3.402
"LINC02832",0.0071
"MIR4739",0
"SLC16A1-AS1",2.9429
"ERRFI1",55.4996
"PER2",0.7923
"IGHV2-26",0
"LINC00664",0.1068
"WEE1",1.3496
"TMEM119",288.571
"SPINK2",3.3389
"RNU6-198P",0
"USP9YP10",0
"RNU2-10P",0
"GCOM1",0.0152
"KCNG4",0.0416
"RGL4",0.1378
"TTC39C-AS1",0.8208
"RNU1-55P",0
"EIF2B5",9.1296
"FAM9A",0
"LINC01734",0.0138
"TCEAL7",3.5254
"COQ9",9.7948
"RPS26P6",1.4453
"USP9YP5",0
"MARK2P6",0
"MTCYBP27",0
"PIK3CD",1.3371
"NDUFS2",16.8257
"TRAJ43",0
"DENND3",0.61
"SLC22A16",0.0644
"LINC01282",0
"KANSL1L-AS1",0.0762
"RPL7P56",0.0877
"MIR6786",0
"HS3ST2",0.3459
"ACSM3",0.4956
"TRMT61A",18.3538
"HCCS",7.7363
"PAXBP1",3.6438
"LDLR",1.4689
"AEBP2",2.5382
"AIF1",20.7592
"SRA1",19.67
"RPL26P35",0.0456
"TULP4",1.0525
"OR6C4",0
"RPL9P30",0.0365
"KRTAP22-1",0
"SLC25A51",2.8837
"FABP5P12",0.1077
"RPL36AP26",0.1977
"VN1R31P",0.0287
"DMP1",30.6296
"HNRNPA3P3",1.9537
"RNU6-572P",0.5239
"FAM234A",9.5438
"FAM120A",16.203
"SERTAD3",11.7253
"SNORD7",13.6108
"C17orf75",1.3435
"CELA3A",0.1541
"LINC00881",0
"SNORA71D",0
"TNFRSF11B",0.7413
"ZBED1P1",0
"OR2T7",0
"MIR4733",1.103
"NBEAP5",0
"RN7SL860P",0
"GGACT",1.5912
"RPSAP65",0
"MIR3162",0
"SPECC1L-ADORA2A",0.0372
"LINC01913",0.0095
"RPS4XP16",1.3032
"KRT8P49",0
"LINC00350",0
"MTND1P33",0.0229
"DYNC2LI1",1.021
"B3GAT3",37.0619
"CASP5",3.1856
"MEX3B",3.5247
"PPIC",38.826
"ATP8B5P",0.017
"HTR7",0.0067
"RPS26P48",0
"NAA11",0.0233
"SP2-AS1",0.1656
"RNA5SP376",0
"RNA5SP177",0
"MIR646",0
"CCR6",0
"PDE4DIPP1",0
"COPRS",15.6294
"CLUHP11",0.4972
"LINC02329",0
"RNU6-621P",0
"SPRED3",0.1108
"SNORD51",0
"HORMAD2",0.0081
"SERF2",156.5688
"AATK",0.7709
"ELOCP15",0
"INE1",0.9536
"FZD6",6.3359
"TNFSF13B",6.1451
"NPAP1P3",0.0264
"MIR548AG1",0
"PTBP1",60.0678
"EIF3KP2",0
"QKI",5.157
"PPP2R5B",6.9399
"SELPLG",7.4784
"BNIP3P29",0.4037
"TMEM189-UBE2V1",0
"AKR7A3",1.0172
"CCT2",21.766
"PMS2P6",0
"KRTAP9-1",0
"C16orf71",0.144
"PFKL",17.7422
"DUX4L12",0
"C21orf91",3.751
"ALS2",1.6488
"TMCO1",25.5123
"PIGU",7.0267
"UBE3D",0.9439
"GIMAP7",8.2257
"SLC25A2",0
"PMCHL1",0
"FANCB",0.7235
"MTND4P24",8.6042
"RPL23AP6",0.0444
"SPDYE19P",0.2351
"CASTOR2",0.3075
"SMARCB1",46.5667
"RNU6-228P",0
"STON1-GTF2A1L",0.1705
"MIR320A",0.7667
"FOXN3-AS1",5.6623
"SERF1A",0.0255
"BRWD1P3",0
"MSANTD3",2.448
"SAAL1",5.1537
"LINC02008",0.0727
"AFF3",0.0165
"MIR548J",0
"MIR941-2",0
"SOCS5P3",0.0399
"RN7SKP156",0
"MINCR",1.0292
"BPIFA4P",0
"KIAA1217",2.5127
"SLC2A7",0
"HNRNPLL",3.7009
"ASIC5",0.0372
"CD44",3.9612
"ELOCP14",0
"RN7SKP173",0
"HSP90AB3P",2.5749
"SGMS1",1.2582
"RPS3AP14",0.0806
"RN7SL633P",0
"CLK1",14.0735
"CPNE6",0.0105
"TUBB1",0.006
"DEFA4",0
"BTF3L4P4",0
"OR9R1P",0
"MYBPC2",0.0735
"CLDN23",1.4879
"ACTR3P3",0
"CORO7-PAM16",0.011
"NIFKP1",0
"IGLVIV-53",0
"CYCSP53",0
"EEF1GP2",0.0506
"COMMD4",9.6728
"TBC1D32",0.3002
"LINC02101",0
"PLAC4",0.0021
"DISP3",0.0171
"OR52K2",0
"FKBP9P1",0.8424
"PROSER2",6.4476
"ZNF529-AS1",1.5369
"OR6C73P",0.1171
"EBLN3P",3.6236
"CCT6B",0.1837
"EBAG9",10.7543
"TMEM212-IT1",0
"CHCHD10",19.8468
"RNASEH1-AS1",2.7357
"OR6K5P",0
"KRT18P56",0
"ABHD16B",0
"FOS",4.621
"TRIM69",3.4855
"MIR620",0
"INSM2",0.0487
"GAN",1.699
"CLDN4",0.0089
"SEC61B",99.78
"CCDC105",0
"HDX",0.4418
"CROCC2",0.021
"PDLIM4",9.0469
"GDPGP1",0.9938
"OCLNP1",0.0309
"SNORA14B",6.5197
"RHBDF2",5.1543
"LINC01511",0
"PRAMEF32P",0
"ENPP7P7",0.057
"IGKV1OR10-1",0
"RPS12P2",0
"MAPK6",6.863
"CCNG2",2.4987
"DCHS1",2.8461
"LINC01572",0.0882
"RPL27AP",0.6745
"SPIRE2",0.791
"TRANK1",0.8606
"CST5",0
"ACKR1",0.0299
"IGKV3OR22-2",0
"MTND4LP14",0
"MIR648",0
"CPT1B",0.1277
"NELL1",0
"MIR6816",0
"CSTP2",0
"SPRTN",1.8593
"CPS1",2.2273
"RPEP5",0
"SRXN1",0.4194
"LINC02634",0
"PARP12",3.0309
"PTTG2",0.0607
"OR2T34",0
"ABCF1",16.55
"NME3",26.3657
"RPL7P37",0.142
"TDRD3",3.3154
"MIR1537",0
"ZIC4-AS1",0
"LINC00929",0.021
"RNU6-299P",0
"IGKV1-33",0
"MRPL35P3",0.0576
"GGT1",1.8952
"EGFL8",0.6876
"CDC40",0.6873
"COQ10B",7.6835
"KPNA4",9.4529
"GCNT3",0.055
"MIR6090",0
"SLC6A6P1",0
"APOA4",0.2845
"OR10AF1P",0
"FKBP2",118.4394
"ERCC3",6.0935
"CNTD1",0.2295
"GLYATL1P2",0.0181
"AFAP1",3.412
"PDLIM2",3.3715
"CUBNP1",0
"GOLGA2P5",0.2008
"ANKRD36B",0.3157
"KRT18P37",0
"KRTAP7-1",0
"ATAT1",2.4826
"MT-ND2",10613.8103
"SMARCD1",9.7927
"CHRDL2",0.0134
"CREB1",2.7117
"DNAJC19P3",0
"ACSL5",2.0679
"PPIAP13",0.4823
"DUSP4",2.6769
"MIR6832",0
"PRPF40A",14.3481
"RNU6-722P",7.2541
"ST3GAL6",2.2496
"RNA5SP192",0
"IPO7P1",0
"FAF2",8.1587
"FMO10P",0.014
"RBMS3-AS3",0.4786
"BNIP3P42",0.0737
"UCP2",32.0527
"DUSP8",0.7173
"KMT5C",4.0069
"LINC00402",0.0565
"C5orf38",12.5847
"IGKV1-22",0
"PLSCR3",0.5546
"PNKDP1",0.2437
"ZNF503-AS2",2.7791
"HNRNPKP1",0.5775
"RNU2-30P",0
"BSCL2",3.0126
"DNAH17-AS1",0.1182
"IFFO1",4.5433
"CSNK2A2",9.5783
"H3P2",0.0531
"NKX6-1",0.034
"TRMT112P7",0
"OR7E18P",0
"KRT8P26",0.0164
"RNU6-99P",0
"RPSAP68",0
"RNU6-365P",0
"SSX4B",0
"RFC4",9.3349
"FAM20C",78.4513
"RNU6-894P",0
"PROM2",0.0968
"CC2D2A",2.0142
"TGIF2-RAB5IF",0
"CD53",15.8583
"MMP8",0.0122
"ERCC1",14.4469
"CNGB3",0.0042
"PRKCE",0.4167
"PIP5K1P2",0
"MTA2",33.3638
"BAHCC1",2.7344
"RN7SL68P",0
"PRPS1P1",0
"SUMO2P20",0.0741
"KIAA0895L",2.8453
"ZNF260",2.8413
"LINC02558",0.1247
"NDUFB4P7",0
"IGHV3-23",1.4068
"C10orf120",0
"SLC7A8",7.4856
"RNU6-1168P",0
"CAST",5.596
"RNA5SP96",0
"ADGRG6",0.282
"GTPBP1",5.6458
"HLA-DRA",651.953
"CYP4Z2P",0
"RNA5SP221",0
"ZAP70",0.3895
"RNU6-900P",0
"PCDHA2",0
"RNF157",0.2471
"RNU6-1276P",0
"RN7SL308P",0
"MIR3125",0
"PAFAH1B3",18.7263
"SNRPCP17",0
"POTEH-AS1",0.0163
"TRBV15",0.0498
"ENAH",6.8845
"TUBB4BP6",0
"LINC02860",0
"GAPDHP60",1.8745
"OFCC1",0.0174
"SPACA6P-AS",0.0212
"LINC02173",0
"NLRC3",0.2727
"ECHDC3",0.9783
"FAM83A-AS1",0.1089
"SH3KBP1",9.9887
"NINJ2-AS1",1.1873
"GAPDHP32",0
"SNORA41",0
"FUNDC2P2",0.0171
"CLEC2A",0
"MGAT4EP",0.0149
"GJA9",0.2445
"CDC14B",1.8629
"KIF3A",1.0478
"CAB39L",0.6489
"ACVR2B-AS1",0.1998
"RN7SKP263",0
"RNU4-60P",0
"PAPPA",0.3459
"MIR4757",0
"LINC01029",0.02
"OGFOD3",7.1876
"ZNF766",2.297
"LINC00374",0
"MRPL53P1",0
"P2RX1",0.0845
"VN1R32P",0
"RPL21P3",0.1315
"MDM4",3.4895
"MIR765",1.103
"RTN4RL2",1.2554
"TRMT10A",1.1677
"SHCBP1L",0.1265
"C7orf50",14.5693
"SPATA41",0.1702
"HCG4P8",0
"CYB561A3",1.8569
"IFNE",0
"ZBTB45P1",0.0432
"TENT4B",2.3982
"SNIP1",2.3194
"IGHJ4",0
"FAM161B",0.6756
"TBC1D3D",0
"RPS3P6",1.0045
"RFK",1.8648
"LINC00500",0
"TMEM52B",0.1922
"PKD1L1",0.0791
"DCC",0.0334
"ZC3H12A",1.1833
"LINC01795",0
"UBA52P9",0
"ATP5MC1P4",0.2851
"SCFD2",6.073
"RNU6-765P",0
"ESD",10.5613
"RNU6-440P",0
"DDIT4L",0.553
"TMEM51-AS1",0.0384
"MNX1-AS1",0
"IGLV3-30",0
"ATP6V0E2-AS1",0.6622
"HPR",0.3514
"CDH5",8.5902
"SNCB",0.3656
"RNA5SP405",0
"PIK3C2G",0.0071
"STEAP2",0.428
"SCMH1",7.8132
"KAAG1",0
"PRDM16",0.0236
"RNU6-943P",0
"C2CD2",2.748
"MIR6795",0
"SH2D2A",3.3286
"RPS29P5",1.8383
"ASAP2",0.5233
"LINC01515",0.0688
"NPM1P23",0
"S100A11P2",1.2762
"MTND2P28",552.792
"IGKV4-1",0.0779
"ID4",1.0281
"FAR2P1",0.013
"MRPL15",35.0855
"LINC02464",0.0569
"OR5H8",0
"OR10J3",0.9949
"RAD51AP1P1",0.0209
"SPRYD3",7.7223
"ZFYVE9",4.9568
"HINT2",3.8763
"AK6",5.7964
"CCDC85B",57.1347
"RNU6-607P",0
"OTOA",0.2674
"LINC00052",0.469
"MDFIC2",0
"CEACAMP1",0
"PYCARD",9.8662
"H3C7",0.051
"MIOXP1",0.0251
"ROCK1P1",0.9111
"LINC02192",0
"BMPR1AP1",0
"MIR513B",0
"SLC9A3R2",24.8937
"C1orf54",20.8167
"RNA5SP437",0
