"","x"
"SLC15A2",0.052
"JMJD1C",3.5464
"DTD1-AS1",0.0357
"OR5AZ1P",0
"SELENOI",6.0642
"LRRC56",0.4084
"TRAJ41",0
"RNA5SP125",0
"EPB41L4A-AS1",1.8601
"ADGRA2",21.8282
"GOLGA8EP",0
"DIPK2A",16.2349
"RYKP1",0.0349
"ZNF273",2.019
"MIR1229",0
"SRP14P3",0
"RN7SL255P",0
"SRSF4",28.1394
"DCAF6",17.5402
"RPL7L1P5",0
"SECISBP2L",2.4539
"NADK2-AS1",0
"TTTY5",0
"DUS4L",1.333
"TEX51",0
"HNRNPA3P11",0.2811
"WDR63",1.3436
"LINC01394",0.1956
"OR10G5P",0
"TCL6",0
"SCNN1B",4.8143
"RNU4-66P",0
"PURB",10.1054
"CTSO",14.9994
"MIR4659A",0
"PPP4R1L",0.4606
"EHD4-AS1",0
"TSEN2P1",0
"LINC00662",3.6188
"ARMT1",6.2326
"SPON1-AS1",0.0841
"SMIM21",0.0403
"RPL21P99",0
"FRMPD3",0.0507
"RN7SL843P",0
"SCAI",2.0158
"RNU5F-7P",0
"RN7SL672P",0
"OR13K1P",0
"MIR1273C",0
"CHEK2P4",0
"OR10AK1P",0
"TMEM67",2.1388
"ZNF8",1.5576
"OTUD4",4.1457
"RNU6-40P",0
"LINC02175",0.0539
"LINC02641",0
"PLAC9",5.8957
"MMAB",4.8706
"MIR7161",0
"RCAN3",2.6624
"MECOM-AS1",0
"CMTM1",1.1717
"GJD4",0
"LMO7",3.6041
"ANXA4",10.9666
"ZNF204P",2.3338
"SNRPGP5",0.0918
"MPP1",5.3033
"RPL4P6",0.1858
"MIR6749",0
"PLGLB1",0.0314
"FGFR1OP",0.5635
"RN7SL408P",0
"VIP",0.153
"MIR3910-1",0
"UBAC2",9.6961
"GPR155",3.3507
"MIR23C",0
"B3GALT2",0.0247
"MIR4673",0
"HNRNPA1P35",0.6291
"STAT1",17.2791
"MTCO1P56",0
"LINC02818",0.0572
"RSPH4A",0.0782
"ABHD13",2.2737
"GAL3ST2",0.0295
"DOCK11",5.1882
"IGLV3-1",0
"RNU7-120P",0
"RNU6-36P",0.755
"MIR101-2",0
"LINC00339",5.219
"OR11H2",0
"LINC02508",0
"HTATIP2",11.1626
"ASB8",10.8561
"DOCK7",9.1278
"ARL15",2.2445
"PA2G4P4",1.5377
"DHRS3",6.0532
"OGFR-AS1",0
"LCNL1",0.01
"FOXP4-AS1",0.2162
"RNU6-142P",0
"ABCC6P2",0.0188
"RNU7-2P",0
"NPY1R",0
"NUSAP1",7.1789
"LINC01088",0.0455
"RNU7-26P",0
