"","x"
"MAGEA13P",0
"RPL12P3",0
"TMEM184C",11.8821
"FAR1P1",0.415
"PDZPH1P",0
"NANOGNB",0
"MIR205HG",0.0551
"RPL22P18",0.1102
"PKIB",2.727
"MIR2053",0
"ZNF385B",5.9707
"EEF1B2P6",1.44
"RERE-AS1",0
"FAM117A",3.2735
"SNORD43",0
"MED13L",9.8211
"LRRC58",14.3406
"JCHAINP1",0
"KYNUP3",0
"MIA",0.0743
"SHISA9",0.0014
"FAM242D",0
"AZIN2",1.4522
"LINC01982",0
"SNX27",23.49
"RN7SL568P",0
"ATXN10",14.703
"FGF22",0.0197
"IGKV1OR2-118",0.0798
"BTBD9-AS1",0.0494
"SIAH1",1.6305
"MIR1471",0
"NEK9",8.9394
"RTN3",54.7243
"C4orf3",92.4454
"MIR640",0
"RPL37",101.0708
"PHBP15",0.0208
"GALNTL6",0.5543
"OR2M4",0
"APOA4",0
"EEF1B2P2",0.4096
"B4GALNT2",0.0031
"ERVK9-11",0.0291
"RAB26",0.3116
"HMX2",0.3657
"ANXA13",0.4874
"RNU6-903P",0
"LINC00609",0
"OR5BD1P",0.0169
"PPME1",13.6874
"ESRG",0
"CDRT1",0.0278
"MIR548AR",0
"RNA5SP249",0
"P2RX6",0.0702
"LINC02343",0.0242
"RNU6-1087P",0
"CYCSP34",0.9564
"ABI3",3.1286
"PRADC1",13.6283
"MRPL35P3",0.1902
"RNU6-1228P",0
"SPRN",0.9118
"LINC00867",0.0143
"RN7SL416P",0.0465
"SNRPEP7",0.1259
"CCDC162P",0.1416
"RN7SL849P",0
"TRBV12-3",0
"OR6K5P",0
"IGKV1-16",0
"RNU6-1045P",0
"DENND5B",5.2858
"RNPS1",11.6637
"MFF",8.3744
"CDY23P",0
"RPS27AP12",1.9948
"PTDSS1",32.0113
"AMIGO3",0.0097
"C5orf34-AS1",4.7682
"LINC01215",0
"SEH1L",8.3444
"OTUD7B",25.5544
"LINC01120",0.0149
"INHCAP",0.0538
"OR12D1",0
"SIGLEC8",0.0175
"ISCUP1",0
"RNA5SP27",0
"HAS2-AS1",0.2313
"CYP4V2",1.3087
"HSPE1P16",0.0398
"MIR7848",0
"SLAMF6",0.0807
"SNHG10",3.075
"KHDRBS2-OT",0.9257
"LINC02833",0
"MTND1P4",0
"LINC02639",0
"LINC01929",0.0699
"SOX12",6.7646
"EDARADD",0.1895
"LYPD3",0.3682
"DGKB",0.0044
"SNORD116-15",0.301
"CCND2-AS1",0.0559
"C16orf92",0
"PIP5K1B",0.0225
"COX7A1",14.6293
"CBR3-AS1",0.3633
"ZCCHC3",12.3051
"MKRN7P",0.0226
"PTTG1",13.5903
"SPATA31A7",0
"KIZ-AS1",0.0178
"MIR181A2",0.3776
"TPST2",6.7642
"SNORD114-2",0
"RNA5SP460",0
"LINC00265-2P",0
"AK9",0.4387
"FAM174A",8.9952
"ACAN",4.2126
"TMPO",18.2337
"PLPP1",16.894
"GRHL2",0.0046
"FBXO32",10.0649
"HDGFL2",10.1896
"RNU6ATAC17P",0.195
"CASC11",0.0178
"ANKRD36BP1",0
"NANOGP9",0
"MMP9",541.4593
"RNU6-18P",0
"TNPO1P3",0.0624
"MIR5692A2",0
"IL20RB-AS1",0.0246
"IQSEC2",3.1122
"C17orf75",0.931
"PTPN4",2.1511
"BNIP3P8",0.0494
"IGHV1OR15-2",0.2745
"RN7SL826P",0
"RASSF10",0.4542
"LINC00350",0
"LINC01894",0
"CT45A7",0
"OR2Q1P",0
"BCAS2",35.1183
"HPS1",12.3979
"STPG2-AS1",0
"RNA5SP179",0.1144
