"","x"
"RAB7B",0.7435
"COX11",2.9116
"OR52I2",0
"NDUFA1",48.9398
"RPL31P58",0
"CFH",11.2841
"AKR1C5P",0
"SFXN4",11.5014
"UBE2V1P3",0
"MIR6752",0
"HAS2-AS1",0.6812
"ADGRE5",22.1966
"ACTG1P2",0.174
"LINC01349",0.0985
"MIR4254",0
"TTTY6",0
"RNU1-88P",0
"EPHA4",0.8941
"CCNQ",8.7413
"VDAC1P6",0.229
"MTRNR2L12",20.2011
"TRAPPC3",11.5863
"EIF2S2P3",0.147
"C4B-AS1",0
"INO80E",3.5601
"EFCAB13",0.3814
"LINGO1",13.8972
"CCDC148-AS1",0
"C5orf64",0.0121
"DPH7",2.2529
"GRPEL2P3",0
"USP9YP23",0
"THUMPD1P1",0
"XKRYP4",0
"DHFRP3",0
"PDZK1P1",0.0271
"RN7SL647P",0
"TMX1",15.3923
"PSEN2",4.487
"RBM22P1",0
"WDFY3-AS1",0
"TLX1NB",0
"OCLN",0.0507
"MYH13",0.0154
"TMEM100",2.3577
"ZNF887P",0.2087
"DCLRE1CP1",0
"MIR3179-4",0
"FAM71A",0
"LINC00919",0
"SNORA29",0
"GOT2P5",0
"RPL23AP61",0.3673
"PHKG1",0.3721
"SNORD60",0.5896
"MIR6511A2",0
"SPRYD7P1",0
"HERC2P9",0.9482
"LINC02833",0
"OR1F2P",0
"CBX3P9",3.635
"SLC35D3",0.0622
"DEFB116",0
"B4GALNT2",0.0055
"FCHSD2",11.3199
"RPA2P2",0
"CFAP65",0
"RNU6-811P",0
"PDCL3P3",0.0684
"LINC02435",0
"GIMAP7",2.26
"CDK4",23.5121
"LINC02647",0
"MIR4520-1",0.6991
"ZCCHC12",0.1097
"MICALL1",5.9699
"NCLN",18.181
"MIR6894",0
"PIP5K1C",7.1209
"RFPL3S",0.3007
"CAMTA1-DT",0.1179
"RNU6-1198P",0
"TOMM20P4",1.6876
"PLA2G2C",0
"FBXL20",2.0927
"RNU6-176P",0
"BRD9P2",0
"SLC35G1",1.2111
"FMO9P",0.0195
"HMGB1P9",0.0758
"RNA5SP504",0
"SYNCRIP",16.8382
"C15orf41",0.4183
"FOXD4",0.3719
"UBTFL2",0
"IGF2",27.04
"VSTM4",8.271
"RPS29P13",0
"VN1R2",0
"HSFX1",0
"HERC2P5",0
"PDS5B",4.3487
"FNDC5",0.4833
"RPL36AP45",0.1539
"TAF1B",8.249
"EXTL3-AS1",0.023
"RN7SKP147",0
"MIR367",0
"MSRA",0.9642
"RN7SL201P",0
"SPTLC1P5",0
"HIGD1AP14",0.6942
"YJEFN3",0.3308
"MIR4676",0.6797
"YTHDF3",18.7723
"ZPBP",0
"JTB",115.1526
"TRPM7",8.0555
"RNU6-584P",0
"UTP25",1.2971
"SULT2A1",0
"RN7SL125P",0
"IMMT",29.1846
"RARRES2P2",0
"PFDN2",43.6627
"ELOA",13.8077
"TMC3-AS1",0.4716
"NEMP2",3.1371
"ZNF687-AS1",0.7081
"LINC01909",0.0471
"FOCAD-AS1",0.5785
"TADA2B",4.4398
"RN7SL822P",0
"SNX1",6.7505
"RN7SL333P",0.6591
"PPP2R2C",0.016
"MYO1E",15.6666
"NDRG4",2.3387
"MRPL36",15.2015
"RNU6-312P",1.3721
"SPON2",10.6865
"TCEA2",2.925
"RCC2P3",0.0955
"LINC02725",7.3075
"ABCB9",0.799
"SEPHS1P1",0
"GPR174",0
"DHRS4-AS1",2.4926
"FRG2C",0.0707
"CCDC39-AS1",0.3459
"SETD5",12.0131
"NONOP2",0.5168
"FREM2-AS1",0
"SIGLEC30P",0
"ZNF718",2.4006
"MIR4480",0
"NEU4",0.0104
"LINC02353",0
"H4C13",0
"RPS19",128.3755
"ESCO2",0.4113
"HACD3",13.6262
"MIR4527",0
"FAM41AY2",0
"PAGE2",0.074
"OR5D14",0
"LINC01446",0.014
"TTC38",5.225
"SNORA57",0
"BET1-AS1",0.3078
"PCNT",5.0619
"PLA2G10",0.2631
"RNU6-298P",0
"RNU6-877P",0
"PPFIBP1",10.2652
"SEMG2",0
"DPY19L2P1",1.2128
"OTOGL",0.0409
"SEMA5B",0.0315
"GBP1P1",0
"CICP10",0
"SRGN",6.2579
"APOBEC3B-AS1",0
"LILRA6",0.6225
