"","x"
"PCBP1",118.0442
"MIR3648-2",0
"SPDL1",2.1532
"EEF1GP5",0.5742
"NANOGP2",0
"RNU6-1340P",0.3515
"MIR3167",0
"IGHVII-78-1",0
"NAV2-AS2",0
"DEFB108B",0
"DSCR4-IT1",0
"RNU6-592P",0.1826
"MKRN4P",0.0742
"ZNF438",2.6
"DPPA5",0.0831
"LINC00479",0
"SNRPGP12",0.4414
"HMGB3",25.3591
"RNU6-701P",0
"GOLGA8S",0
"ATP5MGP7",0
"NHSL2",0.1087
"LRRC14B",0
"NIPAL3",3.8051
"RN7SL273P",0
"RNU6-56P",0
"RN7SL428P",0
"STK19B",0
"SAR1AP1",0.0631
"CLIP3",4.4367
"CYP1D1P",0
"C20orf204",0.2471
"LINC02828",0.2026
"OR4K11P",0
"HSPE1-MOB4",0.0634
"TMEM272",0.0045
"YBX3",5.77
"ADORA2B",4.6143
"B4GALT1-AS1",0.6469
"SEPTIN7",8.2283
"NOCT",5.2416
"RN7SL678P",0.0629
"POMGNT2",9.0776
"RPS17P14",0
"CLIC4P2",0
"ADCK1",2.1113
"PLEKHA8P1",1.5805
"MAFA-AS1",0.0451
"TMEM255B",1.9947
"HMGN1P12",0.0964
"TTTY5",0
"PI4KAP2",0.4051
"SYF2",7.7837
"DUXAP5",0.0711
"ACCSL",0
"NDC1",11.5715
"RNA5SP153",0
"LYNX1",0.6944
"ADAM28",0.6475
"NANOGP4",0
"FAM234B",1.1768
"ZP3P1",0
"RPS26P38",0.3782
"HMGN1P24",0.2524
"YY1AP1",9.7722
"RTKN2",0.2521
"ENTHD1",0.2145
"RN7SL513P",0
"RN7SL18P",0
"IGKV2OR2-8",0
"NDUFA4P2",0
"ZNF432",2.215
"IGHD1OR15-1A",0
"SAMM50",7.3871
"ITGA8",0.3222
"LINC-PINT",0.5997
"PPIAP43",0.1865
"OR51N1P",0.0198
"LINC00297",0
"CERT1",2.1643
"NEU2",0
"LINC02432",0.015
"HEY2",9.5425
"LKAAEAR1",0.1083
"ZNF48",2.707
"SPATA9",0.0937
"YLPM1",5.2217
"CENPCP1",0.0219
"LINC02403",0
"KPNA3",17.5302
"SNORD113-1",0
"RNA5SP56",0
"HNRNPA1P21",0.5283
"HIRA",4.1859
"RN7SKP289",0
"MPL",0.0088
"MIR548V",0
"CST12P",0
"SERPINE1",11.3176
"SEC16B",0.0586
"KRTAP26-1",0.0158
"TMSB15B-AS1",0.1434
"CDK2AP2",14.1377
"TRIM51FP",0
"SH2D3C",4.8069
"CNTROB",5.3389
"IL12RB2",0.0953
"MIR3185",0
"HHIP-AS1",0.4468
"RNU1-149P",0
"MYADM-AS1",0.0428
"RNU1-3",0
"OR8K1",0.0196
"MTND5P8",0
"BST2",67.048
"ATP6V0E2-AS1",0.5714
