"","x"
"SNRPGP14",0.9671
"TAAR5",0.0348
"IGHV1-68",0
"PRADC1",7.9404
"FTL",4062.8182
"TRAV5",0
"PARP14",4.771
"HMSD",0.1572
"LINC02300",0
"LINC01394",0
"C4BPB",0.038
"RNA5SP224",0
"EML5",0.0193
"OR2L5",0
"OR52E4",0
"SUCLG2-AS1",0.2736
"RNU4-11P",0
"DVL3",23.3386
"MIR6826",0
"PSG4",0.0338
"ZNF391",3.1108
"DEPTOR",4.5706
"ST7",2.487
"PLAGL2",6.9887
"GYPB",0.1014
"RNF220",8.3939
"CABP1",0.2712
"RNU2-37P",0.0997
"RNU6-1087P",0
"DLL4",4.6714
"SLC25A33",4.2223
"ZEB1-AS1",3.248
"DIAPH3-AS2",0
"PITPNM2-AS1",0.0386
"TIGD7",1.0892
"COX7C",48.8485
"GXYLT1",2.3095
"E2F1",14.695
"LINC02598",0.0942
"OR4A9P",0
"RARS2",17.074
"LINC00574",0.0685
"CEND1",0.1498
"ASB1",4.9662
"RNU1-142P",0
"C15orf32",0
"MIR4693",0
"WDR43",12.1538
"CD4",47.3916
"DNAJC27-AS1",0.1187
"ARHGEF33",0.5497
"NDUFA8P1",0
"NFYC-AS1",0.3348
"ASB8",5.9465
"RPS29P17",0.2126
"NDUFB5P1",0
"LINC01205",0.0067
"CLIC4P1",0.5278
"FRG2GP",0
"MCHR2",0.0074
"SYNCRIP",23.0681
"KCNT1",0.0242
"SNX18P14",0.3075
"EPSTI1",2.1471
"RNU7-40P",16.5465
"MRGPRX3",0.1318
"RNA5SP520",0
"PP2D1",0.1469
"UPF2",11.1199
"ASS1P2",0.202
"LINC01239",0.2062
"MADCAM1",0.4194
"GIMAP1-GIMAP5",0
"HSD17B1P1",3.1973
"KRT19P4",0
"POU5F1P5",0.2146
"PLCXD1",5.7929
"USP32P3",0.2816
"TRBV20OR9-2",0.1273
"WTAPP1",0.1113
"RFPL4AP6",0.0417
"EDEM2",21.8803
"BDKRB2",2.5578
"TUBB4B",56.8197
"ZC3H12A",1.2061
"C1orf105",0.0102
"TRAJ20",0
"MTHFS",6.1282
"SETP16",0.0248
"YME1L1",20.9292
"RIOK2",2.9833
"P2RY12",0.038
"NDUFB11P1",0
"SCOC",5.3868
"PROC",0.5801
"ATXN7L3B",11.7772
"KCNJ2-AS1",1.5684
"CUBNP1",0
"SLAMF7",4.3604
"SPATA31C1",0.0189
"CNOT6LP1",0.0604
"FLII",24.1989
"RN7SL239P",0
"IMPAD1",27.2785
"CLEC4E",2.6452
"RPL23AP29",0.039
"RN7SL219P",0.1789
"NAV2-AS1",0
"NAP1L4P3",0.5078
"HMGN1P17",0
"SPDYE5",0.3079
"RPS4XP7",0.2036
"CPXM2",1.66
"MIR6749",0
"RNU6-147P",0.1649
"OR2A25",0
"PSMD5",9.1593
"SCARNA6",0.333
"STAR",0.075
"NIFKP6",0
"C4orf48",25.6899
"MIR4755",2.4513
"SLCO1B3-SLCO1B7",0
"ATP5F1B",160.8984
"POLE4",11.6351
"CANX",104.2245
"IGFBPL1",0.549
"RERGL",0.0342
"RN7SKP275",0
"RAP1AP",0.5087
"SNX3P1X",0
"LINC02578",0
"LINC02209",0
"RNA5SP274",0
"OPRL1",2.1185
"CDKN2AIPNLP1",0
"C4B-AS1",0
"LINC01170",0.0873
"VPS33B",5.3406
"PSMA6",8.6891
"NRBP1",32.6926
"METAP1D",2.1216
"RPS14P8",0.8131
"PON2",8.1679
"SERPINA5",0.8135
"WDPCP",0.5471
"RN7SL385P",0.0639
"VPS54",5.904
"TNFRSF13C",0.9353
"SPOUT1",8.8882
"VN1R71P",0.0429
"AP4S1",1.5272
"MTX2",16.9814
"CDH18",0.0436
"RNU6-261P",0
"RNU4-74P",0
"RNU1-128P",0
"RNU6-891P",0
"EIF4EBP3",2.9884
"PPIL3",2.4651
"CDK5R1",2.2526
"PPCS",11.8436
"STXBP6",2.7895
"FAM90A12P",0
"ZFP41",4.664
"HTR7",0.124
"CAPZA1",38.6667
"MIR623",0.1801
"SNORD113-8",0
"ANXA13",0.1345
