"","x"
"IGHD1-7",0
"RSF1-IT1",0.2517
"FOXA3",0.0181
"IGLV3-24",0
"MT-TC",15.6663
"RNU6-339P",0
"RNU6-6P",0
"LINC02532",0.003
"GAD2",0
"MLLT11",3.6353
"ZP1",0.0245
"ATP5MF",45.537
"RNU6-400P",0
"LINC01731",0
"KRT18P28",0.0448
"CHRAC1",10.0535
"NDUFA6-DT",0.1948
"RNU4-62P",3.365
"RPSAP67",0
"LINC02409",0
"PEBP4",0
"RBFA",5.3958
"MIR208B",0
"AK4P6",0
"COP1",6.5217
"ABCE1",11.8258
"TBCAP1",1.3986
"H2AC6",21.2313
"RNF146",4.7443
"LINC02222",0
"CST9LP1",0.0448
"POU6F2-AS2",0
"USP9YP24",0
"RPS3AP25",0.7021
"RPP21",15.526
"MRPS10",21.6747
"TRIM51HP",0
"DPY19L2P1",0.7692
"SLC5A10",0.0339
"C3orf86",0
"RBMX",22.21
"MGAM2",0.0122
"GCSHP5",0.3809
"LAPTM4BP2",0.0892
"HMGN5",3.8024
"RNU6-35P",0
"SEPTIN14",0
"DENR",17.471
"LINC01732",0
"OR7E145P",0
"RPS27P22",0
"ATP2A2",21.8299
"TLDC2",0.3583
"ALKBH6",0.8476
"RNF11",21.6612
"RANBP9",15.9038
"TDGF1P4",0
"OR5H8",0
"TRAM1L1",4.2068
"SLC40A1",9.91
"DCANP1",0
"FAM90A5P",0
"FZD3",0.9894
"NLRP14",0
"DCC",0.0106
"ZNF768",14.7118
"RNU6-275P",0
"NPEPPSP1",0.5115
"MIMT1",0
"TBC1D1",5.2242
"S100A7A",0
"OR4G2P",0.022
"ENPP6",0.8075
"MUC22",0
"NCKAP5-AS1",0.0116
"SDC4P",0
"BEND7",0.0851
"EIF4A2",29.293
"BRINP3",0
"RNU2-35P",0.2801
"RNU6-281P",0
"SLC25A13",10.0332
"UBE2S",48.334
"TUBB4BP4",0
"LINC00571",0.0672
"OR7E104P",0
"ZNF812P",0.3028
"MIR3130-2",0
"GTF2IP2",0
"PLCH2",0.2379
"LINC01297",0.0405
"MIR556",0
"LNCPRESS1",0.1052
"VDAC1",34.3054
"MUC5AC",0.0091
"GABRG3-AS1",0
"RNA5SP385",0
"IFT172",3.3136
"RPL29P23",0
"PDIA3P1",6.0838
"UBBP2",0.3443
"PTGES3P5",0
"ANTKMT",5.956
"MTND5P35",0
"MTND6P13",0
"PLAAT4",6.674
"AGTPBP1",2.174
"EPB42",0.0214
"COX6CP18",0
"RNU6-765P",0
"XIAP-AS1",1.8564
"PTPN20CP",0.0648
"RNF103-CHMP3",0.0265
"PSMC5",26.589
"CLCA4",0
"RNU5B-6P",0
"MTUS2-AS1",0
"FAM184A",0.023
"B3GALT2",0.2915
"LINC02435",0
"EPS15",5.7568
"CMPK1",29.3763
"LINC01612",0
"IGKJ4",0
"ANKRD6",0.5133
"DNMBP-AS1",0.0426
"CDV3P1",0.0269
"ABCG1",1.3254
"HMGB3P6",0.0333
"SCN10A",0
"RN7SKP32",0
"FOPNL",6.6364
"SNORD113-8",0
"TM7SF3",5.8814
"MAGEE1",1.1065
"FAM90A4P",0
"MROH9",0.0467
"ERICH4",0.042
"MOB1B",2.8558
"RN7SKP182",0
"GNG2",6.4961
"PTN",83.9013
"ATP5F1AP8",0
"PSMG2",10.9908
"RNU6-680P",0
"CA15P2",0
"TMEM8B",2.3851
"CDHR2",0.1971
"RN7SKP188",0
"IGFL3",0
"MIR506",0
"LINC01571",0
"H3C15",0.012
"DNM1P49",0
"CBLN3",0.6675
"MIR127",0
"SLC2A3P1",0
"PRKAB2",2.8078
"RNU6-1090P",0
"IGBP1-AS2",0.4264
"SULT1C2P2",0
"SUB1P1",0.1562
"KATNBL1P6",0.0136
"ZBTB11-AS1",1.0874
"CRIP3",0.0162
"SLC25A3",27.9264
"RNA5SP115",0
"RPL7AP53",0.0752
"MELTF",25.0181
"MTCO2P34",0
"ASAH2B",0.6276
"LRRC23",0.7748
"MTND3P1",0.0904
"AHNAK",17.3794
"OIP5",2.0914
"RNU6-287P",0
"MTND5P1",0.1157
"RNU7-148P",0
"INHBB",8.8436
"LINC01927",0
"HERC2",2.0999
"SNORD46",0.1912
"KRT73",0
"RIPK2",7.0938
"CCDC60",0.0347
"RRS1",13.7301
"APBA1",0.5502
"BMP2K",2.527
"KCMF1",6.2113
"PDZD11",23.31
"ENPP5",0.0187
"SLFNL1-AS1",0.4143
"MIR548AT",0
"C4orf3",24.5773
"MIR4424",0
"LINC01632",0.0212
"ATP23",3.3164
"GOLGA6L10",0.0548
"VLDLR-AS1",0.0127
"BNIP3P8",0.1065
"RNU7-147P",0
"PAICS",20.8603
"ZNF444",5.4826
"RPS27AP7",0.0874
"C11orf87",0.2129
"MKI67",9.5811
"MIR302A",0
"DCAF12L1",0
"SHB",3.5153
"RNU6-666P",0
"KLHDC3",82.2254
"MIR548C",0.615
"RN7SKP16",0
"TMEM44-AS1",4.2114
"OR2W4P",0.0215
"SNAPIN",14.9389
"RNU1-11P",0
"OR5H1",0
"MIR449C",0
"SPAST",3.3452
"CCR8",4.7523
"CEP112",1.748
"SPATA5",1.4876
"FNDC7",0.0119
"RPPH1-2P",0
"CD83",5.5976
"LAS1L",5.0093
"LINC02124",0
"CHORDC2P",0.073
"VPS45",4.7154
"MTUS2-AS2",0
"SCARNA3",0.1391
"FAM86JP",0.7815
"SLC38A11",0.0215
"ILF3",25.7419
"VPS4B",9.032
"RN7SKP25",0
"VILL",0.5343
"OR5AK1P",0
"LINC01638",0
"RNA5SP61",0
"RPL7P14",0.161
"KRT18P22",0.0443
"SRIP3",0
"BTBD10P2",0.0294
"MIR633",0
"GRP",0.0701
"RNU6-317P",0
"POTEA",0.1052
"RNU6-865P",0
"MYH2",0
