"","x"
"MMP3",0.0441
"ANO5",0.0837
"GDPD1",0.1398
"LINC00229",0.3249
"RNU6ATAC37P",0
"CRB3",0.0907
"ZSCAN1",0.2871
"MCUR1P2",0
"RNA5SP353",0
"MYHAS",2.2545
"IGHVII-33-1",0
"RTL8B",6.5133
"LINC02410",0
"NCOA7",2.5519
"RNVU1-15",0.9847
"RN7SKP165",0
"RAB22A",8.3873
"MIR4478",0
"MRPL18",20.612
"KREMEN1",0
"MIR7852",0
"MIR3919",0
"TMEM156",0.1127
"NBL1",34.4524
"RPL15",105.9473
"MRPL40P1",0.3586
"LINC01352",0.2815
"TPBGL",1.2539
"PIGPP4",0
"SPEG",0.2449
"SLC45A1",0.4563
"THRB-AS1",0.082
"RPS20P15",0.1161
"RN7SL184P",0.7294
"FUNDC2P1",0.5384
"RPS7P13",0
"NASP",12.8998
"RNU6-121P",0.1823
"LINC00520",0.8872
"NEIL1",1.0356
"PAFAH2",3.4503
"NBAS",4.1317
"NR1D2",3.6662
"MARK3P1",0
"VN1R76P",0
"TTC21B-AS1",0
"FRG1HP",3.5583
"BUB3P1",0.0723
"AQP7P5",0
"PRELID3BP5",0
"IGKV2D-23",0
"TIMM29",16.0462
"MYDGF",85.5692
"ABCF2P2",0
"C16orf89",1.2663
"EPPIN",0
"TMEM40",0.0051
"RNY4P17",0
"SLC1A6",0.0779
"LINC01486",0
"LINC02084",0.0659
"LINC02844",0
"ARHGEF25",9.6469
"RSPO1",0.0526
"COX20P2",0
"CICP17",0
"H2AC18",1.381
"ARL8B",17.0474
"UGT2A2",0
"PPP1R2P4",0
"EFNB1",130.6123
"RNA5SP269",0
"LBP",3.0286
"SOD1P1",0.041
"SNORA70J",0
"HMGN1P7",0
"BRAT1",48.4022
"SELENOT",5.1165
"RN7SL405P",0.0625
"SLC6A8",12.1583
"PODN",27.2142
"ANKRD20A19P",0.0904
"LIMA1",39.4131
"CENPI",1.717
"TEX11",0.0482
"RN7SL712P",0
"NF1P2",0
"SINHCAFP1",0.0549
"PHTF2",4.441
"IGKJ5",0
"SUMO2P10",0.2507
"RNU5B-3P",0
"C12orf45",3.3214
"DUX4L51",0
"DND1",0
"PSMD6-AS2",0.2573
"TRBV25OR9-2",0
"RNU6-513P",0
"RNU6-57P",0
"LIMK1",12.8498
"ACPP",0.0431
"IL6-AS1",0.0794
"IGHVII-15-1",0
"GUCY1A1",7.0724
"MIR4737",1.1143
"SNORD121B",0.4457
"ZNF418",0.5775
"TRAV36DV7",0.1014
"TIMM8AP1",0.7343
"ITPA",19.0805
"STAT2",40.9293
"ADCY3",10.4146
"LINC02739",0.1878
"MRGPRX10P",0
"LINC02403",0
"C9orf106",0.1607
"YY1",21.6768
"ZNF382",0.3286
"RPS29P2",0
"OR6C73P",0
"TSG101",11.9296
"MIR6744",0
"IGHJ5",0
"MIR6806",0.2821
"LINC02747",0.0249
"PALM",9.2615
"ADCY8",0.0061
"RNU6-330P",0
"LCP1",4.8509
"XG",5.8568
"ZNF70",3.9159
"SNORD115-43",0
"EGR3",0.8217
"NKX1-2",0
"UGT3A2",0.1474
"C5orf15",12.3278
"MIR877",0
"HCRT",0.1877
"HRC",0.0134
"SLC26A2",5.5419
"GXYLT1P2",0.0147
"ABCA17P",0.0082
"SLC9B1P1",0.0135
"RNU6-656P",0
"MXRA8",380.0276
"ARCN1",39.4575
"IDH1",10.9856
"YWHAZP8",0
"MT-TP",559.8755
"MRPS33P3",0
"HNRNPA1",123.2728
"OR9L1P",0.0193
"MTATP6P4",0
"RPL22P3",0.5686
"LINC02621",0.1534
"IGHV3-63",0.0529
"LATS2",6.3269
"GASK1B",12.1415
"MPLKIP",4.3788
"MIR3166",0
"HTR7P1",0.3888
"SERBP1P3",0.2008
"MEPCE",19.5457
"RNA5SP459",0
"LINC02141",0.0027
"TRBV20-1",0.3934
"RPS20P33",0.204
"OR2M7",0
"ADAMTS17",0.7666
"CYCTP",0
"SLC25A24P2",0.4601
"USP17L22",0
"RN7SL736P",0.0671
"FGF22",0.0856
"HUNK",3.65
"IGLV2-5",0
"ZFYVE1",5.4673
"TRAV41",0.1075
"GAGE2A",1.4018
"ENPP1",1.4844
"MIR874",0
"FBXW4",11.5342
"TIMM10",37.9857
"SNORD18A",0
"H4C11",0.3872
"SLC25A15P4",0
"FIGN",0.2306
"CHD5",0.0201
"MT-CO2",2583.0895
"MIR6724-4",0
"EIF4G3",14.6763
"SCGB2A1",0
"VSIG10",0.9729
"SLC12A5",0.0967
"ZNF554",2.3774
"LINC00374",0
"WWOX-AS1",0
"ADAMTS3",0.0329
"ANKRD36C",0.579
"CLEC4F",0
"ANKRD20A1",0
"ARL2BPP5",0
"CYYR1-AS1",0
"TEN1-CDK3",0.2732
"KRTCAP3",0.4632
"RNA5SP444",0
"SOGA3",0.0042
"MED25",10.2088
"ZNF843",0.4232
"ZNF804A",0.0808
"ANGPTL6",0.2318
"RNU7-97P",0.5823
"HBEGF",1.5552
"RN7SL498P",0
"NUDT12",0.8724
"ELOCP2",1.305
"TTI2",2.8048
"RN7SKP291",0
"SNRPF",5.7306
"RUNX1",8.6029
"ATG2B",1.9044
"DEFA7P",0
"OR7E108P",0
"POLR2KP2",0
"RNU4-30P",0
"LINC01030",0.0245
"GABARAPL2",18.2483
"KRTAP4-4",0
"RNU1-58P",0
"PHETA1",13.0623
"FCRL2",0.0071
"TCEA3",10.7233
"DNM1P28",0
"SPP2",0
"PYURF",0.6897
"DDX4",0.0283
"NOTCH2",23.6703
"CDX1",1.0987
"LINC01999",0
"RNU6-509P",0
"PABPC1P1",1.3745
"MLYCD",1.1259
"AARSD1",0.619
"LINC01501",0
"CEACAMP1",0
"RN7SL636P",0
"SLC29A4P1",0.0186
"MPC1",26.2372
