"","x"
"ACTR1A",28.4443
"LINC00303",0.0109
"MIR6801",0
"ATOH8",4.9203
"CST8",0
"ERP27",0.145
"MAPRE2",15.2154
"NPM1P19",0.0291
"DNAJA2",10.2199
"LINC02176",0
"HTR1E",0.0202
"IFNA20P",0.2743
"GNB3",1.0353
"MTCO1P57",0.0793
"BTF3P10",0.2926
"POLR1E",7.4124
"PDZD7",0.5509
"BOLL",0.0413
"PTP4A2",28.3519
"HMCES",11.7086
"COX6CP15",0
"RNU6-599P",0
"HNRNPA1P23",0
"RNU6-890P",0.1934
"PSMC1P3",0.1413
"PHKBP2",0
"C20orf27",22.4108
"RTL10",6.4564
"PRMT5P1",0.1384
"SDR42E1P1",0
"ITPRIP",7.1878
"UVSSA",1.9315
"LINC01791",0
"BRD9P2",0.1731
"HIGD1C",0
"ATP4B",0
"RMND5B",2.1358
"FAM110B",5.1691
"RNY1P10",0
"RNU6-4P",2.3203
"CT45A10",0.1022
"HMGN2P46",0.2276
"LINC02002",0.0741
"LINC00618",0.4156
"NIPAL4",0.1082
"MGAT4B",14.5218
"RHAG",0.0216
"REG1CP",0.008
"PRYP4",0
"TET2",2.3309
"S100P",0.1131
"TRIM60P15",0
"MIR548AO",0
"RPL35AP32",2.498
"OR5H2",0
"RN7SL685P",0
"RNA5SP394",0
"LINC00448",0
"TRBV6-7",0
"ASB16-AS1",3.3977
"DYNC1LI2",18.812
"EEF1A1P32",0.0307
"OR13J1",0.0309
"SLCO1B3-SLCO1B7",0
"MIR4484",0
"ZNF689",3.0892
"VIPR1",0.028
"ATP5PBP1",0
"RNU6-55P",0
"TTTY3B",0
"ERN1",3.9668
"OR5G4P",0
"DCAF5",7.9862
"HMGB1P27",0.2059
"PIN1",17.5018
"ABCC4",1.1007
"FGF23",0.0617
"MTRF1LP1",0.0305
"B2M",812.1396
"LINC01215",0.1197
"IGKJ4",0
"SGCG",0.1147
"PSCA",0.7628
"RN7SKP209",0
"MLF1",2.3245
"RNU6-1143P",0.1989
"RPL14",35.4033
"RNU6-1061P",0
"NBEA",0.5246
"SCAT1",0.7162
"TNFRSF14-AS1",0.5158
"CCT2",30.7797
"HERC2P9",1.078
