"","x"
"KIAA1143",6.9346
"RPS10P20",0
"RNU6-284P",0
"SPDEF",0.3889
"CDC42P5",1.43
"OR7E100P",0.4125
"SPINK6",0.5077
"MESTP3",0.7208
"SNORD116-6",0
"PEF1",30.4124
"LINC01608",0.8041
"CCDC175",0.3584
"DECR1",4.9475
"TICAM1",6.2231
"NKX2-2",0.1556
"MIR3909",0
"TRAC",1.0164
"PLCB2",2.0695
"PA2G4P1",1.2047
"ZSWIM5P3",0.3561
"CRYBG1",0.4588
"RNU6-1138P",0
"MPND",6.6971
"ANKRD13C",12.0366
"KRTAP10-10",0.3383
"EIF1AX",51.5603
"ETDA",0.077
"ZNF346",3.3949
"IGHJ5",0
"GAGE13",0
"BARX1-DT",0.546
"SPAG11B",0.2829
"LINC01170",0.8282
"RPL38",180.0777
"WDFY3",3.0632
"TMX1",14.2166
"RNU5F-3P",2.3855
"DUX4L52",0.4723
"MRPL57P7",0.9015
"LINC02120",0.417
"GIGYF2",6.1787
"ZNF276",4.2339
"RPL7L1P3",0.6751
"MIR107",0.5347
"NFASC",0.3149
"DLX6",14.1344
"HIGD1AP3",0.1673
"MRPS22",3.1288
"GTF3C2-AS1",0.6721
"ELK1",21.2323
"RNU6-247P",0.8695
"RN7SL145P",0
"CDCA2",3.0233
"LINC01881",0.4336
"MIRLET7A2",0
"PRR30",0.6486
"CMC2",2.9007
"SVOPL",0.7603
"UGT1A13P",0.4273
"ZNF574",5.216
"FAM133A",11.8321
"OTUD4",4.1678
"P3H3",9.8877
"NDUFB4P12",1.0735
"RNU1-46P",0.8509
"FCF1P5",0.2895
"TRERF1",1.0468
"RN7SKP52",0
"EPB41L2",22.38
"NUP35P2",0.8386
"OR10V3P",0.5774
"OTX2-AS1",0.552
"RN7SKP197",0.1566
"HMGB3P7",1.0658
"RNA5SP126",1.2803
"EEF1A1P22",3.2359
"NEK2P4",0.21
"RNU6-229P",1.8242
"FAM8A6P",0.4508
"HAUS4P1",0.4875
"PDSS2",4.5498
"RN7SL619P",0.7212
"RCBTB2P1",0.5409
"LINC01909",0.984
"LINC01900",0.7306
"MST1P2",1.3401
"FOXP2",0.3861
"FAM226B",0
"RNU1-20P",1.4357
"NDUFB4P9",0.2398
"RILPL1",3.2285
"MIR3153",1.1346
"CASQ2",1.3439
"BET1",3.8653
"RNA5SP173",1.3681
"SLC35G4",0
