"","x"
"GEMIN8P3",0
"RASIP1",5.4732
"ESR1",0.2083
"RNU6-893P",0
"MAPK15",0.0416
"IGKV1OR2-9",0.1476
"JAKMIP1",0.0865
"PLIN5",0.0088
"LTF",0.3142
"CAMSAP3",0.0175
"SKP1P3",0
"G2E3-AS1",0.0127
"ZNF565",2.0792
"VN1R66P",0
"GCSIR",0
"SLC25A1P1",0.0229
"LINC00307",0
"SPN",1.3085
"PHBP16",0
"RNMT",9.3871
"LINC01665",0
"MIR4677",0.7944
"GOLT1B",29.0771
"ST3GAL1P1",0.1462
"RNASEH2CP1",0
"GBP7",0.0086
"TIGD6",1.4107
"OR4A6P",0
"PDCL3",6.7217
"LCN12",0.015
"RETREG3",16.8723
"MKRN7P",0.4157
"CD160",0.4374
"MTND3P20",0
"KNCN",0
"MIR3125",0.2716
"LINC02374",0
"CD52",5.2788
"HERC2",5.7043
"FGFR1OP",0.7839
"RNU4-75P",0
"ABHD17AP7",0
"USP17L18",0
"BOC",1.7287
"LGALS12",0.084
"ENPEP",2.0743
"KCNC4",0.1856
"NDUFB9P1",0.1246
"MICOS10",5.5075
"MIR6069",0
"NDRG1",48.5509
"RN7SL525P",0.1513
"HYLS1",3.8072
"LINC01297",0
"HNF4A",0.0058
"KRTAP21-3",0
"WDSUB1",2.5896
"APLP1",1.5702
"LINC01307",0
"EPHA5-AS1",0.8756
"DNAJC19P5",0.6033
"ELMO2",7.2333
"DEPDC5",1.1734
"GTF2IP8",0
"SNORD42A",0
"ALPG",0
"RNU6-1143P",0
"SERF1AP1",0
"EIF2S2P4",2.5833
"RPL17P41",0.0783
"RNU6-6P",0.5939
"LINC00930",0.0128
"CLK3",2.1076
"MIR4504",0.1875
"MIR377",0
"BUD31P2",0
"PLA2G4C",0.6182
"NPAS4",0.0371
"CELF6",0.0354
"DPY19L4",6.8216
"TAF1D",6.204
"RPL15P21",0
"PEG3",0.6735
"ABCB5",0.2677
"UOX",0.1163
"CPEB1",1.0185
"SRP19",3.966
"PTGS2",0.0884
"DSCAM",0.0148
"RNU6-857P",0
"RPS17P1",0.0522
"CASC18",0.172
"FAM181A",0
"FATE1",0.0988
"LINC00397",0
"GRM5",0.0024
"GPM6BP2",0
"EGFEM1P",0
"TMEM256P2",0
"RNU7-41P",1.0418
"GCA",0.8499
"LINC00644",0
"HSD3BP3",0.0213
"OR7E105P",0
"HSPA9",48.1757
"RBM22",8.7838
"CLUHP3",0.9581
"NUS1P2",0
"NAT8",0.0671
"MRPL50P4",0.0446
"IGHJ2",1.6295
"MIR202HG",0
"LINC01134",0.1199
"RBP4",2.3244
"NHLRC1",4.5469
"GAL3ST2",0.0309
"PSPC1",7.2889
"ZP3P2",0
"CLCA1",0
"LINC01219",0.0293
"RNA5SP330",0
"TEK",6.7848
"RNU6-204P",0
"BET1L",18.0176
"SH2D4A",2.1346
"RNU2-3P",0
"HOPX",0.377
"DPRXP7",0
"KRTAP4-1",0
"SCMH1",7.8216
"SIN3B",6.514
"NIBAN1",2.7023
"LINC01360",0
"PXT1",0.0603
"SLC5A5",0.0058
"RPS7P11",7.7358
"RNU6-1144P",0
"MIR6760",0
"CDS1",0.1899
"MIR4735",0
"ZNF587B",2.6164
"HMGN2P11",0.1051
"CHCHD2P11",0.0927
"RANGAP1",14.8456
"KRT18P1",0
"FAM230D",0
"MPIG6B",0.1731
"ITGB8",0.4794
"LMAN2L",16.116
"NRAV",3.8667
"RN7SL196P",0
"MYOM3-AS1",0
"NFU1P1",0
"KRTAP4-3",0
"RNU6-1315P",0.214
"ADRA2A",1.0351
"NARS1P2",0.0431
"WASIR1",0
"RNU6-958P",0
"LINC02137",0.0239
"LINC02648",0
"DPY30",6.7215
"LINC02236",0
"RN7SL431P",0.4862
"MCC",3.02
"MIR4535",0
"MIR30A",0
"PRKCQ",0.1414
"KRT25",0
"SUPT4H1P1",0.1246
"SPON1",11.2766
"DCDC2C",0
"TSPY19P",0
"RNA5SP200",0
"ZNF786",2.2925
"MIR548S",0
"PGA3",0
"TMED2-DT",0.5168
"FAM122B",5.5507
"IGHV1OR15-3",0
"NANOGP11",0
"KRT18P34",0.2669
"IGLV3-19",30.5665
"TMEM86B",0.4921
"KIF3A",2.6494
"ANKRD46",1.6269
"RC3H1",5.5001
"AKIRIN1",20.0934
"STOM",31.1453
"RPL7P11",0.161
"CCDC159",0.8131
"RPSAP7",0
"RNF2",3.6978
"CACNG5",0.0162
"HMCN2",0.0583
"RNU6-615P",0
"GM2AP2",0
"TEX28P1",0
"LINC00621",0
"ZNF649",2.0625
"LINC01639",0
"C1DP4",0
"ST3GAL3",4.3816
"GRP",9.7079
"UQCC1",4.429
"KCTD9P6",0
"TIMP1",638.2135
"GSTM5",0.0352
"TRAJ13",0.3362
"FILIP1L",5.6735
"TNFRSF1A",32.7769
"LRP1B",0.0087
"FOXO3",8.0908
"TOMM40L",5.8931
"NUMA1",8.9636
"GCG",0.0444
"USP35",2.1292
"CELF2-AS1",0.0257
"PLGLA",0
"PTBP1",31.7823
"TNFRSF12A",74.4273
"ZBTB8OSP2",0.9667
"MPV17L2",5.5264
"TSPYL2",17.7496
"GJA3",0.0203
"SLC1A2",0.0636
"ARSD-AS1",0
"RN7SKP9",0.3542
"FTLP2",4.5736
"RNLS",0.8833
"ABCG2",1.6036
"MIR5189",0
"LINC02018",0.0683
"MTATP6P16",0.2014
"ADAMTS16",0.513
"SPRED1",7.8141
"PPP1R2P6",0.0721
"MRPL16",14.1127
"DHRSX-IT1",0.4555
"SEPTIN7P5",0
"RNU6-19P",0.3959
"LINC01553",0
"SSTR3",0.0141
"GTF2H1",5.2446
"LAMA4",20.8701
"UBXN7",4.9323
"SERPINB1",10.9544
"MIR520E",0
"TRGC2",0.2876
"RN7SL135P",0
"IGFBP7",208.6367
"ABHD17AP8",0
"OSBPL7",0.9766
"CCDC54",0.088
"SPTLC2",6.3575
"KRTAP22-2",0
"AQP7P1",0.0811
"EIF5A2",1.7498
"OR2L9P",0
"CATSPER3",0.2144
"IGSF21-AS1",0.0493
"KCNMB2-AS1",0.0501
"DEFB130C",0
"FOSL1P1",0.2336
"ZNF197-AS1",0.544
"RASSF4",1.4768
"AMD1",6.2564
"RPL29P28",0
"LRRC75B",1.4176
"RNA5SP524",0
"CD200R1",0.358
"MIR548AR",0
"RNU6-1109P",0
"ZNF433",1.5136
"AOC2",1.6025
"FARSA-AS1",1.2306
"HMGB3P8",0.0367
"NSUN3",1.1503
"ZNF674-AS1",10.0309
"RNU5F-3P",0
"NAP1L1",16.4802
"BSNDP3",0
"CALM2P1",0.2418
"PRMT5",27.2319
"SNRNP48",3.0236
"SUMO2P20",0.524
"MED28P4",0.037
"PMPCA",9.3925
"SEC61G",54.0156
"UBXN4",27.6515
"VAMP1",2.1597
"TSG101",8.2547
"LINC01914",0.4954
"GNG5",42.8424
"LINC02071",0.0246
"PTEN",3.6801
"PABPC1L2B",0
"MIR4786",1.8535
"LY6H",0.5856
"SEPTIN14P12",0.0757
"ZSCAN23",0.6065
"CLRN1-AS1",0
"ERVK3-1",3.125
"XRCC3",2.0514
"ZNF883",7.4015
"ZNF814",2.1217
"C2CD6",0.9232
"ANKRD1",0.2462
"MRFAP1L1",37.5076
"TSC2",7.7772
"ZC3H4",7.9559
"DEXI",4.0349
"PSMA6P1",2.0297
"SPATA31A1",0
"LINC01685",0
"MEGF11",0.0366
"TTLL9",0.2002
"ODCP",0.3877
"PABPC1P8",0
"IMMP1LP2",0
"MIF",29.8167
"MASP1",0.0756
"ASB15-AS1",0
"POTEM",0.0095
"XKRYP2",0
"FAM104A",5.3996
"MIR1293",0
"RIOX2",2.9404
"RPL32P3",1.0911
"FAM66D",0.2538
"LINC02847",1.2126
"CDK5",5.7752
"MTRES1P1",0
"TMCO6",1.119
"OR7E122P",0
"RRN3P3",1.5544
"LINC01111",0.1401
"KCNH1-IT1",0.0677
"RN7SKP255",0
"MIR124-2HG",0
"RN7SKP38",0.3428
"SRPK3",0.4733
"LINC01364",0.0238
"RHOBTB3",19.0295
"TSEN34",5.9447
"CMC1",0.6333
"SULT1C2",0.0883
"KCNAB1",0.3277
"C3orf18",3.0262
"MAPK6-DT",0.8571
"NDUFB5",5.257
"HMGN1P19",0
"MIR2467",0.2615
"RPSAP54",0.8607
"NR4A2",0.4005
"KRT18P26",0.0827
"RPL5P16",0
"LRRC8B",1.5782
"PGLYRP3",0.0181
"FTLP10",0
"MIR3670-4",0
"TMEM200C",0.0478
"BTNL9",0.0799
"BRINP3",0.0124
"IGHVII-74-1",0
"PRR29-AS1",0.0145
"PTGS1",2.7878
"ADAM17",6.4155
"OR5R1",0
"MEST",6.9894
"PPIL2",3.7761
"ENPP7P6",0
"ZNF355P",0
"ARMCX5-GPRASP2",2.7583
"SPRYD7P1",0
"CSPG4P5",0.0057
"LINC02181",0.0104
"LINC01429",4.1893
"SPATA25",0.6156
"SHLD3",0.6579
"SNORA40C",0
"RDH5",0.1846
"RETSAT",11.5568
"RN7SL337P",0
"FAM25E",0.0721
"LMNTD2",0.0722
"TVP23A",0.2487
"BNIP3P28",0.142
"SNORD114-21",0
"ADARB2",0.0423
"TPM1-AS",0.2779
"LINC02390",0
"PYY",0.1076
"NPY",0.046
"MIR1272",0
"FGF20",0
"SNORA5A",1.1066
"SMIM34A",0.0202
"BICDL1",0.0888
"RNU6-1287P",0
"TVP23C",0.9627
"MED6P1",0
"MIR563",0.5363
"TMPOP1",0.0334
"RNU6-303P",0
"FAM118B",7.2263
"RPL7P58",0.0559
"RPS9",77.7148
"RNU7-185P",0.3531
"C1DP2",0.0497
"LINC01077",0
"CCDC85B",23.0039
"DNAJC21",9.7418
"UBE2Q2P10",0
"RNU6-819P",0
"AOPEP",6.9729
"IQCE",3.1935
"RNASE10",0.0706
"OR51M1",0
"H3P41",0
"LINC01229",0.0264
"ZFP3",1.9897
"GCNT3",0.0327
"RNU7-167P",0
"RALA",22.1483
"NAT10",12.2524
"LINC01386",0
"GTF3C3",3.7238
"OR8G3P",0
"SPINT1",1.9855
"MIR8075",0.2648
"RNU6-416P",0
"ENSAP3",0
"XPO7",8.4039
"RPL7P56",0.1477
"HECW1-IT1",0.0461
"CEMIP",7.3158
"RN7SKP206",0
"MROH3P",0.0081
"CCM2",6.5234
"BACE1-AS",3.8967
"IGHV3-11",22.7953
"STIMATE-MUSTN1",0.0709
"MREG",1.6428
"BOLA3P1",0
"SLC38A11",0.0649
"RPL22P24",1.5775
"TENM4",9.5734
"SAMD1",10.8302
"RNU6-353P",0.1961
"FBXO41",1.2587
"NUDT9",10.525
"RN7SL262P",1.441
"LINC01840",0
"RPL36AP26",0.6661
"SLC15A5",0.0217
"RNU6-882P",0
"EPB41L4A-DT",0.2731
"RXYLT1",3.2328
"HDGFP1",1.2609
"IGLV3-15",0
"ATP5PBP7",0.1672
"CCDC82",3.9521
"ZNF259P1",0.0258
"KIAA1755",0.1677
"HSPE1P4",1.3755
"CEND1P1",0
"ADRA1A",0.0036
"SLC12A2",2.9518
"CAPN3",0.1451
"AP1M2",0.1435
"RNA5SP328",0.1943
"SNRPFP1",0.5044
"CDKL5",3.3382
"PCDH17",3.885
"PTMAP4",3.4285
"PES1",15.9907
"OR52E1",0
"PLAGL1",0.3814
"OR10AD1",0.0487
"PRRX2",20.7306
"MIR410",0
"PIEZO2",3.3773
"MAGED2",92.3697
"SLC39A1",47.2242
"LINC02661",0.0441
"PRY2",0
"LILRA1",0.2201
"YBX1P7",0
"JADE1",3.3901
"SUN2",10.5018
"H4C6",0.1358
"RASSF1-AS1",0.2681
"FAM72B",1.0825
"STAG3L5P",2.1908
"ENPP7P8",0.0659
"MEAK7",1.7992
"UPP2-IT1",0
"SNAI1",5.3523
"IGHVII-26-2",0
"LINC01689",0
"MYO7A",0.3633
"CYP2AB1P",0
"BCAS1",0.0518
"GMPR2",15.2937
"SNORA5B",0
"RAC1P6",0
"SP3",5.8815
"BTF3P15",0
"TDRD9",0.0309
"GBP5",3.9801
"ATP8A1",0.2081
"RNU7-121P",0
"CYCSP48",0
"ZNF714",1.9039
"UST",3.946
"C16orf70",2.9937
"RPAIN",3.8432
"OR5H5P",0
"ATP11A",3.2469
"MAPK13",2.4106
"RNU6-563P",0
"RHEBP1",0.3048
"CCDC61",1.7434
"HTR4",0
"A2M",71.7848
"SPTY2D1",5.1079
"LINC02686",0
"YEATS2",4.3416
"PWRN1",0
"PMAIP1",8.4827
"SLC44A3",2.1338
"MIR3685",1.025
"CHCHD6",2.2003
"BHMT",0.006
"SCD",18.8996
"EFCAB13",0.7112
"NSUN4",3.6998
"GDPD5",1.2108
"PRDM2",6.2775
"DUX4L26",1.0803
"RNU6-116P",0
"RN7SKP281",0.0602
"STH",0
"GALR3",0.0366
"PES1P1",0
"PCDHGA11",0.5174
"KLF17",0.0474
"GTF2H2",0.9547
"LINC01951",0.011
"VDAC1P2",0.2741
"MIR6715A",0
"RN7SKP28",0
"STKLD1",0.37
"TESK1",13.7645
"CLEC4M",0.0104
"MIR767",0
"SAPCD1-AS1",0.046
"GYG1P2",0.0211
"NQO1",3.5739
"MYH1",0
"TMEM190",0.2143
"RNU6-1126P",0
"MSGN1",0
"RNA5SP286",0
"LGALS2",0.7419
"PXDC1",27.3821
"RNU6-538P",0
"RXRB",19.1458
"FADS2",4.8645
"MVP",18.7891
"DCTN6",4.5911
"RNU6-843P",0
"VMAC",2.4999
"MPZL3",3.1283
"MAP3K10",3.4795
"TRBV5-4",0.1558
"CYP4A11",0
"APCDD1L-DT",2.024
"TSPYL1",15.5593
"RMRPP5",0
"RNU6-1282P",0.2207
"RNU7-155P",0
"PCDH7",12.1713
"PCBP1",64.3723
"TPBGL",0.3565
"RNU1-107P",0
"DNAJC19P7",0.0616
"LINC02334",0.0299
"MIR539",0
"UNC80",0.0231
"SPPL2A",11.3666
"HAUS1P1",0.0764
"ARFGEF1",5.8857
"TSSK6",0.5595
"H2BU1",0
"IGKV1-22",0
"AP1S3",0.1582
"TNNT3",7.1793
"SHOC2",4.5676
"GRN",134.8193
"STARD4",1.2597
"MAP3K19",0.007
"SRMP1",0.0479
"POLR2J3",0.733
"PGGT1BP2",0
"EPPK1",0.0596
"CEP85",4.4734
"MUL1",25.9184
"MIR4774",0
"ERCC2",8.424
"TERB1",0.0342
"FABP1",0.0086
"MIR1301",0.3783
"OR2L8",0
"VN1R108P",0.8167
"MAGEA4-AS1",0
"MRPL21",7.9258
"OR5AH1P",0
"ZNF90P1",0.0109
"IGHV2-5",12.665
"TRAV28",0
"PI3",0
"KRT8P22",0
"LINC02220",0
"PPIAP54",0.261
"SCN4A",0.0565
"MOS",0
"NMUR1",0.0578
"SUCLG2P2",0.2288
"UMODL1-AS1",0.4353
"POLR3C",12.5672
"ZNF121",5.1095
"HDAC11-AS1",0.1645
"TBKBP1",4.8008
"MIR3115",0
"OR52S1P",0
"MIR222",1.3239
"BIRC7",0.2848
"RP9P",6.9773
"ZNF530",1.2704
"SUPT4H1P2",0.12
"PSMA3-AS1",6.3901
"LINC00316",0
"CLDN11",0.2212
"LINC00652",0.1537
"GOLGA8H",0.6024
"CPA1",0.0508
"SPATA31C1",0.0045
"THRIL",0
"EIF4EBP2P1",0
"ZNF667",2.0726
"SYF2P1",0
"KIAA0825",0.2217
"SEM1",6.4379
"RPRD1A",4.3711
"DDX11L16",0
"NLRP10",0.0418
"MEF2C",4.0764
"GOPC",12.0901
"RN7SKP223",0
"IGHV3-16",0.0498
"ATP8B5P",0.055
"RHOJ",7.411
"GIN1",0.623
"MARK2P14",0
"PRPS1P1",0
"MIR660",0
"COX6A1P3",0
"RNA5SP339",0
"CENPBD1",1.984
"TPPP",0.1372
"RN7SKP95",0.0699
"RILPL1",2.8236
"SCN1B",1.2092
"PIGO",4.9395
"EZR",36.8327
"SPRR2F",0
"LRP3",6.9682
"VCX3A",0.0213
"OR8A3P",0
"CTXND1",0.0184
"VPS25P1",0
"PFN1P4",0.8958
"GPR39",0.2814
"CD164L2",0
"KCMF1",5.3729
"DGCR8",4.6536
"CLIP1-AS1",0.0703
"WWC3-AS1",0.3298
"KLC3",0.1623
"GGT1",0.2436
"COL4A2",68.3522
"NPM1P37",0.0727
"MIR4673",0
"ASS1P2",0.2771
"CT47A6",0
"PDHA1",22.9652
"H2AC16",0.1617
"ZNF24",9.1048
"LINC01705",1.8092
"RNASEH1-AS1",2.7131
"RN7SL468P",0
"SOX5-AS1",0.0298
"IDI1",5.7547
"MAML3",0.9999
"TRBJ2-7",0
"MIR1302-6",0
"ITIH2",0.0125
"ARL1",14.3461
"ADGRA2",26.7301
"ALOX15P2",0
"RNU6-853P",0.9899
"LINC02532",0.0064
"LAMB4",0.2204
"PLXNA4",1.2486
"TRBVA",0
"WAPL",4.3414
"RNU6-995P",0
"RNA5SP297",0
"C7orf31",1.1594
"LINC01310",0.0062
"RPL3L",0.0461
"SUN1",17.5853
"RN7SKP36",0
"SCART1",0.1004
"RNU7-149P",0
"LINC00412",0.0504
"NADK2",16.6819
"SGF29",3.0219
"OAT",15.3683
"INE2",0
"M6PR",14.4249
"ALG1L3P",0.0277
"POU2F2",3.2073
"HMGN2P40",0.0542
"CEP135",2.0325
"LINC01896",0.0122
"MIR1260B",0
"RNU6-647P",0.198
"RNU6-537P",0.2057
"MIR4300",0
"MIR320D2",0
"BMS1P11",0.0239
"SMIM31",0.0133
"ELOCP31",0.0454
"RN7SL633P",0
"SP6",2.568
"ASS1P12",0.5352
"RNU6-31P",0
"RPL7AP72",0
"SLC12A9-AS1",1.2629
"KCNA3",0.2309
"OR5AC1",0
"NR2C1",2.9395
"SEPTIN7P1",0.0708
"OR13Z1P",0
"ANKRD20A6P",0
"MIR6826",0.2162
"PLRG1",14.0969
"SCARNA21B",0.1513
"LRP2BP",0.5181
"TMPRSS11D",0.0193
"LINC02629",0
"INSL5",0.0889
"HBM",0
"MIR422A",0
"ZNF263",4.7521
"BBX",5.3488
"OR1A1",0
"FGF3",0
"SEC62",26.5456
"SPDYE5",0.6753
"SSH2",2.201
"ATL1",0.8065
"IGKJ2",0
"RCAN1",14.6857
"UBD",0.3703
"SNRPEP7",0
"RNA5SP193",0
"GJB5",0.0156
"ATF7",6.3443
"KRT8P2",0
"BNIPL",0.3662
"KLHL5",13.05
"NEIL2",4.0516
"SOD3",10.0042
"SIPA1L3",4.9724
"LINC01107",0.0107
"ABCB7",10.3633
"SV2A",1.2998
"SPDYE19P",0.3862
"TRAV17",0.1313
"STEAP4",0.4822
"FAM192BP",0.3058
"CCDC130",4.913
"RNU1-98P",0
"CDC27",12.7303
"TCF4-AS2",0
"IL4I1",4.4879
"SCAT8",0.3642
"LYPLA1P2",0.0307
"RNU105B",0.1018
"HSF5",0.0052
"GRIN2C",0.042
"SST",0.0343
"GXYLT2",29.6979
"NUP93",3.9737
"SEC61B",78.4663
"UBTFL5",0
"IGLL1",0.0937
"KRTAP9-9",0
"RNVU1-26",0
"SNORD14B",0
"WDR95P",0
"SMIM13",7.4918
"MIR6776",0
"DPY19L2P3",0.5615
"OR4U1P",0
"MAGEB17",0.0131
"GUCA1C",0
"ASS1P10",0
"CLEC4F",0.0257
"C5orf66",0.2867
"IGF2BP3",1.1723
"ENDOG",6.6875
"ECM1P2",0.0134
"RASL10B",4.331
"OLA1",8.6399
"LINC02129",0.0306
"LINC00363",0
"GPANK1",6.0343
"LINGO1-AS1",0
"TOPAZ1",0
"LINC01534",0.8376
"TRAT1",0.1089
"LINC00507",0
"CENPW",11.9105
"MARC1",0.119
"SNORD24",0
"TMEM106A",3.9322
"LINC02413",0.0339
"RNU5E-1",0
"ZBTB20-AS5",0
"TRIM64EP",0
"TJP1",18.9942
"TSPY3",0
"TBC1D3F",0
"MTND4P8",0
"OR5M14P",0
"HMGA1",12.6807
"LINC01029",0
"CARF",0.807
"RNU2-13P",0
"COL18A1-AS1",0.141
"SLC47A1",0.1889
"NPAP1",0
"NBPF21P",0
"GTPBP3",3.2812
"UBL7-AS1",1.4989
"PPP1R26P5",0.0058
"HOXB9",1.4363
"IRF5",1.2153
"RPL7AP28",0
"KLHL22",6.3786
"RNU6-241P",0
"TAS2R30",0.0926
"FAM182A",0.0146
"PHB",17.9598
"GALNT12",0.6618
"JCHAINP1",0.0892
"TMED5",4.2443
"ZNF226",2.742
"MS4A10",0.0092
"ANKRD34B",0.0105
"PHBP18",0
"JKAMPP1",0
"IGLV1-36",1.2397
"MIR548AC",0
"DDHD2",3.479
"CBLIF",0.0088
"RNU6-1206P",0.2057
"FAM86EP",2.529
"LINC01627",0
"SNORD116-18",0
"H2BC8",3.6488
"GYPB",0.0541
"TRIM21",4.8867
"SETD6P1",0
"LINC00539",0.1823
"MIR3667",0
"CCDC197",0.0086
"MYBPC1",0
"PRDX5",106.4372
"FAM215B",0.1261
"FAM156B",0.7226
"RNA5SP526",0
"RPL38P3",0.1989
"BNIP3P7",0
"HPGD",0.1264
"UBE2V1P2",1.2517
"OR4F28P",0.0226
"PPM1J",0.0811
"HCG27",0.351
"RNU4-41P",0
"KIF22",9.3879
"RAB1C",1.0137
"PI4KAP1",0.1849
"CEP57L1",1.7521
"STMN1P1",0.1444
"RNA5S1",0
"RNU7-71P",0
"SLC47A1P2",0.1571
"CCDC178",0.0142
"PHKG1P1",0
"KAAG1",0.092
"PPIAP59",0.1289
"FANK1",0.2003
"SEPTIN7P7",0.2117
"ACTBP7",1.3758
"RYR2",0.0179
"YJU2",5.3496
"ADAMTSL4",0.5434
"RNU6-342P",0
"ZIM3",0.0081
"SLAMF7",1.8715
"OR5M7P",0
"TSEN15P2",0.355
"PTGDR",0.5238
"DLEU1",0.3075
"CNFN",1.1944
"MTCO1P14",0.0136
"HSD11B2",0.5228
"DNAJA1P6",0.0598
"NEMP1",7.8639
"NCF1",0.208
"SPIN3",1.3823
"MED19",11.421
"KRTAP5-11",0
"LST1",1.4394
"H1-9",0.4866
"C6orf223",0.0595
"LOXL1-AS1",7.7285
"PXK",3.7112
"PPIP5K2",2.8861
"RPL15",59.029
"HCRTR2",0.7119
"NOP56P2",0
"LINC01473",0.1753
"DNAJB2",6.388
"CRELD2",6.5251
"DPCD",3.5264
"GLRA4",0
"GUSBP9",0.2539
"RN7SKP60",0
"PADI6",0.0088
"MIR6505",0
"C1QBPP2",0.3595
"ATP5F1A",19.8334
"CDC16",13.6026
"LINC02030",0.0132
"SBSN",0.0213
"ALCAM",17.9491
"PI4KB",20.558
"LINC02627",0
"MAP3K15",0.1439
"RPL21P43",0
"MIR2053",0
"C9orf85",3.7655
"CAMP",0
"VN1R5",0.0198
"OR3A2",0.0197
"LINC01498",0.0135
"JAGN1",13.3763
"MRPS31P5",0.0547
"ARF4P4",0.0815
"LAD1",0.0458
"SP2",7.2517
"PIWIL2",0.081
"RNA5SP49",0
"GLRA3",0.0044
"TMPRSS11B",0.0063
"MTCO2P22",1.2131
"SH3GL3",0.1197
"DDX4",0.0111
"OR5BC1P",0
"KIAA2013",25.2763
"COX15",4.5845
"RN7SL565P",0
"RPL6P21",0.025
"FAM78B",1.1775
"CYP2J2",0.4959
"RPL12P43",0.0425
"CYB5A",3.3732
"GDF10",0.1293
"LINC02311",0
"MIR155HG",2.1448
"MIR644A",0
"MIR6806",1.3239
"TRIM36",0.3084
"DEFB131D",0
"TLCD3B",0.0387
"LINC01087",0.012
"NDUFB1",6.9362
"H2AC7",1.9943
"MIR4803",0
"AOC3",2.3318
