"","x"
"SMARCE1P7",0
"IGKV2D-14",0
"SNX9",12.1053
"ITFG1-AS1",0.1347
"FTLP2",17.4121
"RNU6-346P",0
"LINC02335",0.128
"PSMA7",169.4324
"OR6B1",0
"FBXO30",1.7938
"FAM230E",0
"RNA5SP174",1.0007
"NDUFB4P11",0
"LCTL",0.3165
"CIDEB",0.0316
"MIR4438",0
"RPL21P107",0
"PCYT1B",0.4494
"LIPI",0.0097
"RPS4XP21",0.045
"CUL9",2.1508
"ELOC",15.6416
"MIR4790",0
"MTCYBP33",0.0149
"MIR4448",0
"DOCK9-DT",0.5644
"RNA5SP153",0
"PARP15",0.2941
"GPAA1P2",0.0189
"SARAF",44.6154
"WFDC2",0.5249
"ZBED4",6.9918
"RN7SL91P",0
"PRAMEF1",0.0069
"MIR148B",0.619
"MS4A12",0.0092
"CNTLN",1.6695
"GNPDA1",18.0402
"LINC00507",0.0078
"LUARIS",0.0926
"GLI1",0.7383
"UBE2FP1",1.9247
"MIR208A",0
"NPM3",30.7023
"RBM8B",16.9975
"TNNT3",0.3483
"NUTF2P2",0.0879
"OR7E102P",0.0831
"RPL18A",60.7658
"UBE2V1P7",0
"LINC02522",0
"MIR6881",0
"NUDT16",5.467
"HDAC1P2",0.0336
"KDM2B-DT",2.5117
"RN7SL316P",0
"CLUAP1",1.3326
"OR8H1",0
"RGL1",6.3024
"KRT83",0
"HAND2",0.0375
"CKS1BP1",0.8435
"RN7SL753P",0.1745
"RNA5SP430",0
"H2AC3P",0.0456
"CD3G",0.1847
"NFU1P1",0.0218
"DACT3-AS1",0.0924
"PRELID3BP1",0
"RN7SL719P",0
"PNPT1P2",0
"BCAR1P1",0.053
"FBLN7",4.7135
"DIRAS1",2.7058
"SZT2",2.4421
"PGAP2",2.4761
"HTT",6.8423
"BRD1",7.2551
"RFC5",7.9646
"RNU6-1174P",0
"CEACAM6",0
"RNU1-138P",0.2057
"TEAD3",7.349
"CLECL1",0.3039
"P2RY2",0.0472
"CHEK2P4",0
"PSMC1P9",0.3538
"SSMEM1",0
"RPL7L1P9",0.1132
"BLID",0.0587
"ZFYVE26",4.54
"LINC01936",0.1314
"RN7SL290P",0
"TMEM250",29.1532
"ISL2",2.2482
"KIDINS220",8.538
"OR52K1",0
"RNU5E-6P",0
"AS3MT",0.0211
"FER1L6",0.2144
"LINC02108",0
"BNIP3P3",0
"CHST3",6.0603
"PLXNC1",6.5654
"MIR625",0
"MIR1261",0
"TNNI2",0.4365
"PXDN",4.3383
"GCG",0
"MIR624",0.3478
"TEX21P",0.1257
"CYP4F36P",0
"FZD3",1.122
"ELK1P1",0.0291
"C4orf50",0.0031
"IL23R",0.0112
"FRG1KP",0.0495
"MIR199A1",0
"AMYP1",0
"NKX2-2",0.0081
"KCTD12",13.6578
"MIR520E",0
"GTF2E1",5.0407
"SCG2",0.4529
"MIR2276",0
"RPL21P13",0.0351
"KRT34",0
"MIR519D",0
"ANKHD1-EIF4EBP3",0.2371
"FGD6",1.1656
"LINC02319",0
"CFI",5.0281
"GABRA4",0.0014
"JAZF1",10.7425
"TRAJ36",0
"CT45A9",0
"GTF2IP13",0.5861
"HSF4",0.5168
"ZNF35",4.6052
"RUNDC3A-AS1",0.0219
"EGLN1P1",0
"ZNF518B",1.9862
"MIR1272",0
"RNF216P1",7.9753
"MIR8079",0
