"","x"
"TUBA1A",53.6091
"MT-TH",1.1393
"KIF7",3.69
"ABCC8",0.2783
"DIS3",2.4468
"ZNF123P",0
"PAICSP7",0
"MTND4LP21",0
"MIR548Z",0
"MIR663B",0.1709
"MIR520D",0
"LINC02138",0.0593
"PAGE1",0.0296
"PCDHA12",0
"SEPTIN14P3",0
"STRAP",33.8296
"LINC02594",0
"FAM166C",0.0314
"LINC00271",0.0822
"REG3A",0
"MRPL16",10.4277
"NXT1-AS1",0.1931
"LINC02288",0.0336
"SETD6",1.8925
"PLA2G4E-AS1",0.0079
"RNU6-732P",0
"OR10H4",0
"B3GNT5",0.4491
"CXorf49B",0
"ATP6V1G1P2",0.0568
"OR51A1P",0
"SNHG28",0.8329
"ROGDI",3.5057
"LINC02620",0
"STING1",10.8931
"COX5BP7",0
"EIF6",45.1754
"NIPA2P5",0
"IGKV4-1",0.1826
"RNU6-1230P",0
"CD69",0.0763
"SMIM34A",0
"IGSF21",6.3066
"LINC02613",0.0667
"CARD6",2.7743
"AGRN",35.6824
"ARMH1",0.1366
"PTGER4P3",0
"MPHOSPH8",7.7488
"USP17L13",0
"FAM98A",27.1364
"OR13K1P",0
"MIR8485",0
"TECTB",0
"RNU6-441P",0
"ATP6V0A1",3.9915
"YPEL3",10.6201
"TTLL5",1.5109
"LINC00689",0.0687
"FSHB",0
"GLIS1",3.4153
"SNORD115-39",0
"RN7SKP116",0
"RNU6-1238P",0
"KRT6C",0
"BICRA-AS1",0.3233
"MT-TY",31.8608
"TGFBR3L",0.337
"MS4A5",0.0219
"COX15",3.7216
"ACSL5",0.8397
"USP9YP5",0
"DNM2",14.5328
"MTCO3P7",0
"MIR1302-2HG",0
"ANKRD33B-AS1",0
"RNA5SP35",0
"MRPL12",9.6159
"RPL23AP36",0.0858
"SLAMF8",3.0764
"RNU7-4P",0
"ANGPTL4",4.6083
"MT-TF",0.5536
"HMGN2P25",0
"SRSF8",5.2107
"USP9Y",0.2553
"OR4C3",0
"SH3PXD2B",19.6549
"WIPI1",28.0287
"ITGB7",0.1272
"NOG",1.0491
"PWWP2A",1.7117
"PHTF2",7.36
"PROZ",0.0354
"OR52L1",0
"FAM66A",1.174
"RNU6-991P",0
"CSMD2",0.5379
"PSME4",9.2764
"RNU7-11P",0.317
"MRPL53P1",0.4312
"EIF1AX",23.8209
"DYRK2",5.5476
"INPP5B",1.316
"MAP3K2-DT",0.2703
"MTCP1",0.1446
"H4C11",0.3161
"RPL23AP62",0
"SLC25A39P2",0
"RPL12P22",0
"FAM157B",0.0704
"STAG3L5P",1.2125
"RPL36AP51",0
"MBD6",3.6687
"RN7SKP125",0
"GTF2A2",5.8393
"OSTCP8",0.0877
"TTLL3",1.7652
"RASGEF1B",0.8131
"RNU1-78P",0
"NAV2-AS3",0.0329
"CCDC107",11.584
"LINC02716",2.2711
"ZNF214",0.2466
"RNF169",1.0551
"RPL23AP56",0
"RN7SL34P",0.1456
"OTOAP1",0.1699
"CRLF3",2.8213
"RNU6-1228P",0
"RN7SKP207",0
"C3orf62",0.8452
"RNU6-1321P",0.1837
"LCN15",0.0068
"TMEM235",0
"PIGFP1",0.0602
"RNU6-377P",0.3853
"TRAJ28",0
"OR4K13",0
"RASAL2",3.2031
"C16orf78",0
"NR6A1",0.0772
"PABPC1P1",0.5653
"RNU6-1056P",0
"MIR3681",0.273
"RPSAP34",0.0267
"SNORA15",0
"GPRIN1",1.2694
"TSPOAP1-AS1",0.0928
"LINC01168",0.0748
"CPDP1",0
"CSNK1G2",22.0599
"TPRX1P1",0
