"","x"
"UGT1A6",0
"RPL21P41",0.1194
"TRBV6-7",0
"TRDV1",0
"NCOA3",4.4006
"TRARG1",0.0263
"FAM71F2",0.1717
"OR10R2",0.0313
"QTRT1",8.2433
"HMGN1P28",0
"TBC1D3K",0
"MTCYBP45",0
"LINC00680",3.8751
"NOG",3.5986
"CARD11",0.971
"MIR3926-1",0.4318
"USH1G",0.0354
"CAST",18.4092
"MTCYBP18",1.3925
"OR2AP1",0.0339
"CTSB",153.4507
"RPL23AP23",0
"EIF4EBP2P1",0
"CLIC4P1",0.2946
"RN7SL608P",1.3557
"R3HDM2P1",0
"NUDT11",0.5815
"RNY4P29",0
"DARS2",8.2541
"RN7SL508P",0.104
"KYNUP3",0
"RNU6-74P",0
"IL9RP3",0
"PARP10",8.391
"HMGB3P18",0
"LINC00572",0
"GRIN3A",0.0388
"RN7SKP232",0
"LINC02166",0.8307
"FAM83C",0
"LINC00446",0
"SLC35C1",5.3176
"DTL",4.732
"CARD14",0.1152
"OCSTAMP",0.0617
"FAM43A",44.2103
"LINC01311",0.3054
"ITGAX",1.0694
"GPR22",0.0257
"RAB28P5",0.1937
"RHD",1.0561
"OR52Y1P",0
"RIMS4",1.7438
"RPL37P23",7.2906
"RNU1-107P",0
"HJV",0
"RPL22P7",0.3408
"USP11",21.8775
"DEFB116",0
"CNOT7P2",0
"LINC02823",1.3398
"LINC01932",0
"SNORD25",0
"C1orf21",1.767
"CICP7",0
"RNU6-1132P",0
"SLC16A14P1",0
"CYP4Z2P",0
"ANKRD55",0.0846
"MIR6078",0
"UQCC3",12.4612
"NR3C1",13.7982
"SNORD46",0.6062
"RPSAP15",9.0426
"C10orf53",0
"NEUROG1",0
"MPPED2",3.1763
"ADGRF5P1",0.0635
"RNU1-93P",0
"RPL12P29",0
"SOX5",0.0284
"LINC01814",0
"CHGA",0.0305
"MIR4529",0
"ZNRF2P1",1.9211
"C1DP2",0
"ATP2C2-AS1",0.0105
"RN7SL826P",0
"IPO11",4.4397
"ARID1A",13.3468
"CASKIN2",8.201
"MIR655",0
"ADGRE3",0.0444
"DICER1",3.1434
"LIG3",1.0272
"KANTR",0.4279
"STIMATE-MUSTN1",0.0101
"FABP5P6",0
"EIF4A1P3",0
"MTND2P30",0
"LINC02282",0
"ZNF507",1.6379
"DUX4L12",0
"TESMIN",0.2486
"RCSD1",2.7508
"CACNA1S",0
"SCN1A",0
"UBA6-AS1",1.5322
"CDH5",14.2404
"ARPIN",17.1176
"USP19",6.9191
"COX20P1",1.8542
"UBE2L2",0.147
"TRBV10-2",0
"PFN1P6",0.553
"ATP6V1B1-AS1",0.0277
"CYP1B1-AS1",0.2328
"RNA5SP240",0
"POU5F1P3",0.2339
"TP53TG5",0.2489
"ITGB3BP",3.8052
"PLCB1-IT1",0
"KIF1B",2.2519
"CDIPTOSP",0.035
"MIR3180-2",0
"TFCP2L1",0.1749
"MTCYBP19",0.028
"DNAJA1P4",0
"TRIM37",2.645
"KRT18P33",0.0604
"RNA5SP356",0
"SDE2",4.8451
"SERPINB13",0
"ABCF3",8.5537
"NDUFS4",42.028
"ZMYND11",8.2193
"RPL39P5",0.702
"PRKX",7.4113
"SAFB2",8.0044
"OSTM1",4.3212
"LINC01277",0
"MIR6880",0
"ZNF680P1",0
"SPRR2B",0
"OR2M3",0.0336
"RPL3P7",5.2275
"RNU6-275P",0
"AARS2",4.085
"FOLR3",0
"C11orf42",0
"INHBE",0.2509
"OFD1P15Y",0
"OR51L1",0
"MIR514A2",0
"MID1IP1-AS1",1.3413
"CPEB2",1.8271
"STARD7",36.6341
"ARL5A",6.66
"ASCC1",6.083
"ZNF76",1.6018
"OR2T29",0
"RPL35AP30",0
"CALML5",0
"RPSAP32",0.0599
"DGCR6L",41.5455
"SH3GL1P3",0
"ZNF573",0.726
"ZNF423",0.536
"LTBP4",5.6021
"STRA6LP",0.0266
"NPAP1P2",0
"GTPBP6",13.3996
"SOS1-IT1",0.7541
"RNF14",7.945
"RNU6-598P",0
"NES",23.2239
"RAD23BP1",0.1284
"RSPO3",0.0793
"LSM8",2.2892
"LRRC49",0.549
"RPL35AP12",0
"H3P12",0.1549
"TMEM231",3.6211
"SMIM11P1",0.1771
"POMC",0.2869
"RNU6-1274P",0
"GIN1",0.9648
"SFTA3",0.0304
"MESTP3",0.0326
"HMGCS1",6.3216
"MIR128-1",0
"SNORD115-29",0
"NOC2L",12.3205
"PEAR1",0.9291
"PCF11",3.5731
"MSL3P1",0.9686
"TSR1",5.8267
"IL18R1",0.21
"EIF3K",69.8802
"RNU6-530P",0
"KRT12",0.2364
"HMGB1P31",1.6979
"VPS18",5.683
"LINC01593",0
"SNRPFP1",0.8756
"CCDC32",1.2648
"C2orf78",0.0311
"SLCO1B3",0
"OR4G1P",0.0336
"RN7SL314P",0
"KRT36",0
"WASF1P1",0
"TAF1",4.6527
"SLC22A15",1.769
"SDHDP1",0
"IL6ST",37.8103
"MIR4666B",0
"CALY",0.0105
"ATG10-IT1",0
"MIR3976HG",0
"NPHS1",0.0289
"RPS23P1",0.7297
"CYP2G1P",0
"NFE2L2",13.9549
"CRYAB",84.1946
"ZNF733P",0
"TTTY9B",0
"KDM5A",7.1213
"MIR8485",0
"RN7SKP90",0
"KCNJ4",0.0153
"MIR3122",0.4318
"MIR5588",0
"RN7SKP89",0
"TAS2R50",0.0315
"OR13C6P",0
"RN7SL596P",0.1094
"DAP3P2",0.2472
"ADAMTS9-AS1",0.0726
"OR11G1P",0
"HIKESHI",13.6183
"SNORD31B",0
"GPS2",1.7551
"PEX19",6.1261
"XIAP",12.074
"PPIAP68",0
"LINC01873",0
"RNU1-65P",0
"VWA3A",0
"RPL6P2",0.161
"RGS3",16.045
"LINC01974",0
"UTP4",14.5981
"IFITM9P",0.6368
"RPL21P92",0.0662
"BTF3L4",10.9816
"YBX1P4",0.039
"ACMSD",0.0113
"MIR941-2",0
"FEN1P1",0
"UBAP2",2.2969
"LINC01006",2.2027
"GCAT",7.7604
"PLD4",0.7199
"ARHGAP16P",0
"LINC02706",0
"HMGN2",134.2753
"ANKRD26P4",0
"RN7SL18P",0
"SBSN",0
"PTP4A3",23.008
"MAK",0.1193
"AQP4",0.0053
"RN7SL731P",0
"ELOCP21",0.2814
"RPL6P27",55.1618
"CACFD1",2.2387
"ITGA2B",0.1249
"BEAN1-AS1",0.0608
"GPS1",23.8187
"CXADRP1",0
"ADAM1B",0.063
"SIGIRR",1.8754
"TSTD1",0.3908
"TBCD",9.6173
"PCLO",0.0014
"ATRAID",76.8745
"MEIG1",0.0224
"MIR8081",0.3318
"CNOT7",8.2324
"CAPS",2.2779
"PIPSL",0.4328
"ADK",15.5922
"UQCRFS1P1",3.844
"EDNRB",6.3746
"DDIT4-AS1",0
"RHOXF2B",0
"GTF2IP20",0.5991
"RNU6-64P",0
"EZR-AS1",0.7263
"EFCAB12",0.0081
"PKMYT1",2.5673
"MS4A12",0
"OR9G3P",0
"OR2A15P",0
"ADAM3B",0
"SNORD38B",0
"NABP1",1.1416
"DDX3P3",0
"URGCP",3.1964
"MIR151A",0
"APCS",0
"LINC02861",1.1984
"H2AZP2",0.9902
"UHRF1BP1L",5.2646
"KRT17P6",0
"BRWD1",1.774
"MTND6P32",0
"KLK6",0
"CLDN17",0
"ESR1",0.2128
"TMEM256",35.6228
"MFNG",3.6578
"SEC62-AS1",0
"SI",0.0103
"PFN1P9",0.0728
"RNA5SP308",0
"LIX1",0.0383
"ACVR1",20.7375
"KRT18P8",0
"SLC25A5P8",0.1755
"EEF1A1P27",0.1111
"CLEC20A",0
"TCP1P3",0.1263
"IGKV1OR2-9",0
"HTR5A",0
"RNU6-719P",0
"PTRH2",3.2718
"LINC02294",0
"MIR4444-2",0
"COL6A1",451.7955
"IWS1",13.8566
"SNORD127",0
"RNU6-1134P",0
"STAT6",18.8185
"LINC01946",0
"LINC00028",0.6444
"MIR6825",0
"TMEM123",42.3943
"SMARCB1",33.1346
"EAPP",13.2761
"RN7SL853P",0
"LINC02008",0.0156
"CDK5R1",4.453
"BEND7P1",0
"RNU6-1120P",1.1674
"ELAVL3",0.0397
"HNRNPA1P26",0.2887
"PEX16",5.3982
"IGKV1D-8",0
"LINC02659",0
"LINC01869",0.0674
"GSTA2",0.072
"ZMYM4",13.4419
"LDHAL6EP",0.0276
"LINC01677",0
"RNU6-1046P",0.5892
"RN7SL154P",0
"MIR548H2",0
"SMG1P7",0.4772
"HSPA8",192.9615
"SLC6A21P",0.1708
"GABRG3-AS1",0
"SELENOOLP",0
"CREM",3.3739
"PSMC1P8",0.0973
"ST6GALNAC2",2.5274
"MIR4499",0
"BTG3",11.9195
"SNORD115-12",0
"CLCN4",3.8212
"CEP83",1.9345
"AOX2P",0.024
"OR56B3P",0.1331
"STARD5",0.1591
"BAALC-AS2",0.0614
"ZNF189",4.2512
"ZNF426-DT",0.8017
"TMEM245",4.3872
"MRFAP1L1",14.2423
"SNORA58B",0
"AADACP1",0.0157
"EXOC3L1",2.9708
"INPP5E",2.2289
"TP73-AS1",1.9643
"LINC02711",0
"TCTEX1D2",1.5685
"MIR4284",0.3891
"CPXM1",5.5765
"ASS1",37.4015
"LINC02558",0.0938
"FUNDC2",6.2446
"C17orf67",0.6409
"OR2AQ1P",0
"FRS3",1.6433
"RPS29P9",0.1843
"SMIM10L2B",0.1403
"PDGFA",61.0222
"BORCS8-MEF2B",0.3591
"ESS2",3.0875
"MTCO3P39",0
"GSTO3P",0.1756
"RNU6-614P",0
"RNU6-631P",0
"IGLV6-57",0
"RN7SKP258",0
"RNA5SP108",0.8082
"LINC02325",0
"PRAMEF11",0
"RNA5-8SN1",0
"PRAL",0.0863
"RN7SKP108",0
"GDNF",0
"PAX1",0
"KIN",1.0869
"C1orf159",1.0221
"DCDC2C",0
"DLGAP1",0.0078
"RAMP2-AS1",0.1891
"SH3D19",6.1189
"CCDC27",0.0272
"TDRD9",0.0805
"MIR4424",0
"CCDC146",2.0651
"CRB1",0.0099
"WASH2P",0.9164
"RPL31P40",0
"RNU6-539P",0
"ZNF518B",0.4365
"RPS27P16",0
"B4GALT6",0.6891
"NDUFS8",19.6109
"F3",6.3919
"SRPX",66.0403
"CEACAM22P",0.0099
"ST13P13",0.2021
"GCNAP1",0
"ABCB11",0.0061
"LINC02728",0.0576
"CYCSP49",0
"JADE2",2.6903
"DACT1",2.3026
"TWIST1",21.0554
"FAM24B",1.9282
"DMP1",23.7172
"LINC02414",0
"PMPCB",10.5092
"KMO",0.2333
"MTND4LP24",0
"METTL9",8.9209
"BMP5",0.2552
"MIR301B",0
"SBF1P1",0
"TMEM234",2.1538
"GTF2IRD2",0.3967
"TP53BP1",2.4482
"POM121L8P",0
"RPL10P18",0.102
"KCNA6",0
"LRFN4",7.3341
"RN7SL474P",0
"SPANXD",0
"RNU1-16P",0
"CXCL13",0.2643
"INTS8",6.4517
"IL17B",0.1562
"CRIP1",10.452
"ZNF790",1.7762
"NPBWR1",0.0117
"RPS7P13",0
"F13A1",28.8259
"SAMD12-AS1",0
"RBM22P2",0.0174
"RNU1-97P",0
"TRPM5",0
"CIDEB",0.0591
"CBX3P6",0
"CD82",5.1783
"LINC01817",0
"ZNF501",1.3705
"NEURL3",0.0631
"RPS29P26",0
"RN7SL561P",0
"LINC00499",0
"INTS6-AS1",0.0863
"MIR6072",0
"TUBB4BP4",0
"KLF1",0
"GSTM1",12.3349
"LINC02101",0.0435
"DLX2-DT",0.2986
"LINC00880",0.0312
"KRT8P35",0
"WBP1LP6",0
"NFIX",20.7823
"RNU6-565P",0
"NPAP1P3",0
"TARDBP",15.0622
"LINC00970",0
"HRCT1",0.8295
"IGHVII-51-2",0
"LINC02385",0.0736
"SMIM30",10.9226
"TMEM18",2.9809
"CPXM2",9.4128
"HCG25",0.2982
"RPL36AP26",1.6851
"MIR4500",0
"FHL3",32.2446
"HNRNPA1P46",0
"SNX5P1",0.1514
"DIPK1B",1.5271
"MARK2P6",0
"SPACA6",0.7777
"BANF1P2",0.1194
"NMB",2.93
