"","x"
"CALM1P2",0.1096
"MIR6075",0
"LINC00632",2.1307
"RN7SKP55",0
"H3P33",0.1327
"LINC02211",0
"SYS1-DBNDD2",0.613
"HMX1",0
"PTPRD",4.7934
"CYP4F22",0.0557
"ABHD1",0.0796
"KRT37",0
"SELENOV",0.0142
"NDUFV3",7.6281
"ESRRG",0.0248
"RNU1-96P",0
"DENND11",6.2258
"OFD1P2Y",0
"ST6GALNAC1",0.0142
"POLR2L",48.3383
"FNBP1L",4.7393
"PNMA6B",0
"KCTD1",0.7622
"CAMSAP1",7.297
"MIR4433B",0
"HDAC8",3.1911
"GYG2",18.6697
"MREGP1",0
"RNU6-587P",0
"DBT",2.7417
"LINC02147",0.0186
"PIAS2",0.8953
"IGKV2D-19",0
"BBOX1",0.3189
"SLC9A3P2",0.0365
"EEF1GP7",0.0699
"MOGS",19.5143
"FMO8P",0
"ASPHD2",3.299
"KDM6A",3.8869
"IGKV1D-8",0
"SNRPCP18",0
"INHA",0.4903
"RIPK4",0.2375
"ARMS2",0
"PHF19",19.3189
"C19orf71",2.7325
"NUTF2P6",0.3827
"FKBP6",0.0298
"PTPN9",14.3263
"MTND6P6",0
"HRK",0.1397
"SLIT2-IT1",0
"MAPK1IP1L",30.3263
"FEN1P1",0
"EIF5A2",1.1854
"RPS20P31",0.074
"FANCI",12.588
"HOXA1",2.621
"KRTAP13-5P",0
"LUZP4P1",0.0714
"ZNF568",1.0513
"WBP1LP6",0
"OR51M1",0
"EXOC3L1",1.0215
"LINC02526",0
"CST9LP2",0
"PRSS55",0.0157
"KRT8P26",0.1155
"ITGB3BP",4.0305
"TSPAN19",0.0301
"NEPRO",3.7057
"MCM3AP",11.0686
"LINC02084",0
"STAU2",2.8437
"TTC29",0.0074
"TDGF1P4",0.0472
"MRTFA",10.5783
"FOXJ3",9.3764
"RN7SL200P",0.0853
"SRGAP3-AS4",0.3257
"TRBV5-2",0
"RNU1-44P",0.3013
"RPS28P8",0
"PLK5",0
"FAM234A",12.6935
"APOOP4",0
"RNU6-908P",0
"CBR3-AS1",0.5458
"APLN",13.6994
"CFAP299",0.0219
"LINC01899",0.0446
"TAC1",0.065
"KRT8P45",0.0339
"RAPGEF6",0.919
"IGHD1OR15-1B",0
"KLHDC7A",0
"TOGARAM2",0.0112
"SNORA80A",0.1806
"PDK2",3.5573
"LDHAP2",0.4986
"SNAPC5P1",0
"MIR7843",0
"NPIPA8",0.0153
"RNY4P20",0
"MAP3K14-AS1",0.4553
"SEC16B",0.03
"INPP5F",1.4827
"IFITM5",170.6921
"MCRS1",20.2895
"PSMD7P1",0.0899
"MTCYBP41",0.0656
"RB1CC1",3.4795
"NME2P1",1.4235
"MED14",9.1094
"CGA",0
"ZNF598",13.5762
"CRYAA2",0
"MIR4318",0
"ACTN4P2",0
"ARL14",0
"PROX1-AS1",0.0549
"POLE3",25.7727
"RNU6-783P",0.2339
"MTND1P28",0
"DSC3",0.0035
"MIR34AHG",0
"USP12",5.3839
"RAB9A",7.1397
"IGDCC3",0.5617
"PMS1",3.5203
"MDFI",464.65
"EZHIP",0.0127
"ITGAM",3.6888
"MIR4652",0
"PHF11",2.7087
"OR13Z1P",0
"SMARCB1",66.3245
"C17orf82",1.942
"SATL1",0
"CTBP2P5",0
"HSPA8P17",0
"ASS1P10",0.0395
"CHCHD2",244.2386
"KPNA2P1",0.1235
"ICA1",0.4217
"SUSD2P2",0
"IGHD3-3",0
"EEF1DP5",0.2227
"LINC02196",0.0432
"LINC02206",0.1025
"AACSP1",0.1744
"CYCSP44",0.0785
"GUCY1B1",4.5169
"RPS27P29",0.3898
"SIDT1",0.0366
"ITPA",21.0346
"MIR548BB",0
"PCNPP4",0
"UTF1",0.1698
"PPIAP54",0.0504
"C2orf69P1",0.0225
"SLC6A1",0.0751
"MRPS18A",88.2416
"GPR1-AS",0.2498
"KCTD10",7.7714
"RPL23AP14",0.2099
"RN7SL338P",0.3352
"BEND3P3",0.0403
"GUK1",68.8872
"ALAS2",0.1956
"YY1AP1",7.66
"HRH4",0.0268
"RNU5B-2P",0.2173
"MRVI1-AS1",0.2275
"RNA5SP99",0
"SCARNA5",0.3559
"LINC00700",0
"TMEM221",0.212
"CLDN2",0
"RABGAP1L-IT1",0
"RNU6-648P",0
"DGKH",0.8166
"RN7SKP181",0
"RBM15-AS1",0.1505
"EIF2B1",13.6491
"LINC01120",0
"HS3ST6",0
"ZDHHC20P4",0.0244
"DNAH7",0.0219
"THSD4-AS1",0.0244
"LINC01505",2.04925
"SHC3",0.8211
"AK2P2",0.1819
"RN7SL300P",0.1544
"NAIF1",5.1608
"SREBF2-AS1",6.7367
"FRS2",2.8584
"SIDT1-AS1",0
