"","x"
"SILC1",0.0179
"SHLD1",5.1532
"ZNF736P11Y",0
"ZNF620",0.8975
"PCDHB15",0.1581
"ERICH5",0.2497
"RNU6-256P",0
"FOXD2",0.209
"RN7SKP195",0
"RNA5SP341",0
"PILRB",0.568
"RAP2B",24.8194
"PRELID3BP2",0
"MELTF",47.4615
"NUTM2A",0.0144
"ERVMER34-1",0.0659
"OSTM1-AS1",0
"SPCS3",12.7251
"C19orf84",0.2533
"RNU6-474P",0
"DDX53",0.0135
"RPS27P23",0.1947
"NLRP12",0.0192
"ACTG1P16",0.429
"RNU5F-7P",0
"SEC63P2",0.0378
"MIR1302-7",0
"KRTAP5-7",0
"BRPF1",3.9521
"HSPA8P4",0.2799
"COCH",0.0067
"MIR6827",0
"MPTX1",0.0401
"MTND4P13",0
"YJEFN3",1.0155
"PHBP15",0
"PRH2",0.1291
"RNU6-1045P",0
"SYCP3",0.0766
"MTND5P8",0
"CASP14",0
"SNORA28",0
"AVP",0.2368
"NEXN",2.8473
"RNA5SP347",0.2053
"UCKL1-AS1",0.1424
"PAPSS1",10.7824
"PDE1C",0.0177
"MT-TA",2.8326
"IGHV3-76",0
"RPL30P16",0.5125
"COMMD1",19.3955
"RN7SKP286",0
"DGKZ",9.9155
"SNORD48",2.6721
"SPANXC",0
"PRKACG",0.0152
"HNRNPU",45.0508
"FAM157C",0.0289
"SMPD2",1.9409
"RPS27P16",0
"NBEAP1",0.1788
"EXTL2",9.4913
"RNA5SP24",0
"ATP5F1AP3",0.3404
"RAB2B",9.664
"HOXA5",10.4335
"TOMM70",8.6213
"CNOT3",5.8003
"KANSL1L-AS1",0.2889
"EFEMP2",24.553
"C2CD2L",2.6218
"RSL24D1P6",1.0357
"EDDM3A",0
"COMMD3-BMI1",0
"RNU6-673P",0
"SSH1",2.1663
"FBXL20",2.5653
"SLC13A2",0.0076
"LPCAT2",1.0575
"SNORA3B",2.2379
"UPP2",0.0165
"LINC01977",1.4757
"OXCT1",10.6077
"C10orf99",0
"DHX36",5.3571
"MIR4440",0
"GRK2",23.9726
"RNU6-391P",0
"NDUFB4P1",0
"SNRPCP6",0.1163
"RN7SKP142",0
"LIN54",1.841
"ATP6V0E1P4",0
"LINC02379",0
"PPIAP91",0.1484
"COL6A6",0.0176
"IGKV1D-37",0
"USP24P1",0
"ZNF736P1Y",0
"KRTAP10-3",0
"CYP2S1",1.0286
"RNU6-254P",1.1416
"CACNA1C-AS3",0
"LINC02798",1.441
"FBP1",5.1264
"WDR82",11.8741
"RNY4P10",2.0359
"PEX10",4.2491
"WWTR1",5.7614
"ALKBH4",7.6716
"PDCL3P3",0.0683
"RNU6-209P",0
"OR10D5P",0
"C8orf34-AS1",0
"LINC02393",0
"A4GNT",0
"GRASP",13.4806
"MIR4519",0
"LINC01747",0.0351
"GLUD2",2.4303
"IKZF1",2.2773
"SIT1",7.7508
"GAGE12J",0.0452
"ADGRF5P1",0.0164
"RNU6-246P",0
"C3orf70",0.6334
"RNVU1-28",0.7448
"BTF3P14",0
"MIR100",0
"USP9YP30",0
"DUS1L",66.41
"RNA5SP113",0.5817
"UBAC2-AS1",2.1244
"SNORA16A",0
"WBP1LP6",0
"RPL37AP1",64.711
