"","x"
"TMEM121B",0.5477
"DTNB-AS1",0.2515
"TTC28",10.5533
"IGKV7-3",0
"ELK3",28.4268
"STX2",7.8586
"RN7SKP103",0
"EPHA8",0.4405
"OR52B2",0.0322
"F10-AS1",0.4994
"RPSAP38",0
"SLC16A2",10.326
"UBL7",27.4522
"TBC1D3P6",0
"CGB2",0
"GRIA3",0.0107
"RNU6-126P",1.3478
"LINC01910",0.0658
"SUPV3L1",5.4778
"LINP1",0
"FAHD1",7.1377
"SLC24A4",0.1084
"MTATP6P26",0.1573
"CERS5",8.0223
"FAM185A",1.17
"APOA1",0.2925
"AK6P1",0.0726
"CCT6P4",0.0655
"PRRG2",0.2448
"ALMS1",2.1979
"MCM9",1.1748
"UBE2Q2P10",0
"RN7SL120P",0
"TXNL4A",5.4803
"MIR4674",0
"RNU6-1042P",0
"PAX9",0.9316
"CDY12P",0
"RNASEH1-AS1",3.6758
"LINC02624",0.0184
"RNU6-131P",0
"RNU6-583P",0
"PLAUR",5.6689
"SV2C",0.0346
"ACSF2",3.8676
"CCT8L1P",0.0415
"TUBA3GP",0.0525
"MAML1",5.7303
"SATL1",0.0917
"MIR6083",0
"FAAHP1",0.4352
"PGM3",7.5138
"LRRC37A7P",1.2328
"RNU7-34P",0
"ITPKA",4.2471
"RNU6-1288P",0.3337
"TMEM151A",1.3953
"HNRNPA3P6",2.553
"NKX2-1-AS1",0
"MIR155HG",1.0412
"LINC00901",0
"CTAGE13P",0.0142
"RUNDC1",3.7501
"ELOCP17",0
"PDE9A",3.5392
"YRDCP3",0
"GLYCAM1",0
"SLC9A2",0.2146
"DPY19L1",7.6605
"TARDBP",18.0479
"KRTAP13-1",0.0927
"PTGES3P4",0
"NADK2-AS1",0.8195
"CXCL11",1.0914
"ARL2BPP8",0
"VAT1L",3.297
"ANKH",15.6714
"COMMD6",9.4164
"HSPA8P6",0
"ANKRD9",7.5859
"LINC01378",0
"KRT20",0
"KATNAL2",0.9433
"LINC00173",0.5042
"MIR657",0.3541
"ODF3L1",0.7545
"ATP2A1-AS1",2.5003
"RPS15AP25",0
"LINC02428",0.0752
"TMEM211",0.1096
"THYN1",12.2513
"MFGE8",25.3611
"RASL12",3.3319
"HSD17B12",7.7
"IGLV4-69",0.1657
"SEPTIN7P5",0
"FAF2",9.9969
"CCDC102B",0.7292
"KYNUP2",0
"OR7E43P",0
"RNA5SP35",0
"MMD",9.089
"ITGB4",2.0277
"RPL35P6",0.2799
"RN7SL306P",0.469
"HHIP-AS1",3.3213
"COX6CP12",0
"TSGA13",0.0307
"RNU6-220P",0
"MTMR7",0.5366
"TTTY12",0
"UBR7",24.1743
"ASB13",5.3626
"CYP4F24P",0.2197
"MTND4LP22",0
"NIBAN1",4.8254
"RN7SL390P",0.8554
"LINC01972",0.0628
"TPM3P2",0.096
"LINC02386",0.0327
"MUTYH",2.8589
"SIK1",0.0213
"AKR7A2P1",0.7207
"C2CD4D-AS1",0.0686
"OR1M4P",0
"OR10V2P",0
"MON2",5.429
"LINC01597",0.2086
"YTHDF1P1",0.0633
"CATIP-AS2",0.1946
"BZW1P1",0.1399
"AGBL4-AS1",0
"SHOX2",12.0458
"GATA6",4.0645
"NR4A2",1.0936
"HIVEP2",5.0103
"CXorf40B",7.5112
"RPS27P22",0
"RDH5",0.349
"MFSD6",2.0257
"RPSAP46",0.2361
"SNRPGP1",0.1563
"RNU6-1057P",0
"PMCHL1",0
"KIZ-AS1",0.0955
"TJP2",3.3205
"TMEM189",10.1962
"RNA5SP335",0
"MAPK14",14.3076
"OR2AT2P",0
"LINC00603",0
"DMXL2",3.587
"RPL7P39",0
"LINC01766",0.767
"RNU6ATAC37P",0
"GPR45",0
"ALDH9A1",10.775
"DDX43",0.2844
"TTTY17A",0
"PSRC1",8.2907
"NAPGP1",0
"HMGN2P38",0.2619
"PRR12",30.3713
"RPL23AP93",0.0717
"SNORD58B",0
"CYP2AC1P",0.0296
"WFDC9",0
"CLASP2",2.7455
"ZNF641",3.1086
"LINC01215",0
"ISG20",0.5326
"POLR2J2",0.1538
"DPPA2P4",0
"CLEC4A",5.9334
"COL4A5",5.0324
"LINC00167",0.1957
"DHRS11",2.7514
"IL21",0
"ABCC1",4.6321
"DSTNP5",0.0664
"BTN2A1",11.7124
"SNORA36C",0
"MEX3A",21.3374
"FTH1P24",0.0751
"RN7SKP225",0
"BCL6B",6.3492
"FCAR",0.0587
"CTBP1",24.0966
"ARHGEF11",15.2631
"LINC01948",0
"MIR577",0.7231
"KIAA1549",3.6028
"PLLP",0.8478
"SLC8A1-AS1",0.0369
"MIR329-2",0.4132
"RPSAP17",0.0393
"IGSF1",1.405
"LINC02330",0
"SNORA32",0
"PTGDR",0.2289
"OR7E104P",0.0098
"LGI2",2.3811
"RPS6KC1",3.2408
"UBA52",116.0646
"TP53TG5",0.6736
"CDPF1",2.9946
"PPP1R26P5",0
"BEND3P2",0.0924
"OR4K6P",0
"RPS26P30",0
"WRNIP1",23.5077
"RNU6-861P",0.9823
"MIR4766",0
"VN1R53P",0.0363
"RAB9AP3",0
"RPSAP49",0.0783
"MAP1LC3A",11.5426
"LSM12P1",1.4166
"GDI2P1",0.026
"TMEM214",36.9967
"EPYC",7.6335
"PNRC2",37.319
"RELA",17.6455
"RIOK3P1",0
"ERC2",0.2581
"HCN2",3.7273
"DCDC2B",0.5757
