"","x"
"UFL1-AS1",0
"MON1B",3.7288
"NBN",17.9218
"GPX7",133.6292
"RN7SL531P",0.8696
"RPL23AP77",0.3531
"PRYP3",0
"MFN2",12.5747
"HIGD1AP15",0
"HSPA8P6",0
"RPS3AP40",0.2093
"RPS3AP29",0.248
"LINC00424",0
"MIR1915HG",2.1076
"SLIRP",7.4152
"DSC3",0.0232
"DGCR11",3.7906
"MIR7845",0
"APBA1",0.1628
"PTMAP6",0.4166
"ATP5MGP3",1.0756
"SRP9",120.1872
"KLLN",0.1402
"VEPH1",0.3492
"MICOS10",4.1599
"LINC01900",0.913
"SYNJ2",1.4913
"MIR4277",0
"SERBP1P5",2.4456
"RASGRF1",0.2689
"IBTK",5.5577
"PPP4R1L",0.5596
"OR4A9P",0
"TTC7A",7.2227
"ST8SIA6-AS1",0.0135
"TOX4P1",0.0585
"RNU6-214P",0
"CST9LP2",0
"DNM1P50",0
"SLC25A3P1",1.2918
"TRBJ2-4",0
"GOLT1A",0
"RN7SKP82",0
"ATP1B1",9.9903
"MIR1233-2",0
"LINC02539",0
"FGF10",0
"KRTAP10-6",0
"CCSAP",3.1063
"ANXA7",27.1527
"NPM1P29",0.3393
"RN7SL482P",0
"ZDHHC20",9.1657
"NECAP1P2",0.6746
"OR10A6",0
"CHEK2P3",0
"TMEM183B",1.9566
"CDK12",4.0489
"HNRNPH1P3",0.2224
"TRAJ58",0
"CFAP44",1.9674
"SPIB",0.0509
"CDK4P1",0
"NAT8B",0.0356
"RPL26P9",0
"NECTIN1",3.3684
"LILRB2",0.6942
"CES1",0.4732
"YIPF5",10.1011
"CST9LP1",0
"FBXO48",0.2453
"RPL7AP60",0.2059
"FMR1",3.7969
"CCDC167",47.4087
"RANBP20P",0.0907
"NUTM1",0.052
"ENSAP3",0
"GGT5",7.4038
"RN7SKP149",0
"FAM122A",6.0371
"OSBPL9P2",0
"SNRPB",134.8324
"SHC1",31.3332
"CDKN2C",38.2522
"RNU6-301P",1.0186
"RNA5SP112",0
"TSPY15P",0
"ZDHHC12",5.9385
"SNORD36C",0.8257
"HMGB1P18",0.3962
"TAF5",2.0844
"SSR4P1",1.1164
"PYGO1",0.8656
"RPL26P37",0.3733
"FARP2",4.057
"PMS2P3",0.6153
"LINC02670",0
"DNAJC19P8",0
"TRGC1",0.05
"ACY1",2.364
"FAF2P1",0
"IFNA10",0
"ACTG1P13",0.209
"TRPS1",8.4756
"MIR208A",0
"TMEM248P1",0
"MYOG",0.0357
"LURAP1L-AS1",0
"PTGES",11.0659
"RRM2P2",0.0418
"RN7SKP269",1.3667
"TRAJ51",0
"KCNC2",0.0086
"EIF6",53.7135
"RN7SL63P",0
"PDCD5P1",0.0882
"LINC01643",17.9253
"OR2A41P",0
"PSG7",0
"RNA5SP328",0
"SETD1A",6.4222
"UBTF",17.6626
"MAB21L3",0
"RBMY1HP",0
"NME7",1.3536
"MIR4791",0
"FAM238A",0
"IGHV6-1",0
"OSBPL9P1",0
"LINC02468",0
"MIR4727",0
"RN7SL660P",0.2734
"SYNE1",0.7956
"SDF2L1",20.7768
"MILR1",0.7202
"MORC2",9.5268
"RNA5SP130",0
"MATN3",0.6991
"MIR3937",0
"HIC1",2.4096
"HMGN2P36",0.0666
"GNRHR",0
"ZNF648",0.0299
"HMGN2P25",0.1017
"SRRM4",0.0555
"LINC02299",0.0634
"LINC00316",0
"TWIST2",0.2467
"RN7SKP111",0
"RNA5SP458",0
"HNRNPKP4",1.848
"RPL17P41",0
"IGKV1D-22",0
"SUGP1",8.6383
"RNA5SP349",0
"ABLIM3",0.3696
"CAPN1",9.5492
"PAQR6",3.3739
"SCART1",0.3502
