"","x"
"LTBP1",7.8441
"WDR44",3.2437
"LINC01734",0
"PEBP4",0.1015
"RABEP1",3.2372
"RPL7AP10",0.2275
"MICOS10-NBL1",0.018
"HNRNPA1P52",0.285
"RNU6-960P",0
"TECPR1",4.0637
"RN7SL404P",0
"RN7SL728P",0
"CMTR1",49.3933
"ATP6V1F",314.8853
"CICP16",0.032
"LINC01109",0
"CCDC43",6.0031
"SUCLA2-AS1",0.0815
"PHC1",1.625
"SNRPCP17",0
"H3P6",54.834
"LHX3",0
"GAS8",1.6023
"USP17L29",0
"SNORD115-2",0
"ANKRD9",2.4877
"RPL18",97.7905
"GABPA",4.8141
"UQCRH",44.0252
"KRT19P1",0
"MIR1470",0
"PROSER2-AS1",0.0137
"ALOX5AP",1.0754
"NT5C2",5.9152
"ADRA1B",0.5694
"NBPF7",0.4071
"HSPA9",16.2948
"RN7SKP184",0
"LDB1",17.4775
"EGFEM1P",0.0097
"QDPR",4.0881
"CASC15",0.4756
"ERBIN",2.4394
"RMRPP5",0
"RPL26P9",0
"GRAMD1C",0.7023
"TUBBP5",0.2488
"MON1B",6.5577
"RNU6-290P",0.4204
"BTBD7",2.5522
"RN7SL81P",0.6894
"GTF2F2",2.7843
"MIR3672",0
"CDC42BPA",14.4825
"PLEKHD1",0.0278
"NLGN4Y-AS1",0.0846
"PIWIL2",0.1173
"SNRPCP13",0
"NES",53.8784
"HMGB3P4",0
"ADAMTS7P4",0.1142
"RNU4ATAC8P",0
"SSH3",6.7704
"CNRIP1",6.8338
"RPL7P8",0.1232
"OSTC",116.1729
"UBL7",8.7581
"NOP14",14.8632
"HIGD1AP14",0.1595
"RN7SKP103",0
"RFPL4A",0.0435
"RPS12P18",0
"GSTA9P",0
"IMP3P1",0
"RNU6-495P",0
"CYP3A7",0
"NDUFA5P8",0
"PCMTD1P3",0
"ZNF83",2.2413
"RN7SL646P",0
"RNU4-92P",0
"HBP1",2.217
"PI4KAP2",1.4565
"FAM205A",0.0426
"PHEX",4.5308
"TERF2",9.8834
"RNU6-67P",0
"VCAM1",24.0646
"MUPP",0
"SYT17",0.4058
"KCNJ10",0.017
"OR5AM1P",0
"LINC01834",0
"LCN8",0
"RNU6-163P",0
"AKAP10",26.4075
"LINC02673",0
"MTMR2",5.7047
"MIR5691",0
"C1orf122",19.6791
"TRIM48",0
"MPTX1",0
"MUC20",0.3917
"FAM222A-AS1",0
"IFNG",0
"HNRNPH1P3",0.2203
"COL16A1",23.0329
"HLA-G",0.5358
"RPL15P4",0
"NPY4R",0.207
"NDUFAB1",25.2752
"MAS1L",0
"PRPF18",2.5326
"XIRP2",0
"ATP5F1EP2",4.3231
"APBA3",2.8418
"ITK",0.1516
"TRIM60P11Y",0
"MTCO3P41",0
"KLHL21",11.6484
"TLR1",0.3075
"PARP11",1.6615
"KCNN4",11.2972
"LINC01189",0
"LINC01700",0
"KIF6",2.6343
"NIPA2P1",0
"TCL1A",0
"LINC02289",0.0966
"BHLHE22",0.069
"KDM6A",1.0775
"MAGI2-AS1",0
"RN7SL492P",0
"MIR613",0
"SPAG16",0.3868
"MYZAP",0.0176
"MARCOL",0
"EFCAB14",9.1542
"SFTPC",0.1975
"TUBB2A",8.4914
"HMGN2P18",0
"RNU6-725P",0
"ACTBP1",0.0808
"MAMSTR",0.7348
"NIFK",17.1331
"RPS29P30",0
"RNA5SP347",0
"DAND5",0.0676
"PPP1R26P4",0.0128
"GARS-DT",0.4682
"UNKL",1.4826
"KRT8P5",0
"FGF17",0.2874
"RNU6-990P",0
"MIR4431",0
"ADTRP",0.2927
"SNTN",0
"CIITA",1.0013
"MIR582",0
"WDR17",0.0173
"ADCY6",12.2167
"ZNF658B",0.0693
"PNN",29.0182
"CKB",211.7213
"ALDH8A1",0
"EVA1A",5.4426
"TTTY7B",0
"NFIA-AS2",0
"SMAD3",10.5832
"CENPH",6.5551
"TYW1B",0.4832
"RN7SL73P",0
"STX2",5.4613
"MIR1203",0
"NME8",0.0184
"TBC1D10A",3.0768
"RNU6-291P",0
"MINDY4B",0
"RAB15",2.7941
"TGFB1",157.6094
"PHACTR4",8.9088
"MIR4466",0
"OR1G1",0
"OR10A7",0
"KIR2DL1",0
"STK11",10.8306
"FAM136BP",0
"SNRPA1",3.9601
"APAF1",1.6496
"ITGB2",4.7254
"METTL2B",9.158
"KRT8P22",0
"LINC01424",0.0436
"GDI2",117.06
"TRAV15",0
"RNU7-192P",0
"ADGRG4",0
"H3P39",0.1133
"CD9",47.9289
"NIPSNAP2",3.2717
"CYP3A43",0.0341
"LINC00824",0
"GNG12",5.9991
"PREB",25.264
"ZMIZ1",5.9853
"RNU6-638P",0
"DDX43",2.4679
"ARSD",3.3402
"TRBV10-2",0
"MIR17HG",0.3092
"MIR4422",0
"MED15P8",0
"MIR5705",0
"IFNE",0
"RPL12P23",0
"FTCD-AS1",0
"RNU6-493P",0
"SKAP2",11.2866
"SPATA31B1P",0
"HMGN3",39.5714
"AIMP1P1",0
"BCLAF3",0.2867
"RPS29P32",0
"UST-AS1",0
"SNORD24",0
"PCDHA8",0
"RNU6-201P",0
"SPRR1A",0
"CHMP1B-AS1",0
"LINC02739",0
"MIR657",0
"IFRD2",7.065
"FUT5",0
"OR8G3P",0.0977
"ISX",0
"SCGB2A2",0.0298
"APOBEC3B-AS1",0
"COQ10B",2.3632
"TMEM52",0.0564
"GABPB1-AS1",1.6942
"ZNF674-AS1",2.1215
"OR13G1",0.0487
"LINC01896",0
"PES1",19.1602
"GTF2H5",2.6157
"GLUD1P4",0
"OSTN-AS1",0
"SNORD3B-2",0
"PWWP3A",6.857
"NAE1",6.6961
"RBM15B",5.5273
"CSE1L-AS1",0
"AGMAT",0.7917
"BEX4",5.5213
"DENND11",2.4277
"SNORD115-18",0
"ARL5A",3.2887
"DUX4L18",0.0355
"JCHAINP1",0
"TRPM1",0.006
"CCDC85A",0.0791
"OR9K2",0
"YWHAEP2",0
"MIR212",0.4089
"PPP1R8P1",0.0431
"KPNA2P1",0
"PKD2L2",0.0773
"ZSCAN16",0.4742
"EPHA1-AS1",0.3385
"RN7SL516P",0
"ACSM5P1",0
"MRPL57P6",0
"P4HA3",0.8528
"GNAI2P2",0
"RNA5SP170",0
"MEAF6P1",0
"MIR770",0
"ARHGDIB",64.9288
"AIRE",0.0577
"SLC39A3",4.7632
"MAP3K21",0.0057
"ARL6IP1",16.8106
"SEMA4G",0.3854
"C8orf76",2.5163
"THUMPD1P1",0
"IGFN1",0
"E2F3P1",0
"RNU6-1107P",0
"FSHR",0.071
"CTAGE12P",0.019
"HS3ST6",0
"ABCA8",0.036
"SNORD83B",0
"ZNF227",1.5974
"GABRA1",0
"ECI2-DT",0
"TLX1",0.3945
"MRPS17P1",2.9606
"COL9A2",3.0343
"KLF2P2",0
"ASAH2",0.0193
"ZNF619",0.2491
"MIR323B",0
"RNU6-1244P",0
"METTL21AP1",0
"UBXN8",5.3555
"LINC01708",0
"ABITRAMP1",0
"SH2D1A",0
"SNHG20",0.8512
"ZNF827",4.7421
"POP1",1.9099
"GAPDHP31",0.0887
"CCDC170",0.7139
"MRPS11P1",0
"ZNF692",1.019
"TMEM230",18.7247
"ATP5F1AP3",0.2686
"POLR3KP2",0
"AGFG2",1.1168
"RNU6-453P",0
"ZNF33CP",0
"ZNF285",0.2359
"FAM133DP",2.0832
"RNU6-166P",0
"AFF1",2.4057
"CDC23",4.2665
"ADAMTS3",0.0478
"RPSAP26",0
"CROCCP5",0
"ANKRD20A1",0.0926
"RPEP2",0
"LINC02318",0
"ASF1A",40.0331
"CIAO3",7.7962
"FAM138B",0
"ADAM12",1.8705
"GRM5",0
"LINC01320",0
"MSI2",1.0765
"NPM1P4",0
"CNN2P2",0
"APBA2",0.3078
"KIF16B",1.275
"SIAH2",14.7825
"CSHL1",0.0248
"SEC24C",13.379
"TRIM9",0.0302
"OR5B21",0
"PODXL",3.4225
"MGP",28.5686
"SNX18P10",0
"EAF1",1.5542
"CRY1",3.2347
"PCNAP1",0.0397
"DUX4L14",0
"TMCC1-AS1",0.1362
"TUBBP11",0
"ZC4H2",1.1305
"RPL5P6",0.8123
"GAPDHP2",0.4057
"IGHVII-46-1",0
"SLC6A2",0.0082
"LINC00561",0
"OR2Q1P",0
"SYCE2",4.5045
"MRPL49P1",0.0841
"MIR433",0
"KIAA0895LP1",0
"GOLGA6L3",0
"RNA5SP408",0
"RABGEF1",3.1312
"TUBAP",0
"TRBV29OR9-2",0
"RN7SL333P",0
"RNU6-632P",0
"PPP2R2B-IT1",0
"B9D2",5.5717
"RN7SL154P",0.1388
"LINC00632",1.0169
"CHRM1",0
"RPS15AP5",0.1159
"TRIM60P13",0
"GOLGA8EP",0
"DUX4L4",0
"MUC1",1.2016
"XKR7",0.0057
"SMIM11P1",0
"ZNRD2-AS1",0.3475
"HDHD2",1.8839
"RNU6-610P",0
"SYT8",0.0191
"HMGN2P46",0.0582
"TRBV10-3",0
"RNU6-1270P",0
"DLC1",2.9885
"PPP1R14BP5",0
"KRT24",0
"HOXA-AS2",0.2981
"TRERF1",5.2361
"CCDC30",0.2232
"ARL2BPP10",0
"RNA5SP180",0
"ZNF684",5.2103
"TRAPPC10",0.8175
"TRAJ17",0
"H3P8",0
"DPH7",2.4125
"LINC01243",0
"ATP6V1D",11.4179
"TDRG1",0.3338
"ELP3",4.8572
"LINC02709",0.1538
"ST3GAL1",20.2991
"RNU6-972P",0
"MTCO2P2",40.1854
"ZEB2",6.6954
"RPL12P1",0.542
"PIP4K2A",20.1047
"ANKRD2",0
"CD4",20.7692
"KDELR3",68.9795
"RN7SL469P",0
"PCNX3",4.6327
"FGFR3P5",0
"ZEB1-AS1",0.8337
"MEMO1P1",0.3546
"KRTAP5-11",0
"ALG5",8.0782
"WEE2",0
"MIR654",0
"SNORD114-2",0
"HPX",0.1115
"ITCH",12.167
"MSRB1",5.2971
"OR52W1",0.0808
"DNAJC19P5",0
"C1QTNF8",0
"TCEAL7",0.1911
"RN7SKP266",0
"SLC66A3",8.3838
"ST8SIA2",0.0457
"MTCO3P2",0
"RNA5SP76",0
"TMEM94",4.3642
"NELL1",0
"ZNF736P10Y",0
"FOXO6-AS1",0.1142
"RN7SL233P",2.1111
"DUXAP8",2.9489
"HELQ",2.3261
"TMEM129",5.4236
"RNU6-61P",0
"MIR320D1",4.6858
"PIGL",4.1903
"PSMA2P3",0.2666
"LINC01233",0
"CYP46A4P",0
"MYH8",0.0074
"IGLV11-55",0
"PLAC8",0.8172
"RNU6-791P",0
"CDC45",3.5089
"RPL22P24",0.1196
"LINC02784",0
"GAPDHP53",0
"PMS2P9",0
"HNRNPA1P32",0.0934
"COX6B1",184.6443
"DPPA2",0
"HMGCL",3.8083
"KCNQ1OT1",1.1635
"CKLF-CMTM1",0.0313
