"","x"
"WWC3-AS1",0.0593
"DBIL5P",0.128
"MSRB2",6.0773
"RNU6-417P",0
"SNORD54",0
"OR5M8",0
"LINC00687",0
"LINC00662",0.4606
"RNU6ATAC32P",0
"KRT8P33",0.0722
"CSN1S2AP",0
"PROCR",8.3617
"MAP11",3.8102
"MIR3616",0
"ADAMTS7P4",0.0311
"LINC02412",0
"RNU6-112P",0
"SNORD115-47",0
"MRPL35P1",0.1797
"NDUFA3",10.9771
"RNA5SP21",0.3569
"ARPP21-AS1",0
"GPR4",2.5273
"BTG4P1",0
"RNU1-143P",0
"CLEC2B",2.2078
"LIAS",2.5723
"FAM160A1-DT",0.5742
"UMPS",3.8017
"PDXDC2P",0.1645
"RNA5SP148",0
"CNTN3",0
"DDX54",14.3765
"AMH",0.3443
"RNU1-148P",0
"ANO6",11.7945
"ILF2",72.0499
"PGLYRP4",0
"APOBEC3G",1.1433
"SEZ6",0.0201
"CLDN10",0.152
"DHRS13",0.5004
"LINC02428",0.0371
"PRND",1.2051
"SELENOV",0
"C19orf57",2.8015
"SUMO2P10",0
"PPIAP85",0.1425
"SALRNA1",0.0164
"EPO",0.0258
"CLIP1",3.6672
"MIR7854",0
"DDX39BP1",0.1784
"OACYLP",1.2553
"ZDHHC9",19.44
"KNOP1",4.5601
"SLIT3",9.1032
"LINC01731",0
"H2BC21",7.8525
"DUX4L52",0
"KRT24",0
"SNORD32A",0
"GOT2",28.074
"LRRC49",0.3841
"TUBB4A",0.1186
"SPTB",0.0046
"SDCBPP3",1.1535
"LRFN1",0.2736
"MPIG6B",0.0583
"NTF3",0.0117
"RNU7-88P",0
"NPM1P48",0.0803
"RPS15AP34",0
"CASP2",6.6043
"ZSCAN31",2.6194
"VNN2",0.1952
"DLEC1P1",0
"OR2T11",0
"CCND3P2",0
"SHD",0
"RPS14P4",0.8196
"HLA-F-AS1",0.5657
"KPNA4",9.8053
"SERPINB9P1",0.0469
"TM4SF20",0.0124
"MIR4502",0
"LINC01537",0.1958
"RNA5SP269",0
"CD9",30.7604
"DUSP26",0.1002
"RNU6-130P",0
"TCEAL8",39.2225
"LINC02569",0.0805
"LINC01106",0.1729
"GORAB",6.7739
"RPL5P10",0.1533
"RNU2-58P",0
"RNU6-1105P",0
"SRGAP2-AS1",0.1681
"ACBD3-AS1",0.5763
"RNU6ATAC39P",0
"LINC02576",0
"BOLA2P3",0.1338
"MRPS28",5.864
"BVES-AS1",0.1022
"LRRC7",0.0304
"SLC18B1",3.7008
"SETP1",0.0405
"CDH24",4.3602
"TMEM131L",3.8799
"TEKT3",0.0263
"VRK1",12.7851
"MIR3670-1",0
"DCTN6",12.8476
"LINC02238",0
"TRMT2B-AS1",0
"IGHVII-60-1",0
"MTND4LP16",0
"CXXC1P1",0.0326
"PHF10",5.9556
"IGFN1",0
"RPS27AP12",2.8734
"GPM6BP1",0
"B3GALNT1P1",0.3162
"RN7SKP154",0.1181
"FAM110A",3.8263
"RAD21",34.5811
"KRT43P",0
"ATP2B1-AS1",1.679
"MAP9",0.116
"MIR4710",0
"DPEP2NB",0.0578
"RAB42P1",0.1084
"LDHAP2",0.6261
"SLC14A2",0.0317
"FEN1",28.6193
"DOCK7",4.7118
"ABL2",6.5848
"NDUFB4P11",0
"H2ACP2",0.1328
"RNU6-1318P",0
"GRPEL1",5.6923
"RPL30P6",0
"LINC00404",0
"SNORD15B",0
"RN7SL351P",0
"NCAPH",14.8412
"TBCA",14.3852
"COX10",4.7308
"MYBPH",0.038
"OR6N1",0
"LINC01132",0.1445
"MIR6819",0
"USP9YP31",0
"HMGA1P6",0
"IL9",0
"C5orf66-AS1",0.0813
"OR2H5P",0
"GPC6-AS2",0
"RN7SL804P",0.115
"TOMM7",30.21
"DUSP4",6.4913
"CCL1",0.0579
"MTMR1",3.1697
"LRRC37A17P",0.9453
"RNU6-491P",0
"TAAR7P",0
"CRISP2",0
"UBE2V2P3",0.6272
"UGT1A7",0
"PKD1P1",0.0554
"VEPH1",0.1777
"LINC00538",0
"ARFGEF3",1.4462
"PTGER3",0.0177
"SH2D1A",0
"CEP104",4.1455
"TXNL1",4.6669
"TSSK3",0.0782
"LINC00479",0
"SRCAP",9.94
"LINC01611",0.0925
"RPL18",85.6382
"SERPINB6",18.7927
"RNU6-486P",0
"IDI2",0.0504
"BRI3BP",4.9422
"DDX10",2.7292
"HMGN1P38",2.2614
"MIR4790",0
"EMILIN3",0.0542
"NETO2",3.8652
"LINC01708",0
"PHBP3",0.3765
"RPL37P25",0
"LINC01262",0
"SLC25A5P3",0.9678
"RNA5SP322",0
"AQP12A",0
"B9D1",2.179
"ANKAR",0.4106
"EIF4A1P1",0.0367
"MIR4764",0
"SLC5A5",0.0094
"UBE2DNL",0
"MARCKSL1P2",0
"HLX",4.7879
"SLC12A5-AS1",55.543
"PIGFP3",0
"MIR5008",0
"C2orf73",0
"ATOH1",0
"LINC01474",0.0536
"CALD1",35.4401
"TMEM156",0.4547
"MIR8066",0
"PPP1R2P5",0
"FMC1",4.4286
"PDGFD",6.1678
"OR4K5",0
"CATIP-AS1",0.1768
"SIM2",0.0851
"IBA57-DT",0.0534
"NVL",4.3991
"MCCD1P1",0.1045
"RPL24P4",59.1618
"ADAMTS14",5.1367
"RNU4ATAC14P",0
"POU3F3",0.0069
"PGM5P3-AS1",0
"MTHFD2P6",0.067
"LINC02071",0
"HMGA1P3",0.6344
"CDH16",0
"BPI",0.1644
"LILRA5",0.0584
"RNY4P6",0
"DTX2P1-UPK3BP1-PMS2P11",0.218
"BLOC1S1",5.4618
"TSPY6P",0.037
"RARS1",33.3188
"LINC01890",0
"VN1R84P",0
"KLF15",0.0361
"RPL7P6",1.3463
"DOCK4",4.5044
"PNPLA2",15.3337
"SLFN12L",0.1923
"CTSLP6",0
"COPS9",20.7846
"RPS3AP6",18.6168
"RNU6-207P",0
"ARHGEF19-AS1",0
"C1orf146",0
"ZRANB1",5.6138
"RNU6ATAC22P",0
"HMSD",0.1173
"SEPTIN14P4",0
"DCAF6",10.7083
"TDGF1P5",0.3025
"GAGE2E",0
"KRTAP19-1",0
"NDUFB9P3",0.0684
"SLC7A1",14.1548
"RNU7-127P",0
"CCR2",0.0367
"RPN2",212.7556
"LINC02812",0
"LINC01962",0
"LINC00327",0.6609
"ZNF268",0.1653
"MIR4654",0
"LINC00476",0.7658
"KRT18P3",0
"MLLT10P1",0.5231
"MTX1P1",5.8463
"MTCO1P53",2.1566
"EIF4EBP2",54.0741
"MTCYBP7",0
"LINC01768",0.2879
"VWC2L",0
"TTC21B-AS1",0.0134
"SNORD86",0
"OLFM1",0.1305
"HMGB1P15",0
"SLC10A3",16.8023
"SALL1P1",0.0179
"RPS29P24",0
"PIGB",1.5916
"BLZF2P",0.1213
"NDUFB5P2",0.0605
"RN7SL284P",0
"MS4A15",1.9354
"RNA5SP506",0
"SNORA63D",0
"ASS1P7",0
"OR1M1",0
"LINC02471",0
"TMEM17",1.7119
"MIR3689F",0
"INSIG2",9.1418
"WDR86",0.2372
"SMC5-AS1",0.4146
"RUSC1-AS1",0.9452
"RNU6-1029P",0
"RPL23AP43",1.0911
"POU2F1",1.9834
"MIR320B1",0
"BMS1P7",0.0326
"MPC1L",0
"ADD3-AS1",0.0228
"VN1R9P",0
"MIR6877",0
"RNU6-1233P",0
"MIR509-1",0
"TSNARE1",0.564
"RGP1",6.49
"SLC6A3",0
"PPP4R4",0.0138
"RNA5SP139",0
"SERP2",0.3734
"RNY3P14",0.6718
"SNRK",3.7151
"RPL23AP34",0
"MIR548G",0
"KRTAP5-2",0
"LINC01270",0.2501
"BEX4",5.2887
"C20orf187",0
"FZD6",2.5621
"BSNDP2",0
"SOWAHC",3.5386
"C2orf83",0.0328
"MED15P4",0.0872
"SEMA3B",0.4633
"MIR6738",0
"PCNAP1",0
"WDPCP",0.6604
"RNU6-1020P",0
"SHFL",3.7488
"CRNN",0
"RN7SKP106",0.2519
"NRN1L",0
"WDR19",0.7259
"LINC01495",0
"HOXC4",1.3327
"TBC1D2",1.8522
"CD163",1.1964
"IFNA5",0
"PCDHB7",0.9191
"CCL3L1",1.8424
"VN1R10P",0
"DPH6",0.6892
"MYB-AS1",0
"RPL21P119",1.142
"DUX4L24",0
"FAM111A-DT",0.829
"RPL36P19",0
"IMP3",9.323
"MAGEA2B",0.198
"RNU6-41P",0
"OR11H12",0
"HMGN1P31",0
"GGT7",11.1929
"BLMH",5.4594
"PCDH9",0.2037
"PRIM2",6.3719
"CLEC3A",0.0114
"GPR108",27.0946
"TCTEX1D4",0
"SLFNL1-AS1",0.1428
"RPL29P22",0
"TMPRSS11F",0.0492
"RNU6-471P",0
"LINC00608",0
"PEBP1P1",0.1344
"RANGRF",6.8651
"VN1R6P",0
"LINC02688",0
"RNU6-1094P",0
"SNORD87",0
"POM121L10P",0
"MTIF3",19.2139
"TPPP",0.0341
"BPIFA4P",0.0199
"TYRP1",0.0092
"ARGFX",0
"INAFM1",27.7903
"CISD1P1",0
"RRAD",1.0424
"SNHG16",18.8999
"AGRP",0.3139
"RN7SL47P",0.1146
"RGMB",0.7447
"C12orf71",0.0358
"RNU6-1227P",0
"GOLGA6L3",0
"TRAJ31",0
"PRAMEF13",0
"SPCS2P4",8.5525
"SPTSSA",17.7901
"IGKV2-19",0
"USP17L8",0
"MAP4K3-DT",1.479
"ARHGAP26",1.4862
"STXBP1",9.5259
"SPATA41",0.0327
"NANOGP11",0
"ABHD15-AS1",0
"RBM14",13.3751
"TICAM1",8.5906
"PON1",0.0726
"NDUFB2-AS1",0.6237
"NPM1P47",0.04
"RNU4-56P",0
"SNORA41",0
"NSMCE1-DT",0.3881
"CSN3",0
"NUDC",45.9321
"TP53TG3",0.0114
"MYLK3",0.0684
"MAGEA10",6.9608
"TESK1",9.0377
"TUFM",106.1597
"SNAP91",0.0103
"TERT",0.0074
"CDY23P",0
"RNU1-21P",0
"DEFB122",0
"COX6A2",0.5699
"ABCG4",0.0765
"RPL22P5",0
"SMARCA5-AS1",0.145
"SLC2A4",0.0254
"MIR516B1",0
"RPS12P17",0.1818
"DEFB128",0
"HERC2P11",0
"PEX5L-AS1",0
"KRTAP1-4",0
"SERPINC1",0.0969
"IER5",5.7509
"CSF1",42.2782
"ALPI",0
"EXOC8",2.9625
"RPL7P48",0.5511
"CDC20P1",0.5482
"HSFY2",0.0083
"GPHN",3.1768
"PHBP13",0
"P3R3URF",0
"RBM45",1.9479
"GATD1",8.5868
"RPL21P39",0.5675
"LINC02079",0.1165
"HNRNPA3P11",0.1467
"BMS1P15",0
"CKMT2",1.1645
"CES1",0.175
"SMG9",2.5327
"CUX1",4.2007
"RFPL4B",0
"RNU6-257P",0
"RN7SKP125",0
"SNHG5",18.9571
"LINC01609",0
"SOCAR",0
"PLEKHA3",1.9408
"LINC01606",0
"RN7SL118P",0.1134
"NAGPA-AS1",0
"GJA1",378.1138
"H3P37",0.0704
"DPH3",9.4163
"NDUFA5P7",0
"RNU6-598P",0
"BTBD19",0.5742
"BLACE",0.0418
"MTMR11",1.0447
"UBBP5",0
"TMEM212-IT1",0
"RANP3",0.1241
"DHX33",5.4728
"CD68",7.1995
"SCAMP3",25.5057
"FCN2",0.0972
"PFAS",17.2968
"OCLN",0.0405
"NEIL2",7.7332
"LVRN",0.0516
"RNU7-1",0
"RN7SL309P",0
"TWF1",18.045
"LINC-ROR",0
"IQSEC1",16.4829
"ANTXR2",8.6171
"MIR579",0.3496
"C16orf89",0.1492
"PNLIPP1",0
"OR52B5P",0.1081
"TOR1AIP2",4.7571
"FAM226B",0
"RNA5SP505",0
"STAT5B",3.8049
"MIR2681",0
"SEC22B3P",0.4758
"INSR",8.2807
"CLDN12",3.2375
"RPSAP45",0.2744
"LINC01145",0.7637
"HMGB1P17",0
"POM121L12",0
"CHCHD3P3",0.91
"RPL17P34",1.9136
"MTCYBP42",0
"MIR4499",0
"LDHAP7",2.1657
"DDX1",36.9684
"ARID5B",1.7961
"ELFN1",0.9178
"RNU7-8P",0
"TENT5A",35.2393
"FAM177B",0.1448
"GNG3",0.1165
"FAM71B",0.0272
"RN7SL568P",0.115
"GORAB-AS1",0.5378
"SHTN1",12.7785
"SLC4A11",0.1595
"PRYP2",0
"HSF4",2.213
"LAMA2",0.095
"CPB1",1.1414
"LINC01868",0
"RN7SL19P",0.8957
"ST6GALNAC4P1",0.9612
"RNU6-641P",0
"ZNF780B",0.6133
"NEMP2",2.8581
"C5orf38",5.6952
"IGLON5",0.1446
"RPL7AP50",1.4652
"SLCO1A2",0.0446
"RIT2",0
"PRELID1P4",0.0669
"RNU6-1163P",0
"KCNMB2-AS1",1.2764
"ZNF831",0.0328
"RORA",0.2674
"CBARP",2.0135
"HDGFP1",1.0876
"SRP14P3",0.2095
"DUX4L26",0.0273
"RIPPLY2",0.0447
"NXPH3",0.4792
"MCM9",0.9952
"FKBP1C",2.3867
"TMBIM6",129.4808
"NTAN1P3",0
"STMN1P2",0.1561
"CCR7",0
"AURKAIP1",49.5325
"COL4A3",0.0563
"CDS2",3.7651
"RPL23P2",0.8952
"FBXO42",3.413
"TUBE1",0.7763
