"","x"
"MIR6726",0
"FOSB",0.282
"GGTLC5P",0
"RPL7P37",0.3472
"SAP130",10.827
"LINC02431",0
"TMEM14EP",0
"IPO4",0.779
"FABP1",0.0115
"NCKAP5",0.5216
"OXA1L",17.233
"RPL19P1",0
"DEFB125",0
"REG3G",0
"PPIAP87",0.1743
"THNSL1",4.5246
"ALG10",1.0119
"MIR4789",0
"LIMK1",14.2394
"FGF13-AS1",0
"PTTG3P",0.4698
"LINC02439",0
"RNU6-1101P",0
"INO80B",5.088
"RLIM",8.7631
"LINC01312",0
"MED25",6.9595
"VN1R66P",0
"GLIS1",3.1736
"SNORD114-7",1.1092
"TAS2R64P",0.0592
"BNIP3P16",0.6398
"UBE2Z",12.7828
"YPEL4",0.3383
"SMAD4",7.4436
"CDKL4",0
"LINC01564",0
"HNRNPKP2",1.5362
"LILRB2",0.0946
"CARD6",0.4595
"RNU6-1051P",0.2791
"GSC",9.0097
"ETF1P3",0
"ANP32BP3",0.2016
"ELOCP34",0
"ATP5MC1P5",0.1385
"MAP1B",13.6154
"FBF1",1.4466
"RNU6-1094P",0
"GPR39",0
"LILRA2",0.0479
"VGLL2",0.1659
"ACOT2",5.2825
"CHML",3.8334
"NUBPL",1.6655
"RNA5SP242",0
"LINC01122",0.0103
"TRPC5OS",0
"TMC8",0.3286
"ORMDL1",6.7976
"MIR7856",1.0168
"RPSAP40",0
"RNA5SP516",0
"RHCG",1.4088
"EIF4G2",87.7309
"CCDC137P",0
"UBR1",1.3851
"LSM14A",22.5222
"OR4F17",0
"CEP85",5.4715
"RPL17P46",0
"DTX2P1",0.5753
"SLC4A5",0.1526
"ZNF620",0.1153
"C1orf122",34.5961
"RNU7-40P",9.3419
"PPIAP76",0.2691
"RERE",9.9423
"RPL7AP65",1.4464
"LINC01492",0.0515
"C2orf78",0
"LINC01029",0
"RNU6-420P",0
"MIR4252",0
"BARX2",0.0233
"PVALEF",0.079
"DDX3P1",0.073
"NFIA",7.0888
"KCNA3",0.0554
"BCL6",6.0604
"PARG",5.0513
"KRT18P5",0.7719
"CTSC",9.5126
"IGKV1D-13",0
"BANP",3.5085
"IGHD3-10",0
"NKX1-1",0
"GOLGA6L22",0.0065
"RNA5SP180",0
"RPL31P49",4.3275
"RPL30P10",0
"MIR5195",0
"MGAM2",0.0593
"BLNK",0.1013
"MIR769",0
"SERF2",37.86
"LAMC1-AS1",0.3566
"LINC01922",0
"LINC02626",0.1655
"DVL1",62.2172
"CADPS2",3.0663
"RNU6-832P",0
"HNRNPA1P6",0.0887
"ADCY6-DT",0
"RAB4B-EGLN2",0
"FRMD6",14.5437
"IGSF9B",0.0198
"ZNF740",4.2126
"LINC00428",0.5017
"CUBN",0.4065
"STMN3",17.498
"RPL9P7",3.0434
"PRH2",0
"MIR187",0
"LINC00885",0.0311
"ARHGEF3-AS1",0
"RFC2",11.2672
"LINC01634",0.012
"EIF4A2P3",0.1349
"RPL22P11",0.8134
"SNORA70",0
"TMEM62",0.4617
"OR7E94P",0
"RPL6P5",0.0344
"CYBRD1",45.7312
"FCRL4",0
"TBC1D2B",5.7828
"UPP1",1.8226
"RNU4ATAC15P",0
"HOXC-AS2",1.1948
"HNRNPU",62.3885
"RNU6-285P",0
"HOXA7",0.2952
"RHNO1",9.5764
"USP9YP4",0
"MTHFR",4.2787
"NRG1-IT1",0
"HNRNPH3P1",0
"VSIG2",0.0596
"LCEP2",0
"XCL2",0
"RNU6-1277P",0
"RNU1-3",0
"BNIP3P13",0
"MIR3137",0
"HNRNPA3P16",0
"GAPDHP60",5.408
"ANKRD13B",7.9583
"WDR4",9.0465
"RN7SKP36",0
"RN7SL313P",0
"PWP1",19.7295
"LINC02150",0
"LINC02199",0
"MIR3180-2",0
"CCDC174",3.3867
"ASS1P8",0
"SPINDOC",19.7073
"RN7SL165P",0.0978
"MSR1",0.554
"SSXP1",0
"PARL",21.6119
"GPR6",0
"IGHV3-50",0
"PYGB",28.5851
"BCL7C",19.1228
"C5orf66-AS1",0.1013
"C4A-AS1",0
"KRTAP4-2",0
"CPED1",2.5016
"TRIM68",3.7234
"MMRN2",1.4091
"DSG2",41.0133
"TBC1D3P1",0.0673
"PPIAP45",0
"RNU6-586P",0
"GATAD2B",7.9724
"RHOBTB1",9.304
"LDHAP2",0.4336
"CDCA4P2",0.3172
"EIF1AXP1",8.7048
"RPL21P120",0.6806
"TMEM213",0.0237
"RHOXF1",0.1111
"PRKAG1",12.1981
"MIR4791",0
"PDCL2P1",0
"UBE2Q1",29.3259
"RPL34P29",0
"MED15",11.6116
"ARL1",16.4396
"ACTC1",0.6321
"RALBP1",21.1743
"UBE2V1P12",0.0601
"BUB3",10.2254
"IFI27L2",7.4346
"GCNT1P1",0.022
"KCNIP4-IT1",0.0058
"MTND5P40",0
"KRT42P",0.0135
"BPIFA3",0
"PFKFB1",0.5395
"NDUFAF4P2",0.0548
"RPL17P45",0
"TIMMDC1",17.2492
"ART4",0.0164
"RNU6-1013P",1.0643
"SLC30A3",0.4143
"SLC22A3",0.0085
"RN7SL148P",0
"TRPV4",17.0718
"MIR1-1HG-AS1",0.0084
"DHRS4-AS1",3.6529
"CABLES2",6.7547
"VPS18",8.3394
"PRR34-AS1",0.3126
"HIGD1B",0.2645
"TMC3",0
"RN7SL455P",0
"IFNA7",0
"SLC16A1-AS1",3.6704
"ZNF699",1.2573
"MTND1P17",0
"RN7SKP240",0.5315
"PLEKHM1",2.3836
"PRXL2B",26.3
"RPS26P45",0
"IL21-AS1",0
"RPSAP15",2.1824
"IGKV1-6",0
"FGF7",0.2652
"HSFY3P",0.1195
"PPARA",2.0138
"MASP1",0.2012
"SLC28A2",0.0877
"RPL14P3",0.6408
"LINC00226",0
"IGLC1",0
"IGLV5-37",0
"EIF1P5",0.4867
"RNU6-44P",0
"GIMAP4",0.7789
"STEAP3",5.2985
"RPS7P13",0
"DLX4",4.1018
"IGHJ6",0
"DPH2",8.9104
"PSME2P2",1.2202
"RPL5P34",7.9564
"OR4A4P",0
"GPAT2P1",0
"HSPBP1",12.554
"RBM6",5.907
"CEBPA",1.2769
"SMUG1",6.236
"RN7SL727P",0
"KRT18P50",0
"PRAMEF13",0
"BEND3P3",1.0851
"NEXMIF",0.0484
"UBA2",19.8673
"MIR8066",97.092
"RPS23P1",0.4613
"STXBP2",0.7636
"CDY3P",0
"TRBV20OR9-2",0
"TUBB2A",16.3042
"TCP1",15.9826
"RPL29P14",0.1996
"ALG11",0.8228
"RPSAP3",0.0963
"ZNF114",0.5626
"SLC25A39P2",0
"ZNF597",0.0361
"UPF1",24.2166
"LINC02335",0
"HNRNPA1P20",0.0894
"STK4-AS1",0.0689
"RIOX1",6.0598
"CRNDE",5.4157
"RNU6-412P",0
"FSTL3",19.304
"RNASE3",0.0395
"RN7SKP145",0
"RNF186",1.731
"ARID5A",3.9531
"RN7SKP34",0
"OR5J1P",0
"RPS3AP30",0.0671
"MIR320B1",0
"RN7SKP117",0
"HOXB6",3.0067
"OFD1P16Y",0
"TIGIT",0.014
"ANKAR",0.4302
"RNU7-157P",0
"RNU6-521P",0
"CCNYL2",0.3344
"C17orf50",0.0268
"TNRC6C",14.1143
"AP3S2",1.3439
"RN7SL732P",0
"LINC02758",0
"CYP2G2P",0
"RN7SL763P",0
"SLC17A1",0.0279
"RN7SL809P",1.2462
"SP7",292.0613
"RN7SL138P",5.0592
"MIR216B",0
"PACSIN3",17.2769
"CT47A10",0
"FAM53C",5.0957
"TRIM60P19",0
"RNA5SP494",0.2207
"GLRX3P2",0.4389
"RNU6-175P",0
"TRMT112P1",0
"BTG3P1",0
"IFI30",0.1377
"VANGL1",3.9869
"SLC2A3",19.4149
"NR3C2",1.9219
"MRPS33P3",0.5305
"BRD1",5.5579
"MORF4L2-AS1",0.1365
"LINC02748",0
"RNA5SP140",0
"KRT19P4",0
"HOXC4",5.4956
"FAM111A-DT",0.3337
"RNU6-157P",0
"TRIM34",0.0423
"IGHV3-29",0
"RNU6-1307P",0
"RNU6-18P",0
"RNU6-952P",0
"TRMT2A",16.2935
"NDUFAF7",2.7917
"RN7SKP154",0
"MIR6509",0
"HMGB1P6",22.2564
"PMS1",2.707
"LINC00581",0
"CTAG1A",0
"UBE2V1P9",0
"CTNS",4.4909
"CCDC106",4.6768
"SNORD35B",0
"CDC42SE1",18.2432
"SNORA77B",0
"C2-AS1",0
"CCT4",50.8447
"LINC02152",0
"RBPMS-AS1",0.2431
"FAM242A",0
"PLG",0.0045
"CFD",7.5487
"STAT3",7.3794
"IRF8",0.2703
"RNU6-878P",0.2588
"MIR4423",0
"ARL4D",16.8845
"TRAPPC2P5",0
"HSPA4",12.5953
"PAQR5",0.3705
"KRT18P18",0.089
"INGX",0.0685
"MIR4466",0
"PSTK",1.0982
"MIR380",0
"KLK11",0
"STPG2",0
"LINC00189",0
"RNU6-1222P",0
"KBTBD4",1.7762
"DLC1",2.6636
"TNIP3",0.0076
"HJV",0.0244
"CUL4AP1",0
"RPL21P121",3.7349
"NRL",0.2927
"CD5",0.0619
"POLD4",6.9099
"C17orf58",5.5901
"COX6A1",92.8048
"PRAC2",1.17
"PPM1L",0.7045
"EFHD1",16.5768
"NPM1P9",0.2024
"IGHVIII-67-3",0
"FBXL6",3.6695
"SPDYE6",1.2964
"BCL2A1",0.1046
"PTRH2",4.4748
"PLA2G12AP1",0.9022
"SSPN",8.8864
"MIR7848",1.6913
"RNU6-1084P",0
"MIR4447",0
"FAM216A",3.785
"SLC1A1",4.8139
"SNORD116-10",0
"VPS28",25.8796
"RNA5SP20",0.3389
"RNU6ATAC",1.3557
"LRRC47",29.5613
"SNORA38",0
"ZNF861P",0.0446
"CASP16P",0.0332
"CCDC148",0.1352
"LINC02255",0
"EFNA3",17.1957
"STAU2-AS1",0.0125
"LINC00852",0.2144
"CHODL",0.5615
"IGHD7-27",0
"DACH2",0.0121
"LINC01764",0
"LINC01603",0.1004
"AKR7A3",1.4485
"DNAAF3",0.0345
"MTCO3P5",0
"LINC01965",0.0115
"SNHG17",9.9232
"LINC01166",0.0217
"RN7SL598P",0
"TTC38",3.4534
"RIMBP3B",0.0187
"UBQLN2",66.0478
"SLCO4A1",1.3213
"C1orf50",3.7194
"MIR196A1",0
"OR7H1P",0
"C8orf58",6.3087
"TMEM147",40.8786
"RNA5SP323",0.8563
"GPR137",13.4407
"CCT8P1",1.4433
"MPPED1",0.0587
"LINC02549",0.0845
"HMGB1P20",0.0841
"RPL31P20",0
"TRIM60P14",0
"RP9",9.9902
"COL18A1",25.358
"SETBP1",4.1438
"RN7SL568P",0
"SAR1B",2.9554
"KLF17P1",0.0253
"TMEM132D-AS1",0
"FBXL19",16.6166
"SETD6",2.1193
"PFKP",58.3365
"MIR548AA2",0.8805
"RPSAP65",0
"RNF150",2.6435
"LINC00616",0
"GAGE13",0
"LINC01790",0
"RPL39",46.2099
"LINC02067",0.02
"H4C2",0.13
"CA3",27.2874
"F12",0.5964
"RBM17P4",0.0717
"CRY1",3.7965
"TRMT12",5.4718
"PLEKHH3",5.7676
"PHF14",10.2275
"PGLYRP2",0.0447
"TRGJ1",0
"SLC6A9",1.4017
"SOWAHCP2",0.0568
"LINC02326",0
"EDEM2",6.6614
"SIPA1L3",5.92
"DDX6P1",0
"AGL",3.6525
"ZEB2-AS1",0.2547
"RMI1",10.4319
"ABHD1",0.123
"ZNF32",22.0072
"OR7E38P",1.5608
"RPS3AP34",1.6404
"GDI2",63.9441
"MCTS1",8.9817
"AURKA",9.9278
"MIR34C",0
"RNASE9",0
"EIF4EP1",0
"WNT5A-AS1",1.8791
"MIR3920",0
"PHF21A",8.3122
"COL6A4P1",0
"PAM16",3.2855
"DUX4L21",0
"LINC02239",0
