"","x"
"LINC00457",0
"CECR9",0
"PCGF6",1.6367
"IGHJ5",0
"CHL1-AS1",0
"ZNF227",3.2922
"IGHD4-17",0
"MCM5",15.1846
"RPL36AP36",0
"OR56B3P",0.0491
"CEP76",1.6683
"CCDC96",0.289
"COL4A4",0.0893
"RNU6-329P",0
"FXNP2",0.2549
"SMIM19",1.9713
"SENP2",4.3574
"LINC02714",0.2524
"RAD21L1",0.5449
"GPR119",0
"RNU6-168P",0
"RNU6-775P",0
"CNNM4",8.4684
"CDH6",0.0939
"TTC39A",0.4916
"HCFC1R1",25.497
"ZSCAN12",1.7173
"GZMK",0
"QTRT1",11.6958
"PSMD7",18.3904
"MTND4LP19",0
"RBMXP2",0.5572
"ECM1P2",0
"NFE2",0
"PLXNA2",3.5991
"KCNQ1OT1",1.821
"RGPD6",0.007
"HNRNPA1P74",0
"RN7SL172P",0
"TMEM183AP1",0
"PAPPA2",0
"CT47A10",0
"LINC01255",0
"LCEP2",0
"UBQLN4P2",0
"PHPT1",53.3771
"NENFP2",0
"MALAT1",35.5421
"NQO1",0.9
"RNU7-128P",0
"ZBTB45P2",0.0304
"ATP4A",0.012
"IDI2-AS1",0.0729
"C1QBPP2",0.5071
"PYGL",44.7702
"BRD7P1",0
"OR4A44P",0.049
"KRTAP9-8",0
"MARCHF3",1.2027
"LINC01509",0
"PIK3R4",2.5508
"RNU7-54P",0
"SMIM26",9.4833
"PRDX2P4",0.4649
"DOLPP1",12.3189
"ALG11",0.8013
"CISH",1.1094
"IGKV1D-17",0
"RN7SKP145",0
"MORN2",3.6466
"LRRIQ4",0.0254
"E2F6",4.7205
"HEXIM1",10.5366
"RNU6-905P",0
"INSYN1-AS1",0.0885
"PPIAL4A",0
"SSH3",4.0727
"PAQR9",0.0223
"SERPINA3",0
"RNA5SP25",0
"R3HDM2P2",0
"RPL36AP29",0
"H2BC5",30.4741
"IL20RA",0.0295
"PARVG",0.1933
"RBPMS-AS1",0
"COX5BP6",0.6609
"OR7E15P",0
"HOXB6",3.5881
"OR2S1P",0
"TIPRL",11.8089
"RPL21P104",0
"GALNT18",0.5767
"RNU6-1136P",0
"RNU6-1091P",0
"RNU2-13P",0.4114
"MYLK3",0.0049
"FBLN2",15.2922
"NDUFV2",1.9204
"BBC3",1.491
"DYNLL1P6",0
"LINC02337",0
"OR1F12",0.1519
"PCDHB11",1.661
"NFAM1",0.6633
"TRAV9-1",0
"ANKRD30BL",0
