"","x"
"RPL7P13",0.2949
"INTS4",5.4843
"CCDC155",0.0444
"RNU6-1076P",0
"PPIAP45",0.0656
"GRPEL2P3",0
"ZCCHC18",0.2303
"PIK3CD-AS1",0.1028
"KCTD12",39.9312
"MED28P1",0.0547
"SNORA58",0.2279
"MIR3074",0
"HMBOX1",1.8918
"RPL23AP71",0.3994
"ADGRA1",0.0048
"MIR6891",0
"C2orf27AP3",0.1078
"C1orf61",0.0127
"RNU11-2P",0
"LINC00623",0.7071
"SVOPL",0.0991
"PLCG2",3.1485
"PRRT3-AS1",1.6779
"KCTD10",9.3833
"RPL29P28",0
"KRT18",4.8411
"FAM32CP",0.097
"RNU6-652P",0.2918
"ELOCP8",0
"DMTN",0.7398
"MTCO2P9",0
"GALR2",0.206
"CYCSP40",0.2124
"TRABD2A",0.687
"TRIM45",1.5653
"MIR6818",0
"CES3",0.0949
"TPT1P14",0
"SCARNA1",0.9404
"CRIP1",2.3493
"LINC00602",0.0302
"FAM240C",0.1853
"AMPH",0.2936
"HP1BP3",21.5501
"WTIP",1.3799
"MIR548I4",0
"RNU6-1243P",0
"ZFP91-CNTF",0
"PDZD4",2.4596
"SLC39A6",43.6077
"GZMA",101.1326
"MIR183",0
"MRPL35P2",0.7942
"MME-AS1",0
"LINC01637",1.4149
"RNU6-426P",0
"RNU6-719P",0
"LINC01524",0.0128
"HLA-V",0.0496
"MPZ",0.8841
"MIR643",0.6437
"LEUTX",0.0931
"CICP7",0
"GLIPR1",4.3348
"AMMECR1L",6.8984
"BCL7B",8.3999
"MZF1-AS1",0.6311
"IL17RB",0.298
"MTCO3P18",0
"TNKS1BP1",10.2101
"AGAP6",1.1164
"CSNK2A3",0.441
"LRRC37A7P",1.5955
"MYADM",54.692
"CFAP53",0.506
"PDE10A",0.3489
"EXOC1L",0.1127
"PPP1R35",4.8132
"CREB3L2-AS1",0
"MTCYBP3",0.0275
"RNU6-1127P",0
"NUTM2D",0.2145
"RPLP1P11",0
"WBP1LP2",0.561
"OR2K2",0
"TCF3",7.4558
"RN7SL306P",0.1055
"CTAGE3P",0.026
"MFSD14C",4.3751
"TUSC1",1.8105
"LINC01014",0
"RPL36AP55",0
"LINC01993",0.0532
"BDP1",3.5347
"KRTAP16-1",0.0201
"MIR6823",0
"EML6-AS1",0
"PUF60",27.9274
"UBE2V1P5",0
"NME2",45.9875
"HS1BP3-IT1",0.1561
"ZC2HC1A",3.3751
"SSC5D",1.6647
"RNU6-967P",0
"TMPRSS4",0.0314
"HNRNPA1P34",0.0329
"STPG3",0.2132
"TMEFF2",0.0188
"RNF225",0
"RNU7-169P",0
"MIR4673",0
"POC5",3.3683
"RNU6-316P",0.2918
"RXFP3",0
"PSMD9",2.2595
"COX5AP2",0.1585
"ACTN4",193.9026
"RNA5SP200",0
"KLRC2",0.2499
"IGKV2OR2-10",0
"SLC44A5",8.2225
"LARGE-IT1",0
"GAPDHP66",0.0646
"RPS10P20",0
"CXCL13",0.3491
"IFNL3",0.0405
"KIAA1586",2.1991
"NPIPB9",0
"LINC02217",0
"RN7SL147P",0
"RSRC1",5.6802
"RNU6-89P",0
"EEF1DP4",0.3902
"EGR3",1.1446
"CRIM1",16.7321
"BCL3",6.1149
"CBX3P6",0
"NDUFB4P2",0
"SLC6A12",1.1885
"PDCD4",13.684
"CHRM3",0.8542
"NUTF2P2",0.0813
"CT70",0.3091
"ANKRA2",3.2523
"BTN2A2",1.1857
"INMT-MINDY4",0
"RNU5E-9P",0
"ZZEF1",2.7861
"STX11",1.1185
"TRIM64",0.0116
"RNU5A-7P",0.5383
"SNORD32A",0
"SETP5",0.3333
"RNA5SP346",0
"IGHV4OR15-8",0
"MIR8053",0
"GPC5-IT1",0
"RNU1-89P",0.5711
"GBP3",0.9663
"GPS2",2.4863
"MIR370",0
"LRRIQ3",0.1497
"KLK14",1.8856
"ZNF123P",0
"FBXL16",0.0391
"ORAOV1P1",0.079
"NEDD8-MDP1",0.0297
"CBFA2T3",0.2248
"MAD1L1",6.2526
"RNA5SP383",5.7236
"LINC01545",0.1174
"RAB11B",28.5149
"AMD1P3",0.1884
"ZNF317P1",0.0304
"AZIN2",0.9662
"RPSAP58",0.4581
"CASP10",1.771
"FOXP4",29.5095
"CRISP2",0
"TAF1",4.3639
"R3HCC1L",2.9113
"APMAP",64.6787
"RNU6-561P",0
"GAGE10",0
"DNAJC6",0.1392
"MSLN",0.0236
"PROCA1",0.7758
"IGKV1OR1-1",0
"PRG2",0.017
"RN7SKP79",0.1858
"LINC01728",0
"GAD2",0.0102
"KRTAP5-3",0
"EXOSC3",3.2944
"OR4K11P",0.0345
"IGKV2D-10",0.1111
"GPD1L",2.087
"MCFD2P1",0
"EIF4BP9",0.0619
"RN7SL627P",0
"OR3A4P",0
"TTC4",1.1419
"HPCAL4",0.1133
"LINC01691",0
"ATP6V0E1",154.8679
"LINC01865",0.0622
"SGK1",3.9993
"MTCO2P6",0
"EDEM3",8.017
"GALNT4",0.0867
"SERBP1P2",0.0268
"NIT2",2.4668
"MYLPF",1.5345
"IZUMO4",0.124
"RNU6-505P",0
"HSD17B3-AS1",0
"RN7SL801P",0
"KCNC3",0.4277
"PRUNE1",8.1235
"CYP51A1P1",0.145
"PIK3C2A",3.7142
"GMIP",6.1271
"LYG1",1.7995
"RNU6-30P",0.8753
"KMT5C",2.4453
"SYDE2",0.5469
"RN7SKP167",0
"ITIH2",0.1294
"CLK1",6.4915
"MIR4279",0
"CICP6",0.0114
"NEIL1",0.648
"SNORD82",0.446
"LINC00879",0.0166
"SLU7",9.9213
"GRM2",0.1012
"RERG-AS1",0
"KLHL1",0.0226
"RNU1-46P",0
"SNORA11",2.1951
"RNU6-290P",0
"IFIT6P",0.0784
"LINC00240",0.0145
"RNU4-50P",0
"RNU7-37P",0.5203
"RN7SL390P",0
"LONRF2P5",0
"MIR6754",0
"ACPP",0.1638
