"","x"
"RNU1-93P",0.1306
"TCTN1",1.935
"DEFA7P",0
"LINC00487",0.02
"CALCA",0.0726
"ZNF35",1.4671
"KIZ",2.9462
"LINC02092",0.0088
"DDAH1",6.7205
"RNU6-293P",0.2082
"PTPN21",2.4741
"PHGR1",0
"DAZ2",0
"LINC01123",0.0201
"PCDHA1",0
"AP1G1",8.2341
"MICOS10P2",1.0603
"CATSPERD",0.0725
"TUB-AS1",0.0109
"PPP1R12B",5.8197
"RPL12P47",0
"ATP23",11.768
"SCARNA16",0
"EAF1",6.1223
"NUDT4B",0.0809
"TBR1",5.8723
"RPL30P9",0
"TMEM183AP1",0.4567
"HEXA",7.472
"CPDP1",0
"MIR548O",0.7745
"LINC00308",0.0304
"VPS25",12.3219
"KCNQ1-AS1",0
"TPCN2",5.7217
"MYO15B",1.5114
"SPATA22",0.0386
"HOXA-AS2",0.3135
"EIF4EBP2P2",0.3314
"EOGT",8.0041
"LINC01816",2.0006
"UTP6",2.8986
"PCCA-DT",5.8023
"ATP5PDP1",0.1365
"BNIP3P11",1.2546
"RNU6-946P",0.4126
"SF3A1",20.9953
"IGLJ4",0
"OR52N5",0
"GIPC1",9.8732
"AGAP3",8.5855
"SLC4A1APP2",0
"RNU4-64P",0
"BLOC1S2",5.1451
"LAMTOR3P1",0.0597
"TMEM147",38.2735
"OR9L1P",0
"MED24",9.9966
"LINC02446",0.1271
"FAM27E5",0
"GPLD1",0.0583
"LPCAT2",8.4921
"RNASEH1",2.6965
"SPACA7",0
"BTF3L4P4",0
"TMEM126B",11.8039
"POTEM",0.0396
"LINC00840",0
"BCAS2P1",0.1746
"SLC7A5",77.7276
"NMD3",10.5265
"MIR7845",1.1148
"RNU6-1010P",1.8566
"MYH14",0.3989
"MAP11",3.1329
"ADNP-AS1",3.405
"POU5F1P6",0.0446
"SSR1P2",0
"MIR4681",0
"MPIG6B",0.1428
"RNU4ATAC7P",0
"ZBTB38",3.4705
"TMEM52B",0.0696
"SIN3B",5.4397
"SHLD2P2",0.0536
"LINC00385",0
"TLR8",0.3245
"RNU6-178P",0.2122
"FAM122B",7.1822
"SLC35G3",0.011
"GZMH",0.0696
"MIR302D",0
"RNA5SP365",0
"LLGL1",11.1695
"BHLHE40",226.5803
"SNORD113-8",0
"TCAF1P1",0.5835
"UQCR10",81.9983
"RNA5SP520",0
"SNORD118",0
"LONP1",30.2814
"MTND4LP22",0
"PCGF3",9.5516
"NDUFB4P6",0.1206
"CDYLP1",0.0151
"CRYBG2",0.0226
"GLULP6",0
"SNRPGP5",0.2007
"RN7SL580P",0.0769
"SOHLH1",0.0111
"SELENOH",19.1906
"RN7SKP161",0
"OR5BH1P",0
"HMGN2P32",0.9847
"GART",4.9352
"GRIFIN",0.0507
"LINC02321",0.8622
"MIR4435-2",0.5518
"SLC6A6",4.1183
"CFLAR-AS1",0.2801
"DYNLL2",9.0595
"TMEM14B",7.4035
"RNU6-770P",0
"TBXAS1",2.5449
"PPIAP86",0
"PLSCR3",0.3972
"MT1G",8.476
"SGO1-AS1",0
"TMOD3",5.2504
"FAM193A",9.3311
"RAB28P5",0.2713
"MST1",0.9856
"TYMS",13.5208
"RN7SL470P",0.5113
"NRTN",0.4777
"PABPC1P9",0
"PRKAR1A",24.6327
