"","x"
"PHIP",5.2051
"PTP4A3",8.901
"MIR8070",0
"RN7SL387P",0
"TTLL9",0.0403
"LINC01761",0.0072
"ADH5",27.1767
"HMGN1P9",0
"RPL7AP38",0.1488
"RNA5SP184",0
"PPIAP17",0
"FLG-AS1",0.1968
"FGD5",2.2818
"RNU6-1211P",0
"RPL9P2",0.8282
"FBXO45",7.7239
"RN7SKP185",0.1222
"STARP1",0
"CD69",0.0352
"NPM1P48",0.07
"SARDH",1.0968
"RN7SL740P",0
"OR4N5",0
"TPGS2",11.1235
"BLOC1S2P1",0.1323
"PNPT1P2",0.0583
"KRTAP13-3",0
"USP17L29",0
"RPS27P23",0.238
"KRTAP27-1",0
"RNU6-722P",5.3612
"C8orf37",0.7705
"SGO1",3.9014
"MORF4L2-AS1",0.3055
"ESRRG",0.0018
"IMMP1L",2.6653
"ATP5MFP4",0.4475
"XPO7",6.1852
"ANKRD20A1",0.0205
"MDS2",0.0186
"BUD13",10.1469
"RNU6-94P",0.7444
"RPS2P2",0.1657
"APEH",9.7667
"TRBJ2-6",0
"HIBCH",3.6276
"MARS1",20.8905
"SLC39A9",13.9943
"IGLVVII-41-1",0
"PRDX4P1",0
"GTF2IRD2",0.3878
"ACSL4",6.1058
"LINC01005",0
"MIR670",0
"INO80B-WBP1",0.039
"FAM118B",10.9713
"HNRNPD",51.772
"MIR378B",0
"RPL18P11",0.1879
"DNAJC14",8.4737
"ZNF236-DT",0.8457
"RN7SKP115",0
"SNX6",15.0039
"AGAP7P",0.4925
"PGA4",0
"BAK1P2",0.0316
"CIB4",0.019
"PNMA8B",0.3472
"DNAAF2",3.5148
"APOO",5.0564
"SFXN1",6.1433
"RNU4-47P",3.3188
"PPP1R14A",0.1592
"TIGD7",0.688
"ELAVL2",0.0194
"CARD11",0.5161
"LINC01410",2.1958
"ZNF503",9.6977
"EFNA1",26.6108
"ARHGEF12",12.5782
"LINC02162",0
"MIR616",1.0264
"CCND3P1",0
"PDCL3P5",0.5516
"ADGRF4",0.0352
"DSP",2.9062
"WNT5A-AS1",0.0398
"IMPDH2",37.765
"WDR7-OT1",0.0352
"RNA5SP440",0
"ACTN4",54.3737
"KYAT1",0.8407
"PCM1",3.8337
"HBE1",0
"MAP1S",5.0415
"NOTO",0
"CRAT",5.1681
"PBX1",2.6605
"MIR4495",0
"HOXB-AS4",0.0893
"CEP164",3.8646
"TRIP12",12.567
"RNA5SP270",0
"C2orf83",0
"RNU4-70P",0
"GLIPR1L1",0.0288
"CSNK1A1L",0.091
"ZNF576",2.0479
"HIF1AN",5.2916
"RPSAP43",0.2867
"DHFRP6",0.0743
"MIR3659HG",0.0291
"DAAM1",2.2753
"CELF2",0.7227
"MIR4307",0
"RINL",1.659
"RNU6-714P",0
"SEC31B",0.5694
"LINC02232",0.0049
"MARCHF3",0.619
"RPL34P19",0
"RPS4XP10",0.109
"CALHM6",2.6184
"POLR3GL",13.0392
"LAMA5-AS1",0.0709
"RPS27P18",0
"OR1J2",0
"KCNN2",0.3489
"CNP",10.3828
"MAMDC2-AS1",0.6906
"SELENOWP1",0.3951
"FBXO25",1.1038
"MIR4648",0.5531
"GAPDHP14",0.425
"HSP90AA4P",1.4568
"RN7SL376P",0.1509
"LINC00685",1.3492
"ADRB3",0.027
"MIR548D2",0
"RNY3P3",0
"THUMPD3P1",0.0135
"TCEAL4P1",0.1016
"NCAM2",0.4871
"OAT",36.4229
"RNA5SP22",0.3654
"RBM11",0.2109
"CHEK2P2",0.0421
"UBXN2B",4.7806
"RBM46",0.0049
"TMEM259",33.2015
"CAB39",10.5138
"MTND3P7",0
"SEMG2",0
"UGT2B4",0
"TSC22D1",18.1063
"CWF19L1",6.8459
"RNU5E-5P",0
"PKD1",6.6394
"LINC02028",0
"RNU6-224P",0
"MEGF8",10.2979
"NPY2R",1.1197
"ACOX3",2.0659
"HYDIN",0.0247
"FAIM2",0.0132
"INPP5F",21.7023
"RNU7-159P",0
"RADIL",0.3117
"MRGPRX10P",0
"RNA5S5",0
"H2AC10P",0.6867
"C1orf198",73.1583
"PREX2",0.4294
"FABP5P2",0.4393
"CBX7",0.9928
"MRE11P1",0.0281
"ZC3H18",8.5565
"SAFB2",9.7549
"MFSD6L",0.0637
"SMIM10L2A",0.217
"UPF3AP3",0.492
"MIR4752",0
"LPO",0.0155
"MIR3140",0
"RPS2P6",0.2002
"OGFRL1",2.9943
"RN7SL615P",0.1336
"BSNDP3",0.0547
"LINC02816",1.4109
"TMEM139",0.1476
"RIC8A",13.0946
"RPL7AP58",0.149
"OFD1P17",0.066
"COL21A1",2.6164
"MIR16-1",0
"SNORD115-12",0
"LINC01895",0
"TRBV20-1",0
"IGLV3-10",0
"HSFY5P",0
"TTC3-AS1",0.1089
"ADGRF5-AS1",0
"ARGFXP1",0.2072
"LINC01789",0
"RNU6-198P",0.1915
"PTPN3",5.7518
"C12orf10",9.9763
"RPS29P11",1.0481
"KLF8",0.8961
"CYP2C59P",0
"RNU6-695P",0
"MBL1P",0.0304
"ARPC5",38.9225
"MTND1P18",0
"FLNB-AS1",0.2309
"SPAG5-AS1",0.7633
"HMGB1P6",32.0889
"ARHGAP30",2.7919
"BCL7A",8.4869
"HSF4",1.8159
"SKP1P1",2.9727
"RELA",12.8428
"MIR510",0
"USP9YP14",0
"KRT17P4",0.0067
"LINC02036",0.0205
"RPL30P16",0.0464
"CDS1",0.067
"MTCO3P11",0.0772
"RNA5SP164",0
"HS3ST2",0.107
"UBA5",7.9833
"LMAN1",55.5397
"ZBTB8OS",7.8953
"ARL2BPP2",0
"TP73",0.0648
"CD247",0.0494
"LINC00363",0
"AP2A1",8.0736
"STAU2",4.5456
"PDLIM3",0.0677
"UQCRBP3",0
"FAM222B",3.5572
"MYC",29.7467
"UBE2G2",9.2988
"HJURP",8.2133
"ZNF213",1.4742
"IGHJ2",0
"SLC35A1",5.1031
"SPA17P1",0.0441
"MINDY4",0.0489
"RBM8B",4.0964
"GAPDHP64",0.2382
"KRT18P9",0
"MET",7.2789
"MEOX2",24.7399
"OR5D2P",0
"RPL10P4",0.7758
"CGGBP1",15.0068
"ANKRD60",0
"IGHD1OR15-1B",0
"CCR2",0.1334
"HMGXB4",7.4267
"LDHA",160.3523
"PRR13P1",0.244
"TEX30",7.5251
"SALRNA2",0.0193
"TIMM23B-AGAP6",1.0363
"PPIAP89",0.0826
"LGALS3",28.6358
"FAM160A2",4.1794
"CTHRC1",102.3119
"SNORD102",0
"TCP11X2",0
"MIR4645",0
"SNORA50C",0
"CCNT2P1",0
"PLCE1",2.2559
"RNU6-472P",0
"LINC01707",0
"HES3",0
"SEC24A",10.934
"ZNF497",0.4701
