"","x"
"DCUN1D2-AS",0
"IL17F",0
"RPL21P1",0.1547
"LINC01545",0.0369
"TRAV21",0.0572
"RN7SKP21",0
"LONRF3",0.364
"RNA5SP520",0
"RNA5SP188",0.152
"CRELD1",1.2457
"RBM15B",7.3054
"RPS19",185.2721
"RN7SL774P",0
"THTPA",2.3242
"SH2D2A",0.3825
"PRMT9",3.0154
"GPR180",4.8747
"MEGF11",0.0698
"MREGP1",0
"CCDC13-AS1",0
"CHST13",2.3567
"SLC37A3",5.5915
"URM1",11.2991
"OR11L1",0
"ADAMTS18",27.0335
"MIR6811",0
"SPRR4",0
"SMIM36",0
"EIF4G3",9.6729
"RAD23BP3",0
"GPAT2P1",0.0175
"RNA5SP246",0
"ANGEL1",3.3142
"SOX17",1.323
"PAM",7.7301
"CXorf40B",6.9561
"ZNF264",3.0357
"SIPA1L2",0.9932
"EIF1AD",7.6978
"TANGO2",1.6817
"MTND4LP12",0
"RNU1-29P",0
"KLK7",0
"OR7G3",0
"RN7SL323P",0
"MAK16",5.1311
"H3C8",0.4229
"ARL4AP1",0
"TPD52",1.8541
"NCOA5",16.839
"ABCC10",2.3897
"KRTAP19-5",0
"FEZ2",4.4494
"RPS4XP12",0
"C1orf68",0
"TIMM17A",26.7384
"CEACAM5",0
"RN7SKP32",0
"TRAJ24",0
"UBTD2",13.2179
"PMP2",0
"LINC01150",0.249
"EBLN1",0
"LINC01729",0
"SLC5A2",0.2414
"PEBP1P2",0.4569
"FBXO43",0.1688
"CECR7",1.0449
"ENO4",0.0496
"RNA5SP389",0
"PCDHGB8P",0.0273
"MIR1827",0
"RAB24",3.3712
"TEX14",0.1878
"OR3A3",0.0406
"LINC01657",0
"LINC01714",0
"OR9H1P",0
"RNU6-835P",0
"RBM11",1.2215
"ADGRE4P",0
"KRT8P1",0
"GYPE",0.0391
"RNU6-1126P",0
"SLC39A13",14.2712
"SNORA24B",0.5988
"SNAP25-AS1",0
"OR6C71P",0
"XAGE5",0
"OR4C3",0
"USP33",7.679
"RNU1-91P",0
"CLVS2",0.0085
"MIR944",0
"HAGH",2.6945
"DEFB109D",0.8171
"RPL21P16",3.1668
"RPL34P23",0
"RNU1-51P",0
"DNAJA1P4",0
"EIF4E1B",0.0059
"LINC01527",0
"RPL21P92",0
"GALR1",0.0019
"HRG",0.0039
"POLR2I",27.8929
"COP1P1",0
"VAC14",3.3173
"FLNB",11.4228
"MYO1E",1.7788
"WBP1LP12",0
"RNU6-5P",0
"PUDPP3",0
"C5AR1",4.4722
"RFX4",0.0029
"ING5",2.0543
"TPTE2P1",0.1147
"PGGHG",1.6963
"KATNAL1",2.1219
"TRPM8",0.2134
"THAP5P1",0.5988
"MIR3616",0
"SYBU",1.1251
"SLC66A3",12.0677
"LINC01979",0.0372
"ADGRF5",2.7041
"OR9S24P",0
"RN7SKP191",0
"UPK3BL1",1.0083
"FAM131B",0.0274
"DNAJC19P2",0
"NUS1P4",0
"VN1R7P",0
"HOXD11",0.3253
"ASMTL-AS1",0.3819
"LINC00299",0.0044
"SCN11A",0.0127
"GAPDHP46",0
"RUFY3",2.1141
"EDC4",4.7556
"SDAD1P4",0
"ZNF512B",8.9974
"FUNDC2P1",0.6537
"ECHDC3",0.5475
"ASS1P10",0.0631
"EWSAT1",0.0219
"CLIC4P1",0.0367
"SNORA11C",0
"ZBTB20-AS5",0.0106
"RPL7P38",0.1327
"CTAGE14P",0
"TEX53",0.0366
"HSD17B11",8.1822
"RNU6-807P",0.5498
"CYTL1",1.7205
"CENPV",5.5116
"RNU6-23P",0
"JPH1",3.3101
"STATH",0
"SNORD51",0.2451
"IMMP1LP3",0
"MIR320B1",0
"FAM181A",0
"GFAP",0.029
"CDCA4P4",0.1442
"RPS26P48",0
"BMI1",10.2606
"GLYCTK",0.6508
"RNU6-944P",0
"ANO10",2.0363
"SLC35A3",2.366
"LPP",3.6256
"FAM24B",0.05
"LRRC37A9P",0.0328
"NECAB2",0.3191
"MIR548AC",0
"RN7SL614P",0
"CASP17P",0.1685
"FGD4",0.3801
"SUMO2P19",0
"DDX47",0.2101
"RPL7P18",0.1603
"PDGFB",2.6592
"GAPDHP42",0
"AGAP5",0.0126
"MIR449C",0
"TMPOP2",0.1143
"RN7SL418P",0
"LINC01017",0
"IRGC",0
"LINC00626",6.3861
"TUBB7P",0
"UPP2",0.0199
"MIR4685",0
"FNDC4",0.7223
"DFFB",2.7718
"YAP1",17.0996
"WDR31",1.0892
"COL8A1",3.6915
"METTL25",0.9132
"NRCAM",0.1149
"STK24-AS1",0.445
"KCND3-IT1",0
"SOWAHB",0.0365
"MZF1-AS1",1.0836
"TTTY13",0
"TUBB3P1",0
"RNU6-320P",0
"POLR1C",8.5088
"OR10B1P",0
"MTRNR2L11",0.0126
"HOXA10",3.8617
"RNU5F-7P",0
"LINC01303",0.0229
"NSUN5P1",0.3863
"CFAP44",0.05
"NMB",1.8804
"C10orf99",0
"C9",0.0066
"NDNF",27.711
"DDTP1",0
"CHCHD4P2",0
"MPP4",0.0319
"MINCR",1.1305
"GSK3A",14.9475
"NKAIN2",0.1098
"HIGD2A",61.9712
"C15orf48",2.9031
"SELENOV",0
"NOA1",7.264
"RHEBP3",0.0559
"UBE2FP3",0.1871
"MIR7851",0.1226
"SRSF12",0.4312
"MTCO2P5",0
"DEFB127",0
"MROH8",0.2073
"NIP7P3",0
"RPL10A",205.6111
"C6orf47-AS1",0
"IGHV3-33",1.092
"RN7SL565P",0
"LINC00463",0
"CDKN2B-AS1",0.246
"LINC01104",0
"LINC01697",9.4591
"SURF2",11.2057
"C20orf144",0.4095
"RNU6-754P",0
"PEX11B",25.4141
"RNF225",0
"RN7SL230P",0
"LDB1",13.9941
"SYCP3",0.0307
"IGHVII-44-2",0
"FABP5P6",0
"GSTA1",0.3849
"KRT17P5",0.0066
"RPS29P2",0
"SNX33",7.7652
"MT4",0
"ISYNA1",11.7338
"AGBL5-AS1",0.0964
"MIR3153",1.4349
"RPL3P12",0.2597
"SRRM1",13.2166
"KISS1",0
"OTUB1",20.1613
"RNF7P1",0.172
"OR5T1",0
"TMEM233",0.9662
"SYF2P2",0
"SLC27A4",11.3057
"MIR7-3",0
"CATSPER2",0.0467
"WFIKKN1",0.0281
"PCCA-AS1",0
"ADRA1B",0.2934
"DOCK11P1",0.0132
"ATP10D",7.2827
"MIR149",0
"HMGB1P3",0.5412
"MSL3P1",1.6098
"OR51D1",0
"UBL4A",12.7279
"KCMF1",5.1019
"CDH26",0.0171
"RNU4-44P",0
"RNF180",0.2923
"RPL39P36",0.5028
"SPATA13-AS1",0
"RPS23P1",0.2724
"IFIT1P1",0.0271
"EHHADH-AS1",0
"NCKAP1",8.7557
"RNU2-27P",2.3477
"PRMT5",20.2718
"MMACHC",3.6769
"IFT46",5.0696
"MHENCR",4.015
"C2orf91",0.1166
"SLC6A12",0.0817
"MBOAT7",18.2315
"SPDYE22P",0.0246
"DPH3",4.663
"PITX2",6.3544
"LINC00440",0
"MIR488",0
"MYL6BP1",0.0319
"EPHA6",1.3061
"LINC02586",0.1311
"RPL22P5",0
"ERVW-1",0.0544
"RPS13P2",5.8184
"GAPDHP29",0.0199
"SRIP1",0
"BLZF2P",0
"ARGFX",0
"ANKRD34B",0
"GATD1",5.2424
"TUBGCP6",1.7776
"RN7SL218P",0
