"","x"
"PHF10",13.888
"CHEK1",8.5739
"SELENOO",7.2681
"DNAH8",0.0156
"LINC02255",0
"FOXE1",0
"CFHR4",0
"RNU4-14P",0.16
"MYO19",3.3495
"BMS1P11",0.0882
"HSPE1-MOB4",0.2412
"S100A7A",0
"VPS35P1",0.0386
"SOWAHC",1.8146
"RN7SL509P",0
"NFATC3",6.4804
"TSC2",4.3838
"SEC14L2",0.3522
"LCK",0.9995
"FAR2P1",0.0048
"IGHV3-53",0.0684
"TMEM212-IT1",0
"ATP7A",2.9473
"MIR7850",0.247
"RPS26P3",0.673
"UBTFL10",0
"AK4P4",0
"MIR3151",0
"ARHGAP15",0.8066
"RNU2-59P",0
"APEH",12.3562
"SF3A3P1",0.1982
"DHX34",3.4401
"DNAJC19P7",0
"ALDH1L1-AS1",0
"HNRNPUL1",43.8624
"SERPINA5",0.2223
"RNU6ATAC26P",0.1549
"ZNF280A",0
"MTCO2P5",0
"TRAJ20",0
"MIR4782",0.5421
"POTEI",0.1556
"BTBD10",9.3981
"RNU7-73P",0
"ERAS",0.0925
"NAP1L4P2",0.0217
"CDKN1A",47.6461
"MIR4735",0
"MIR4754",0
"GPSM2",11.6367
"SNORD115-40",0
"OR2Z1",0
"TSC22D4",10.2075
"RPS7P15",0.3008
"CCND2-AS1",0.1183
"RPL36P4",0
"RANBP3",8.9837
"PRR20A",0
"RPS12P17",0.0518
"RN7SL459P",0
"MIR3692",0
"PSME2P2",2.9275
"RPS26P4",0.055
"RARRES1",10.8755
"RNU7-27P",0
"MIR635",11.5506
"COX6CP4",0
"LINC02544",0.6458
"PRH2",0.1289
"GALNT12",0.5413
"FGF17",0.0356
"COG8",5.9152
"RHOT1",5.5897
"CLUHP1",0
"SPDYE10P",0.0087
"ACTG1P10",0.2345
"DEFB4A",0
"RNU6-65P",0
"KNG1",0.0365
"ARNT",15.4312
"BLOC1S5-TXNDC5",0.1005
"BPTFP1",0
"HNRNPA1P1",0.1654
"HDGFL3",3.1221
"LINC02549",0
"CDC42EP1",62.5244
"PPP1R2",5.7529
"ENO1P2",0
"NUTF2",22.9289
"TRAJ44",0
"CKB",177.2946
"PGBD4P4",0
"PRPF19P1",0
"LINC02748",0
"MIR1225",0
"NAPGP1",0
"OR52K1",0.0189
"PNMA6A",0.5566
"RN7SL744P",0.1462
"HTR1B",0.031
"LINC01052",0
"IPPKP1",0
"NLK",2.6268
"RN7SKP102",0
"RNU2-2P",0
"MIR1289-2",0
"RALA",20.2781
"STX2",8.0992
"POLR2J4",0.95275
"TGIF2-RAB5IF",0.1488
"HSFY5P",0
"LINC00472",0.136
"MIR4508",0
"PDZD8",3.7074
"PLEKHB2",17.0364
"ZFHX3",8.6706
"WNT4",0.2457
"LINC01356",0.4068
"TAS2R30",0.0213
"PTCSC3",0.0342
"C18orf63",0
"RTN1",2.2412
"COL3A1",58.9452
"MAP2",0.5183
"SART3",10.3636
"MIR762HG",0.4624
"RPL23AP32",0.2126
"VPS9D1",4.6002
"LIMK2",2.1762
"LINC00678",0.0168
"ZNF668",0.868
"LINC02826",0.0288
"MIR548AE1",0
"GAS1RR",0.2536
"PPIAP24",0
"RN7SL449P",0
"ATG4AP1",0
"LINC01799",0.0237
"LAMP2",27.4631
"RNA5SP485",0.164
"OR7E157P",0
"CITED1",0.2218
"FUT7",0.1813
"P2RX1",0.0983
"RN7SL470P",0.0754
"IGFBP1",0
"BTBD19",1.2752
"CT47A1",0
"PHLDA2",4.8434
"ZNF807P",0.0572
"RHEBP3",0.2224
"TOMM20P2",0.4172
"CDC23",7.5269
"TATDN2P3",0.0266
"TUBGCP3",5.2924
"PRKAG3",0
"ZNF510",1.7766
"OR7E89P",0
"LINC02311",0
"CHFR",2.7884
"CYP4F26P",1.356
"ST6GALNAC2P1",0
"MKS1",2.8093
"RPL7P4",0.1337
"PFKFB1",0.1422
"ERLIN2",2.5076
"NFIB",6.0885
"CHKA",6.6599
"IGF2BP2-AS1",0.04
"UBOX5",2.4633
"SYPL1",18.364
"LINC01072",0
"PRELP",0.6384
"RNU7-26P",0.3098
"LCE6A",0
"CCN5",0.0862
"H4C14",3.0274
"USP45",0.9721
"KIN",1.3146
"PPIAP34",0.119
"LINC02470",0.0199
"SNU13",26.6212
