"","x"
"TSPAN11",13.6938
"ANKRD20A10P",0
"PPIAP13",0.8013
"IPO4",0.2883
"CDC16",27.2196
"GJC3",0.0264
"SLC12A6",1.1104
"CYP51A1",0.6219
"RNU6-492P",0
"VPS8",1.6314
"HSPD1P6",0.1352
"AGAP11",0.0096
"BICC1",4.9426
"ZNF416",0.4602
"OR4C11",0
"GLTPP1",0
"BASP1P1",0
"RPL31P61",0.9403
"SLC7A9",0.034
"ALOXE3",0.0157
"IGHV3OR16-13",0
"PSKH1",4.519
"LINC01335",0
"XCL1",0
"RNU6-871P",0
"MIR3929",0
"SCOC-AS1",0.0122
"CST13P",0
"LINC01133",0.2095
"MIR3646",0
"ADAM29",0.0297
"TSHB",0
"WBP1LP12",0
"EPB41L4A-DT",0.2955
"HOXB-AS2",0.0349
"EIF4A2P1",0.0831
"NPM1P21",0.3093
"CNOT10",2.517
"RNU2-4P",0
"SDHAF4",1.821
"IQCB2P",0.018
"MIR548F1",0
"MEF2AP1",0
"DUBR",0.5954
"RNU6-649P",0
"TMEM171",0.0192
"RCC1",6.2063
"RNU6-354P",0
"CLIC4P1",0.1652
"SEC11A",21.7177
"DACH2",0.0084
"PRDM6",1.1312
"SLC35F3",0
"LINC02247",0.3569
"INPP5A",2.2817
"RPL5P31",0
"MIR643",0
"PIR",3.1316
"IGHD7-27",0
"KIF3AP1",0.0482
"GAPDHP29",0.0299
"MT-TV",0
"DEFA1",0
"RPL23AP27",0
"LINC02693",0.5314
"KIAA0930",10.016
"ZNF792",0.6124
"LINC01395",0
"LINC01309",0
"NBPF11",0.7679
"NFATC1",5.5624
"RN7SL319P",0
"SETP16",0
"ATP7A",7.2577
"RN7SL317P",0
"SHC1P1",0.0169
"BOD1P1",0
"CYP2G2P",0
"CCDC106",1.7728
"ANKRA2",1.5069
"SEC14L2",0.5661
"CSGALNACT2",4.8578
"RNY3P16",0
"CSTF3",5.7334
"MIR30C1",0
"SNORA62",0
"COX6CP13",0
"NPIPB15",0.0519
"INPP5D",0.6924
"RNA5SP219",0
"TLX3",0
"FAM86MP",0
"RNU6-749P",0
"NXPE2",0.0157
"CHI3L1",0.0086
"RNU6-1205P",0
"RPEP6",0
"DUSP14",3.0064
"ZNF224",2.0363
"RNU4ATAC18P",0.9353
"LINC00618",0.0658
"MPHOSPH6",4.2512
"MIR4474",0
"FAM138C",0
"KRT18P65",0
"RNU6-518P",0
"TMEM185AP1",0.2158
"MTCO1P43",0
"RNU1-146P",0
"KHDRBS2-OT",0
"PTGS2",0.1901
"PARVG",0.1259
"PHB",27.2135
"BSND",0
"RNA5SP522",0
"CRCP",11.8433
"SLC22A14",0
"IGHVII-46-1",0
"TBC1D3E",0
"SNORD50B",0
"HMGN2P24",0.3238
"XRRA1",1.4203
"GOLGA7",24.5801
"LINC00933",0.0393
"ATP5F1E",27.0027
"GDF3",0.0713
"RPSAP74",0.075
"STOX1",0.0495
"TNFRSF11B",0.1563
"FUT9",0
"MIR96",0
"NPB",0
"COPS7B",7.0087
"FEZF1",0.0113
"MTND1P12",0
"INSYN1-AS1",0
"PRNP",14.8605
"HTR5BP",0
"UBE2NL",0.1492
"ZNF544",0.8843
"MIR5699",0
"SNX32",0.3863
"TPTEP1",0.2073
"ALX3",0.0317
"SLC1A5",22.097
"RN7SL162P",0
"HSPE1P7",0.3671
"CLN6",10.6833
"RNU6-29P",0
"NF1P9",0.0118
"ZNRD1ASP",1.9461
"RNU6-33P",0
"RPS23P1",0.341
"SRP72",18.2911
"DCTN1",17.1261
"RSPO3",0.0371
"RNU6-394P",0
"RFESDP1",0
"NBPF19",1.0995
"CST8",0.0321
"RNF214",2.9409
"LRRC14B",0
"MNAT1",1.8066
"FAM225B",0.4694
"DMBT1P1",0.0638
"MTND4P30",0
"ZNF419",0.6218
"HINT1",104.9305
"TIMM22",4.0956
"SYNJ1",1.2377
"RN7SKP296",0.0864
"RNU6-498P",0
"L2HGDH",0.4797
"CHMP1B-AS1",0
"MPTX1",0
"FAM117A",3.7174
"VWA8P1",0
"ARHGAP18",1.016
"PRR23A",0
"ZFR",13.777
"RAET1G",0.0595
"HAUS6P3",0
"SIGLECL1",0
"SNORD116-27",0
"C12orf40",0.0132
"OSR2",0.9352
"LINC01386",0
"DDX11L9",0
"WT1-AS",0
"RBMY2BP",0
"MIR106B",0
"MAPK6P6",0
"MRPS27",4.5115
"ACOX2",0.5955
"TGFB2-OT1",0
"RPS23P2",0.213
"IFNL3P1",0.0588
"PFN1P6",0.2215
"VDAC2P3",0
"OR13D3P",0.1572
"PF4V1",0.1693
"WAC",7.8226
"RPL21P121",0.3168
"RN7SL560P",0
"RBM12B-AS1",0.4061
"SIPA1",10.0972
"RSF1-IT2",0.0521
"PC",5.7563
"KRTAP5-10",0
"JAG1",13.6853
"PAEPP1",0
"CD44",1.7636
"PI4K2B",2.8298
"RETREG3",23.0147
"OR8F1P",0
"OR2A9P",0
"RNU7-49P",3.3264
"KRT18P8",0.0946
"TPM3P4",0
"LGSN",0
"OR51N1P",0
