"","x"
"OR4F17",0
"NR2F2-AS1",0.0925
"RNU7-57P",0
"TTC19",7.4168
"GFAP",0.0088
"RPL7AP72",0
"RNA5SP246",0
"RN7SL516P",0
"GLYATL1B",0.1469
"MICU3",0.7247
"HAGLROS",3.1683
"PIK3C2B",1.9885
"PLA2G4C-AS1",0
"GNPTG",8.5151
"SLC16A12-AS1",0
"WRBP1",0.08
"IGHV3-25",0
"NEFM",12.7761
"SPDYC",0.0539
"SLC16A10",0.6678
"CHD4",64.9669
"SMCO4",11.1359
"TRAJ12",0
"MYRF-AS1",0.0092
"LINC00691",0.0077
"CYCSP2",0
"ZDHHC6",9.583
"LINC02628",0
"ACTG1P24",0.4263
"SPHK1",5.642
"EDC4",10.6635
"PMS2CL",2.795
"TMEM255A",0.1315
"IKBKB",4.4546
"SNORA71A",3.3878
"TAC4",3.8682
"RAD23BP1",0.0871
"HIF1A-AS1",0.1638
"CHCHD2P8",1.1948
"ORC5",9.9962
"HNRNPA1P9",0
"CALD1",5.7706
"NEUROG1",0
"THEM5",2.0082
"H1-1",0
"H3P22",0
"TMOD4",0
"MIR6882",0
"ARX",4.6797
"FAHD2B",2.5179
"TTN",0.1438
"LINC02336",0
"FGF7P4",0
"OR51B4",0
"FAM120A",37.5208
"H3C1",0.2599
"RPS7P15",0.6859
"ATP2B2-IT2",0
"AP1G1",11.2873
"ECM2",0.5432
"LINC01016",0
"KRT17P5",0
"MIR6071",0
"MAGEE2",0.0119
"MIER1",3.2763
"ZNF426-DT",1.3275
"PAX6",0.1228
"ACTA1",1.554
"EDNRB-AS1",0
"LBX1-AS1",0.1859
"NOC4L",15.1618
"XDH",0.0044
"HOXB4",2.4735
"RN7SL16P",0
"CASC8",0.0798
"OR7A8P",0
"RNF6",6.4723
"ZNF618",3.4615
"CKMT2",0.732
"ZNF117",0.4471
"CSN1S1",0
"WDR19",1.4326
"IFT43",2.3171
"RN7SL104P",0
"KRT77",0
"TACR2",0.2511
"TRBV26",0
"GLI2",4.0745
"MIR425",0
"SNRPCP1",0.0583
"BHLHE23",0
"GTF3AP5",0
"RPL36AP29",0.6655
"VTA1",7.2111
"TPTE2P4",0
"NUDT18",2.0682
"CDK18",44.0614
"PRLHR",0.0049
"RN7SKP151",0
"FOXD4L6",0
"OR7E24",0
"LINC02624",0
"ELK1P1",0.046
"RBM17P2",0
"MALAT1",14.2565
"LMX1A-AS2",0
"SRPX2",4.1838
"FADS2B",0
"POM121C",8.145
"FAM171B",0.4217
"MIR4719",0
"CSRP1",6.0769
"YAP1P2",0
"RNU2-62P",0
"DHPS",15.1022
"HMGA1P5",0
"TRIM64DP",0
"ERVH-1",0
"BMI1P1",0
"MAATS1",0.0113
"NDUFA4P2",0.1094
"CHST3",6.7469
"GSTM2P1",0.3267
"SOCS5P4",0.0853
"RNF187",43.6779
"SNORA63C",0.207
"MRPL53",5.5435
"RNU6-904P",0
"RNU7-9P",0
"RNU6-1210P",0
"HMGA1",202.3645
"CCDC137P",0.0319
"LYPD6B",0.2124
"SLCO1B3-SLCO1B7",0
"H3Y1",0
"LINC02332",0.2767
"APCS",0
"RPL19P11",0.0907
"HTR2A",0.038
"RNU6-529P",0.2568
"RGS17",0.1318
"MTCO2P24",0
"CWF19L1",8.7719
"VEZT",3.9796
"CHMP4B",65.4302
"MTND1P34",0
"BLCAP",7.8833
