"","x"
"SGK1",7.3845
"PEBP1P2",0.4406
"ADAM5",0
"ST8SIA6-AS1",0.0912
"NAPA-AS1",0.4056
"CADPS2",1.7226
"GPR87",0.0181
"OR9I3P",0.0326
"ILKAP",4.5347
"BACH1-IT3",0.0757
"MIR98",0.5165
"OR6M3P",0
"GPRC5D",0
"NRAV",1.6166
"ECH1",26.2717
"MIR8054",0
"SH2D3A",0.1075
"MIR4742",0
"IGHV5-78",0.3125
"MIR7975",0
"EDN2",0.0188
"HSPE1P22",0
"RPL30P11",0
"HSPB7",10.9642
"CETN3",4.1951
"FZR1",7.6643
"CDC7",4.3458
"ZNF433-AS1",0.6522
"OR2AE1",0
"DSEL",2.3538
"MIR4790",0
"RN7SL153P",0.2105
"TATDN2P3",0
"UBE2NP1",0
"CPM",5.4692
"DEFB125",0
"C1DP2",0
"MIR4653",0.3703
"EXOSC9",4.9186
"ZNF831",0.0327
"RNA5SP33",0
"OIP5-AS1",7.1657
"TERF1P1",0
"IGHEP1",0.0472
"CENPUP1",0
"PNMA3",0.4264
"PCDHB14",1.0248
"RN7SKP80",0.9773
"SHANK2-AS2",0.0863
"ADARB2-AS1",0
"SPOCK3",0.0137
"PKMP4",1.7073
"TWISTNB",15.9846
"VN1R32P",0
"RNA5SP309",0.2899
"HNRNPDLP3",0
"HMGB2",27.7634
"RPL18P13",1.3502
"MIR4492",0
"PRC1",13.3438
"SOX1-OT",0
"FAM71B",0
"CXCR1",1.8157
"ZNF581",10.2497
"GOLGA8R",0.0347
"LINC00543",0.0833
"CYCSP19",0
"RN7SL263P",0
"ACTG1P15",0.2024
"CCDC74A",0.809
"SERTAD2",5.9023
"MIRLET7D",10.2438
"TMED6",0.3485
"ERVV-1",0
"ENGASE",9.9816
"KIT",1.6849
"RNU6-391P",0
"WLS",19.8664
"TOM1L1",2.0741
"MAN2B2",7.2598
"C13orf42",0.0391
"LINC02562",0
"CYBC1",9.6264
"MIR216B",0
"C2orf27B",0
"RN7SL73P",0.1219
"NBPF6",0.73
"GULOP",0
"SYDE1",11.1222
"OR10J8P",0
"GNG8",1.565
"RNU6-690P",0
"ALOX12P1",0
"RN7SL539P",0
"TRIM23",2.4933
"OR6P1",0
"LINC01537",0.138
"MTCO1P15",0.3424
"RLIMP1",0.0732
"TRNAU1AP",4.3484
"RPL7P17",0
"HMGN2P16",0
"DAND5",0.0154
"TRAPPC13P1",0.0579
"GTF3AP1",0
"KCNH6",0.0219
"LRP12",4.2214
"CHRNE",0.3724
"TMC5",0.125
"SMYD1",0.0134
"THSD1",2.7445
"RNU6-72P",0
"HDHD5",9.6067
"CEP164",1.5533
"IL2RB",3.217
"PREP",8.128
"EHHADH-AS1",0
"CYP4F34P",0
"NPM1P18",0.2099
"DUX4L15",0
"OR8B8",0
"EFCAB9",0.4815
"GPHB5",0
"FMR1NB",0.0267
"NEK11",0.3156
"NPIPB15",1.7334
"RNU6-1157P",1.1597
"AEN",6.6028
"KRT18P33",0
"MIR8059",0
"ZNF649",1.9924
"SEC24AP1",0
"WDR82P2",0.1325
"NKX6-1",0.01
"C18orf32",1.802
"RNU6-498P",0
"PRELID3BP11",0
"TTLL8",0.0114
"RN7SKP189",0
"SNAP29",12.3471
"DDHD1",0.709
"CEACAMP10",0
"PRKAR1A",33.2183
"HPRT1",20.9669
"RNU6-115P",0
"EIF3A",34.1286
"PPP3CC",3.1908
"AZU1",0.1379
"LINC01007",0
"LGALS9C",0.0517
"RPL10P10",0
"DCAF13P1",0
"C1QTNF7-AS1",0.1016
"LINC01081",0
"ZNF496",2.0456
"SNAPC4",4.6741
"LINC01595",0
"RNU6-133P",0
"RNU6-774P",0
"PLP1",0
"TRAV8-7",0
"CTSLP3",0.1249
"CALML3",0
"BTG4",0
"GACAT2",0.1127
"KRT17P4",1.1923
"STRIP2",10.0363
"ISCA1P2",0.073
"ECSCR",5.8197
"TBC1D3I",0
"RPS15AP38",1.4044
"TPTEP2",1.1412
"KMT2C",3.1764
"WASHC2C",3.1313
"BOD1P1",0
"MIR107",0
"RBPMS2",3.5836
"RNU6-422P",0.5744
"RNU6-966P",0
"RARA-AS1",0.6696
"H3P14",0.7477
"TSTA3",14.6954
"SGCE",18.0865
"MIR6124",1.0846
"FAM47B",0
"IGFBP7-AS1",0.4239
"PLGRKT",4.3637
"P2RY6",1.0898
"PGAM1P10",0.0808
"VDAC1P12",0
"KRT16P4",0
"NME4",35.2531
"VIPR2",0.0177
"C1orf74",0.5642
"ADAMTS7",13.68
"RN7SKP204",0
"ARPC1B",70.4681
"IVD",6.2752
"PTP4A1P2",0
"ZNF454",0.2309
"PLAA",4.6814
"DLG1",5.1177
"MTCO1P20",0
"MAP3K4",3.9221
"ENO2",18.3771
"BOLA3P2",0
"UBASH3A",0.0696
"AURKAP2",0.0923
"DHCR24-DT",0.0402
"SPCS2P2",0
"LINC01277",0.0247
"MCEMP1",0.3386
"DDX19B",3.5203
"PDILT",0
"ZKSCAN5",2.1161
"HUS1B",0.1199
"TRPV4",4.6927
"MAPK3",10.3024
"CHCHD3P1",0
"SCARNA2",0
"OR8Q1P",0
"VWFP1",0.0951
"LINC01710",0
"CATSPER3",0.0972
"TYR",0
"CBX1P5",0
"RNU6-990P",0
"GABRP",0.0599
"FAM133B",4.4905
"RNF183",0.0084
"TMEM211",0
"MTCYBP9",0
"MIR381HG",0
"VN1R42P",1.5187
"LINC02022",0
"EIF5A",156.7571
"NKG7",3.1553
"HSFY8P",0
"CAPZA3",0
"RNU6-1206P",0
"CLCN6",3.4195
"RNU6-95P",0
"IGKV1D-42",0
"NIF3L1",6.3785
"RNA5SP197",0
"MGME1",16.8391
"RNU6-1326P",0
"C1GALT1",6.8314
"PCAT4",0
"HOXA6",0.7892
"LINC01139",2.7792
"CDRT7",0
"CRYBB1",1.9242
"C17orf100",1.4176
"ALDH3A2",11.8937
"HLA-F-AS1",0.1691
"USP20",6.4012
"TM4SF5",0
"PCBP2",34.7249
"DAOA-AS1",0
"RPL32P14",0
"GABRA2",0.0155
"VEGFC",6.9463
"SNORD1B",1.8292
"RAD9B",0.1837
"SNRNP40",10.5394
"SERPINB7",0.0117
"AACS",1.0426
"ATP5PFP1",0.2863
"PTPRJ",13.0273
"LINC02730",0
"ORC5",3.3422
"RN7SL230P",0.3043
"SEC24A",5.6077
"SCEL",0
"HDAC4",2.3127
"ST3GAL5",5.3056
"INPPL1",42.2903
"ARMC2",0.6436
"KRT8P43",0.0632
"LINC02588",0.0622
"HNRNPKP5",0.2429
"HAX1",17.2694
"ABRAXAS1",1.0709
"PRAMEF18",0
"H2ACP2",0
"RPL23AP28",0
"PIK3R6",1.4745
"ACOT8",4.238
"TSEN54",8.2456
"VPS11",4.4742
"SMARCE1P1",0
"MCU",4.5219
"RNU6-660P",0
"RNA5SP228",0
"ASCL4",0.0136
"IZUMO3",0.0239
"POM121L12",0
"PHBP2",0
"IGHV3-52",0
"SLC4A2",43.6312
"CCDC167",39.7174
"SDF2L1",61.0712
"CHIAP2",0.0108
"TGFBR3L",0.2433
"UBE2DNL",0
"PDZD8",2.9391
"RPL17P3",0
"SIM2",0.1888
"TRABD",19.5324
"CICP3",0.1377
"CCNHP1",0
"MIRLET7A1",0
"LINC01189",0
"VENTXP6",0
"RAB3B",0.0455
"PHKA2-AS1",0.3304
"RNU6-923P",0
"C12orf54",0
"PLCXD1",11.1886
"CYSLTR1",1.4398
"PRDX5",138.9621
"C7orf61",0.3354
"JAGN1",17.9537
"ZNF107",1.2958
"RN7SKP240",0
"CYCSP12",0
"PAGE4",0
"ZNF41",2.107
"IGKV2D-26",0.1576
"PRPF38AP1",0
"BCL6",8.027
"EIF4HP1",2.8182
"SEC23IP",6.0939
"SPG7",5.0953
"CYP4A22-AS1",0.1335
"PMCH",0.4814
"MLH1",9.1533
"GABRE",3.0437
"RN7SL47P",0.1028
"NOD1",2.3612
"SFTPB",0.015
"SETD2",4.5519
"OR4P1P",0
"FAM217B",6.4661
"COX11P1",0.1104
"MTND3P25",2.9593
"SPATA8-AS1",0.049
"PPEF2",0.0247
"TAS2R20",0.4228
"GRAMD4P1",0
"OR7E145P",0
"LMO1",0
"CA2",70.5243
"DPEP3",0.6244
"RN7SKP72",0
"TAGLN2P1",1.9371
"SNORD115-26",0
"DSTNP1",0.8592
"DDX39BP2",0.2382
"VN1R96P",0
"ZNF736P8Y",0
"RPS4XP22",1.3002
"RPL27AP5",1.1635
"C1GALT1C1L",2.5419
"TBC1D8B",0.9055
"RHAG",0
"DRC1",0.0706
"SLC6A6",8.057
"RTL1",0
"COX6CP13",0
"FGF7P3",0.4057
"EFNB1",49.0737
"CCDC116",0.1355
"OR6C65",0
"ARPC3",49.9422
"LINC01967",0.5423
"JAKMIP1",0.0753
"ZNF90P2",0
"FDX1P2",0
"KRT8",0.5397
"NAA80",3.4552
"NFYB",2.902
"CEP170B",5.7074
"IGBP1",13.7647
"RAB22A",9.9426
"TRAPPC13",2.3237
"PAXBP1",3.8478
"TRAV28",0
"SYT6",0.2408
"MIR3165",1.2293
"PTX4",0.0546
"AHI1",1.7051
"SNORD60",4.4431
"SEMA6A",1.6185
"CAMK2N2",0.4738
"RNA5SP518",0
"MIR301B",0
"ZDHHC24",3.7323
"RN7SL293P",0
"ALDH3B1",9.1879
"MYCLP2",0
"RPSAP10",0
"MBD6",10.3145
"RN7SKP48",0
"EDEM1",11.8187
"COL22A1",2.6571
"RNA5SP533",0
"RBM17P1",0
"RPS12P27",0.456
"G6PC3",19.603
"MIR30E",0
"RN7SL565P",0
"RNA5SP449",0.4728
"SPAG5",8.1883
"MANEA-DT",0.2845
"LINC01291",0.655
"KIAA0895",0.4202
"PCDHB11",0.4685
"HSD17B11",12.2925
"ST13P6",0.8924
"TRIM68",1.2847
"AATBC",0.1198
"RNU6-582P",0
"OSTM1-AS1",0
"MIR1256",0.5165
"FER1L6-AS2",1.3025
"RNA5SP258",0
"PKIG",18.2714
"IL17B",0.0761
"CHEK2",1.7584
"SRPK2",5.6897
"RPL26P37",2.3154
"SETP17",0.0376
"WASHC4",4.7826
"RNU6-830P",0
"LINC00681",0
"ARF1P3",0
"CABCOCO1",0.2553
"HSPH1",15.9407
"TMEM258",13.142
"TRBV12-5",0
"DISC1-IT1",0
"RNU1-43P",0
"ODF4",0
"RN7SKP121",0
"MROH2A",0
"SOS2",4.0131
"OR1B1",0
"CHEK2P4",0
"RN7SL145P",0.7268
"RPL23AP92",0.1205
"RPS27A",161.7666
"OR4F28P",0
"MIR1255B2",0
"C1QTNF7",0.3027
"RPL9P15",0
"TFF2",0.0741
"CDC42EP5",62.9601
"CNTN1",0.7137
"BNIP1",2.8338
"LAPTM4BP2",0.1378
"SUGT1P1",0.3874
"PRORSD1P",0.6832
"ADIRF",0
"RNU6-489P",0
"PLEKHS1",0.2674
"IGHVII-22-1",0
"OR5P2",0.1437
"SNORA50A",0
"AGO2",4.2701
"CA4",0
"ZNF43",1.439
"MTCO3P24",0.0786
"TMEM183AP1",0
"F8",0.5277
"PHEX",1.2949
"LINC00691",0
"YIPF5",16.4991
"LINC01443",0
"YIF1B",24.0134
"CCDC190",0
"IGHEP2",0.0245
"RPS27AP6",0.2058
"RAMP1",3.0632
"PPP1R12BP1",0
"LINC02293",0
"FAM170B-AS1",0
"FERMT3",35.2919
"STK17B",5.6465
"MIR4766",0.8087
"IGHVIII-67-4",0
"MGAT5B",1.3571
"ALPK3",1.4551
"RPL7L1P1",0
"TAOK2",9.1434
"IL17A",0
"RNU6-314P",0
"RNU4-23P",1.0975
"SFRP4",18.2803
"NPIPA5",7.5413
"RNU6-570P",0
"FAM183BP",0
"SLC30A10",0
"FBXO40",0.0052
"CHAC1",1.105
"RFC5",4.0767
"LINC00596",0.0328
"GAS1",8.403
"FIP1L1",4.3167
"ZNF85",1.4286
"RNU6-965P",0
"RACGAP1P",0.0164
"KRTAP23-1",0
"GPC5-IT1",0
"RNU6-1292P",0
"RN7SKP248",0
"AOX3P",0
"HRG",0
"PLCH2",0.0228
"PCBP1",117.622
"USP41",0.1544
"USP14",10.4457
"RNF14",6.1007
"STXBP2",4.2027
"RN7SKP1",0
"ZNF519P2",0
"RNU1-141P",0
"ZNF84",3.3766
"ALG1L",0.4375
"SERPINB5",0
"AFF2",0.7855
"STX2",11.0775
"LINC00634",0.7072
"WSB2",12.0968
"RPL7L1P4",0
"BLVRB",27.5013
"CUBNP1",0
"PPIAP20",0.6829
"HOXA10",4.9989
"FGF19",0
"PRKN",0.3262
"RNU6-728P",0
"CCDC62",0.1304
"RNU6-985P",0
"ADIPOR1",27.0066
"DUTP2",0.7301
"FAM229A",1.1234
"ANO2",0.0835
"ANKHD1",0.931
"KSR1",2.7436
"HMGN1P26",0
"IGHV3-20",0.5184
"TMEM51-AS1",0.0649
"ANXA5",136.7615
"PPARGC1B",2.5131
"TSR3",59.5837
"HOXA-AS3",0.1648
"ATRAID",47.8703
"SCRIB",23.5944
"CIB1",80.6613
"PSMD4P1",0
"TECTA",0.0679
"MTND6P8",0
"OR2Z1",0
"RBM28",3.0778
"RNU6-267P",0
"HSPA7",11.3708
"RGPD6",0.0023
"RPL38P4",0.1436
"ADAM20P1",0.0203
"EEF1A1P17",0.5303
"ZNF429",1.1553
"CENPVL3",0.0632
"SCOC-AS1",0.2168
"TFPT",26.9395
"CDK14",3.4231
"SNORD90",0
"IL17D",1.0992
"IFNL4P1",0
"MT-ND4L",2266.0476
"TRBV6-5",0
"RN7SL333P",0.7243
"VEZF1P1",0.2593
"LIPC-AS1",0.1102
"RPL23AP17",0.0616
"RNU6-55P",0
"AGPAT5",4.6189
"DNAH3",0.1274
"RAD51B",0.4768
"PRELID3BP10",0
"ZNF653",1.6106
"RPL31P13",0
"VN1R25P",0
"FERP1",0.1163
"NME7",1.4517
"RPL21P129",0.0643
"RPAIN",1.3401
"OTULIN",5.2479
"TFAP2A",1.9382
"RNPEP",17.0926
"MARK2P13",0
"OR7E130P",0
"OR52J3",0
"RNU6-271P",0
"SRD5A3-AS1",0.4
"SNX6P1",0.0502
"ZNF547",0.7924
"CATSPER4",0
"GRIN3A",0.1476
"NF1P9",0
"RNU4-90P",0.6539
"GLOD5",0
"OR2W1",0
"SKA2",14.038
"DHX29",7.0174
"KANK1",1.8659
"ZMYND19",13.0077
"RPS5P3",0
"UBALD1",9.7314
"RNA5SP246",0.2582
"RNU6-766P",0
"TPM4P1",0
"TNNT1",2.0384
"PROM2",0.1216
"TUBB8P4",0
"ZNF271P",5.6017
"PFKP",20.8434
"TRIM64EP",0
"SEPHS1P1",0
"BVES-AS1",0.1048
"DUXAP5",0
"TET1",0.139
"MIR199A1",0
"FBXO36",0.5219
"LINC00567",0
