"","x"
"GACAT3",0.0172
"SLC35F3",0.0358
"MIR6867",0
"SLC4A9",0.0063
"CFD",13.6094
"OR4K5",0
"PLCB3",6.2667
"SPAG6",0.0236
"RNA5SP107",0
"IMPA2",5.2402
"LINC02824",0
"LINC02629",0
"RNF133",0.0476
"HNRNPA3P12",0.3017
"UBE2DNL",0.0619
"ZNF3",3.1928
"SNORD72",0
"LINC01241",0.1419
"VPS35",19.5205
"TMEM273",0.9723
"CHI3L1",3.7843
"LUZP2",0.0078
"MIR3149",0.2045
"LINC02454",0.5119
"ANKRD20A2",0.0232
"OR5B1P",0.0247
"PCYOX1",16.3082
"SSXP1",0
"MIR4729",0
"PHC3",1.7263
"MIR4686",0
"TMEM129",5.0846
"EXOC3L4",0.0066
"RNU4-2",0.4874
"APOBR",13.5619
"KRT23",0.0395
"CDY22P",0
"ACTRT3",0.8569
"NSMCE1",7.5952
"PPP1R3F",3.376
"SELENBP1",4.2951
"GBA3",1.4688
"AGAP7P",0.0111
"ESRRA",7.9684
"RPS10P27",0.1386
"SNORD3E",0
"HERC6",1.993
"CHST4",0.0687
"INE1",0.7515
"LRRC34P2",0
"ESYT2",13.9709
"TRBV28",1.5716
"OR2T2",0.0235
"KRT1",0.0184
"MIR4425",0
"RPL13AP19",0.0392
"MAGEC3",0.0166
"SNORD113-9",0
"MAPKAPK5",1.4916
"LINC01856",0
"RNA5SP116",0
"RNU1-2",0
"LRRC73",1.296
"RN7SL706P",0
"MIR194-1",0
"RNU2-51P",0
"DSCAM-AS1",0
"BAK1P2",0.0363
"RPL4P5",2.4236
"TAS1R1",0.0238
"KIF1C",15.9416
"KRT8P25",0
"MAMDC2",6.0032
"PIP5K1C",12.4186
"INTS9",2.1343
"RNU6-999P",0.2182
"LINC01276",0
"RN7SKP217",0
"CEBPZOS",18.0459
"ZNF497",0.2234
"RPL7AP2",0
"LINC01667",0.9956
"RPS3AP30",0
"PRAMEF20",0
"MSRA",1.464
"NRBF2P1",0
"LINC02058",0
"NPIPP1",0.8768
"SEPHS2P1",0.276
"C2CD4C",0.1479
"STUM",0.1088
"CRX",0.0038
"RNU6-555P",0
"DEFB105B",0
"NDUFB10P1",0.0879
"TASOR",7.9467
"BPY2C",0
"LGALS7B",0
"RPL31P11",0.1176
"RPL23AP28",0
"SLC17A1",0
"MTND4P20",0
"RNU6-803P",0
"ZNF98",0.4942
"MIR548S",0
"LINC02587",1.8405
"CCDC62",0.046
"RNU6-30P",2.569
"TTC33",4.7797
"NPIPA2",0
"MIR6720",0
"ATL1",0.6935
"TVP23BP1",0
"LINC01643",0
"MYOZ2",0.1588
"USP17L14P",0
"RN7SL454P",0
"WDR5",15.8501
"RIOK2",4.7921
"MIR431",0
"GPX7",39.3392
"DOCK9",1.1055
"TRPM2",4.0792
"YDJC",8.8547
"LINC00189",0.6744
"IMPDH2",38.9167
"RPL7P19",0.5189
"PDCL3P1",0
"MIR548AQ",0
"SAP30L-AS1",0.7318
"MNS1",1.8388
"LINC00358",0
"RNU6-1059P",0
"MAP3K6",6.57
"TRIM60P10Y",0
"ADAMTS7",2.4685
"OR4U1P",0
"MAGI1",1.7442
"AGAP12P",0.0859
"SNRPD2",54.362
"FRA10AC1",1.1929
"ELOBP4",0
"MTDHP3",0
"BRWD3",2.8368
"TET1",0.365
"RASL11B",6.9037
"OR51V1",0
"IL11",1.3551
"PPP1R12A-AS1",0.3754
"PRIMPOL",1.9982
"DCN",71.4855
"CCDC66",0.838
"RNU6ATAC20P",0
"NCSTNP1",0
"RPL39P31",0
"GGT3P",0.0083
"SNORD70B",0
"CCBE1",2.3301
"RNY3P7",0
"C8orf76",3.0363
"LINC02188",0.0589
"PHBP21",0.0278
"HIC1",3.1784
"RCC2-AS1",0
"RNA5SP168",0
"MTND2P5",0
"ZCRB1",28.9572
"PKD1L3",0.0352
"KRT18P10",0
"VN2R9P",0.024
"SLC6A18",0
"CCDC152",2.5037
"GLRX3",6.0578
"LRRC47",13.9036
"CCDC114",0.016
"MIR548AG2",0
"MIR216A",0
"MIR4664",0.9679
"SDC2",131.8935
"UST",3.0473
"TMEM229A",0
"ACOT4",0.6692
"MIR6804",0
"RPL21P11",0.4743
"CGA",0.2006
"STYK1",0.1539
"OR9G1",0
"LINC02620",0
"DAG1",14.7311
"TNNI3K",0
"HCG17",0.2113
"USP25",3.6925
"ZNF599",0.7887
"CTRL",0.0506
"RNY4P29",0
"RN7SKP140",0
"NEMP1",4.2098
"SYNRG",2.8367
"SNRPFP4",0
"MPZ",0.4679
"PRDX3P1",0.2702
"ECE1-AS1",0.1294
"MBP",0.7888
"RNU6-1318P",0
"SMG1",2.3403
"RPSAP18",0.1551
"LINC02722",0
"RPS15AP12",0.3542
"ARHGEF16",0.0494
"UBE2V1",3.1427
"PRDX2P2",0.0385
"DHX58",1.4604
"ZNF720",0.8751
"SHANK2",0.0332
"RN7SL459P",0.0759
"ITIH4",0.0084
"MRGPRX5P",0
"PPP1R1AP1",0
"RNU2-4P",0
"CICP23",0
"MANSC1",0.6855
"FGF7P7",0
"PIGV",3.6373
"SRP14P3",0.2102
"RNU6-290P",0
"MIR6753",0
"DPYD-AS2",0.0235
"DUXAP9",2.5488
"SMPD4P1",0.0059
"RPL32",107.3316
"DUX4L31",0
"RNA5SP432",0
"TNIP1",15.5997
"GJB5",0.0338
"IZUMO2",0.0303
"RNU6-795P",0
"RNA5SP461",0
"PPP6C",15.7097
"RNU6-321P",0.2161
"MIR190B",0.2045
"VGLL1",0
"HEMGN",0.0478
"MIR6876",0
"LINC02610",0.1182
"CCT5",37.3954
"CHCHD2P9",4.4207
"LINC02242",0
"SCN9A",0.0553
"LINC01311",0.3646
"TSGA13",0.0101
"KHDC1",0.4581
"RERE-AS1",0.1305
"LINC02161",0
"HNRNPA1P55",0.048
"FOSB",1.6625
"OR5A2",0
"CSNK2B",14.6519
"RNU5B-1",0.395
"RASGRF2",2.2132
"HMGN5",3.9443
"UBE2HP1",0.0636
"NR1H2",18.3966
"RNU1-100P",0.1388
"TNFSF13B",8.9338
"RPL35P1",5.2006
"RNU6-938P",0
"RNU6-965P",0
"PODXL",12.9732
"RNF215",0.8172
"RNA5-8SN3",0.1497
"LINC02833",0
"CEP57L1P1",0.0763
"RPL23AP44",0
"LGSN",0
"VN1R5",0
"ARL2",12.9595
"RN7SL752P",0.3193
"CICP11",0
"ZNF878",0.1717
"RBM17P1",0
"AP1S3",0.3369
"MKRN9P",0.8093
"RNF223",0.012
"NPM1P8",0.0547
"FOXD4L4",0.0103
"MRRFP1",0
"IFI27",7.2472
"FOXI1",0
"ATP5PBP1",0
"CXCL12",4.5573
"CSTP2",0.1151
"RLN1",0.0416
"NDUFB11P1",0
"RPS28P7",68.6127
"ZRSR2P1",0.2054
"HMGB3P14",0.1147
"ADAMTSL4-AS2",0.0689
"RN7SKP56",0
"ANO9",0.0517
"PLEKHM1P1",0.5491
"SOX1",0
"COX4I1P1",0
"SLAMF6P1",0
"RNF149",19.9799
"OR7A11P",0
"STRA8",0.2538
"PRSS42P",0.0247
"CDSN",0
"ZMYM4-AS1",0
"RHOJ",6.3896
"RNU6-1106P",0
"RPS23P6",0.4783
"PSMB3",50.8856
"TRAV32",0
"MON1A",2.6385
"RN7SL796P",0
"LINC01277",0.0277
"SLC25A27",0.1881
"ANK2-AS1",0
"CXCL14",49.6305
"CDC7",2.0995
"LINC00648",0.2033
"NKX2-1",0.0072
"LINC01409",0.0457
"ZNF259P1",0.0232
"HNRNPKP4",2.2643
"RNU6-478P",0
"RINT1",5.8224
"RNA5SP253",0
"RN7SKP242",0
"MT-ND4L",2076.7702
"MIR34C",0
"ISCA1P6",0.0587
"AGTR1",1.4688
"SLC48A1",5.8467
"CCNO",2.5199
"FLYWCH1",2.4815
"DDTL",1.2454
"MIR4292",5.8123
"NBPF20",0.5475
"GNAI2",88.5388
"PCDHB1",0.0363
"DLEU2",0.6913
"ARPC2",43.8806
"LHFPL1",0.144
"ENPP7P1",0
"ZNF582-AS1",0.8547
"RN7SL610P",0
"SNX11",5.7236
"OLA1P1",0.4431
"CENPC",1.6702
"DPEP2NB",0
"RNU6-288P",0
"PKD2L2",0.0738
"TEDC1",1.5082
"PLA2G12AP1",0.4033
"CTDSP2",48.9589
"RNU6-348P",0
"TRAJ37",0
"LMNTD2-AS1",0.0379
"MIR3670-2",0
"LZTS1",5.1387
"LINC01529",0
"OR52I1",0
"SNRNP25",3.6232
"TRIM80P",0
"PMS2P3",0.5306
"EIF4A2P1",0.0862
"SNORD113-5",0
"ZNF367",1.6775
"SEL1L2",0.0177
"RNU2-49P",0
"AIP",18.3258
"LINC02470",0
"ENTPD3",3.3901
"CD24",2.5518
"LINC01288",0
"PLSCR5-AS1",0
"AKT3",5.5268
"RNU5E-8P",0
"C14orf177",0.0162
"TRAPPC6B",6.049
"RN7SKP64",0
"EML1",5.8047
"SPATA48",0
"HACD3",13.224
"LDHBP3",0
"TSPAN33",9.038
"RPS27P5",0
"LRRTM3",0.0049
"SPATA5L1",1.5805
"MIR5700",0
"DUX4L28",0
"TINCR",0.0117
"CA15P2",0
"SNCA",0.799
"SLC26A3",0.0135
"ITGAL",2.0564
"GSC",1.3048
"GTF2E1",5.336
"OR5BR1P",0
"DLGAP5",8.983
"TRAJ39",0
"CNFN",0.6078
"RPL23P8",1.231
"CD38",0.1303
"LINC02396",0
"DENND5B-AS1",0.4378
"TOX4",21.1725
"PM20D2",2.6274
"NAP1L1P1",0.4525
"AMY1B",0
"RNU6-886P",0
"HOMER1",2.4642
"MPRIPP1",1.178
"EXOC8",3.1756
"LINC01656",0.0364
"INSIG1",8.7487
"MRPL28",15.1127
"RNF138",3.8209
"ACBD7",0.0918
"OR5AM1P",0
