"","x"
"AMMECR1LP1",0
"SDCBP2-AS1",0.4256
"XPNPEP2",0.0822
"RLIM",12.2882
"RPL26P31",0
"NR0B1",0
"GAPDHP68",0.0816
"HHAT",0.1362
"FAM177A1",4.3743
"MIR6740",0
"PMS2P11",0
"RHOT1P1",0
"RN7SKP118",0
"PDAP1",40.7016
"OR52V1P",0
"UBQLN4P1",1.5982
"SUSD1",0.8356
"CKLF",2.975
"POGLUT3",20.2838
"LINC01283",0.5231
"OR56A1",0
"HSBP1",6.2899
"RNA5SP28",0
"CDCA8",9.9593
"SLC44A3",1.8919
"ZNF780A",1.7331
"RNA5SP504",0
"FAM92B",0
"SNX18P9",0
"PCSK2",0.0058
"LINC01399",0.0635
"RNA5SP296",0
"SCRN2",4.5538
"MIR3936",0.3738
"MIR4535",0
"FAM120A",40.4173
"TERF1P3",0
"RN7SKP50",0
"NOD2",0.0644
"MIR6776",0
"DIPK1A",9.8575
"LINC02074",0
"NPAS1",0.0796
"PASK",0.481
"DMD-AS3",0
"RN7SL334P",0
"HNRNPDLP3",0.1082
"RNA5SP451",0
"WARS2-IT1",0.0798
"MTND3P19",0
"C9orf135",0.0643
"RNU6-831P",0
"NKTR",2.8217
"CUTA",55.5857
"RNU6-818P",0
"HTN3",0.0396
"XACT",0
"MAPKAPK2",31.0625
"SNORA21",0
"CNOT11",10.1101
"MRGPRX13P",0
"RPSAP3",0.7881
"PRPH",0
"USP17L5",0
"MED19",9.8223
"TIPARP-AS1",0.2623
"CEP70",4.0003
"ZNF259P1",0.0334
"TMEM272",0
"LINC01722",0
"PSKH1",6.369
"RN7SL411P",0
"SLC16A14",0.2078
"VWC2",0
"MED18",5.9877
"FFAR1",0
"UQCRB",14.6743
"SESN1",2.2724
"E2F2",1.3563
"TK2",1.7895
"SHQ1",5.7797
"RNU2-35P",0.2896
"SNX8",4.9289
"UTRN",4.7528
"UGDH",26.5624
"RN7SL231P",0
"CLDN24",0.124
"MIR6753",0.7522
"RNU6-878P",0
"MAPK6P3",0.0951
"ZC3HAV1L",12.3851
"XXYLT1-AS1",0
"KRTAP20-1",0
"ABHD14B",3.8245
"MIR152",0
"CEP170",5.3001
"IGHVIII-47-1",0
"MAFB",199.4284
"MFF-DT",0.1689
"RNU7-74P",0
"RNU6-790P",0.3916
"LINC01284",0
"RAC1P9",0
"IGDCC3",0.3111
"IGDCC4",7.5258
"TP53TG3B",0
"OR7E163P",0
"MIR4456",0
"ADAMTS4",48.9621
"RPS27P12",0
"RN7SKP106",0.1512
"CLIP2",13.0076
"CBX3P7",0.0819
"RN7SL868P",0
"LINC01063",0.2363
"GFOD1-AS1",0
"POLR2J4",0.6729
"SNRPCP15",0
"FIBIN",43.4321
"RNU6-351P",0
"B4GALNT2P1",0
"KRTAP25-1",0.1111
"RNU2-17P",0.4328
"AR",0.0515
"RBMY2UP",0
"PNLIPP1",0
"RNU6-1073P",0
"LCE2B",0
"CAMKV",0
"IGHG4",0
"ERVFRD-3",0.1017
"ATP9B",1.0301
"HSPD1P7",0.1707
"EED",2.8366
"MIR892A",0
"OR7E18P",0
"DPH6",0.264
"CD24",0.0266
"ZNF30-AS1",0
"DNM1P48",0
"IK",13.3284
"RDM1P5",0.1183
"PHGR1",0
"CLCN5",2.3814
"LINC00528",0.0381
"DUTP2",0
"MED28P8",0
"IGHV3-38",0
"RNA5SP112",0
"SENP1",5.1415
"SERPINA13P",0
"ALOX12B",0
"ARL2BPP6",0
"LINC02587",0.059
"WDR48",6.5732
"RPL37AP1",8.2534
"FAM174C",4.8938
"TM4SF20",0
"MIR4297",0
"ARHGAP32",5.6487
"UPK1B",0
"RPL7AP11",2.0071
"NCOA5",15.4262
"RNU4-50P",0
"SNHG16",15.2223
"OR5AR1",0
"GAPDHP2",0.1236
"SNX18P24",0
"UBXN7",11.7666
"NOMO1",12.4651
"SEPTIN14P8",0.231
"RAP1BP1",0.2231
"ZNF100",3.2214
"MIRLET7BHG",0.402
"OSTM1",3.5135
"PRSS22",0
"SNORD108",0
"ENDOD1",5.9481
"H1-10",46.9039
"TESPA1",0.0327
"ZNF602P",0.178
"PGPEP1L",0.0522
"LINC00470",0.2631
"RNU6-313P",0.3671
"MT-TS2",0.6969
"ERICD",0.1232
"LINC01600",0.0994
"ELOCP17",0
"CRTC1",0.8265
"RNU6-311P",0
"CYCS",15.7669
"CCNA1",0
"LINC00251",0
"ST8SIA1",1.3032
"RPL6P7",0
"H3P39",0
"TRAM2-AS1",2.7456
"ERLIN1",10.1592
"ABCG4",0.0393
"PLA2G15",5.7202
"HTR4",0.0409
"EFCAB6-AS1",0.0619
"MIR4451",0
"RAP1BP2",0.1512
"LINC02352",0.0216
"SCARNA2",0
"NBEAP5",0.1765
"MIR1289-1",0
"RBM11P1",0
"HSPE1P12",0.1366
"PCNA",62.308
"ARHGAP11A",17.5467
"LIG3",2.8296
"C5orf49",0.0345
"RNU6-505P",0.7686
"HORMAD2",0
"NDUFA6-DT",0.3001
"FUNDC2",3.9708
"PRKX-AS1",0
"SPRED3",0.4979
"CDC37L1",7.2576
"FBXL4",3.4456
"SPDYE18",0.2886
"RNY4P9",0
"RNA5SP159",0
"ACO2",8.9341
"CHKB",0.1633
"LINC00115",0.2498
"MIR4689",0
"PLEKHH2",0.5895
"TNS4",0.0085
"NT5DC2",43.655
"RNA5SP309",0.3879
"RNU6-778P",0
"ITGA11",13.5803
"KLC4",3.4901
"MTND6P17",0
"JPH4",0.0155
"TLCD2",1.6734
"LPAR4",4.676
"RNU6-712P",0
"RNF125",0.3475
"MTCO2P12",14.9525
"GTF2H2B",0.3307
"RNU6-732P",0
"ZNF354C",1.9454
"ENPP7P7",0
"TAS2R40",0
"RTL8C",102.99
"TRIM53CP",0
"LINC02796",0
"SEPTIN10",12.8305
"MTND5P41",0
"LIMD1-AS1",0.1494
"OR4C5",0
"NCAM1",0.1291
"ANKRD44-IT1",0
"WDR70",11.0407
"ZCCHC18",0.3397
"RNFT1",1.742
"PREX2",0.74
"TMEM41A",4.2979
"PIN4P1",1.6614
"RASSF9",1.4835
"SYF2",11.5793
"DUX4L5",0
"FKBP1A",114.7258
"SKA1",5.2549
"LINC01994",0
"LINC02865",0
"ZIC4",1.8045
"SELENON",41.045
"ANO8",2.651
"E2F1",6.7355
"TMEM165",19.1385
"RNU6-772P",0
"COX6A1",43.6282
"NPM1P52",0
"ATAD2B",2.5396
"TMEM223",4.5087
"RARRES2P4",0.3398
"LINC01043",0.006
"RNU6-977P",0
"SETP14",7.913
"SLU7",6.3678
"ARMS2",0.0503
"IGLJ1",0
"FAM47E",0
"H4C6",0.1318
"RALY",9.4904
"CACNA1C-IT3",0
"SIGLEC7",0.0805
"SLC29A4P2",0
"RNY4P13",0
"DCAF8",11.273
"CDH12",0.0554
"OR2A7",0.1474
"SEL1L3",10.3663
"ALDH9A1",24.699
"CA14",0.0536
"ORC5",4.6486
"DCAF12",18.012
