"","x"
"EMILIN1",118.5721
"EVI5L",13.1551
"OPA1-AS1",0
"SERTAD4",2.5345
"CYP46A4P",0
"ZSCAN26",5.3729
"KRTAP9-1",0
"TCEAL5",0.1609
"GRAMD4P1",0
"RHOXF1P1",0
"RN7SKP103",0
"C12orf49",6.4433
"CNN2P8",0
"RBMY2XP",0
"NTSR1",0.0333
"OR7E111P",0
"NACAP7",0.0386
"LINC02099",0
"PCDH18",7.517
"RNU6-219P",0
"ATP8A1",0.0377
"RNU7-53P",0
"ATP13A5",0
"LIX1L-AS1",0.0795
"S1PR5",3.8417
"PALLD",19.7701
"MAGEA12",0
"ZFP90",6.1467
"ERLNC1",0.0417
"CLPTM1",42.6546
"FBXL21P",1.9597
"PARP4P1",0.01
"MIR664A",0
"RPSAP2",0.0264
"SPPL2B",5.0989
"C20orf181",0
"MTND5P23",0.0142
"CTBP2P8",0.2472
"GALNT13",0.3494
"RNU6-540P",0
"RNU6-922P",0
"NTM",0.0135
"TRARG1",0.0065
"SRL",0.0082
"RNF25",3.1341
"RNU6-907P",0
"MIR7852",0
"CSTF1",10.0106
"H4P1",0
"RNU6-839P",0
"RN7SKP207",0
"TMC2",0.0143
"NR3C2",0.3519
"SLC25A15P4",0
"E4F1",2.5789
"RNU2-9P",0
"MIR4484",0
"FMO1",0.0065
"GPR135",0.7644
"ACTN2",0.0977
"RPS15AP28",0
"SMPX",0
"ARGLU1",3.0149
"PEX11G",0.3845
"COLQ",1.5469
"CLIP2",13.5583
"BNIP3P29",0.0411
"DNMT3A",4.9276
"CICP13",0.0084
"OR7E148P",0
"DUX4",0
"MIR4466",0.4349
"ITGAD",0.0053
"LINC01107",0
"SHLD1",0.7037
"NAGK",6.414
"INTS14",20.7464
"LAMA5",4.6869
"MIR548AQ",0
"RBMY1E",0
"MIR6128",0
"CYP4F35P",0.0327
"H2BC14",1.1712
"GPR17",0.0352
"CHST8",0.3001
"TRAV18",0
"PCBP3",0.1376
"ZXDC",5.5801
"ZNF526",6.3786
"INTS4",5.9583
"SORL1",0.1208
"LRP12",1.5277
"PKN2",10.1814
