"","x"
"CCM2L",5.5875
"MPRIP",70.2746
"GPR101",0
"RN7SL582P",0
"TRIM51CP",0
"SUOX",3.4052
"PCDHB15",1.4944
"RIF1",3.6612
"LINC01917",0
"THYN1",5.9054
"TRMT12",8.6611
"RNU6-1209P",0
"RN7SKP233",0
"SNTA1",28.08
"MBL1P",0.0913
"PRPF31",27.9771
"RAB6A",15.6463
"PARP1P2",0
"PDCL2P1",0
"RNU4ATAC10P",0.2448
"COL4A5",0.0342
"FEM1C",4.8937
"ZDBF2",0.1213
"PCDHGB5",0.4802
"KLHL7",2.5613
"RNU6-214P",0
"RNA5SP292",0
"KRTAP21-4P",0
"COX10",19.1224
"RN7SL260P",0
"LINC01772",0.8743
"DCPS",6.6823
"RNU6-966P",0
"OR5AU1",0
"OR7H2P",0
"ARHGEF35",0.1966
"LINC02596",3.1648
"TRAPPC2P2",0
"NKAIN1P1",0
"UGT2B4",0
"SLC25A1P2",0
"RNU4-52P",0
"LINC01897",0
"LILRB1-AS1",0.0539
"HNRNPCL3",0.026
"CUX2P1",0
"CPLX3",0
"GTF3AP5",0
"SNHG31",0.7367
"XPO4",2.1588
"RNU7-197P",0
"MIR6752",0
"WNT2B",3.3096
"RPL22",55.2934
"SNORD107",0
"RPSAP24",0
"MIA2",0.514
"GSTM2P1",0.274
"CCL26",0.5076
"MTND4P18",0
"ATP5PBP6",0.1558
"PCDH18",17.4564
"GPR50",0
"C1orf21",1.5625
"TRBV4-2",0.1313
"OR5T3",0
"DDX53",0.0082
"IGKV3OR2-268",0
"LINC01848",0
"OR5D2P",0
"RNU6-758P",1.0067
"TLK1P1",0.0122
"STC2",5.4048
"PTGER4P3",0.1185
"HMBOX1",1.8052
"ZNF540",0.2567
"ATP5MGP3",0.393
"SLC28A2",0.0115
"RFPL3",0.0199
"CCT6P3",1.0438
"UGT1A3",0
"RNU5E-9P",0
"SKP2",5.7987
"RSPH9",1.294
"MIR5191",0.4978
"LINGO1",12.648
"RPL35AP21",0.5381
"SMARCA1",12.3007
"CACNG4",0.0177
"CLDN19",0
"KRTAP4-5",0
"TM9SF3",20.4237
"DLGAP1-AS1",1.6316
"MRPS9-AS2",0
"MIR515-2",0
"RPL7P38",0.1212
"DDX19A",5.4995
"CYP2R1",2.2287
"KRT8P40",0
"RASGEF1B",2.2999
"CCL19",0.0384
"SH2D3C",11.7884
"LINC00243",0
"MIR645",0
"GDF5OS",0
"MYCLP1",0
"FTLP12",0.3991
"HSPA8P13",3.4801
"LMO7",3.5027
"RN7SL14P",0
"IFI35",20.9496
"XG",0.0538
"TIMM10",20.2946
"RPSAP6",0.3047
"DMWD",10.8366
"UGT2A3",0
"PPIAP83",0
"NANOGP3",0
"FKRP",4.7199
"RN7SL502P",0
"NRARP",16.1475
"RABEP2",9.0983
"RPL4P3",0.3417
"IFFO1",10.751
"LY6G5B",1.1725
"LINC02684",0
"BNIP3P6",0
"FUNDC2P1",1.2051
"TRAV13-1",0
"NUBP1",8.57
"BPGM",3.5994
"RNA5SP363",0
"RN7SKP190",0
"RNA5SP37",0
"LNCPRESS2",0.0485
"CELF2-AS2",0
"ARL17B",0.6159
"RNU6-548P",0
"LINC02372",0.1206
"NBPF21P",0
"MAGEA2",0.1183
"LINC01615",0.085
"LINC01937",0
"SAMSN1-AS1",0
"LINC02698",0
"SELENOM",9.5396
"LINC02329",0
"H2AC17",1.0639
"MORN2",4.0287
"RNA5SP421",0
"FMO11P",0
"RNU6-1113P",0
"RN7SL294P",0
"TMEM212",0
"ADAM9",10.3425
"STARD3",13.5378
"RNU5A-5P",0
"MYF5",0.0581
"MYEF2",0.4055
"CLEC1A",1.3854
"THAP12P8",0.0141
"MED13",6.0475
"ZNF471",0.929
"KRTAP6-2",0
"HSP90B3P",1.1054
"CWC15",15.225
"SULT1C2P1",0
"RNU6-1278P",0
"WDFY3-AS1",0
"TEKT2",0.1057
"DCK",6.5524
"FAM74A1",0
"SPDYE6",0.5122
"VN1R11P",0
"STK39",3.2277
"NPEPPS",6.2537
"NXPE1",0.0208
"LINC02159",0.0771
"FFAR4",0.5591
"EPS15",9.2366
"KRTAP4-3",0
"BAG6",51.3222
"WARS2-AS1",1.1592
"RN7SL536P",0
"FAM167B",6.6367
"RNA5SP80",0
"TEX44",0
"PAQR3",1.0234
"RDM1P3",0.7221
"SOCS5",4.6335
"PHEX",2.9753
"PATE1",0
"RPS6P23",0
"ADAM20",0.0214
"LLGL1",46.7056
"RB1",7.6346
"LINC02761",0.077
"PTMAP9",6.9412
"DDX59-AS1",0
"PMPCAP1",0.0379
"PARP14",8.0305
"CARD17",0
"RNU6-1271P",0
"MXRA8",1190.8762
"LINC00710",0.0695
"MYCT1",6.4363
"RNF216P1",2.1735
"FLG",0.1874
"AICDA",0
"CCNB1IP1P2",0
"MIR1184-3",0
"TREML4",0.044
"MAF",26.2349
"IGKV1D-17",0
"EMC10",26.542
"TRIM43",0
"SLC36A3",0.0065
"SLC29A2",1.8336
"APOL3",6.4832
"LPO",0.0046
"RPL12P41",0.06
"DGCR9",0.0866
"PPIAP11",4.0588
"RN7SL620P",0.69
"MYH3",1.1081
"RNA5S13",0
"RNU2-9P",0
"RN7SKP289",0
"TULP3P1",0
"INPP4B",0.3777
"TCAM1P",0.6822
"JMJD7-PLA2G4B",0.6914
"TRGV3",0.6674
"LIVAR",0
"LMNB1-DT",0.0327
"RNF4",9.3909
"ACE3P",0
"MIR1911",0
"RNASE8",0
"RN7SL563P",0
"ST6GALNAC1",0.0953
"BCL2L11",5.4904
"HMGN2P24",0.4376
"ARMCX2",7.1397
"NDUFAF4P4",0
"CACNA1B",0.0181
"LIMA1",5.6071
"MAGI1-AS1",0.0505
"OR4D1",0
"ARHGEF28",0.2658
"RPL12P26",0.0613
"LRP4-AS1",1.0177
"DKK1",2.4098
"CABS1",0
"POU3F1",0.5836
"LRRC14B",0.019
"GHRL",0.4196
"MIR4436A",0
"NDST3",0.1236
"DCDC1",0.034
"NIFK",10.3253
"COX7A2P1",0.0948
"RTL8B",17.8219
"RNU6-237P",0.4206
"RBM43",5.9199
"TFAM",4.0435
"NRBF2P1",0
"SCN3A",0.0152
"PDZD7",0.1693
"TOMM6",0
"RNA5SP510",0
"PPP2R2D",5.0135
"HCG9",0.0853
"RNA5SP247",0
"SLC30A8",0.0951
"PRSS3P1",0
"SNORA9B",2.021
"RPL37P18",0.1229
"MIR4327",0
"COX5BP1",0
"DNAJC19P3",0
"RNU4-90P",0
"LINC01733",0
"RNU6-451P",0
"RNU6-945P",0
"RBM8A",19.346
"LRRC4C",0.0446
"LINC01413",0
"CDC42",85.6448
"MIR654",0
"GAPDHP56",0
"PSMA3-AS1",4.5792
"RNU6-1038P",0
"GTF2E2",6.4564
"ATP2B3",0.0119
"USH1G",0
"SEPTIN7",14.2698
"LINC02318",0
"TRIM51JP",0.1358
"MAP1A",6.3698
"TRPC2",0.6317
"FGFR1OP2P1",0
"RN7SL716P",0
"IGKV1OR22-1",0
"ANKRD23",0.3701
"LINC01748",0.1329
"MTCO3P28",0
"SNX18P8",0
"CAPN10-DT",0.545
"ABCA1",10.9646
"MARCOL",0
"TMEM126A",13.687
"ZNF423",1.4838
"TGDS",2.7916
"SMG1P1",0.1653
"GARS1P1",0
"RPL31P33",0
"HIGD1AP14",0.4236
"IGLV3-19",0
"LRRC61",0.3822
"RNU5E-6P",0
"ZNF30",1.2838
"MIR3924",0
"SF3A3P1",0.2022
"CTSO",23.3342
"IGLV2-11",0.448
"WSB1",24.5984
"RAB9AP4",0
"RPL7P54",0.0443
"CRYGGP",0
"CT45A5",0
"LIMD1-AS1",0.0181
"VN1R40P",0.2222
"PDCL3P6",0.6768
"TRAJ35",0
"KLC3",0.0245
"RNU6-950P",0
"OR2W2P",0
"SOD3",7.761
"MIR4536-2",0
"MAP2",1.2893
"RGS2",10.3161
"CCDC159",3.3437
"RNU6-1237P",0.2791
"HDHD5",9.6808
"RDM1P2",0.1906
"HMGN2P31",0.547
"OR2T35",0
"LINC00462",0.1552
"PPME1",4.3796
"LINC00283",0
"DEPDC5",1.7491
"ARRDC4",6.1975
"CTBP2P8",0.4491
"SUZ12",7.3215
"RYBP",4.91
"MLPH",1.8045
"BLOC1S5",3.2433
"MYOCD-AS1",0.0261
"RECQL5",3.2536
"MIR548A2",0
"MIR8078",0.3555
"MIR190A",0
"AFF2",0.3113
"PGLYRP1",0.0415
"IGHV1OR15-9",0
"IKZF2",0.2294
"TGM5",0
"NAA25",3.8482
"TUBA3E",0.0968
"RAD51",2.6571
"SNORD115-36",0
"RPL22P4",0
"RNU6-959P",0.2791
"SLC2A12",1.6042
"LGR6",0.1955
"MAFA-AS1",0.1432
"RNU6-916P",0
"RNA5SP256",0
"PSAT1P3",0.1344
"RN7SL615P",0
"ARL6IP1P1",0
"MIR765",0.524
"LINC01054",0
"ST13P6",1.2195
"HNRNPA1P6",0.2481
"OR5J1P",0
"UCHL1-AS1",0
"MIR5680",0
"PPIAP4",0.2448
"ATP6AP1L",1.8996
"ATG4B",5.39
"ACTG1P12",0.3586
"TBC1D3P7",0.0654
"STAG1",2.2572
"RPL31P11",0.0575
"SPRED3",0.3361
"TRAV17",0
"CLN5",2.3816
"MIR7976",3.1675
"RNU4-6P",0
"KDELR2",105.2545
"OR4C46",0
"UGT1A4",0
"RNA5SP174",2.531
"MIR6090",0
"FGF7P1",0
"TRAF4",14.1659
"GEMIN2",4.7063
"MIR383",0
"NLGN2",5.1928
"NINJ1",17.2673
"KIAA1549",1.0406
"CHD1L",14.2603
"OR2T2",0
"SP7",119.6361
"OR5BM1P",0
"ACE",5.6981
"P2RX7",2.1002
"TF",0.3975
"CLRN3",0
"RBMS2P1",0.268
"KAT5",6.0419
"LGR4",2.9912
"C12orf77",0.0121
"ARHGDIA",103.6283
"FTH1P8",7.1468
"IGHV1-18",0
"SNORA8",0
"RNU6-13P",0
"DDX4",0.0078
"CTBP1",17.8134
"KRT8P32",0.0204
