"","x"
"SCAF11",4.7836
"MIR206",0
"LYG2",0.1394
"RNU2-44P",0
"BCKDHB",5.0969
"SULT2B1",0.0541
"FSTL5",0.0171
"NEUROG2",0.0468
"CASQ1",0.014
"PAICS",14.5558
"ROBO4",2.8395
"PSMA3-AS1",2.2871
"PPP1R2P1",0.1127
"URB1",3.0796
"KRT16P1",0
"DEDD2",7.933
"RNU6-303P",0
"LINC01206",0.0011
"ZNF619P1",0
"LINC02647",0
"EID3",2.0874
"TLCD3B",0.0652
"RN7SKP60",0
"HCG4P8",0.0156
"NPIPA8",0.0856
"MIR6859-4",0
"RNU6-861P",0
"KRT8P1",0.0127
"SLC39A2",0.0194
"TRAPPC2B",2.0229
"RN7SL323P",0
"APOLD1",4.544
"LINC01545",0.1436
"LARP7P4",0
"MIR6090",0
"LINC02596",0.2606
"PSMG3-AS1",1.4859
"MIA",4.9096
"RBFADN",0.0969
"TAS2R7",0
"CCDC83",0.0065
"DLGAP2-AS1",0
"STRC",0
"DACH2",0.0087
"NARS2",2.9851
"URM1",8.1525
"KCNQ1-AS1",0.0987
"LINC02591",0.0146
"RNU6-823P",0
"LINC01600",0.1847
"PRSS27",0.1006
"IL1RL2",1.6759
"SAR1AP4",0
"EHBP1L1",6.3602
"KIAA0825",0.1115
"FATE1",0.0998
"SNRPCP19",0.0332
"ZYXP1",0
"ZNF280D",1.7125
"IGLV3-2",0
"SEPTIN14P2",0
"RN7SL57P",0.1054
"SIGLEC12",0.1805
"LINC01683",0
"RLN1",0.0139
"MIR1282",0
"SNORD45C",0
"RNF138",5.2663
"LAMTOR3P2",0
"RFLNB",22.0225
"ZNF232",1.4929
"SNORD115-6",0
"SZT2-AS1",0.0656
"WIZP1",0.0133
"CHST2",1.8874
"PRMT5",10.2333
"HOXB3",0.996
"ANO1-AS1",0
"CNOT1",5.3672
"CYP27A1",10.019
"MRPS22",4.2926
"HIGD2B",0
"RYR1",0.1187
"MRPL50P4",0
"TREML5P",0
"RN7SL714P",0
"DFFA",15.0902
"LINC00336",0.0073
"HTR1E",0.0074
"NKIRAS2",7.0303
"H6PD",11.8305
"DPY19L1P1",0.43
"LINC02714",0.0041
"RILP",3.9089
"UROD",22.0102
"PRKAG3",0.0779
"UGT1A10",0
"GBAP1",0.6687
"RPL23AP8",0.0965
"TTN-AS1",0.1073
"SNORA19",0
"OR51B6",0
"RN7SKP3",0
"MYB-AS1",0
"MIR129-2",0
"C5orf64-AS1",0
"KLHL8",3.2828
"TTC17",3.9038
"LRP4",6.7413
"DDX23",14.8621
"OR2A3P",0
"RNU6-727P",0
"GPR135",0.2057
"B3GNTL1P2",0
"SORD",0.7691
"EFCAB14-AS1",0.0785
"IGHG4",0.3004
"RNU6-528P",0
"TRAJ17",0
"OR8K1",0
"MRPS18CP6",0.137
"PTGES",11.1372
"CDHR5",0.1657
"WDR72",0.0018
"LRIG3",3.5184
"ISY1-RAB43",0.0031
"RPS10P16",1.0782
"GCC2",1.1791
"RNU2-53P",0
"LINC01981",0
"VTI1BP3",0.024
"LRGUK",0.1881
"EEF1GP2",0.3811
"MIR4637",0
"TMC7",0.4146
"PES1P1",0.0088
"ABCC6P1",0.0267
"PEX19",6.9564
"CFL1P3",0.1871
"PPIAP15",0.0947
"SNORD113-9",0
"UGT2B29P",0
"RNU4ATAC5P",0
"SLC6A8",14.6653
"ZNF678",0.4405
"RTP1",0
"EBLN2",0.3185
"MED8",21.5799
"PLIN2",10.9263
"MIR544A",0
"RAB7A",103.6044
"MAPK6P4",0.1355
"ADRB3",0
"KRTAP10-9",0
"CAP2P1",0.033
"LY86",2.5344
"ADAM22",0.5574
"MIR6893",0
"LINC01738",0
"LINC01280",0
"PTP4A1P2",0.2019
"TERF2",5.7791
"LINC01428",0
"IFIH1",2.3587
"VN1R85P",0.0717
"ADAP1",0.1539
"HINT2P1",0
"RNU1-20P",0
"SWAP70",6.3285
"ZSCAN26",4.0061
"RPL26L1",8.4142
"BBS12",0.8147
"VN1R54P",0.0583
"MTND2P8",0
"RIN1",2.0646
"ANKRD36",0.1548
"CDK7",3.9478
"C5orf17",0
"OR51A4",0
"KCTD15",5.7645
"DNAJC25",3.232
"LINC02000",0
"TMEM51-AS1",0.1377
"MCIDAS",0.285
"ZNF491",0.9071
"RN7SL850P",0.0525
"LINC02091",0.0129
"PTGER1",0.5054
"ARAF",14.2767
"NOL12",1.7881
"ATP9B",0.9098
"EMC4",13.5044
"RNU6-678P",0.1402
"UVRAG",1.6429
"MRPS31P1",0
"OR7E83P",0
"RN7SL811P",0
"RBM45",1.5522
"ROCK1P1",0.4679
"PRELID1P1",0.6938
"PIGZ",2.0699
"JPT2",17.5867
"ATP5F1AP7",0.0956
"ANKFN1",0.2119
"WDR33",3.0947
"DYM",7.2165
"GOLGA8VP",0.0935
"RNY3P4",0
"CITED2",15.0082
"PARP9",2.6617
"NUDT16",4.8584
"CMTM7",5.6417
"CLEC4D",0.0304
"MIR6728",0
"ZNF131",2.6877
"MTCO3P38",0
"CDYL",5.1291
"RNU6-1324P",0
"USP30",2.0769
"KLC1",1.512
"COX6A2",1.6098
"NOTCH2",19.0966
"LARP7P1",0
"KRTAP13-2",0
