"","x"
"PTPRG",8.486
"LINC01744",0
"BMF-AS1",0
"LINC01052",0
"AMZ2P2",0.0524
"SLC30A5",8.5403
"EDDM3A",0.0343
"LINC02315",0.424
"HARBI1",2.0164
"CEACAM7",0
"MIR2116",0.2306
"IGFBPL1",0
"LINC01535",0.388
"OR9L1P",0
"DEPDC1",8.323
"RPSAP33",0
"RNY4P28",0
"NDUFA6",27.1212
"GRID2IP",0.0268
"KCNA5",0.0527
"TINAGL1",0.7475
"CCDC168",0.0034
"RNA5SP126",0
"DUX4L5",0
"MTND6P1",0
"OR4F13P",0
"ANKRD9",4.5839
"OR52N5",0.0357
"RNU4ATAC18P",0.732
"PINK1-AS",2.0467
"RN7SKP123",0
"ACTR3P2",0.1467
"BRD3OS",3.7543
"KLK5",0
"INE2",0
"RPSAP35",0
"HNRNPDLP4",0.1226
"RPL17P51",0
"ANKRD34C-AS1",0
"RNU6-969P",0
"CYP4F32P",0.0366
"TBC1D9",12.0688
"DHRSX",8.1374
"SNRNP200",34.5208
"RFWD3",6.2512
"DENND6A-DT",0.0063
"EIF2AK1",39.6263
"DGUOK-AS1",0.4905
"RSRC1",6.4237
"AMDHD1",0.4738
"CD47",12.2612
"RNA5SP229",0.3726
"VCX3B",0.0942
"MIR208A",0
"PYGL",7.8465
"CTSLP3",0.0125
"RNU4-65P",0
"CARD14",0.1034
"CCDC180",0.0352
"EXOSC6",11.6265
"FER",0.8712
"TAS2R38",0
"PEX13",4.7003
"METTL3",4.5723
"CSTP2",0
"CALHM5",0.9502
"IGKV3-20",0
"MTCO3P41",0
"LFNG",25.1751
"ALG3",18.813
"LINC01730",0.0875
"RN7SL759P",0
"AMMECR1-IT1",0.0329
"KLHDC3",64.1528
"RPL12P31",0
"BPIFB9P",0.0916
"CRY1",4.3071
"NINL",1.618
"LGALS13",0
"SLC28A2",0.0071
"OR9A3P",0
"RPL13P",0
"CD2BP2-DT",1.2272
"RPS15AP36",0.1931
"HSPA8P6",0
"RNU6-999P",0
"SNORD125",0
"LINC02408",0.0969
"SPINK2",3.7751
"RNU6-114P",0
"ZDHHC19",0.0228
"KRT18P47",0
"PRAMEF35P",0
"OR2Y1",0
"MIR596",0
"RNU6-1027P",0
"SEC23A-AS1",0.1107
"MTERF1",1.7653
"TRIM28",72.6345
"PNO1",10.154
"MIR6749",0
"PPP2R3B",1.6
"RNU6-1184P",0
"KRTAP21-4P",0.0678
"CDK16",19.7433
"PIAS1",4.8099
"WBP1L",12.1161
"NAP1L4P2",0.1231
"PRPF38AP2",0.0867
"LINC01551",0.0133
"CEP95",2.0444
"GOLT1B",23.4987
"COL4A2-AS2",0.0242
"ANKRD50",4.0524
"NMU",0.0946
"MTCYBP32",0
"ACPP",0.11
"ZBTB12BP",0.3781
"BNIP3P15",0
"BOLA3P4",0
"LINC01940",0
"ZSCAN22",1.7453
"GTF2B",12.6176
"MGAM",0.0137
"ATP11C",11.2262
"MIR219A1",0
"RPL34P3",0
"CRIP1P4",0.0805
"DRAM2",13.8136
"RNU1-38P",0
"H3-3B",50.8621
"LINC02441",0
"LINC02828",0.0331
"ATP8B3",0.6022
"ITPK1-AS1",0.0157
"MIR892A",0
"ATP12A",0.0083
"ARNT",9.5681
"COX6CP15",0
"UBQLN2",13.9017
"HAS1",0.856
"RNA5SP460",0
"TLK2P2",0.0165
"IGHV3OR16-15",0
"RPS27P14",0.6536
"PSMA3P",0.029
"HNRNPA1P5",0.1528
"MIR4479",0.7794
"RNU6-1102P",0
"SNORD116-1",0
"RPL13AP17",0.017
"GALNS",6.7157
"LINC02527",0
"CARTPT",0.0152
"CD300LD",0
"STAG2",15.5031
"PLA2G2E",0
"TBCAP3",0.1182
"NPIPB8",0.0079
"DHDDS-AS1",0.1743
"ZNF259P1",0.0262
"FER1L5",0.0282
"C5orf52",0.0538
"PTP4A1P4",0
"NSL1",5.0589
"TMEM233",1.2723
"MIR3156-2",0
"SPDL1",3.5679
"LINC02297",0
"INO80",2.7113
"ZNF839P1",0.0643
"HMGN1P16",0
"RNU1-5P",0
"IATPR",0
"C1QL4",0.0445
"APOA2",0
"FDPSP6",0
"SNORD114-11",0
"MLYCD",0.4714
"PLPP5",7.8198
"BTBD10P2",0.3547
"EXOSC4",11.0516
"SAGE2P",0.0087
"TSPAN5",1.7974
"CYTOR",3.9549
"TAS2R14",0.4788
"APOBEC3D",0.6451
"C16orf89",0.5087
"SAXO1",0.0234
"COPZ1",43.3926
"RPS6KA3",9.8834
"RNU1-33P",0
"LYPLA2",15.4973
"IGLV1-50",0.0455
"MIR519E",0
"TTC21B",2.7309
"AMY2B",0.1699
"FAM131B",0.0287
"PRCP",12.5291
"MIR297",0
"GPR75",0.6454
"AURKA",7.4022
"ZNF425",0.2301
"RBM14-RBM4",0.408
"MBD2",11.0165
"RPL7L1P11",0.0767
"MIR6839",0
"NSUN3",1.3912
"RNA5SP411",0
"FAM198B-AS1",1.7042
"OAZ1",73.0306
"RORB-AS1",0.0157
"MOCS1",2.2317
"TPGS1",1.6092
"MIR3118-4",0
"RANBP10",6.0162
"BIRC8",0
