"","x"
"CLIC6",1.4227
"MIR5579",0
"CARMIL3",0.0648
"LILRA5",0.7223
"LINC01441",0.0111
"TPD52L2",27.6554
"CTSL3P",0
"MIR211",0
"CSN1S2AP",0.0287
"MRPS7",10.3179
"TMEM14EP",0.0673
"HMGB3P30",0
"RN7SL736P",0
"MIR3135B",0
"RPL26P28",0
"UBE2Q1",17.2303
"POLI",0.6308
"MAT2A",26.1945
"USP22",39.2188
"TPSP2",0
"HIGD1A",14.8749
"CYCSP4",0
"LRP3",32.2002
"AVEN",6.4825
"RNU6-549P",0.2376
"PIGPP4",0
"TULP3",11.7169
"RN7SKP295",0
"CLVS2",0
"RNU6-547P",0
"C6orf89",12.4556
"H2BC10",0.3336
"RPL5P10",0
"USP7",8.3555
"RN7SL208P",0
"RPS18P13",0.504
"ASNSP4",0
"MIR3680-1",0
"OR13F1",0
"BRIP1",1.718
"LINC01559",0
"TRHR",0.0152
"CT47A2",0
"ZNF799",0.1257
"TTC30A",0.2979
"MLLT10",4.1494
"BAALC-AS2",0.1982
"PHF24",0.0394
"MIR4418",0
"KPNA1",3.938
"IGHV3-42",0
"LCN12",0
"GJD2",0
"ECEL1",0
"RNA5SP443",0.1926
"RPPH1-2P",0
"MYO16-AS1",0
"PPIAP63",0
"MFSD3",20.7519
"TRGV7",0.4321
"USP32P1",0.2517
"PNPLA2",8.1041
"LINC01385",0
"PRICKLE2-DT",0.315
"XKRYP2",0
"DEFB123",0
"PKP1",0.3111
"MRGPRX7P",0
"HPS3",2.5399
"ZMYND11",12.9662
"LINGO1-AS2",0
"PEBP1",53.6044
"ATP5MC1P3",0.8681
"TOR1B",7.2665
"LIN7A",1.1
"PTGES3P5",0
"ZBTB33",4.8426
"RNU5F-3P",0
"RNA5SP318",0
"MIR548T",0
"LINC01865",0
"SNORD13P1",0
"BHLHB9P1",0.0462
"HMGB2",19.0381
"STRA6LP",0.0429
"GUSBP3",0
"C17orf67",1.2237
"SSRP1",11.8897
"PCDHB6",1.5958
"LINC01192",0
"MIR7973-1",0
"RN7SL804P",0
"SRCAP",6.1764
"CD200R1L-AS1",0
"IGKV1D-8",0
"GCHFR",0.0996
"HNRNPRP1",0.24
"EEA1",2.7528
"OR52U1P",0
"CPT1B",0
"FAM224B",0
"SNORD116-29",0
"FRMD6",28.9772
"RNU6-509P",0
"CAMKK1",1.5821
"MIRLET7A2",0
"RAB21",2.8807
"SNORD14C",0
"MIR586",0
"MTND1P14",0.0268
"CFAP97",4.8293
"SLC29A4P2",0
"MIR1291",0.227
"ERCC8-AS1",0
"MTCYBP19",0.0452
"PAPOLA",11.3896
"DIP2B",3.1433
"SNORD26",0
"TRIM53BP",0
"PRYP3",0
"ARID4A",3.1343
"RBM17",5.8896
"ZNF886P",0
"KRBOX1",0.622
"RNU6-1323P",0.7128
"RPL13AP6",5.4836
"MALSU1",5.6512
"ELF3-AS1",0
"PRDM9",0.0132
"LINC01210",0
"RNU6-1127P",0
"PPP1R2P10",0
"LPAR4",2.4093
"GAGE12D",0
"MRAP2",0.0945
"CCDC74B",0.1756
"DUXAP5",0
"ZNF518A",0.8357
"RPIA",17.7609
"SNX18P8",0
"GAS8",0.9871
"MTCO1P4",0.2165
"NDST3",0.156
"HMGB1P26",0
"MIR548AT",0
"CT47B1",0
"MYOM3-AS1",0
"RNA5SP33",0
"RN7SKP167",0
"DNM1P35",0.0877
"SEMA6A-AS2",0
"MGST3",4.031
"PSME3",16.5808
"RNU6-392P",0
"ABRA",0.0092
"PPP1R37",5.2096
"GRM7-AS3",0
"MTCL1P1",0
"PACS1",13.8049
"SLC13A2",0.0158
"PRKCSH",49.4747
"RNU6-1131P",0
"SSX6P",0.068
"RNU6-322P",0.2468
"YBX3",17.6018
"SNHG18",5.3689
"MLECP1",0
"RFX1",5.8524
"C2CD3",0.8332
"RNU6-977P",0
"DNM1P51",0.0434
"MRPL55",8.4791
"METTL18",0.9828
"AUH",1.3737
"GPR183",2.9312
"CYP2AC1P",0.0433
"MIR4804",0
"VPS13A",0.4343
"MIR4782",0.2354
"MIR6718",0
"ZSCAN9",1.2214
"ACSL3-AS1",0
"FCN2",0.0241
"DDO",1.0026
"RGS8",0.0456
"RPL23AP63",0.7017
"RBPJP7",0.0351
"IGLV3-25",0
"SCRT1",0.074
"RN7SL601P",0
"RNU6-494P",0
"MIR8079",0
"SLCO2B1",2.8688
"UOX",0
"CICP7",0
"OR1G1",0
"TNFRSF12A",54.631
"MIR1912",0
"C19orf44",1.0466
"NPIPP1",0.9554
"MIR607",0
"FAM53A",0.3239
"NMS",0
"RPS6P12",0
"PMS1",0.896
"ADAM3A",0
"KRT126P",0
"SUCNR1",0.2797
"STAG3L3",0.7256
"ZNF321P",0.467
"HNRNPA1P16",0.2396
"SMU1",6.961
"WNT8B",0.0482
"VN1R92P",0
"FAM242F",0
"RN7SL382P",1.172
"RN7SKP104",0
"SNORD58C",0
"DUXA",0.0505
"RPL39P34",0
"KIAA0895LP1",0.0084
"CENPX",13.3845
"SLC17A6",0
"CICP12",0
"NECAP1",5.3846
"CAPSL",0.112
"CENPC",1.7976
"ANLN",7.0876
"ONECUT1",0.0462
"ITGAV",28.3932
"YPEL5P2",2.8327
"AKR7A3",0.4014
"MRPS5P3",0
"KCNK1",2.4674
"LINC01431",0.0907
"EFTUD2",7.8636
"SNTG2",0
"EHD2",94.3657
"C19orf48",11.7905
"RSRC1",1.6148
"TCFL5",7.821
"BNIP3P20",0
"RNF181",32.8218
"HHLA3",7.1778
"LINC02596",0
"B3GNT8",1.9265
"RNU6-1338P",0
"RNU6-634P",0
"RPLP1P6",2.0046
"RNU6-30P",6.653
"RPL35AP18",0
"KCNJ6",0.0207
"PYGB",19.8095
"RNF32",0.0523
"PCDHGA6",0.1318
"PIK3R6",0.4066
"MIR519B",0
"OR2R1P",0
"LINC01386",0
"NUDT9P1",0
"LINC02217",0
"PHF5CP",0.2347
"RARRES2P1",2.8014
"CKMT1B",0
"RNU6-1068P",0
"MIR4520-1",0
"SNHG20",1.2802
"MIR3126",0
"ARHGEF19-AS1",0
"COX7A2P1",0
"CAPN14",0.152
"RPL5P20",0
"UNC93B3",0.3331
"TBC1D3L",0
