"","x"
"ATP2B1",13.1085
"RABL2A",0.593
"ENPP7P5",0
"KRTAP20-3",0
"NSDHL",16.5741
"RPL22P3",0.334
"SMAD7",8.3573
"RNU2-26P",0
"TM7SF3",7.8869
"FCGR2A",15.7072
"FTH1",261.6842
"BFSP1",1.0058
"MIR1225",0
"CYP3A137P",0
"NUAK1",10.122
"STAT1",46.4662
"FTH1P12",3.2329
"MCCC2",6.4104
"FGF7P2",0
"RALGPS1",0.5449
"PPARGC1A",0.0059
"NIP7P1",0
"MIR122HG",0
"RPP30",4.7171
"PARGP1",0.6136
"ACAD11",0
"GAPDHP70",2.009
"DIAPH3-AS2",0
"SLC5A3",2.1382
"SLC9C1",0.015
"MPP2",1.6545
"STK19",2.3813
"SIGLECL1",0.0541
"SLC4A1APP1",0.6341
"WASH7P",0.6593
"MRPS16P1",0
"RANP1",9.6748
"NDUFB4P5",0
"RPL39P39",0
"TRBV14",0
"CYP4A22-AS1",0.2072
"RNU6-81P",0
"EBF1",8.3617
"RPL7P25",0.2647
"MIR369",0
"TRIM60",0
"HOOK2",1.8284
"BZW2",18.0329
"KLK13",0
"P3H3",24.6678
"ZNF528",1.0292
"MESTP1",0
"RNU6-608P",0
"RAD23B",31.6648
"CREBZF",2.6532
"BNIP3P18",0
"LINC02337",0
"MIR8062",0
"HJV",0.7102
"FPGT",1.5372
"RPL23AP27",0
"RPS29P3",4.8365
"FOXB1",0.0176
"SYVN1",10.8
"LINC00668",0.0784
"MIR3646",0
"ALOX15",0
"MAP3K3",12.4384
"RPS10",115.4984
"LINC02258",0
"ACSBG2",0
"HK1",22.8056
"ZNF410",0.3151
"SNORD115-29",0
"NUP153",8.9679
"TMEM145",0.0964
"OR5P3",0
"OGDH",23.7381
"OCM",0.0765
"LUARIS",0.0436
"SNORD27",0
"RNU4-76P",0
"RASSF6",0.1727
"DLEC1",0.0916
"RNASEH2CP1",0
"ARHGEF38-IT1",0
"RPL7P24",0.1692
"MAPRE1P3",0
"C3orf67-AS1",0.0249
"EIF2AP4",0.0714
"RN7SL806P",0
"LINC01811",0.0561
"PTCD2P2",0
"MIR563",0
"MIR892A",0
"RN7SL748P",0
"WDR17",0.0163
