"","x"
"PIH1D1",5.8224
"IL37",0
"ERP29",19.9855
"UGT2B25P",0
"OR10B1P",0
"MIR329-2",0
"RNU6-1290P",0
"PEBP1P3",0.0331
"CCDC115",2.5016
"MB",0.846
"UBTFL2",0
"RPL17P34",0.2945
"WNT2B",3.0056
"ANP32A",6.8772
"MIR6891",0.1953
"MFAP1",5.4945
"RNF215",0.7589
"UBE2A",10.398
"AMMECR1",2.0707
"PSD",1.4555
"ATP5PBP7",0
"RNY4P24",0
"C5orf22",6.7989
"MIR601",0
"SLC6A19",0
"KIF1C",17.7785
"HMGN2P10",0
"SUCLG2-AS1",0.1198
"MIR3201",0
"RN7SL18P",0
"MRPL58",12.1446
"BPIFC",0.0408
"DUPD1",0
"HOXC4",4.9181
"RNA5SP75",0
"PCDHA8",0
"PRR3",7.4318
"PM20D2",5.2033
"GOLGA8S",0.0334
"LINC02216",0
"VENTXP5",0
"MMP26",0.0139
"GLI3",5.6627
"LINC00659",0
"CUTALP",2.4024
"USP13",4.0429
"SNORD116-15",0
"MMD2",0
"AKAP6",1.4851
"TSSC2",0.0941
"KYNUP2",0
"RNU1-74P",0
"RPL12P27",0
"KRT31",0.0228
"IGHV4-4",0.0435
"LINC01637",0.0265
"MYH2",0.0219
"LGR4",6.4675
"MIR1283-2",0
"MTCO2P6",0
"ADTRP",0.4726
"LINC01359",0.0126
"SH3RF3-AS1",0.7472
"ARL14EP",1.9871
"LSP1P2",0
"RNU6-889P",0
"GNAI2P1",0.0576
"RPL30P7",0
"ARHGEF5",0.5837
"ICK",9.7108
"MTND5P15",0
"SPRR2C",0
"ITGB1-DT",1.2786
"NEO1",23.587
"PLXNB3",0.7775
"RANP8",0.382
"SNORA58",0
"CTHRC1",85.1432
"EFHD2",28.3334
"RBMY2CP",0
"SAPCD2P3",0.0427
"CA11",0.2625
"GSTZ1",0.7369
"VENTX",0.0686
"CDCA2",4.2239
"IFNK",0.0159
"AGBL5",6.146
"ZNF747",4.6275
"LINC01298",0
"RNU6-1078P",0
"KDM5A",2.3626
"SPRYD4",0.8761
"MIR190A",0
"TRAPPC2B",2.0396
"OR9G1",0
"TRAV1-1",0.1853
"SNRPCP9",0
"DEFA1B",0
"RPL13P5",0.5092
"RPL7P2",0
"TENM4",0.9184
"UBE2V2P3",0.2078
"LCE1B",0
"OR2L5",0
"RPL30P16",0
"CEACAMP2",0
"EDRF1-DT",0.0317
"MIR421",0
"ACTN4P2",0.0288
"OPN1MW3",0
"CENPCP1",0.155
"LINC02659",0
"CHST7",8.4808
"KCNQ5-AS1",0
"LINC00471",0.3258
"RAN",52.5704
"NSG1",0.1168
"TMF1P1",0
"PEX6",17.0489
"FAM126B",0.6422
"ATP5PBP3",0
"TMEM198",0.2606
"TPRN",2.7522
"RN7SKP8",0.2029
"MIR4666A",0
"RNU6-1026P",0.1681
"MIR433",0
"COTL1",48.7127
"GRM6",0.0624
"RNU6-1132P",0
"RN7SL51P",0
"RNA5SP439",0
"RNU6-622P",0
"NT5C",5.3288
"CD36",15.3068
"HUNK",4.2585
"RNA5SP100",0
"LINC01807",0.0269
"SPAG5-AS1",0.4877
"LINC02300",0
"SMAD6",11.1315
"DENND6A",4.8269
"RTL8A",56.2299
"RN7SL363P",0
"PRAME",0.0433
"GSTA5",0.0178
"NDUFB2-AS1",0.7934
"IGHVII-22-1",0
"MGST3",15.4921
"GOLGA2P5",0.0613
"PSD2-AS1",0
"LINC02425",0
"GPT",0.2636
"CASC15",1.2317
"DCAF16",11.8814
"UPF1",13.5119
"RPSAP43",0.0581
"PRYP4",0
"RNU6-806P",0
"DCT",0.0024
"RASSF2",4.692
"ADH1A",0
"KIF5C-AS1",0
"PPP2R5E",4.447
"RNA5SP241",0
"CISD1",4.8243
"C17orf67",1.5372
"C2orf69P1",0
"SF3B3",21.198
"RNU2-44P",0
"SNORA32",0
"RNU6-1037P",0.3394
"SNORD93",1.7178
"CDY11P",0
