"","x"
"LINC02538",0.029
"DGKK",0
"SLC25A24P1",0.6093
"AHDC1",10.8392
"OR7A1P",0
"CLEC10A",0.0179
"MCMDC2",0.5483
"COA3",10.1651
"RNU6-1088P",0
"OR2V1",0
"TACO1",7.2964
"TMEM50B",6.5246
"ZNF18",5.5055
"DPP3",7.319
"LINC00544",0
"BAIAP2L1",1.5994
"OR7E13P",0
"FAM174B",6.5249
"PRYP6",0
"RPL34P31",1.6642
"NLRP8",0.0336
"ANXA8",0.0178
"HIGD1AP10",0
"ZNF451-AS1",0.3318
"MTCO2P17",0
"LINC02004",0.15
"MIR4782",1.2251
"LDB1",8.7098
"RNU6-244P",0
"PGBD4P3",0
"COQ2",2.6074
"RN7SL465P",0
"TRAV10",0
"GABARAPL3",0
"HOXC5",0.4154
"CTAGE13P",0
"RN7SKP1",0
"GUSBP12",0
"MAN1C1",10.5443
"CCKAR",2.9487
"HNRNPDP2",0
"NUTM2D",0
"RNU6-1266P",0
"RNU6-1099P",0.4122
"CARD10",0.8349
"RNU6-1214P",0
"RHOT1P2",0
"RPL9P28",0.2285
"TTTY17B",0
"RNU6-931P",0
"MIR4436B2",0
"TACR1",0
"PCDH19",0.0407
"NOTUM",33.7597
"TMED10P2",0.2883
"PPRC1",6.4254
"EN1",10.2845
"MIR6504",0
"CCDC182",0
"BDH1",1.4372
"DRG2",1.5829
"NUTM2F",0
"SESN3",3.7146
"RNY3P14",0
"NACAP5",0.0693
"LINC02511",0
"PLEKHG1",1.7109
"SRGAP2B",1.769
"ADIRF",0
"PIGHP1",0.3903
"STING1",12.257
"CLDN2",0.0129
"LCEP2",0
"TMEM19",3.6775
"MIR4671",0
"MUC15",0.092
"ITK",0.2409
"RCAN2",7.8296
"SNX6P1",0
"LRATD1",0.526
"WNT2",0.0294
"FXNP2",0.1613
"RNU6-659P",3.3925
"NPHP3-ACAD11",0.034
"SAV1",6.3843
"HMGB1P16",0.0817
"ZFYVE26",2.0583
"MT1F",0.5136
"SIGLEC11",0.0556
"COX6CP16",0
"RNU6-399P",0
"LRRC57",4.4679
"RNU6-618P",0.7875
"TTTY3B",0
"ACER1",0.1526
"EXD1",0.253
"RNU6-645P",0.8321
"TIMM23",34.8994
"TNFSF12-TNFSF13",0
"GRAMD4P1",0
"HNRNPA1P11",0
"RPL7P44",0.1189
"MED27",4.0188
"NIF3L1",2.9328
"KBTBD3",0.3998
"SCAT2",0.12
"RNA5SP275",0
"MIR4638",0
"TMEM141",20.0799
"REREP1Y",0
"RNU2-63P",0
"CDK8P2",0
"RNA5S13",0
"PCMTD1P3",0
"MTCO1P27",0
"ALAD",7.5849
"LCE6A",0
"RNU6-625P",2.0609
"KRTAP19-6",0.1336
"LGALS16",0
"MTCYBP16",0.9375
"TAAR5",0
"RDH11",13.2835
"LINC01795",0
"TEN1",0.1015
"MAGEH1",13.1523
"RNU6-871P",0
"MAGI1-AS1",0.1492
"RBM4B",4.0788
"HNRNPA1P12",0.2754
"VTRNA1-1",0
"RNU6-853P",0
"ERI1",1.1604
"TAT-AS1",0.0505
"FUT9",0
"CLCN5",1.2376
"URGCP",7.8292
"PLEC",48.2321
"HMGB1P40",0.7604
"BRK1P2",0
"TMEM138",2.9666
"LINC01020",0.0213
"DGUOK",22.0057
"HMGN2P23",0.8197
"IGLV3-32",0
"C12orf73",2.0085
"MIR3180-5",0
"DNAJC27-AS1",0.2263
"TENM3-AS1",1.2871
"RPL3P4",22.1033
"SPEF2",0.1896
"FAIM2",0.0655
"LINC00442",0
"DEFB131D",0
"TM7SF2",1.3458
"CELSR2",1.15
"ACSM2B",0.0162
"C1orf53",0.5053
"SNORA4",0
"ARAFP1",0
"AKR7L",0.5099
"FAM227A",0.0941
"PGBD5",0.1034
"QTRT1P1",0
"SLC35D3",0.0187
"FCF1P10",0
"SNORD100",2.3212
"GTDC1",2.7342
"NEFHP1",0.151
"SOCS5P1",0
"NDP",0.818
"EEF1B2P2",0.1305
"ZSWIM8-AS1",0.0302
"CDK8",1.1967
"FAF2P1",0.034
"RPL29P2",0
"ATG4AP1",0.082
"LINC01498",0
"RNU7-25P",0
"TEX35",0
"C1QL4",10.7541
"TYK2",14.7746
"DNALI1",1.1283
"ERVK9-11",2.4193
"BPIFB3",0
"ADAM15",14.2074
"ITIH5",0.5427
"NDUFB4P1",0
"NOX4",0.3039
"PRKG2",0
"SHISAL2B",0.6216
"THG1L",5.7388
"STSP1",0
"LINC01921",0
"SNHG7",4.6691
"ZNF680P1",0.2102
"OR10R1P",0.0387
"ARRDC5",0.2423
"PPA2",3.2598
"NUB1",3.1135
"ZNF714",1.6031
"RN7SKP92",0
"ASB12",0
"PIK3R1",3.8831
"TMEM258",24.1787
"RNA5SP227",6.2446
"HNRNPH1P3",0.072
"CEP89",1.6193
"RNU2-18P",0
"ESPNP",0.0833
"BBS4",2.8275
"TRIM15",0.1052
"LYPD8",1.3012
"C4BPB",0.0815
"GSTA10P",0
"CYP4X1",0.2596
"MIR3074",0
"TBC1D3C",0
"MMP9",1813.6929
"SMIM6",0
"PDCD1",0.1878
"RNU6-990P",0
"CST7",0.1897
"FRMD7",1.1941
"RPF1",14.3945
"FAM230G",0.0586
"FAT1P1",0
"GSTT2B",2.7288
"DIO2",1.9421
"SPRR2D",0
"FMNL2",4.1606
"SLPI",0.296
"RN7SL827P",0.4594
"SRR",2.1433
"NTF3",0
"NPIPA3",0.0605
"MDS2",0.0824
"USP32P3",0.9306
"KRT18P27",0.1019
"TRAJ42",0
"LINC00535",0.102
"SOCS5P3",0
"SLC6A19",0
"CNIH1",14.1372
"RNA5SP352",0
"FRMPD2",2.1681
"LINC02070",0.3005
"MIR200A",0
"HAUS1P3",0
"RN7SKP64",0
"UBQLN1",9.6298
"HSPA12B",5.0107
"USP9YP26",0
"PPP2R2B",0
"STAB2",0.0475
"HSPD1P3",0
"TRAF5",1.3638
"OR9Q1",0
"GIGYF2",2.1104
"RNU6-182P",0
"OR4A43P",0.0486
"RNU6-2",0.8243
"ZNF674",0.4621
"RBBP7",11.3895
"OR5B17",0
"TARBP2",4.7229
"PKD1L3",0.0679
"RAD23BP3",0
"NKX2-6",0.0974
"OR10D1P",0
"CHTF8P1",0
"RNA5SP196",0
"SPINT1-AS1",0.0356
"TNIK",5.6247
"RPSAP63",0.0497
"KRT8P40",0
"RNA5SP163",0
"PRAC1",0
"RPSAP57",0
"INPP5D",2.2912
"EI24P2",0.123
"RNU6-966P",0
"KATNBL1P5",0
"TXNDC12-AS1",0.1128
"LINC02231",0
"RNU6-699P",0
"CCDC88C",0.937
"ACTG1P16",0
"CES3",0.143
"RNU6-128P",0
"FIP1L1",3.8572
"INSRR",0.7954
"IGHV1-17",0
"GCNA",0.3776
"RN7SL392P",0
"RNU6-813P",0
"ALG1L14P",0
"ARHGAP42P4",0
"GM2AP2",0
"IL21-AS1",0.0824
"MGAT4C",0
"CCSER1",0.0254
"SNORA22",0
"C1orf112",1.3008
"MAPRE2",11.2825
"DNM1P48",0
"RNU6-557P",0
"RPL35P6",0
"SLC9B2",19.5974
"CHI3L1",0.0906
"UPK1A",0.0646
"SDR42E1P1",0
"RAD17P1",0
"PARP12",3.4945
"RNU6-1251P",0
"DHRS7",4.6302
"MTCYBP33",0
"KRTAP20-1",0
"TMEM69",7.6126
"RN7SL494P",0
"BBIP1",4.3365
"CXorf65",0.0782
"RN7SL100P",0
"OR10G5P",0
"CCDC61",3.9535
"PPP3R2",0
"FAM25C",0
"TRDMT1",0.2051
"SOCS7",4.42
"MIR1537",0
"DPP3P1",0
"RANP8",0.0619
"CDC40",2.2696
"WFDC9",0
"RNU6-806P",0
"RNA5SP440",0
"CRTC1",1.393
"RNU2-17P",0
"RPS7P11",2.7846
"LRP11",9.1423
"SNORA108",0
"AURKAP1",0.0364
"ZNF805",0.4195
"BCLAF1",5.071
