"","x"
"NCKAP1",5.8803
"BOLA3P1",0
"CDH6",0.6118
"RPL23AP59",0
"PRRX2",64.3746
"LDLRAD4-AS1",0.0549
"SNORD42A",0
"MEA1",80.3865
"LINC00564",0
"LINC01603",0.4946
"NMBR-AS1",0
"OR7E103P",0
"LINC01402",0
"MMEL1-AS1",0
"PRLH",0
"AARS2",13.4356
"OR5D3P",0
"CDKAL1",4.4628
"CYB5D1",0.2215
"HSPD1P8",0
"RNU6-1018P",0.3781
"LINC02038",0
"DCTN5",4.6915
"SAFB2",6.0059
"NUP210",12.8322
"LONRF2P3",0
"CDAN1",3.1377
"TTBK2",1.0409
"IGKV2OR2-2",0
"RNU6-67P",0.4131
"PRMT9",2.2584
"LINC00879",0.0107
"MIR4509-3",0
"B4GALT1",26.4596
"JRKL-AS1",0
"MTATP6P1",833.8087
"FAM66D",0.2183
"EML2-AS1",0
"BORCS7",5.0462
"TMEM106A",7.1252
"MRPS16P1",0
"LINC00847",8.6012
"KIFAP3",14.442
"FAAHP1",0.0105
"SUV39H2",2.0852
"CDY17P",0
"OR10J7P",0
"C20orf96",6.3817
"NUCB1",118.4295
"ADCK5",9.5727
"POLQ",0.5563
"OR10R1P",0
"P2RX7",3.2841
"SOX1-OT",0
"NUTM2F",0.0782
"RNA5SP105",0
"MYCBP",4.7208
"LCE1E",0.0463
"LINC01682",0
"TMEM251P1",0
"SHOC2",6.1074
"FAM171A1",7.7716
"RFTN1P1",0
"UBA1",82.7434
"GK5",1.5887
"MED28P3",0
"C4BPA",0.0328
"BPIFB9P",0.199
"HSPA1A",35.1593
"TMEM95",0
"MACROD1",20.1999
"LRTM2",0.089
"LINC00240",0.1237
"NOP14",6.2693
"APOBEC3H",0.1441
"TOP1",15.6843
"FNDC4",14.1127
"PKD1L2",0.0269
"EEF1E1",3.6517
"GOLGA2P6",0
"LINC00587",0
"SSTR4",0.5476
"ARHGDIB",81.3389
"HMGB1P22",0
"PNPO",6.7793
"P2RX6P",0.1455
"APOA5",0.0103
"RNU1-64P",0
"KDM5DP1",0
"ESPNL",0.9454
"TP53I13",11.5837
"RN7SL568P",0
"RN7SL869P",0
"H3P27",0
"MIR32",0
"GRPEL2",5.1509
"HNRNPH1P1",0.2198
"PCP4",0
"CA5A",0.0251
"LINC02554",0.004
"KRT8P33",0.2816
"OR8L1P",0
"VTRNA3-1P",0
"RN7SKP121",0
"TMOD4",0
"SLC25A29",5.4643
"LIX1-AS1",0.0224
"RNU4ATAC6P",0
"THAP12P9",0
"BTF3L4P3",0
"ILVBL",9.2387
"LINC02501",0
"RN7SL432P",0
"TOX4P1",0.0538
"MIR548AV",0
"RPA2P3",0.026
"PNLDC1",0.2907
"ZNF844",1.2228
"RN7SL503P",0.2645
"ANKRD49",1.2274
"ADRA2C",12.5334
"RNA5SP51",0.1684
"DVL2",12.464
"OR6C76",0
"MIR1255B2",0
"HOXA9",4.4651
"MYOZ1",0.026
"RDH8",0.02
"BTLA",0.1572
"TNP1",0
"ARMS2",0.0245
"TBC1D19",2.9699
"SLFN12L",0.0666
"BPESC1",0
"PNPLA5",0
"PLET1",0.0165
"EIF4E1B",0
"CALM3",109.1781
"RPL15P1",0
"RPL34P33",0.06
"PHLDB1",6.6968
"PIH1D2",0.1215
"LRFN3",5.6731
"GMFG",17.7104
"YEATS4",4.6176
"APOC2",0.4442
"OR2G6",0
"ARG1",0.1937
"CT70",0.2314
"SNORD53B",0.7706
"SSBP1",2.8119
"SESN2",7.2592
"SNHG21",1.9789
"DDX3Y",0.0175
"SUGP2",5.4232
"RNA5S5",0
"ANKRD30BP3",0
"IGKV1-39",0
"HHIP",0.1095
"RNY1",3.0144
"IP6K3",0.1278
"LINC02809",0.0379
"ADGRF5-AS1",0.077
"RNU1-7P",0
"LINC00678",0.086
"RNA5SP521",0
"OR4A16",0
"CASP8",2.4953
"IKBKE",4.1014
"RNA5SP90",0
"IDNK",1.447
"RPS10P7",1.3077
"RASA3-IT1",1.4764
"OLMALINC",2.3171
"RIIAD1",0.062
"RPL7P25",0.3335
"SRA1",5.3312
"EGLN3",2.279
"HIVEP2",4.2825
"RN7SKP3",0
"MTCO3P28",0
"HMGB1P42",0
"PLD3",154.9762
"MIR381",0
"RPL5P14",0.0456
"HLA-W",0.2079
"UQCRFS1P3",0
"ZNF790",1.1707
"MIR4727",0
"PARP4P2",0
"PCDHA4",0.0119
"DPYS",0.021
"INTS4P1",0.3069
"IARS1",20.5187
"SNURFL",0
"ZNF552",2.2591
"DCAF13",4.1232
"CRX",0.0167
"GUSBP2",0.2225
"ZBTB45",28.8887
"ZP3P2",0.0677
"LINC02017",0.0423
"LINC01058",0
"RNU7-144P",0
"RPL21P50",0
"RNU4-77P",0
"ARL5AP1",0
"ARMC12",0.113
"SNORD105",0
"SHMT1",3.7729
"RNU1-72P",0
"HAVCR1",0.3819
"RNU4-29P",0
"RPL10P10",0
"WIZP1",0.0261
"TMED7",11.6135
"GPAA1",114.7642
"TMEM71",1.1365
"FBXW9",5.5163
"NCAPGP2",0
"DUSP11",6.4
"CDRT15P2",0
"HOXA7",2.061
"ZFPM2",0.5051
"LINC02052",0
"TMEM38A",1.9937
"RPS4XP14",0.1026
"FOXG1",0.0123
"LZTS1",16.6587
"IGKV2-36",0
"SNRPGP14",0
"HDAC11-AS1",2.7624
"CYP2B7P",0.3501
"SEPTIN14P8",0
"LINC02480",0
"LNX1-AS1",0.058
"TRDN",0.1196
"HERC2P10",0.4856
"AK3P2",0
"TMEM229A",0.0095
"KIAA1211L",2.0314
"STK38L",4.7769
"LINC01208",0
"GRIK2",0.3613
"LINC01753",0
"KDM2B",2.9784
"LINC02329",0
"NTF6A",0
"SLC25A39P2",0
"RNU6-477P",0
"MIR7106",0
"VN2R3P",0.0142
"LINC02687",0
"RPS2P7",0.7471
"FKBP4P8",0
"PTCHD1-AS",0
"RNU6-524P",0.1873
"ELN",11.4181
"MIR6876",0
"DOK7",0.4324
"LINC02471",0
"ADAM21P1",0
"ZC3H10",1.3233
"TNR-IT1",0
"CRK",17.0827
"LINC02671",0.0078
"EPX",0.0296
"MRPS10P1",0
"LINC02210",0.6936
"PRR36",3.8221
"SH3YL1",0.9691
"ACP5",302.8666
"NXF3",0.3864
"SUCLG1",15.1328
"LINC00570",0.1336
"WDR34",36.6649
"IGHV7-27",0
"FMC1",1.959
"MRI1",9.3169
"RN7SL497P",0
"UHMK1",10.6339
"HGH1",36.3426
"GRM8",0.211
"RPL23AP65",0.5138
"LINC01303",0.3114
"SAMD15",0.1379
"ZBTB44",2.8322
"CDKL1",0.176
"RPL39P40",0
"DCUN1D2",4.4951
"RN7SL36P",0
"LHX3",0
"RNU6-560P",0
"MYMK",0
"LINC01929",0.4045
"NCK2",20.9415
"ATP8B3",0.9598
"RFX6",0.2007
"BICRA-AS1",0.9524
"LINC01010",0.1086
"DPY19L1P2",0.0438
"MTMR3",0.8316
"RIMBP2",0.0023
"RNU6-18P",0
"OR10AG1",0
"ZNF214",0.0951
"KRT18P6",0.0158
"STMP1",13.9404
"MIR483",0
"ITGB2-AS1",0.978
"SRD5A3P1",0
"RAI2",8.4977
"STON2",6.6309
"SH3PXD2B",56.9104
"RPL7L1P8",0.2434
"C9orf135",1.4569
"RNU6-494P",0
"RPL6P29",0
"REC8",2.085
"GBP5",0.6964
"COPG1",34.6898
"TSBP1",0.0405
"PLCG2",2.4956
"RN7SL35P",0
"RC3H2",4.5679
"SLC39A3",8.7507
"CAPZA3",0
"CTNNB1",66.7329
"EPOR",2.8568
"PRR23B",0
"IGHV7-81",0
"RNU6-464P",0
"SENP3-EIF4A1",0.0512
"RNU6-1204P",0
"SP4",1.2439
"EIF2B4",7.0266
"KIAA2012-AS1",0.0065
"LDB2",3.4363
"XAGE1A",0.0935
"EPS15P1",0.2612
"CCT5P1",0.1362
"OR2M3",0
"ZNF793",0.2753
"RN7SKP175",0
"ZNF37BP",0.8166
"TRAPPC3L",0.0218
"TSPY15P",0
"MIR590",8.2626
"CXCR6",0.4359
"CYP4F11",0
"H3C9P",1.2973
"TTYH1",0.343
"FLVCR1-DT",1.0556
"SPATA17",0.0338
"CGB8",0
"LINC02309",0.3872
"RNA5SP453",0
"VPS53",2.1073
"MIR3617",0
"RPL19P11",0.034
"MYOCD-AS1",0
"OSM",2.7013
"MIR514A1",0
"PHC3",2.8387
"AFAP1L2",2.049
"NAALADL2",0.1768
"OR1H1P",0
"TBX5",0.0138
"NDUFA4L2",43.8511
"STK31",0.0616
"USP17L28",0
"COX7C",46.3773
"LMCD1-AS1",0.3041
"CEACAM16",0.0589
"OR52T1P",0
"FTH1P25",0
"GAD2",0
"RNU6-271P",0
"BRD9P1",0
"PDE4DIP",3.0647
"NQO2-AS1",0.0372
"LINC01586",0.0274
"SLCO4C1",0.0038
"RPS2P6",0.0896
"PACRGL",2.4102
"MIR627",0
"ZBTB42",2.9452
"ATF4P3",0.3795
"HAO1",0.0113
"IL36RN",0.0304
"MIR6804",0
"MGP",63.8688
"SPOP",4.8365
"KRT8P3",0.3042
"ATF4P4",0.2908
"NKX6-2",0
"BRCA2",0.6694
"PTPN2P1",0.0748
"BMPER",0.9665
"TOR3A",8.8547
"SPTAN1",18.1643
"ARHGDIG",0.0577
"LINC01884",0
"HMGN2P4",1.5251
"IL22RA2",0
"DUS3L",9.9029
"AGRP",0.4458
"ABCA10",0.2002
"PSMB3",61.1812
"DHX35",3.5115
"TIMM9P2",0.1507
"STPG3-AS1",0.2003
"RN7SKP130",0
"IP6K1",21.4009
"SLC5A9",0.0442
"ZNF76",5.4305
"MIR526A1",0
"DMTN",3.0461
"GCC2-AS1",0.2508
"ARL6",0.6381
"RPS3AP5",0.4393
"RAD1P1",0.1479
"YIPF1",14.8611
"ADD2",0.1502
"AADAC",0.048
"LGR5",0.0038
"BBOF1",1.3358
"FLCN",6.55
"SNORA70",0
"AZU1",0.1236
"ZNF234",2.4306
"CATSPERG",0.1199
"LIMS1",7.7175
"USP9YP27",0
"RPL23AP69",0
"COL26A1",0.127
"OR6C5P",0
"ADCK2",8.7975
"OR2W2P",0
"ORC4",5.4256
"LINC02110",0
"OBP2B",0.2118
"IGLV6-57",0.1286
"CYCSP44",0
"GPR89A",0.8545
"POLR3B",2.5654
"AIFM2",4.3273
"RNU6-612P",0
"TLE4",4.2071
"CDY1",0
"GRM5-AS1",0
"PFN1P8",0.1476
"RN7SKP9",0.3351
"PPP4R1-AS1",0.1586
"ACTN4",127.8145
"SLC22A5",0.926
"LYN",5.611
"H3-2",0
"RNA5SP401",0
"LINC01007",0
"BVES-AS1",0.3159
"LINC00973",0.0208
"HDDC2",7.6635
"NOD1",1.6776
"MIR6846",0
"DYNC1I2",17.3909
"FMNL2",14.8793
"CDC7",5.8133
"LEMD1",0.0091
"OS9",35.2399
"AK4P1",0.1802
"RPL24P7",0
"H2BC6",0.2595
"LINC02632",0
"CENPP",1.8269
"TASOR2",2.5558
"BPY2DP",0
"MIR587",0.4174
"MEF2BNBP1",0
"SYCP2",0.5392
"ARMC10",5.1798
"SLC6A1",0.5638
"LINC01584",0.014
"LACTB2-AS1",0.1912
"MTND2P14",0
"RN7SL577P",0
"MIR6746",0
"WDR53",5.497
