"","x"
"MIR1225",0
"SOWAHD",0.528
"ZDHHC16",9.1592
"BNIP3P33",0
"ZNF668",0.5901
"DTX3",5.8018
"MTERF1",2.0335
"DNM1P33",0
"LINC02065",0
"FOXF2",0.9243
"LHFPL6",37.8245
"ELOB",90.0904
"MTCYBP21",0.1964
"RN7SKP95",0.0902
"YWHAH",60.8719
"IGHD3-16",0
"MT-TH",27.3177
"YWHAQP9",0
"HOXC4",7.0374
"EIF4E2P1",0
"CIAO3",1.8682
"PCAT4",0.0243
"NPIPB7",0.0366
"ATE1-AS1",1.465
"NLRX1",4.4366
"SNRPEP8",0
"POLR2A",36.4378
"NUP35",2.6602
"USP30",2.1812
"ZBTB8B",0.0511
"OR51I1",0
"RNU7-149P",0
"NPIPB1P",0.1447
"RPS26P13",0.5795
"ETF1",18.7561
"UROD",29.4783
"RN7SKP243",0.1768
"SNORA38B",0
"IL6STP1",0
"TAS2R63P",0.0886
"GDA",0.0138
"MICA",11.9644
"SELENOW",11.87
"RIPOR1",12.0167
"RNA5S15",0
"TPSAB1",2.8546
"RNY1P2",0
"ADCY6-DT",0.3945
"ARAP1-AS1",0.0704
"LINC02485",0.0557
"KRT32",0
"PADI3",0.0343
"IGLV1-62",0
"CNN2P3",0
"RAN",47.9829
"SLC52A2",38.6612
"MIR4527",0
"AMMECR1LP1",0
"FMO2",0.0044
"MIR3680-2",0
"RNU6-761P",0.2553
"BCL7C",9.5531
"RANP9",0
"DIRC3-AS1",0
"SLC25A12",3.3136
"L3MBTL3",1.2983
"C11orf96",9.8196
"TOMM22P2",0
"C10orf71-AS1",0
"SLC9A9-AS2",0.1671
"MIR379",0
"REM2",0.237
"RNU6-1191P",0
"MINAR2",0
"GPR26",0.0036
"KLHL31",0.0476
"C1QBPP1",0
"EID1",59.0814
"RNU6-1244P",0
"BTBD11",0.2344
"RPS10P3",5.7511
"ENO1P2",0
"RPL17P12",0
"NPTN",34.7773
"PHBP14",0
"HRCT1",0.9489
"RNU6-993P",0
"SNORA57",0
"MGAT1",23.3917
"TGM4",0.005
"MS4A14",2.7618
"ZCCHC7",6.1451
"SNRPEP10",0
"CNPY2",15.5534
"GNL3LP1",0.0665
"CYCSP20",0.2602
"RPL21P40",0.0566
"SRSF3",42.4311
"XAGE1A",0.153
"LINC02435",0.0936
"OR51A1P",0
"RILPL2",4.355
"MRO",1.2361
"NKIRAS1",2.9654
"SLC25A6P1",0
"SFTA2",0
"SH3PXD2A",28.5795
"SNRPCP19",0.1188
"RNU6-1160P",0
"IL4I1",3.2295
"ADCK1",1.6646
"UBE2V1P4",0.0794
"PERP",0.0637
"MTND5P9",0
"EIF3FP3",2.5406
"SREBF2",9.3228
"OR51A3P",0.0887
"PVR",7.0177
"CSF2RB",1.2238
"CLEC4A",2.2818
"ISM2",0
"DDN-AS1",0.7324
"HMGB3P14",0.4104
"KCTD12",42.1066
"ARF4P1",1.3634
"RNU5D-2P",0
"LINC01676",0.0091
"LINC01998",0.0139
"SLC6A1-AS1",0.0936
"RNU6-839P",0.7588
"CFAP47",0.0655
"PMF1",13.5613
"TRIM64DP",0
"ARHGEF7-AS2",0.022
"TRBVA",0
"PPIAP34",0.1666
"PGBD4P2",0
"CKAP4",35.2322
"ABCA11P",0.705
