"","x"
"OR4G2P",0
"DNM1P50",0
"LINC00489",0.1399
"TIRAP",2.9545
"SELENOF",115.8668
"OR2K2",0.0976
"IGHV3OR15-7",0
"NCOA4P3",0.1754
"POLR3K",8.8739
"TRAJ31",1.3327
"HSPA9P1",0.5366
"TDGF1P4",0.1948
"FRG1",11.2292
"RPL21P119",2.3739
"FOXN1",0.0627
"VSTM5",0.1184
"NSD1",5.4225
"RNA5SP498",1.6881
"MGAT4B",19.3862
"NOL9",8.68
"FIRRE",1.8593
"RPL7AP23",0.0653
"CRTAP",27.9991
"LRRC3C",0.1137
"RPL23AP55",0.112
"ABCD1P3",0
"FAM20B",8.6417
"SSXP5",0
"IGHV3OR16-12",0
"CXCR5",0.0114
"LINC00681",0
"IFT140",2.2786
"RPL23AP2",6.0858
"BOLA1",5.8581
"MIR3926-1",0
"SUMO1P4",0.7546
"PLEKHG4B",1.1662
"OR4A11P",0
"ANGPTL7",0.0453
"LINC00609",0.0434
"EIF4BP4",0.0142
"MMADHC",23.3683
"A2ML1-AS2",0.0656
"PACS1",8.6861
"THSD1",3.6001
"RNU6-78P",0
"LINC01395",0
"MIF",58.1091
"ADAM21P1",0.011
"KCNG1",3.5488
"VENTXP6",0.0806
"MTCO1P42",0.5929
"RNU6-1244P",0
"LGI4",0.9945
"OR52N1",0.0526
"PPP2R5B",7.3504
"NRBP2",9.2204
"THOC2",9.4934
"PABPN1",43.8682
"OR4A16",0.0257
"PEAK3",0.5411
"BATF2",0.8992
"BECN1P2",0
"BUD23",10.4805
"RPS24P17",2.8733
"PCDHGB6",0.1493
"RNY4",0.5275
"RPL36AP29",0.2366
"TCF15",0.9445
"MIR8057",0
"IFNA22P",0.0444
"ZNF578",0.324
"BMPR1B",1.1313
"POLI",2.2511
"FAM185BP",0.778
"FAM110A",7.535
"CA3-AS1",0.6043
"RPL7AP72",0
"MIR1180",1.1009
"NANOGNB",0.0558
"RAB10",29.387
"EIF5B",41.4271
"RN7SL172P",0.7521
"LINC01732",0.038
"TRBV5-4",0.0465
"WASF3-AS1",0.0583
"NLRP6",0.1184
"IGHD3-3",0
"ARSK",1.9311
"LINC01243",0
"LRRC32",2.2033
"POPDC2",1.657
"ANLN",7.3033
"AP1S2",3.8813
"EIF2AK3",5.5685
"ARHGEF34P",0.0726
"GATB",1.6584
"MIR320A",0.3088
"CPT1C",0.7557
"BAIAP2-DT",3.634
"HOMER2",3.6072
"FLG",0.1033
"PIP5K1B",0.484
"DNAJC5G",0.0862
"MTATP6P16",0.1926
"TASOR",5.985
"CRISPLD2",1.9043
"RNU7-29P",0
"IP6K3",0.0359
"LINC02490",0.2107
"ARHGAP27",3.3321
"C14orf177",0.0179
"LOXHD1",0.1544
"MIR339",1.3687
"RN7SL530P",0
"MGST3",11.7821
"SLC25A37",4.2674
"HTATSF1",34.3728
"COA3",21.514
"HCN4",0.049
"PARVG",5.1134
"RNU6-505P",0
"SNRPCP15",0
"PTPDC1",2.8707
"PRIMPOL",6.0832
"NEK9",12.4013
"RPL7AP7",0.0635
"TTTY2B",0.008
"HTR4",0.0216
"SLC25A46",4.7139
"CERS6",2.0737
"TTC13",3.2644
"TMEM62",1.4951
"RN7SL377P",0.3643
"KLHDC7A",0.0246
"MIR579",1.0335
"RBM22",10.738
"RNA5SP194",0.4482
"DGLUCY",6.1794
"CCDC88B",2.1185
"GLIPR2",18.5994
"ETF1",16.4443
"LINC02152",0
"MTND2P18",0.0246
"LINC00941",0.1484
"MIR596",0
"TAS2R31",0.248
"GLIS1",3.0096
"ZNF480",2.3876
"RPL13AP20",9.8126
"ST6GALNAC2P1",0
"RNU6-945P",0
"KRTAP8-1",0
"TRAJ12",0
"PPARG",2.7349
"PPIAP32",0.0536
"FAM230D",0
"MIR3672",0
"CD244",0.5495
"OAZ1",159.0546
"LINC02290",0.0209
"ITGB8",0.4528
"ARPP21-AS1",0.0467
"ST13P21",0.2076
"CCDC159",3.4082
"HOMER2P1",0.1313
"HIGD1AP11",0
"RN7SKP181",0.3205
"LINC02640",0.1354
"NMNAT1P5",0.0602
"CRABP1",0.408
"SOX13",2.1636
"WDR33",4.5155
"RAC1P2",38.2664
"ENTPD6",12.1307
"PRAMEF29P",0
"GOT2P2",0.0607
"LCE2C",0
"ZNF680",1.4687
"HOXA-AS2",0.513
"FOSL1",1.5834
"IARS1",12.7993
"CENPL",3.0093
"MIR7160",0
"IL17F",0
"MIR4512",0
"TGIF2",17.5389
"CFAP44",0.8434
"GAGE1",0.0469
"PDCD1LG2",0.7602
"ECT2",5.8618
"C17orf78",0.132
"PCDH11X",0.0239
"MIR3180-3",0
"MAP3K15",0.0317
"SNX33P1",0
"LINC00189",0.629
"LINC01709",0.2119
"RAMP2-AS1",0.4496
"RNU6-472P",0
"OR7G15P",0.1521
"LRRC72",0.0365
"CAPZA1",35.922
"MAP1S",5.9435
"RN7SL502P",0.4366
