"","x"
"VPS51",9.4424
"PLGLA",0
"RPS15AP30",0.0403
"TBC1D19",1.1132
"FGF12-AS3",0.0541
"KRTAP29-1",0
"IGHEP1",0
"RPL7AP38",0.0784
"OR5F2P",0
"TARS2P1",0
"HNRNPA1P16",0.3459
"SOX1",0
"TRGV10",0
"KCTD21",2.5462
"RN7SL827P",0
"RNU6-57P",0
"VPS26BP1",0.0625
"LINC02113",0
"RNU4-52P",0.456
"EIF4A1P4",0.6873
"PCNT",1.6621
"DDT",5.5367
"MYSM1",2.6664
"LINC02799",0.0386
"RPA2P2",0
"DEPDC5",1.4894
"ARSF",0.9421
"KCNH4",0.0481
"RN7SL282P",0
"CUEDC2",9.5922
"OR4A16",0
"RN7SKP217",0
"CDK2AP2P3",0
"ELOBP3",0
"POLD1",5.725
"TRO",10.4068
"CYP1B1",4.7213
"IGHV8-51-1",0
"DNASE1",0.7648
"COP1",3.7507
"HACE1",0.8701
"ATF4P4",0.3388
"ATPAF1",6.7445
"RAB40A",0.1944
"CEACAM21",0.4583
"MIR1269A",0
"POLDIP2",40.0501
"NPM1P48",0
"PCCB",2.9323
"RNU1-3",0
"P4HTM",2.0711
"RNU6-1252P",0.3025
"CUBNP2",0.1243
"FXYD1",0.3185
"CATSPER2",0.1367
"TGFB3",95.5821
"NYX",0.0263
"LRRC59",51.3299
"RPS29P1",0
"SUMO1",11.1584
"TMEM268",6.1453
"SNORD15B",0.431
"LINC02087",0.0165
"UBE2E2-AS1",0.0591
"ATP5PFP1",0.0489
"LINC01473",0.0759
"GFOD1-AS1",0
"ADAM20",0.0225
"RING1",19.9966
"LINC01793",0.0386
"MIR9-3HG",0.0303
"PSG10P",0
"COX5BP1",0
"NAV2-AS4",0
"LIF-AS1",0.1168
"RPS9",71.9852
"RN7SL271P",0
"SNAI1P1",0
"RNU6-424P",0
"ZFP1",2.6476
"DMRTC1",0
"SH2B3",20.6256
"DUXAP5",0
"C1orf21",0.5219
"TRAJ19",0
"NIFKP8",0
"RNA5SP29",0
"MTCO1P43",0
"CPT2",4.3802
"HMGB1P39",0.0536
"SNORA68B",0.8279
"LINC02361",0.0848
"FIBIN",20.39
"RNA5SP145",0
"BUB3P1",0
"OR6N1",0
"DGKH",0.9997
"FXN",4.0304
"PSCA",0.3569
"PHF5CP",0.0968
"RNU2-14P",0.0824
"LYPD9P",0
"IL21R-AS1",0.0241
"NDUFB2",5.536
"MTND1P16",0.0526
"MIR762",0
"WFDC2",0.626
"GSTM3",5.7757
"GPA33",0.2148
"INMT",0.0186
"HK1",9.2473
"IGLJ2",0
"RN7SL262P",0.321
"DHFRP6",0
"TSPY18P",0
"OR11H13P",0
"ZNF215",0.1837
"OR7E116P",0
"ZNHIT3",2.3054
"RNU6-175P",0.294
"IQSEC2",2.0878
"VSTM4",3.7081
"APOBEC3B-AS1",0
"FGF7P1",0
"MTND3P12",0
"MPZL1",26.7951
"IER5",2.8059
